rxpck/s,ceph01,ceph02,ceph03,ceph04
365,373270.0,369049.0,372776.0,374059.0
366,274884.0,286454.0,285168.0,274780.0
367,251339.0,245903.0,236875.0,243393.0
368,292895.0,301543.0,305997.0,289078.0
369,335644.0,331298.0,333618.0,331181.0
370,330360.0,329288.0,314346.0,319108.0
371,378607.0,381156.0,382705.0,374899.0
372,303150.0,322076.0,331942.0,308783.0
373,241327.0,230644.0,227446.0,234761.0
374,284903.0,297174.0,299667.0,285463.0
375,359601.0,352519.0,339740.0,349936.0
376,331081.0,334672.0,349061.0,333136.0
377,339556.0,349675.0,339808.0,333247.0
378,320935.0,329343.0,345407.0,328186.0
379,290803.0,287477.0,278084.0,282843.0
380,251088.0,263440.0,271058.0,251750.0
381,409816.0,400499.0,379310.0,392316.0
382,334252.0,341721.0,342058.0,336981.0
383,321216.0,322600.0,334180.0,318529.0
384,255188.0,258552.0,257540.0,253072.0
385,247959.0,252613.0,255527.0,244711.0
386,326868.0,325424.0,315890.0,316575.0
387,372849.0,383332.0,392955.0,376102.0
388,395952.0,392151.0,381937.0,388027.0
389,332018.0,342382.0,348014.0,332205.0
390,261406.0,254909.0,248031.0,253155.0
391,302930.0,304812.0,308922.0,299785.0
392,280453.0,288797.0,292987.0,281584.0
393,376395.0,376979.0,360706.0,370378.0
394,344529.0,345747.0,362352.0,343664.0
395,314639.0,327584.0,325806.0,319054.0
396,247271.0,246297.0,247598.0,241871.0
397,364244.0,373998.0,372027.0,358437.0
398,308253.0,307585.0,309464.0,305790.0
399,297819.0,296116.0,298224.0,294159.0
