setattrs_latency_avg,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
57,5.8e-05,5.9e-05,5e-05,5.4e-05,5.3e-05,5.5e-05,5.7e-05,5.3e-05,5.4e-05,5.3e-05,6.2e-05,5.9e-05,6.1e-05,6.1e-05,5.7e-05,5.9e-05,5.3e-05,5.8e-05,5.6e-05,5.7e-05,6e-05,5.6e-05,6.3e-05,5.8e-05,5.8e-05,6e-05,5.7e-05,5.7e-05,5.8e-05,5.7e-05,5.9e-05,6e-05
58,6.1e-05,6.2e-05,5.4e-05,5e-05,5.9e-05,5.8e-05,6.1e-05,5.5e-05,5.4e-05,5.5e-05,5.8e-05,6e-05,4.6e-05,5.6e-05,5.4e-05,5.9e-05,4.9e-05,5e-05,5.4e-05,4.9e-05,5.5e-05,5.9e-05,5.9e-05,5.9e-05,5e-05,5.9e-05,5.6e-05,5.5e-05,4.9e-05,5e-05,5.4e-05,5.6e-05
59,5.9e-05,5.7e-05,5.9e-05,6.1e-05,6.3e-05,6e-05,6.2e-05,5.8e-05,6e-05,6.2e-05,5e-05,5.4e-05,5.6e-05,5.6e-05,5.9e-05,6.3e-05,5.8e-05,6e-05,6e-05,5.7e-05,5.5e-05,5.1e-05,5.2e-05,5.6e-05,5.8e-05,5.5e-05,6.2e-05,5.9e-05,5.9e-05,5.9e-05,6e-05,6.1e-05
60,5.6e-05,6.9e-05,6.8e-05,7e-05,6.4e-05,6.3e-05,6.4e-05,6.9e-05,6.6e-05,7.1e-05,6.6e-05,5.6e-05,6.4e-05,6.7e-05,7.4e-05,6.5e-05,6.4e-05,6.8e-05,7.1e-05,6.2e-05,6.6e-05,6.7e-05,6.6e-05,6.6e-05,6.7e-05,7e-05,5.4e-05,5.2e-05,6.3e-05,7.5e-05,7.1e-05,7.1e-05
61,6.4e-05,7e-05,6e-05,6.9e-05,7e-05,6.6e-05,7.5e-05,7.2e-05,6.1e-05,6.1e-05,6.4e-05,6.1e-05,6.7e-05,6.8e-05,7.1e-05,7e-05,6.3e-05,6.3e-05,6.6e-05,7e-05,7.2e-05,6.1e-05,6.9e-05,6.8e-05,6.7e-05,6.5e-05,6.6e-05,6.6e-05,6.6e-05,6.4e-05,6.6e-05,7.1e-05
62,6.1e-05,5.2e-05,5e-05,5.1e-05,5.5e-05,5.2e-05,5.3e-05,5.1e-05,5.7e-05,5.5e-05,5.7e-05,5.7e-05,5.7e-05,5.4e-05,5.3e-05,5.5e-05,5.2e-05,5.7e-05,5.4e-05,5.3e-05,5.8e-05,5.6e-05,5.5e-05,5.5e-05,5.7e-05,5.7e-05,5.8e-05,5.6e-05,5.5e-05,5.7e-05,5.5e-05,5.6e-05
63,5.9e-05,6.3e-05,6.1e-05,6.1e-05,6.1e-05,6.3e-05,6.4e-05,6.1e-05,6e-05,6.5e-05,6.5e-05,6.3e-05,7.3e-05,7e-05,6.2e-05,6.4e-05,6.1e-05,6.2e-05,6.4e-05,6.2e-05,5.7e-05,6e-05,6.3e-05,6e-05,6.8e-05,6.6e-05,5.9e-05,5.8e-05,6.9e-05,6.7e-05,6.8e-05,6.6e-05
64,6e-05,5.5e-05,5.8e-05,5.8e-05,5.4e-05,5.5e-05,5.5e-05,5.5e-05,5.8e-05,5.4e-05,5.5e-05,5.6e-05,5.5e-05,5.5e-05,5.6e-05,5.3e-05,5e-05,5.2e-05,4.7e-05,4.8e-05,6.1e-05,6e-05,6.2e-05,5.5e-05,4.7e-05,4.9e-05,6.3e-05,5.7e-05,4.9e-05,5.4e-05,5.7e-05,5.4e-05
65,6.4e-05,5.6e-05,6.1e-05,6.2e-05,6.4e-05,6.2e-05,6.5e-05,5.9e-05,6.4e-05,6.1e-05,5.4e-05,5.9e-05,6e-05,5.8e-05,6.2e-05,6.3e-05,6.4e-05,6.5e-05,6.5e-05,6e-05,5.4e-05,5.7e-05,6e-05,6e-05,6.7e-05,5.7e-05,6.2e-05,6.4e-05,6.9e-05,6e-05,6.3e-05,6.3e-05
66,6.3e-05,6.6e-05,6.8e-05,7.1e-05,6.4e-05,6.6e-05,6.8e-05,6.8e-05,6.7e-05,6.6e-05,7.6e-05,7.3e-05,6.8e-05,7.5e-05,6.9e-05,6.8e-05,7.2e-05,6.7e-05,7.2e-05,7.2e-05,7.4e-05,6.6e-05,6.8e-05,7.1e-05,6.4e-05,6.6e-05,6.4e-05,6.3e-05,6.5e-05,6.8e-05,8.1e-05,7.9e-05
67,5.7e-05,5.4e-05,6.1e-05,5.9e-05,6.3e-05,6.5e-05,6.5e-05,5.8e-05,6.2e-05,5.6e-05,5.7e-05,6e-05,6.1e-05,5.9e-05,6.9e-05,6.7e-05,6.1e-05,6.4e-05,6.2e-05,6.1e-05,6.2e-05,6.2e-05,6.2e-05,6.1e-05,6e-05,6.4e-05,6.8e-05,6.1e-05,6.3e-05,6.1e-05,6.1e-05,6.4e-05
68,5.9e-05,5.9e-05,6e-05,5.9e-05,6e-05,5.8e-05,5.6e-05,5.8e-05,6.4e-05,6.1e-05,6.1e-05,5.9e-05,6.4e-05,6.2e-05,5.7e-05,5.4e-05,6.1e-05,5.6e-05,6.1e-05,6e-05,6e-05,6e-05,5.8e-05,5.9e-05,6.2e-05,6e-05,6.2e-05,5.6e-05,6e-05,6.2e-05,6.1e-05,6e-05
69,6e-05,6.4e-05,5.8e-05,6.6e-05,6.5e-05,5.5e-05,6.2e-05,6.3e-05,5.3e-05,5.5e-05,6.1e-05,5.6e-05,6.4e-05,6.7e-05,5.7e-05,5.7e-05,5.1e-05,5.4e-05,5.9e-05,5.9e-05,6.2e-05,6.3e-05,5.9e-05,5.8e-05,5.2e-05,5.9e-05,6.1e-05,5.9e-05,6.1e-05,6.8e-05,6e-05,6e-05
70,5.6e-05,5.2e-05,5.7e-05,5.3e-05,5.3e-05,5.1e-05,5.3e-05,5e-05,5.4e-05,5e-05,4.6e-05,5.3e-05,4.7e-05,4.6e-05,5.2e-05,6e-05,4.7e-05,4.9e-05,4.8e-05,4.6e-05,5.6e-05,5.1e-05,4.8e-05,4.8e-05,5.5e-05,5.1e-05,5.2e-05,5.1e-05,4.9e-05,5e-05,5.1e-05,4.9e-05
71,5.2e-05,5.9e-05,6.1e-05,6.1e-05,6.2e-05,6.1e-05,6.2e-05,6.2e-05,6.4e-05,6.3e-05,6.5e-05,5.8e-05,6e-05,5.9e-05,6.1e-05,6.4e-05,5.9e-05,6.3e-05,6e-05,6.2e-05,5.2e-05,5.5e-05,6.1e-05,5.9e-05,5.4e-05,6e-05,6.9e-05,6.7e-05,6e-05,6e-05,6e-05,5.8e-05
72,7.1e-05,7.6e-05,7e-05,7.2e-05,7.3e-05,7e-05,7.3e-05,7.6e-05,7.1e-05,6.7e-05,7.4e-05,6.9e-05,7.1e-05,6.9e-05,6.6e-05,6.9e-05,6.7e-05,6.8e-05,7e-05,7.3e-05,6.4e-05,7.2e-05,6.7e-05,6.9e-05,6.2e-05,6.5e-05,6.1e-05,6.4e-05,6.4e-05,6.6e-05,8e-05,7.6e-05
73,7.8e-05,6.4e-05,7.9e-05,7.1e-05,7.5e-05,6.5e-05,6.8e-05,7.9e-05,6.7e-05,7.3e-05,6.8e-05,6.8e-05,6.9e-05,7.3e-05,7.6e-05,8.1e-05,7.1e-05,7.1e-05,7.1e-05,7.1e-05,7.4e-05,7e-05,7e-05,7.7e-05,7.1e-05,7.4e-05,6.7e-05,7.4e-05,7.5e-05,7.4e-05,7.3e-05,6.9e-05
74,6.3e-05,6e-05,6.4e-05,6.5e-05,6.8e-05,6.4e-05,5.2e-05,5.3e-05,6.6e-05,6.3e-05,6e-05,6.2e-05,6.2e-05,6.3e-05,6.8e-05,6.7e-05,6.1e-05,6.5e-05,6.2e-05,6.7e-05,6.7e-05,6.6e-05,6.2e-05,6.3e-05,6.4e-05,5.8e-05,6.3e-05,6.8e-05,6.5e-05,6.1e-05,6.4e-05,6.3e-05
75,5.4e-05,5.4e-05,5.1e-05,5.2e-05,5.2e-05,5.3e-05,5.5e-05,5.6e-05,5e-05,5.2e-05,5.1e-05,5e-05,5.6e-05,5e-05,5.3e-05,5.3e-05,5.1e-05,4.6e-05,4.9e-05,4.9e-05,5e-05,4.9e-05,4.9e-05,5.1e-05,4.8e-05,5.2e-05,5e-05,5.1e-05,5.1e-05,5.4e-05,4.9e-05,5.2e-05
76,5.4e-05,5.8e-05,5.7e-05,6.1e-05,5.6e-05,5.9e-05,5.8e-05,5.5e-05,5.6e-05,5.9e-05,5.8e-05,5.4e-05,5.6e-05,5.7e-05,6e-05,6.3e-05,5.3e-05,5.6e-05,5.2e-05,4.7e-05,5.9e-05,6.7e-05,5.4e-05,5.1e-05,5.9e-05,6.1e-05,6.2e-05,5.7e-05,5.2e-05,5.2e-05,5.7e-05,5.4e-05
77,6.4e-05,6.5e-05,7e-05,6.8e-05,6.4e-05,6.8e-05,6.6e-05,6.2e-05,7.2e-05,6.4e-05,6.3e-05,6.4e-05,6.3e-05,6.2e-05,6.6e-05,6.8e-05,6.2e-05,7.7e-05,7e-05,6.6e-05,6.2e-05,6e-05,5.8e-05,5.8e-05,6e-05,5.8e-05,7e-05,6.7e-05,6.7e-05,6.7e-05,5.7e-05,6.2e-05
78,7.1e-05,6.3e-05,6.3e-05,6.5e-05,6.6e-05,6.3e-05,6.3e-05,6.8e-05,6.3e-05,6.4e-05,6.6e-05,6.7e-05,6.6e-05,6.4e-05,6.7e-05,7e-05,6.2e-05,6.6e-05,6.1e-05,6.2e-05,6.4e-05,6.4e-05,6.3e-05,5.9e-05,6.1e-05,5.9e-05,5.2e-05,5.4e-05,6.6e-05,6.2e-05,7e-05,7.4e-05
79,6e-05,5.7e-05,5.9e-05,6.1e-05,6e-05,6.3e-05,6.4e-05,5.8e-05,5.7e-05,5.7e-05,6.1e-05,5.6e-05,6.4e-05,6.1e-05,6.5e-05,8e-05,6.3e-05,6.5e-05,6.3e-05,6.2e-05,6.3e-05,6.1e-05,6.9e-05,6.5e-05,5.8e-05,6.4e-05,5.7e-05,5.4e-05,6.1e-05,6.2e-05,6.2e-05,5.9e-05
80,6e-05,5.4e-05,5.9e-05,6.1e-05,6.8e-05,5.7e-05,5.3e-05,5.3e-05,6.3e-05,6.3e-05,6.2e-05,5.9e-05,5.8e-05,6.4e-05,5.2e-05,5.1e-05,6.6e-05,6.4e-05,5.9e-05,5.6e-05,6e-05,6e-05,5.9e-05,6.5e-05,5.7e-05,5.6e-05,6.1e-05,5.5e-05,6.2e-05,6.1e-05,5.3e-05,5.4e-05
81,5.6e-05,5.8e-05,5.3e-05,5.5e-05,5.2e-05,5.1e-05,6e-05,5.3e-05,4.5e-05,4.5e-05,4.5e-05,4.4e-05,5.3e-05,5.6e-05,5.2e-05,5.1e-05,3.9e-05,4.1e-05,5.1e-05,5.3e-05,5.3e-05,5e-05,5e-05,5.1e-05,5.2e-05,5.1e-05,5.1e-05,5.2e-05,5.2e-05,5.4e-05,4.8e-05,4.9e-05
82,4.9e-05,5.7e-05,5.5e-05,5.8e-05,6e-05,6.1e-05,6e-05,5.8e-05,6.2e-05,5.7e-05,6e-05,5.9e-05,5.2e-05,5.1e-05,6e-05,5.9e-05,5.2e-05,5.7e-05,4.9e-05,5e-05,5.5e-05,5.5e-05,5.1e-05,5e-05,5.7e-05,6e-05,6.5e-05,6.3e-05,5.4e-05,5.4e-05,6.1e-05,6.3e-05
83,9.1e-05,7.3e-05,9e-05,7.8e-05,7.9e-05,8.9e-05,8.3e-05,8.3e-05,7.9e-05,8.3e-05,8.4e-05,7.8e-05,7.6e-05,8.8e-05,8.7e-05,7.8e-05,8.1e-05,8.3e-05,7.9e-05,7.2e-05,7.6e-05,7.9e-05,7.8e-05,8.3e-05,7.8e-05,9e-05,7.9e-05,8.2e-05,8e-05,8.3e-05,9.6e-05,8.1e-05
84,6.6e-05,7.4e-05,7.9e-05,7.4e-05,6.9e-05,6.9e-05,7.1e-05,7.3e-05,7e-05,7.1e-05,7.6e-05,6.6e-05,6.8e-05,6.9e-05,6.8e-05,7.6e-05,7.5e-05,6.9e-05,8e-05,6.9e-05,6.6e-05,7e-05,7.3e-05,6.8e-05,7.2e-05,6.4e-05,6.8e-05,6.9e-05,6.3e-05,6.6e-05,7.1e-05,6.9e-05
85,6.1e-05,6.1e-05,6.1e-05,5.9e-05,6.1e-05,6.2e-05,6.2e-05,6e-05,5.8e-05,5.5e-05,5.6e-05,6.2e-05,5.8e-05,6.1e-05,6.1e-05,6.8e-05,6.1e-05,6.4e-05,6e-05,5.7e-05,5.9e-05,6.2e-05,5.7e-05,6.1e-05,6.7e-05,5.7e-05,5.5e-05,5.3e-05,6.1e-05,6.4e-05,5.8e-05,5.7e-05
86,4.4e-05,4.4e-05,4.5e-05,4.8e-05,4.7e-05,4.9e-05,4.6e-05,4.4e-05,4.9e-05,5.1e-05,5.1e-05,4.9e-05,5e-05,4.8e-05,4.7e-05,4.7e-05,5e-05,4.9e-05,5.1e-05,5.1e-05,5.3e-05,5.3e-05,5.2e-05,5e-05,4.7e-05,4.5e-05,4.9e-05,4.7e-05,5.1e-05,5e-05,5e-05,4.8e-05
87,6.3e-05,5.8e-05,5.9e-05,5.4e-05,5.8e-05,5.3e-05,5.8e-05,5.4e-05,5.2e-05,6.2e-05,5.8e-05,6e-05,6e-05,6.3e-05,5.7e-05,6.2e-05,5.4e-05,5.4e-05,5.3e-05,5.5e-05,5.3e-05,5.4e-05,6.5e-05,5.8e-05,5.7e-05,5.6e-05,5.6e-05,5.4e-05,6.2e-05,6.5e-05,5.8e-05,5.8e-05
88,5.6e-05,5.4e-05,5.5e-05,5.9e-05,5.8e-05,5.6e-05,5.8e-05,5.8e-05,6e-05,5.5e-05,6.5e-05,5.8e-05,5.5e-05,5e-05,5.8e-05,5.6e-05,5.5e-05,5.4e-05,5.6e-05,5.4e-05,5.7e-05,5.7e-05,5.8e-05,5.4e-05,5.9e-05,6.2e-05,6e-05,5.9e-05,5.3e-05,5.1e-05,5.5e-05,5.5e-05
89,8.2e-05,7.4e-05,7e-05,8.4e-05,6.8e-05,7.5e-05,8.5e-05,8.1e-05,8.4e-05,8.3e-05,7.4e-05,8e-05,7.3e-05,8.3e-05,8.3e-05,7.5e-05,7.3e-05,7.4e-05,8e-05,7.7e-05,7.3e-05,7.4e-05,6.6e-05,6.6e-05,7.7e-05,8.2e-05,8.1e-05,8.1e-05,8e-05,7.9e-05,7.2e-05,8e-05
90,6.3e-05,6.5e-05,6.7e-05,6.9e-05,6.5e-05,7.1e-05,7e-05,6.5e-05,6.9e-05,6.8e-05,6.9e-05,6.9e-05,6.6e-05,6.4e-05,6.6e-05,6.8e-05,7.4e-05,6.7e-05,6.7e-05,6.4e-05,6.6e-05,6.5e-05,7e-05,6.5e-05,6.1e-05,6e-05,6.4e-05,6e-05,6.2e-05,6e-05,6.4e-05,6.6e-05
91,5.4e-05,5.9e-05,5.5e-05,6.3e-05,5.8e-05,5.5e-05,5.7e-05,5.4e-05,5.4e-05,5.7e-05,5.5e-05,5.8e-05,5.7e-05,5.6e-05,6.2e-05,5.9e-05,5.6e-05,5.8e-05,5.8e-05,5.6e-05,5.7e-05,5.6e-05,6e-05,5.4e-05,5.2e-05,6.2e-05,5.6e-05,5.7e-05,5.5e-05,5.9e-05,5.4e-05,5.2e-05
92,5.3e-05,5.1e-05,4.8e-05,5.8e-05,5e-05,5.3e-05,5.5e-05,5.5e-05,5.5e-05,5.1e-05,4.4e-05,5e-05,5.6e-05,5.4e-05,4.9e-05,5.3e-05,5e-05,5e-05,5.4e-05,5.3e-05,5.3e-05,5e-05,5.9e-05,5.2e-05,5.6e-05,4.8e-05,5.8e-05,5e-05,5.9e-05,5.9e-05,5.1e-05,5e-05
93,6.5e-05,5.8e-05,5.9e-05,6.6e-05,6.8e-05,6.4e-05,6.9e-05,6.4e-05,5.9e-05,6.4e-05,6.5e-05,6.6e-05,6.7e-05,6.2e-05,7.1e-05,7.4e-05,5.7e-05,5.8e-05,5.9e-05,6e-05,5.7e-05,6.2e-05,6.2e-05,6.3e-05,5.8e-05,6.6e-05,6.5e-05,6.5e-05,6.4e-05,6.7e-05,6.1e-05,8.2e-05
94,6.4e-05,6.5e-05,6.6e-05,6.2e-05,6.1e-05,5.9e-05,6.8e-05,6.6e-05,7e-05,6.2e-05,7.4e-05,6e-05,6.6e-05,6.5e-05,7.3e-05,6.5e-05,6.3e-05,6.1e-05,6e-05,5.2e-05,5.8e-05,6.5e-05,6.6e-05,6.5e-05,6.5e-05,6.3e-05,6.2e-05,6.1e-05,6.4e-05,6.2e-05,6.5e-05,6.1e-05
95,8.3e-05,7.8e-05,7.6e-05,7.3e-05,7.8e-05,8.3e-05,7.3e-05,7.9e-05,8.3e-05,7.4e-05,7e-05,7.9e-05,7.6e-05,7.2e-05,7.8e-05,8.3e-05,6.9e-05,7.7e-05,6.5e-05,7.3e-05,9.5e-05,7.7e-05,8e-05,6.8e-05,7.1e-05,7.5e-05,8.2e-05,7.2e-05,7.8e-05,8.3e-05,7.2e-05,7.2e-05
96,6.1e-05,6e-05,6.8e-05,6.1e-05,5.8e-05,5.6e-05,6.3e-05,6.8e-05,5.7e-05,5.9e-05,6.5e-05,6.6e-05,5.9e-05,6.5e-05,6.6e-05,5.9e-05,6.6e-05,6.6e-05,6.7e-05,6.6e-05,6e-05,6.7e-05,6.3e-05,6.6e-05,5.1e-05,5.7e-05,5.6e-05,5.9e-05,5.5e-05,5e-05,7e-05,6.5e-05
97,6.2e-05,6.5e-05,6.3e-05,5.9e-05,6.5e-05,6.6e-05,5.9e-05,6.3e-05,5.6e-05,5.8e-05,6e-05,5.8e-05,5.7e-05,5.9e-05,6.4e-05,5.8e-05,6.1e-05,6.3e-05,6e-05,5.7e-05,6.1e-05,6.1e-05,6.1e-05,6e-05,5.6e-05,6.1e-05,6.2e-05,6.5e-05,6e-05,6.5e-05,6.4e-05,5.7e-05
98,5.5e-05,6.2e-05,6e-05,6e-05,5.7e-05,6.3e-05,5.3e-05,5.6e-05,6.2e-05,5.8e-05,5.7e-05,5.5e-05,5.9e-05,5.9e-05,5.9e-05,6.7e-05,5.4e-05,5.9e-05,5.6e-05,5e-05,5.7e-05,5e-05,5.6e-05,5.3e-05,5.7e-05,5.9e-05,5.6e-05,6e-05,6e-05,6.1e-05,5.6e-05,5.5e-05
99,6.4e-05,6.2e-05,5.5e-05,5.9e-05,5.6e-05,6.5e-05,6.3e-05,6.6e-05,6.1e-05,5.7e-05,5.7e-05,6.1e-05,6.8e-05,6.7e-05,5.6e-05,5.5e-05,5.4e-05,5.5e-05,6.8e-05,6.3e-05,5.7e-05,6.1e-05,5.7e-05,6e-05,5.8e-05,5.2e-05,6.3e-05,5.4e-05,6.2e-05,6.3e-05,5.9e-05,5.9e-05
100,6.8e-05,5.8e-05,6.2e-05,6.6e-05,6.8e-05,6.7e-05,6.5e-05,6.4e-05,6.4e-05,6.2e-05,6.2e-05,6.4e-05,5.8e-05,6.3e-05,6.5e-05,6e-05,5.7e-05,6e-05,5.7e-05,6.1e-05,6e-05,5.9e-05,6.3e-05,5.8e-05,6.5e-05,6.1e-05,6.3e-05,6.9e-05,5.9e-05,5.9e-05,6e-05,6.1e-05
101,6.5e-05,6.3e-05,6.6e-05,6.2e-05,6.3e-05,6.6e-05,6.5e-05,6.9e-05,6.8e-05,7.1e-05,6.5e-05,6.3e-05,6.4e-05,6.7e-05,6.9e-05,7e-05,6.8e-05,6.8e-05,7e-05,6.5e-05,8.9e-05,8.4e-05,7.2e-05,6.3e-05,6.1e-05,6.1e-05,6.4e-05,6.1e-05,6.7e-05,6.7e-05,6.3e-05,6.7e-05
102,5.7e-05,5.6e-05,5.5e-05,5.7e-05,5.6e-05,5.4e-05,5.6e-05,5.5e-05,5.6e-05,5.3e-05,5.6e-05,5.5e-05,5.5e-05,5.7e-05,5.4e-05,5.7e-05,5.5e-05,5.4e-05,5.5e-05,5.3e-05,5.6e-05,5.3e-05,5.4e-05,6.3e-05,4.8e-05,5.1e-05,4.5e-05,4.6e-05,5e-05,5.4e-05,5e-05,5.2e-05
103,5.2e-05,4.9e-05,5.6e-05,6.4e-05,5.8e-05,5.8e-05,6.3e-05,5.8e-05,6.2e-05,5.7e-05,5.5e-05,5.6e-05,5.9e-05,5.1e-05,5.1e-05,4.9e-05,5.8e-05,5.9e-05,5.7e-05,5.6e-05,5.5e-05,5.1e-05,5.3e-05,5.5e-05,6e-05,5.5e-05,6.2e-05,5.5e-05,6.3e-05,6.3e-05,5.1e-05,5.1e-05
104,6e-05,6e-05,6.4e-05,6.5e-05,7e-05,7e-05,7.6e-05,6.2e-05,5.4e-05,5.8e-05,6.2e-05,5.8e-05,6.5e-05,6.1e-05,6.6e-05,6.6e-05,6.3e-05,5.7e-05,6.1e-05,6e-05,5.9e-05,5.8e-05,6.3e-05,5.2e-05,5.8e-05,6.4e-05,6.4e-05,5.8e-05,6e-05,6.3e-05,6.1e-05,6.4e-05
105,6.2e-05,6e-05,6.1e-05,6e-05,5.7e-05,6.1e-05,5.7e-05,6.4e-05,6.4e-05,5.8e-05,6.2e-05,5.9e-05,6.8e-05,6.6e-05,6e-05,6e-05,5.1e-05,5.3e-05,6.7e-05,6.3e-05,6e-05,5.9e-05,6e-05,6.1e-05,6.1e-05,6e-05,6.4e-05,5.9e-05,6.4e-05,6.3e-05,5.7e-05,5.9e-05
106,7.8e-05,7.6e-05,6.9e-05,7.3e-05,7e-05,7.4e-05,7.1e-05,7.2e-05,7.1e-05,7.8e-05,6.8e-05,7.3e-05,6.8e-05,7.3e-05,8.1e-05,7.3e-05,6.5e-05,6.6e-05,6.2e-05,6.1e-05,6.9e-05,6.7e-05,6.9e-05,7.2e-05,7.1e-05,6.8e-05,7.7e-05,7.8e-05,6.9e-05,6.9e-05,7.5e-05,7.7e-05
107,5.9e-05,5.6e-05,5.9e-05,6.1e-05,5.5e-05,5.8e-05,6.1e-05,6.6e-05,6.9e-05,6.6e-05,6.4e-05,6.1e-05,6.1e-05,6.1e-05,6.2e-05,5.8e-05,7.2e-05,6.6e-05,7.5e-05,7e-05,7.6e-05,8.1e-05,7.2e-05,6.7e-05,6e-05,6.3e-05,5.6e-05,5.6e-05,6.5e-05,6.1e-05,6.4e-05,5.9e-05
108,5.9e-05,6.2e-05,5.9e-05,5.7e-05,5.9e-05,6e-05,5.8e-05,6e-05,6e-05,5.8e-05,5.6e-05,5.6e-05,6e-05,5.4e-05,5.9e-05,5.9e-05,5.5e-05,5.9e-05,5.5e-05,5.5e-05,5e-05,5e-05,5.5e-05,5.8e-05,5.1e-05,5.1e-05,4.9e-05,5e-05,5.2e-05,5.7e-05,5.6e-05,5.5e-05
109,5.6e-05,5.3e-05,5.7e-05,6.3e-05,6.2e-05,5.6e-05,6.4e-05,5.9e-05,5.5e-05,5.9e-05,5.5e-05,5.9e-05,5.5e-05,5.7e-05,5.6e-05,5.6e-05,6.1e-05,6e-05,5.9e-05,5.5e-05,5.4e-05,6e-05,5.6e-05,5.8e-05,6.1e-05,6.3e-05,5.9e-05,5.6e-05,6.3e-05,6.4e-05,5.6e-05,5.7e-05
110,6.7e-05,5.5e-05,6.4e-05,6.2e-05,7.3e-05,6.8e-05,6.8e-05,4.8e-05,5.8e-05,6e-05,6.3e-05,5.7e-05,6.1e-05,6.3e-05,5.8e-05,7.5e-05,5.5e-05,5.5e-05,5.6e-05,5.5e-05,5.6e-05,5.6e-05,6.1e-05,5.4e-05,6.5e-05,6e-05,6.2e-05,6e-05,6.4e-05,6.2e-05,5.2e-05,5.6e-05
111,6.4e-05,6.1e-05,5.7e-05,6.4e-05,5.4e-05,5.4e-05,6.4e-05,5.8e-05,6.9e-05,6.3e-05,5.9e-05,6.3e-05,6.3e-05,6.5e-05,6.6e-05,6.2e-05,6e-05,6.1e-05,6.8e-05,6.6e-05,6.5e-05,6.5e-05,6.5e-05,6.3e-05,6.1e-05,6.2e-05,5.9e-05,6.2e-05,7.5e-05,6.5e-05,6e-05,6.4e-05
112,6.4e-05,6.3e-05,6.6e-05,6.1e-05,6.8e-05,6.8e-05,6.3e-05,7e-05,6.5e-05,6.1e-05,6.4e-05,6.4e-05,6.1e-05,6.5e-05,6.1e-05,6.8e-05,6.6e-05,6.8e-05,6e-05,6e-05,6.8e-05,6.6e-05,7e-05,7.4e-05,6e-05,6.5e-05,6.8e-05,6.5e-05,7e-05,6.1e-05,7e-05,5.6e-05
113,5.8e-05,5.6e-05,6.2e-05,6.3e-05,5.8e-05,5.7e-05,5.9e-05,6e-05,6.1e-05,5.9e-05,6.4e-05,6.2e-05,5.3e-05,5.9e-05,6.3e-05,6.2e-05,5.7e-05,5.7e-05,5.4e-05,5.1e-05,5.5e-05,5.7e-05,5.3e-05,5.6e-05,5.2e-05,6.8e-05,5.7e-05,5.8e-05,5.9e-05,5.7e-05,6e-05,6.4e-05
114,5.1e-05,5.7e-05,5.8e-05,5.9e-05,5.8e-05,5.3e-05,6.1e-05,5.7e-05,5.7e-05,5.7e-05,5.6e-05,6e-05,5.9e-05,5.2e-05,5.6e-05,5.3e-05,6.1e-05,6.3e-05,6e-05,5.7e-05,5.6e-05,5.5e-05,5.7e-05,6e-05,5.4e-05,4.9e-05,5.2e-05,5.4e-05,5.1e-05,5.4e-05,5.6e-05,5.3e-05
115,6.7e-05,5.7e-05,6.7e-05,6e-05,6.1e-05,6.7e-05,6.7e-05,6.5e-05,6.4e-05,6.3e-05,5.7e-05,6.3e-05,5.9e-05,6.1e-05,5.8e-05,5.5e-05,6.8e-05,5.9e-05,5.8e-05,5.8e-05,5.6e-05,5.6e-05,6e-05,5.5e-05,6.5e-05,6.3e-05,5.9e-05,5.9e-05,6.2e-05,6.7e-05,6.3e-05,5.9e-05
116,5.5e-05,5.3e-05,4.4e-05,4.8e-05,5.4e-05,5.4e-05,4.7e-05,4.4e-05,5.1e-05,4.8e-05,5.4e-05,5.1e-05,5.3e-05,5.6e-05,5.4e-05,6.2e-05,5.5e-05,6.3e-05,6.3e-05,5.7e-05,5.7e-05,6.1e-05,5.4e-05,5.8e-05,5.5e-05,5.5e-05,5.5e-05,5.4e-05,5.7e-05,5.8e-05,5.3e-05,5.4e-05
