avg_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
19,7.2e-05,9.6e-05,9.6e-05,0.000114,8e-05,6e-05,4.6e-05,5.8e-05,4.6e-05,4.3e-05,5.3e-05,5.7e-05,4.8e-05,5.5e-05,8.2e-05,6e-05,3.7e-05,4.4e-05,4.1e-05,4.2e-05,4e-05,3.6e-05,4.1e-05,4.1e-05,6e-05,5.6e-05,7.4e-05,9.5e-05,6.5e-05,6.9e-05,6.8e-05,5.9e-05
20,4.5e-05,4.5e-05,4.4e-05,4.7e-05,8.9e-05,7.3e-05,5e-05,5.5e-05,3.7e-05,3.9e-05,6.7e-05,7.9e-05,3.7e-05,4.5e-05,6.1e-05,0.000101,5.3e-05,4.6e-05,4.9e-05,3.8e-05,4.4e-05,6.1e-05,4.8e-05,5.6e-05,4.4e-05,4e-05,4.1e-05,3e-05,4.1e-05,4.1e-05,5.4e-05,4.7e-05
21,5.3e-05,5e-05,5.3e-05,4.2e-05,7e-05,8.8e-05,6.5e-05,6.7e-05,8.6e-05,7.7e-05,0.000131,8.9e-05,5.3e-05,3.2e-05,6e-05,5e-05,6.9e-05,4e-05,8.1e-05,5.3e-05,5.7e-05,5e-05,4.2e-05,0.000101,7.5e-05,5.2e-05,5.1e-05,5.4e-05,4.5e-05,4.1e-05,5.4e-05,4.7e-05
22,3.8e-05,5.1e-05,4.4e-05,3.4e-05,4.7e-05,3.8e-05,3.9e-05,4.4e-05,8.5e-05,4.9e-05,4.3e-05,4.8e-05,6.8e-05,7.8e-05,0.000259,4.6e-05,7.9e-05,9.9e-05,6.6e-05,0.000126,3.4e-05,8.4e-05,5.9e-05,5.2e-05,3.9e-05,4.2e-05,4.6e-05,4.4e-05,5.8e-05,4.8e-05,4.7e-05,4.2e-05
23,4.6e-05,5.6e-05,4.3e-05,3.8e-05,3.7e-05,4.4e-05,3.7e-05,4.2e-05,3.5e-05,5.3e-05,4.7e-05,4.5e-05,5e-05,5.9e-05,4.5e-05,4.5e-05,5.3e-05,0.000667,5.1e-05,5.4e-05,6.5e-05,7.9e-05,9.3e-05,6.3e-05,4.6e-05,5.2e-05,5.7e-05,5.1e-05,8.8e-05,8.9e-05,3.7e-05,3.4e-05
24,4.6e-05,5.1e-05,0.000206,0.0001,7.4e-05,4.9e-05,5.7e-05,7.9e-05,3.6e-05,5.3e-05,3.9e-05,5.7e-05,4.3e-05,4.4e-05,4.9e-05,4.8e-05,5.4e-05,7e-05,4.5e-05,6.2e-05,6e-05,8.2e-05,5.9e-05,6.3e-05,9.2e-05,0.00013,5.2e-05,6.5e-05,5.1e-05,5.4e-05,6.5e-05,6e-05
25,8.4e-05,7.9e-05,5.3e-05,6.6e-05,4.5e-05,4.5e-05,5.4e-05,5.3e-05,3.7e-05,4.3e-05,3.6e-05,3.9e-05,4.7e-05,6.9e-05,9.8e-05,4.5e-05,4e-05,5.3e-05,4e-05,3.8e-05,4.4e-05,3.9e-05,3.3e-05,4.8e-05,7.3e-05,5.5e-05,5.2e-05,5.2e-05,4.6e-05,4.9e-05,9.7e-05,8.3e-05
26,4.8e-05,4e-05,4.6e-05,8e-05,6.4e-05,0.000363,6.5e-05,5.7e-05,5.3e-05,4.8e-05,9e-05,0.000106,4.5e-05,5.9e-05,8.9e-05,0.000122,3.4e-05,5.5e-05,3.7e-05,4.5e-05,3.5e-05,5.2e-05,6.1e-05,4.4e-05,4.7e-05,5.3e-05,6.9e-05,5.4e-05,4.7e-05,4.3e-05,5.3e-05,4.8e-05
27,4.4e-05,6.4e-05,5.8e-05,5.6e-05,8.2e-05,5.6e-05,7.4e-05,9.8e-05,9.7e-05,0.000149,5.6e-05,6.5e-05,4.6e-05,3.7e-05,4.3e-05,4.9e-05,8e-05,6.3e-05,4.2e-05,4.5e-05,7.8e-05,5.3e-05,5.6e-05,4.9e-05,5e-05,3.6e-05,8.7e-05,4.1e-05,4e-05,3.8e-05,4.1e-05,3.4e-05
28,5.7e-05,4.8e-05,5.6e-05,4.2e-05,4.2e-05,4.3e-05,5.7e-05,3.9e-05,5e-05,4.7e-05,4.4e-05,3.8e-05,0.000106,6.7e-05,3.8e-05,0.000419,0.000107,7.1e-05,7.1e-05,6.6e-05,4.7e-05,4.8e-05,4.9e-05,6e-05,4.7e-05,6.3e-05,4e-05,3.7e-05,8.3e-05,6.3e-05,5.3e-05,4.7e-05
29,4e-05,9.2e-05,8.3e-05,8.3e-05,4.3e-05,3.8e-05,4.8e-05,3.7e-05,4.3e-05,4.9e-05,4.3e-05,6.1e-05,5.3e-05,7.4e-05,4.9e-05,5.3e-05,4.4e-05,5.4e-05,4.9e-05,6.6e-05,6e-05,6.6e-05,0.000109,0.000211,5e-05,4.6e-05,5.1e-05,4.5e-05,5.2e-05,5.9e-05,3.7e-05,4e-05
30,5.3e-05,6e-05,6.7e-05,6e-05,6.6e-05,4.3e-05,4.2e-05,5.6e-05,4.1e-05,4.9e-05,5.3e-05,4.7e-05,4.5e-05,4.3e-05,4.6e-05,5e-05,4.3e-05,7e-05,4.6e-05,4.8e-05,4.7e-05,5.7e-05,4.5e-05,6e-05,7.8e-05,9.4e-05,6.7e-05,8.1e-05,3.9e-05,5e-05,0.00054,9.2e-05
31,5.8e-05,6.6e-05,3.5e-05,5.5e-05,4.5e-05,4.1e-05,5.5e-05,4.2e-05,3.8e-05,4.2e-05,0.00011,6.4e-05,3.5e-05,6.8e-05,6.9e-05,7.1e-05,3.6e-05,4.1e-05,4.2e-05,4.2e-05,3.8e-05,6.1e-05,6.1e-05,4e-05,7.6e-05,6.5e-05,4.7e-05,5.8e-05,5.9e-05,8.6e-05,0.00014,7.4e-05
32,6.4e-05,6e-05,4.9e-05,4e-05,0.000141,7e-05,8.5e-05,5.9e-05,6.3e-05,6.7e-05,9.6e-05,9e-05,5.5e-05,5.1e-05,0.000107,8.7e-05,5.5e-05,3.7e-05,7e-05,4.4e-05,5.7e-05,3.4e-05,3.6e-05,4.7e-05,3.8e-05,3.7e-05,4.7e-05,4.6e-05,4.3e-05,4.2e-05,4.3e-05,4.7e-05
33,5.2e-05,5.8e-05,6.1e-05,6.2e-05,7.6e-05,9.8e-05,7.6e-05,7.3e-05,6.5e-05,0.000154,6e-05,6.9e-05,4.4e-05,7.9e-05,7e-05,3.9e-05,6.6e-05,9.9e-05,5.9e-05,5e-05,5.8e-05,4.9e-05,4.7e-05,7.6e-05,5.2e-05,5.6e-05,5.1e-05,4.3e-05,4.7e-05,4.1e-05,5.4e-05,3.9e-05
34,5e-05,4.8e-05,5.4e-05,5.1e-05,4.2e-05,4.9e-05,5.3e-05,3.8e-05,4.1e-05,4.8e-05,5.6e-05,5.1e-05,8e-05,0.000116,5.1e-05,4.6e-05,7.5e-05,9e-05,8.2e-05,7.8e-05,5.5e-05,5e-05,6.3e-05,5.9e-05,3.3e-05,4.3e-05,4.2e-05,4.9e-05,0.00012,8.1e-05,3.6e-05,4.7e-05
35,4.1e-05,4.1e-05,0.0001,0.000124,4.2e-05,4.2e-05,3.7e-05,4.2e-05,4.8e-05,4.6e-05,4.5e-05,3.7e-05,4.5e-05,3.8e-05,4e-05,4e-05,4.6e-05,6.6e-05,4.8e-05,4.7e-05,7.8e-05,7.4e-05,8e-05,0.000232,3.9e-05,5.2e-05,4.9e-05,5e-05,5.2e-05,5.5e-05,3.5e-05,3.8e-05
36,4.1e-05,4.6e-05,7.8e-05,5.4e-05,3.8e-05,5.4e-05,4.6e-05,4.6e-05,5.1e-05,3.9e-05,3.8e-05,3.6e-05,3.7e-05,4.8e-05,4.4e-05,4.1e-05,4.8e-05,4.3e-05,5.3e-05,5.1e-05,5.1e-05,5.5e-05,4.8e-05,4.7e-05,9.1e-05,8.2e-05,7.4e-05,7.5e-05,4.9e-05,0.000118,8.1e-05,9.8e-05
37,7.5e-05,7.2e-05,7.9e-05,4.4e-05,4.3e-05,3.5e-05,4.6e-05,3.7e-05,4.9e-05,4.4e-05,0.000121,0.000117,6.2e-05,5.3e-05,8.5e-05,7e-05,2.6e-05,5.4e-05,4.4e-05,5.2e-05,5.3e-05,8.9e-05,4.2e-05,3.8e-05,6.2e-05,6.7e-05,5.6e-05,6.3e-05,0.000257,6e-05,7.4e-05,0.000103
38,4.8e-05,4.7e-05,4.3e-05,5e-05,8.6e-05,0.0001,5.8e-05,8e-05,6.3e-05,7.1e-05,5.5e-05,5.6e-05,2.6e-05,3.7e-05,9.4e-05,5.8e-05,3.4e-05,3.9e-05,4.1e-05,4.3e-05,4.1e-05,5.7e-05,4.3e-05,4.2e-05,4.5e-05,4.1e-05,4.3e-05,5.1e-05,4.6e-05,4.9e-05,5.2e-05,4.5e-05
39,5.3e-05,3.8e-05,4.8e-05,5e-05,6.6e-05,7.5e-05,6.1e-05,6e-05,9.1e-05,8.4e-05,4.4e-05,4e-05,4.2e-05,6.1e-05,0.000144,3.8e-05,4.1e-05,4.2e-05,4.2e-05,4.1e-05,6.2e-05,4.4e-05,3.5e-05,4.6e-05,5.6e-05,6.1e-05,3.6e-05,4.1e-05,4.2e-05,5.1e-05,3.8e-05,3.4e-05
40,4.4e-05,6.4e-05,0.000104,8.6e-05,3.9e-05,4.3e-05,3.8e-05,4.3e-05,4.6e-05,6.3e-05,4.3e-05,3.7e-05,8.4e-05,7.1e-05,4.1e-05,5.2e-05,6.5e-05,7.1e-05,8.4e-05,7.3e-05,7.6e-05,4.1e-05,4.7e-05,5.3e-05,3.6e-05,4.7e-05,6.9e-05,7.4e-05,7.3e-05,9e-05,4.3e-05,5.2e-05
41,8e-05,4.7e-05,0.000142,0.000103,0.000107,4.6e-05,5.5e-05,4.5e-05,8.7e-05,4.8e-05,0.00014,4.9e-05,4.1e-05,6.6e-05,3.8e-05,4.7e-05,7.9e-05,5e-05,5.6e-05,3.8e-05,7e-05,6.1e-05,7e-05,8.4e-05,5.7e-05,6.5e-05,6.6e-05,4.9e-05,3.4e-05,3.9e-05,3.2e-05,3.2e-05
42,4.9e-05,4.1e-05,4e-05,4.7e-05,4.9e-05,5.4e-05,3.9e-05,4.1e-05,4.6e-05,7.1e-05,6.7e-05,0.0006,4.6e-05,5e-05,4.9e-05,5.7e-05,6.7e-05,6.4e-05,6e-05,4.7e-05,7.3e-05,7.4e-05,6.6e-05,5.1e-05,6.2e-05,9.4e-05,7.5e-05,8.9e-05,6.7e-05,5e-05,9.3e-05,0.000149
43,9.6e-05,5.1e-05,4e-05,3.4e-05,3.7e-05,4.6e-05,4.6e-05,3.8e-05,4.5e-05,4.4e-05,4.9e-05,7e-05,5.7e-05,5.7e-05,5.2e-05,6e-05,4.9e-05,4.4e-05,5e-05,4.5e-05,5.9e-05,7e-05,4.1e-05,4.3e-05,5.5e-05,5.4e-05,5.8e-05,8.7e-05,5.8e-05,4.6e-05,6.9e-05,0.0002
44,5.2e-05,9.9e-05,4.1e-05,5.5e-05,9.3e-05,9.1e-05,8.2e-05,7.4e-05,4.7e-05,6.6e-05,4.2e-05,4.4e-05,4.1e-05,5.7e-05,5.9e-05,7.2e-05,4.4e-05,4.6e-05,5.1e-05,4.5e-05,3.5e-05,3.2e-05,4e-05,3.6e-05,4.9e-05,4.8e-05,4.1e-05,5.2e-05,3.5e-05,6.2e-05,3.9e-05,4.6e-05
45,4.5e-05,4.4e-05,7.1e-05,4.2e-05,6.8e-05,7.3e-05,7.3e-05,6.2e-05,8.6e-05,6.3e-05,5e-05,5e-05,5.2e-05,6.6e-05,5.1e-05,4.5e-05,8.3e-05,0.000101,5e-05,4.3e-05,4.5e-05,4.9e-05,5.2e-05,3.9e-05,4.8e-05,4.4e-05,4.4e-05,3.9e-05,4.9e-05,4.2e-05,4.4e-05,4e-05
46,3.9e-05,4.2e-05,7.5e-05,0.000141,4e-05,4.7e-05,3.8e-05,4.6e-05,4.2e-05,4.8e-05,6.2e-05,4.6e-05,6.7e-05,7.7e-05,5.7e-05,5.2e-05,7.5e-05,7.4e-05,6.8e-05,9e-05,6.1e-05,5e-05,6.7e-05,5.4e-05,4e-05,5.1e-05,4.1e-05,4.1e-05,6.4e-05,8.5e-05,3.7e-05,3.7e-05
47,3.8e-05,5.8e-05,4.9e-05,4.2e-05,6e-05,5e-05,5.2e-05,3.6e-05,4.5e-05,4.6e-05,4.7e-05,4.2e-05,3.8e-05,4.8e-05,4.6e-05,4.6e-05,4.1e-05,5.5e-05,4.8e-05,4.7e-05,6.2e-05,7.1e-05,7.2e-05,6.6e-05,0.000684,7.9e-05,4.6e-05,5e-05,4.4e-05,5.8e-05,4e-05,4.2e-05
48,4.7e-05,4.1e-05,3.6e-05,3.9e-05,4.4e-05,4.4e-05,4.3e-05,3.7e-05,3.5e-05,3.9e-05,8.3e-05,0.000117,3.8e-05,3e-05,3e-05,3.4e-05,3.9e-05,4.9e-05,5.6e-05,3.7e-05,3.6e-05,4.6e-05,4e-05,4.9e-05,6.8e-05,4.2e-05,5.1e-05,8.1e-05,4.5e-05,7.7e-05,9.8e-05,5.7e-05
49,0.000109,0.000103,9.5e-05,4.1e-05,5.1e-05,4.6e-05,4.5e-05,4.6e-05,4.5e-05,4.3e-05,5e-05,3.9e-05,0.000107,3.6e-05,9.2e-05,8.2e-05,3.9e-05,4.6e-05,7.5e-05,4.4e-05,4.2e-05,4.6e-05,4.2e-05,3.7e-05,3.8e-05,5e-05,8.2e-05,7.5e-05,4.8e-05,4.4e-05,5.7e-05,6.2e-05
50,7.1e-05,7.4e-05,5.3e-05,6.8e-05,8.5e-05,8.8e-05,7.7e-05,5.4e-05,0.000106,8.1e-05,4.3e-05,5.5e-05,4.9e-05,5.2e-05,7.9e-05,7.6e-05,5.3e-05,4.9e-05,5.4e-05,5.1e-05,5.6e-05,4.7e-05,5.5e-05,4.4e-05,4.2e-05,4.8e-05,3.6e-05,4.2e-05,6.4e-05,4.7e-05,3.9e-05,4.6e-05
51,3.5e-05,4.4e-05,5.4e-05,4.6e-05,9.2e-05,5.5e-05,8.7e-05,8.1e-05,7.1e-05,7.3e-05,4.6e-05,4.2e-05,5e-05,5e-05,4.8e-05,4.5e-05,7.4e-05,6.5e-05,3.8e-05,4.4e-05,4.2e-05,4.4e-05,3.2e-05,5.7e-05,4.7e-05,4.9e-05,4.6e-05,4.3e-05,5.5e-05,5.5e-05,5e-05,3.4e-05
52,4.3e-05,4e-05,7.4e-05,5.8e-05,4.6e-05,3.8e-05,4.5e-05,4.4e-05,3.9e-05,4.2e-05,4.4e-05,4.3e-05,6.7e-05,0.000139,4.4e-05,4.4e-05,6.9e-05,7.7e-05,5.8e-05,6.9e-05,4.5e-05,4.5e-05,0.00017,6.4e-05,5.6e-05,7.2e-05,4.5e-05,4.1e-05,6.8e-05,6.6e-05,4.3e-05,3.7e-05
53,3.2e-05,4e-05,3.6e-05,4.1e-05,4.5e-05,6.1e-05,3.9e-05,4.6e-05,4e-05,5.6e-05,0.000127,7.9e-05,4.1e-05,3.6e-05,4.2e-05,5.8e-05,4.3e-05,4.1e-05,5e-05,4.8e-05,6.3e-05,7.4e-05,6.5e-05,6.9e-05,8.7e-05,8.8e-05,9.4e-05,3.6e-05,0.00031,5.9e-05,0.000284,4.2e-05
54,7.1e-05,0.000104,3.9e-05,4.9e-05,4.2e-05,5e-05,4.6e-05,4.5e-05,6.4e-05,6.8e-05,0.0001,0.000149,4.3e-05,4.2e-05,5.1e-05,4.3e-05,4.7e-05,5e-05,4.4e-05,4.5e-05,4.6e-05,5.5e-05,5.6e-05,4e-05,4.6e-05,6e-05,8.4e-05,7.3e-05,5.6e-05,5e-05,6.3e-05,6.5e-05
55,6.5e-05,6.8e-05,4.2e-05,4.9e-05,3.5e-05,4.2e-05,4.8e-05,4.1e-05,3.9e-05,4.8e-05,5.7e-05,4.7e-05,3.6e-05,5.9e-05,0.000114,7.4e-05,3.9e-05,4.5e-05,4.3e-05,5e-05,5.2e-05,5e-05,5.5e-05,3.3e-05,0.000101,4.8e-05,3.4e-05,7.2e-05,5e-05,0.000103,7.2e-05,7.6e-05
56,4.6e-05,4.9e-05,5.1e-05,0.000358,0.000102,9.6e-05,0.000139,0.000145,0.000107,0.000101,4.7e-05,4.2e-05,3.9e-05,6.2e-05,6e-05,4.3e-05,4.2e-05,5.2e-05,3.5e-05,6.8e-05,4.6e-05,5.5e-05,5.1e-05,4.3e-05,4.9e-05,5.6e-05,5.1e-05,7.4e-05,5.5e-05,4.8e-05,5.3e-05,4.5e-05
57,5e-05,5.6e-05,9.5e-05,0.000144,6.1e-05,6e-05,6.4e-05,5.6e-05,6.2e-05,7.2e-05,4.7e-05,4.8e-05,4.1e-05,5.7e-05,5.9e-05,4.5e-05,6.7e-05,8e-05,6.1e-05,0.000231,5.5e-05,4.6e-05,4.4e-05,4.8e-05,4.9e-05,6.1e-05,6e-05,4.8e-05,4.7e-05,4.5e-05,4.5e-05,5.3e-05
58,3.3e-05,4.1e-05,4.4e-05,4.7e-05,4.3e-05,3.6e-05,3.9e-05,3.6e-05,3.3e-05,2.8e-05,3.2e-05,3.8e-05,6.3e-05,7e-05,4.1e-05,3.5e-05,0.000207,8.3e-05,7.4e-05,5.8e-05,5.4e-05,4.5e-05,8.7e-05,8.3e-05,5.2e-05,7.2e-05,3.5e-05,3.3e-05,6.2e-05,5.3e-05,3.2e-05,3.1e-05
