op_w_in_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
169,1389666304,1520476160,1474117632,1360650240,1385357312,1541902336,1440006144,1387155456,1408847872,1519935488,1430011904,1467727872,1399926784,1485877248,1419141120,1471184896,1445867520,1436704768,1458737152,1430310912,1382662144,1425522688,1452953600,1409171456,1497247744,1441030144,1495089152,1506435072,1403682816,1404891136,1612861440,1441394688
170,1396965376,1530052608,1481474048,1368940544,1393991680,1551429632,1447694336,1395773440,1415806976,1529077760,1438416896,1477488640,1408774144,1493442560,1427251200,1480237056,1455435776,1445638144,1467768832,1439178752,1390497792,1433165824,1460543488,1417232384,1507557376,1451261952,1505591296,1515057152,1413173248,1414979584,1625092096,1451278336
171,1402130432,1535385600,1486770176,1373478912,1398652928,1556725760,1452597248,1400664064,1420640256,1534332928,1443282944,1482739712,1413414912,1498619904,1432006656,1485217792,1462706176,1453010944,1475108864,1446502400,1398800384,1441746944,1469566976,1424994304,1512669184,1456074752,1510342656,1519968256,1418039296,1419776000,1630486528,1456218112
172,1414328320,1549094912,1499656192,1384595456,1411153920,1568337920,1463885824,1411674112,1432584192,1547177984,1455669248,1495080960,1425092608,1511612416,1444548608,1497161728,1468051456,1458417664,1480916992,1452969984,1404448768,1447776256,1475059712,1430175744,1524723712,1467228160,1522135040,1531777024,1428848640,1430806528,1642881024,1467441152
173,1422381056,1557536768,1508265984,1393446912,1418637312,1578835968,1473331200,1420963840,1440890880,1556611072,1463345152,1504047104,1433669632,1520115712,1452613632,1506619392,1481474048,1471639552,1493880832,1465479168,1416089600,1459462144,1487831040,1442996224,1534398464,1476317184,1532170240,1541718016,1438478336,1439481856,1654222848,1476747264
174,1428246528,1563840512,1514254336,1399144448,1424158720,1585360896,1479655424,1427345408,1446641664,1562996736,1469255680,1510072320,1439461376,1526022144,1458405376,1512861696,1488355328,1478635520,1502056448,1472851968,1423400960,1468166144,1495572480,1450328064,1541136384,1482129408,1538535424,1547767808,1444442112,1446297600,1660649472,1482829824
175,1436971008,1572347904,1522757632,1406935040,1432510464,1594122240,1487810560,1435242496,1454342144,1571770368,1477472256,1518592000,1447620608,1534742528,1467047936,1521258496,1494286336,1484668928,1508073472,1479118848,1429446656,1473609728,1501589504,1455972352,1549160448,1490386944,1547173888,1556574208,1452277760,1453924352,1669873664,1491243008
176,1444368384,1580646400,1530843136,1414680576,1439903744,1602342912,1495900160,1442996224,1462575104,1580544000,1485369344,1526349824,1455398912,1543278592,1474228224,1529204736,1502855168,1493008384,1516462080,1487310848,1437253632,1481887744,1510092800,1464524800,1557630976,1497743360,1554935808,1565241344,1459417088,1461317632,1678946304,1498509312
177,1453338624,1590136832,1539604480,1422594048,1448226816,1611583488,1505210368,1451257856,1471377408,1591103488,1494212608,1535766528,1463480320,1551716352,1483505664,1539026944,1511137280,1500864512,1524613120,1495130112,1445212160,1490264064,1517740032,1471864832,1566097408,1505808384,1563684864,1573412864,1467265024,1469722624,1687859200,1506787328
178,1463525376,1602224128,1550372864,1432104960,1457954816,1622663168,1514962944,1461440512,1481834496,1601536000,1505312768,1547407360,1474105344,1563475968,1493860352,1548574720,1523388416,1512017920,1535692800,1507696640,1453576192,1499299840,1527267328,1481785344,1578053632,1516908544,1575780352,1584934912,1478262784,1479733248,1700564992,1517142016
179,1470717952,1610211328,1557463040,1439752192,1466105856,1630715904,1523220480,1469693952,1488977920,1608892416,1512124416,1554829312,1480732672,1570750464,1499963392,1557196800,1531138048,1520787456,1544355840,1514622976,1463496704,1509797888,1537048576,1490444288,1585356800,1524568064,1582284800,1592147968,1484853248,1486684160,1708724224,1524523008
180,1478967296,1619902464,1566310400,1447161856,1473830912,1639841792,1531621376,1477574656,1497624576,1617592320,1519673344,1562808320,1488695296,1579012096,1508655104,1565331456,1538514944,1528422400,1552064512,1522335744,1471148032,1517412352,1544605696,1498603520,1594769408,1533480960,1591156736,1601552384,1493413888,1495474176,1718165504,1533841408
181,1487757312,1629638656,1575841792,1456418816,1482649600,1650245632,1541091328,1485783040,1506398208,1627226112,1529327616,1572327424,1497939968,1589137408,1517318144,1575354368,1547575296,1536442368,1561001984,1530441728,1478811648,1525870592,1554120704,1507250176,1604734976,1542737920,1601204224,1612529664,1503092736,1504346112,1729945600,1543028736
182,1499422720,1641746432,1587052544,1466929152,1493159936,1663344640,1551892480,1496526848,1517297664,1640194048,1539784704,1582841856,1507991552,1599397888,1529344000,1588150272,1556541440,1545875456,1569615872,1539203072,1487704064,1534517248,1562673152,1515999232,1615454208,1553399808,1611788288,1622794240,1513230336,1514856448,1741778944,1553051648
183,1507934208,1650135040,1596547072,1475420160,1502498816,1671749632,1560989696,1504710656,1525760000,1648984064,1548607488,1593319424,1517613056,1609183232,1537429504,1595752448,1568100352,1557925888,1581891584,1550807040,1499258880,1545158656,1573179392,1526005760,1625554944,1562447872,1622872064,1633255424,1523118080,1524117504,1751523328,1563144192
184,1515237376,1658400768,1603854336,1483235328,1509773312,1680363520,1569046528,1512083456,1533685760,1656877056,1556897792,1600892928,1525497856,1617899520,1544622080,1603665920,1577230336,1565728768,1590390784,1559474176,1507377152,1554931712,1583693824,1535979520,1633771520,1570312192,1630330880,1641185280,1530191872,1531809792,1761239040,1571373056
185,1525096448,1666527232,1611247616,1489981440,1516601344,1687781376,1577967616,1519673344,1540206592,1664245760,1563291648,1608187904,1531514880,1624211456,1550884864,1610543104,1584308224,1573736448,1597722624,1567051776,1515290624,1561976832,1591201792,1543208960,1640804352,1576337408,1638264832,1647435776,1536978944,1537904640,1768292352,1577549824
186,1529671680,1674027008,1618878464,1496842240,1523453952,1695653888,1583656960,1526394880,1548242944,1672638464,1571282944,1616162816,1539493888,1632907264,1559277568,1619251200,1592832000,1581891584,1605812224,1576423424,1523638272,1570230272,1600507904,1550491648,1648852992,1585205248,1645625344,1657380864,1544503296,1545883648,1777221632,1586020352
187,1540583424,1684971520,1629687808,1506865152,1533370368,1707233280,1594490880,1536647168,1557622784,1683308544,1581047808,1627021312,1549864960,1643835392,1569591296,1629802496,1598631936,1588678656,1613369344,1581731840,1529962496,1576566784,1606410240,1558233088,1660784640,1595265024,1656786944,1668132864,1555013632,1555681280,1788452864,1595867136
188,1550069760,1696055296,1638752256,1515831296,1542070272,1717010432,1605554176,1548210176,1567715328,1693376512,1591476224,1636110336,1559040000,1653469184,1579139072,1639329792,1609310208,1599516672,1623969792,1592242176,1540251648,1586823168,1617580032,1568198656,1670651904,1605230592,1667231744,1679921152,1564819456,1564798976,1799671808,1605337088
189,1558323200,1705562112,1648906240,1524957184,1551294464,1727082496,1613565952,1554960384,1576517632,1704161280,1600749568,1646088192,1569333248,1664000000,1588260864,1648934912,1618907136,1609068544,1633472512,1602441216,1549553664,1596071936,1626951680,1576943616,1680826368,1615294464,1676759040,1688928256,1574928384,1574559744,1810452480,1614639104
190,1566048256,1714102272,1657307136,1533161472,1559048192,1735573504,1621090304,1563066368,1583374336,1712205824,1608142848,1654628352,1576910848,1671405568,1595510784,1656954880,1628655616,1618669568,1642737664,1610936320,1558687744,1606221824,1636425728,1585475584,1689198592,1623474176,1684774912,1696882688,1582350336,1582956544,1818632192,1622544384
191,1573617664,1722302464,1665024000,1540096000,1566867456,1743863808,1629126656,1570361344,1590833152,1720156160,1616297984,1662324736,1584758784,1679831040,1603387392,1664991232,1636876288,1626095616,1651433472,1619427328,1566253056,1613795328,1644347392,1593901056,1696948224,1631199232,1692704768,1704812544,1589985280,1590456320,1827938304,1630482432
192,1581785088,1731674112,1673920512,1548464128,1575751680,1753661440,1638133760,1578684416,1599963136,1729785856,1624621056,1671692288,1593286656,1689079808,1612402688,1673715712,1644822528,1634312192,1659326464,1627201536,1573875712,1621696512,1652101120,1601548288,1706500096,1640071168,1702572032,1714069504,1598533632,1599070208,1838321664,1639723008
193,1591664640,1743089664,1685237760,1559113728,1586188288,1765056512,1648332800,1589473280,1610489856,1741348864,1634721792,1682599936,1603895296,1699471360,1622310912,1685041152,1654140928,1643106304,1668493312,1635766272,1582686208,1630302208,1661841408,1610039296,1717243904,1650933760,1713553408,1725693952,1609043968,1609592832,1850376192,1650356224
194,1602252800,1753694208,1697382400,1570480128,1595838464,1776869376,1660456960,1598902272,1620996096,1752621056,1645178880,1694187520,1614544896,1710415872,1632698368,1695907840,1664753664,1653448704,1679458304,1646075904,1592999936,1640976384,1672785920,1620606976,1729216512,1661399040,1724743680,1737428992,1621360640,1619865600,1862934528,1659604992
195,1609728000,1761869824,1703534592,1576869888,1603194880,1783951360,1666433024,1607000064,1627951104,1759535104,1652285440,1700966400,1621135360,1718079488,1639981056,1704026112,1677180928,1663860736,1690034176,1657729024,1603923968,1651597312,1683005440,1631150080,1735876608,1668366336,1731973120,1744773120,1627435008,1627332608,1870024704,1667997696
196,1617801216,1770541056,1712496640,1584295936,1611956224,1793302528,1675255808,1614712832,1636876288,1768951808,1661276160,1710096384,1629720576,1727234048,1648738304,1712881664,1683419136,1671221248,1697247232,1663741952,1610551296,1658769408,1690894336,1638703104,1745235968,1677393920,1741389824,1753726976,1635749888,1636044800,1880395776,1676611584
197,1625411584,1780219904,1720512512,1592496128,1619976192,1802059776,1683734528,1623035904,1644752896,1778262016,1669668864,1718005760,1637474304,1735270400,1657401344,1721520128,1692262400,1679409152,1705947136,1672278016,1618690048,1666994176,1699139584,1647091712,1753886720,1685684224,1750097920,1762541568,1644040192,1644183552,1889746944,1685987328
198,1633775616,1788530688,1729187840,1599635456,1627365376,1810747392,1690664960,1630703616,1652998144,1786695680,1678188544,1726562304,1646067712,1744347136,1665384448,1729994752,1700974592,1688047616,1714135040,1680961536,1626697728,1675821056,1707569152,1655906304,1763000320,1694179328,1758748672,1771397120,1652383744,1651970048,1899356160,1693569024
199,1643266048,1798377472,1739345920,1609052160,1636720640,1821458432,1700691968,1640116224,1662537728,1797005312,1687670784,1735970816,1655099392,1753714688,1675444224,1739644928,1709027328,1696210944,1722048512,1689083904,1634779136,1683333120,1716228096,1663823872,1772941312,1703100416,1768259584,1780764672,1661915136,1661300736,1909821440,1702543360
200,1651154944,1806798848,1747730432,1618386944,1644191744,1830223872,1708572672,1647079424,1670557696,1807642624,1694699520,1745760256,1663983616,1762107392,1684017152,1749303296,1718714368,1705603072,1732288512,1697882112,1644486656,1692217344,1725308928,1673084928,1780662272,1711345664,1775677440,1790341120,1669648384,1667932160,1918836736,1710235648
201,1657159680,1813319680,1754644480,1622958080,1650774016,1836736512,1714839552,1653567488,1676656640,1812152320,1701376000,1750519808,1670254592,1768648704,1689268224,1754284032,1727463424,1714495488,1739915264,1705795584,1652404224,1700483072,1732710400,1681035264,1788018688,1717661696,1783316480,1796714496,1675436032,1674752000,1925718016,1717317632
202,1664376832,1820819456,1761660928,1630138368,1657872384,1844867072,1722458112,1660530688,1683849216,1819975680,1709248512,1758638080,1677877248,1776021504,1696522240,1762676736,1733197824,1720332288,1746767872,1712644096,1657892864,1707479040,1740292096,1687248896,1795518464,1725321216,1790971904,1804300288,1682829312,1682087936,1934446592,1724878848
203,1673805824,1830871040,1772838912,1638793216,1666899968,1855021056,1732091904,1669574656,1693745152,1831264256,1718616064,1768472576,1687490560,1786265600,1706934272,1772081152,1740734464,1727815680,1754521600,1720139776,1665142784,1714769920,1747886080,1694408704,1805795328,1736204288,1800929280,1813934080,1692196864,1691136000,1945219072,1733677056
204,1682935808,1840467968,1781174272,1648074752,1675980800,1865060352,1741549568,1678671872,1703206912,1839849472,1727713280,1778798592,1696100352,1795903488,1715744768,1781485568,1751441408,1738145792,1764425728,1730514944,1674661888,1723912192,1757749248,1703055360,1815351296,1744478208,1810870272,1824940032,1701527552,1700540416,1955950592,1743896576
205,1691557888,1848811520,1789923328,1655025664,1684054016,1874677760,1749700608,1685487616,1711456256,1848692736,1735344128,1786347520,1703796736,1804255232,1723736064,1788944384,1760452608,1747492864,1774092288,1739079680,1684045824,1733537792,1767522304,1713549312,1822666752,1751240704,1817735168,1831563264,1707696128,1707208704,1963520000,1750605824
206,1698951168,1858502656,1799548928,1663598592,1692078080,1883111424,1758040064,1694162944,1720045568,1858797568,1744556032,1796558848,1711800320,1813553152,1731514368,1798893568,1768357888,1754722304,1781661696,1746440192,1690873856,1740500992,1774538752,1720303616,1831612416,1759379456,1826820096,1840279552,1715568640,1715023872,1972310016,1759158272
207,1705148416,1865011200,1805012992,1669287936,1698197504,1889632256,1764593664,1700352000,1726181376,1864654848,1751232512,1802317824,1718562816,1819557888,1737920512,1804644352,1776001024,1762541568,1790005248,1754607616,1698570240,1748545536,1783848960,1728667648,1839013888,1767178240,1834233856,1848205312,1723224064,1722970112,1981046784,1766391808
208,1712820224,1874722816,1813676032,1677524992,1707401216,1898450944,1772859392,1707937792,1733808128,1874477056,1760210944,1812496384,1727115264,1827475456,1746423808,1812885504,1783422976,1769943040,1797308416,1762463744,1705660416,1756770304,1790324736,1735307264,1848213504,1775755264,1843331072,1856507904,1731133440,1730105344,1989943296,1774309376
209,1723060224,1884807168,1825800192,1688662016,1716584448,1909456896,1783042048,1717854208,1744404480,1885073408,1769570304,1822265344,1736372224,1839370240,1757032448,1824694272,1791426560,1777700864,1806086144,1770844160,1713393664,1765089280,1798189056,1742860288,1859264512,1786224640,1853181952,1866563584,1740537856,1740267520,2001784832,1784295424
210,1731407872,1894744064,1835167744,1695985664,1723805696,1920413696,1791885312,1727361024,1755381760,1895227392,1779589120,1831387136,1748885504,1851318272,1767329792,1834598400,1802100736,1788653568,1815322624,1781354496,1723412480,1775714304,1808379904,1753092096,1867485184,1794600960,1862402048,1876443136,1749532672,1748848640,2011058176,1793052672
211,1739464704,1904300032,1843359744,1704759296,1732050944,1929207808,1801302016,1735491584,1762004992,1902919680,1787269120,1840009216,1754554368,1857474560,1773723648,1842556928,1811197952,1797529600,1825017856,1790296064,1732427776,1783566336,1818050560,1762086912,1877200896,1803493376,1872588800,1886769152,1757999104,1758167040,2022223872,1802555392
212,1748164608,1913421824,1851486208,1712386048,1741537280,1937227776,1808494592,1743319040,1770577920,1912057856,1797033984,1848897536,1762803712,1865904128,1783537664,1851133952,1819652096,1806176256,1834872832,1799340032,1740644352,1791926272,1827500032,1770868736,1885573120,1810972672,1881100288,1893793792,1767337984,1765343232,2030870528,1811001344
213,1755095040,1920389120,1858191360,1719431168,1747759104,1946132480,1816018944,1749884928,1777725440,1920315392,1804050432,1856888832,1770319872,1874071552,1789947904,1859244032,1827745792,1815773184,1842651136,1806274560,1747849216,1801007104,1834180608,1778798592,1893523456,1819054080,1888239616,1902415872,1773568000,1773916160,2038423552,1817559040
214,1762942976,1929363456,1867128832,1726570496,1755987968,1955180544,1825193984,1758613504,1786646528,1928822784,1812062208,1865519104,1778552832,1882464256,1798737920,1868009472,1834864640,1821192192,1850216448,1814061056,1756012544,1807544320,1841934336,1786064896,1901277184,1825988608,1895944192,1909866496,1780408320,1780285440,2046705664,1825030144
215,1772838912,1940197376,1877917696,1736118272,1765609472,1966850048,1834577920,1767567360,1796063232,1940078592,1822973952,1876176896,1789202432,1894379520,1808424960,1878659072,1842327552,1828806656,1857425408,1821401088,1762611200,1814401024,1849618432,1793617920,1912664064,1837674496,1906921472,1921388544,1791676416,1791115264,2058809344,1835503616
216,1780867072,1951469568,1887375360,1745637376,1775214592,1975631872,1844121600,1776640000,1805746176,1949933568,1832972288,1886629888,1798701056,1902796800,1817944064,1888206848,1853620224,1839472640,1868427264,1832243200,1773559808,1826230272,1860665344,1805127680,1921757184,1845112832,1915346944,1930313728,1798905856,1798430720,2067529728,1843187712
217,1790177280,1959968768,1897529344,1753862144,1783619584,1985527808,1852968960,1785610240,1813995520,1958141952,1840390144,1894326272,1806319616,1911951360,1825570816,1896267776,1861619712,1847734272,1876176896,1839992832,1780899840,1833328640,1868570624,1812697088,1931857920,1855844352,1927688192,1939701760,1809387520,1809514496,2078195712,1853083648
218,1797832704,1968381952,1904947200,1760878592,1791000576,1994145792,1860431872,1793482752,1822031872,1967054848,1848680448,1902809088,1814790144,1920962560,1833721856,1905123328,1871196160,1856991232,1886785536,1848918016,1789575168,1843523584,1878040576,1821061120,1941131264,1864384512,1934716928,1948770304,1818091520,1816293376,2089218048,1862684672
219,1805811712,1977094144,1912377344,1768943616,1798365184,2002386944,1868447744,1800871936,1829326848,1975181312,1856180224,1910870016,1822724096,1928552448,1841999872,1913077760,1880993792,1866416128,1895026688,1858048000,1798418432,1851539456,1887318016,1830408192,1948971008,1871077376,1941958656,1957359616,1824960512,1824186368,2096852992,1869557760
220,1816072192,1987649536,1922789376,1778356224,1808384000,2013876224,1878753280,1809854464,1840406528,1985912832,1866944512,1923280896,1832513536,1939480576,1853546496,1924505600,1887199232,1872977920,1902833664,1865367552,1805070336,1858113536,1894727680,1836224512,1959686144,1881931776,1952882688,1967304704,1835589632,1833365504,2108616704,1879822336
221,1828040704,2000330752,1935167488,1789698048,1820057600,2027081728,1890091008,1822097408,1850736640,1998204928,1877626880,1933148160,1843306496,1951813632,1862557696,1934749696,1899114496,1883709440,1913581568,1875574784,1815728128,1868083200,1905590272,1847291904,1971810304,1893531648,1966964736,1980157952,1846390784,1844457472,2121375744,1892413440
222,1834008576,2007879680,1942609920,1796481024,1826471936,2034872320,1897975808,1828392960,1857306624,2005360640,1883934720,1940242432,1850159104,1958645760,1869225984,1941770240,1910898688,1895870464,1924161536,1885581312,1826144256,1878650880,1917276160,1858068480,1979478016,1901576192,1973362688,1987919872,1854541824,1851699200,2130206720,1899253760
223,1843490816,2018836480,1952563200,1806045184,1834299392,2045607936,1905922048,1835843584,1867014144,2015461376,1893474304,1950453760,1859502080,1968521216,1879433216,1952018432,1918271488,1902731264,1932832768,1894252544,1833799680,1886957568,1924706304,1865744384,1987620864,1908961280,1981509632,1995702272,1862545408,1859092480,2140897280,1908891648
224,1848999936,2024165376,1957593088,1810558976,1840381952,2050600960,1912610816,1842401280,1872560128,2021470208,1899589632,1956110336,1864929280,1974337536,1884921856,1957666816,1924599808,1909452800,1938976768,1900785664,1840492544,1893302272,1931190272,1871233024,1994493952,1916395520,1988567040,2003861504,1869324288,1866407936,2147381248,1914482688
225,1855168512,2030354432,1963675648,1817047040,1846886400,2058170368,1919176704,1848807424,1879031808,2029084672,1906393088,1962041344,1871560704,1981444096,1892470784,1965240320,1934032896,1918484480,1948254208,1910050816,1848897536,1902575616,1940959232,1880580096,2000875520,1922605056,1995358208,2010259456,1875181568,1872150528,2154512384,1920835584
226,1866182656,2042646528,1975382016,1827573760,1858445312,2070368256,1930584064,1859788800,1890975744,2042593280,1918054400,1974083584,1882923008,1993232384,1904910336,1977544704,1939673088,1924169728,1954070528,1915871232,1854287872,1908125696,1946554368,1886355456,2012774400,1934983168,2008006656,2022842368,1886781440,1883910144,2167513088,1932894208
227,1876598784,2053566464,1986908160,1837522944,1869586432,2081492992,1941336064,1869611008,1900519424,2052124672,1927917568,1984872448,1893249024,2003603456,1913737216,1987522560,1951899648,1936355328,1966276608,1926578176,1865883648,1918664704,1957302272,1896357888,2024730624,1946374144,2020093952,2033922048,1897623552,1894518784,2179153920,1943580672
228,1883770880,2061434880,1993400320,1844678656,1875742720,2089689088,1948446720,1877381120,1908715520,2061721600,1935286272,1992155136,1900449792,2012622848,1921708032,1996656640,1959985152,1944743936,1975017472,1936195584,1873608704,1928650752,1967706112,1907494912,2033106944,1953914880,2027225088,2042273792,1904623616,1902129152,2188603392,1951260672
229,1891250176,2070286336,2002591744,1852624896,1884336128,2099154944,1957445632,1885700096,1915817984,2068504576,1943199744,2000437248,1908256768,2020175872,1928503296,2003369984,1968840704,1953468416,1983385600,1944637440,1882255360,1936138240,1975742464,1914126336,2041655296,1961947136,2035867648,2051170304,1912582144,1910444032,2198421504,1959702528
230,1899347968,2078765056,2010390528,1860276224,1891901440,2107707392,1965912064,1893773312,1923731456,2076659712,1951539200,2008350720,1915617280,2028318720,1936613376,2011262976,1977200640,1962176512,1992052736,1953075200,1890578432,1944768512,1984122880,1922420736,2049732608,1970032640,2043674624,2059796480,1920942080,1918279680,2206662656,1967316992
231,1907539968,2087723008,2019061760,1868079104,1900064768,2116608000,1974161408,1901408256,1931239424,2085326848,1958608896,2016989184,1923682304,2036887552,1944412160,2019016704,1983766528,1968021504,1998757888,1959505920,1896202240,1950998528,1990811648,1928544256,2058039296,1978122240,2052780032,2068045824,1928486912,1925910528,2215870464,1976414208
232,1917644800,2098229248,2029191168,1877131264,1909936128,2127433728,1984483328,1911312384,1941581824,2095992832,1969426432,2028318720,1933987840,2048225280,1954824192,2029785088,1994027008,1978286080,2009251840,1969262592,1905332224,1961054208,2001297408,1937952768,2068770816,1989533696,2063568896,2079154176,1939214336,1936093184,2227408896,1986383872
233,1924161536,2105516032,2036068352,1883492352,1916104704,2134646784,1990955008,1917747200,1949274112,2103783424,1977614336,2035683328,1941237760,2056425472,1962778624,2037944320,2003419136,1989079040,2020319232,1979756544,1915150336,1970212864,2010587136,1949114368,2076356608,1996222464,2071064576,2086776832,1945620480,1943265280,2235400192,1993506816
234,1930719232,2112315392,2042871808,1889861632,1922584576,2141741056,1997479936,1924386816,1955262464,2110582784,1982906368,2041798656,1946738688,2062729216,1968353280,2044096512,2010570752,1994907648,2026442752,1986813952,1922031616,1977888768,2017906688,1955119104,2083651584,2003140608,2077974528,2093674496,1952120832,1949736960,2243321856,2000650240
235,1937993728,2120519680,2051158016,1897123840,1929932800,2149822464,2005241856,1932070912,1962582016,2117861376,1990381568,2049556480,1954148352,2070212608,1975304192,2050789376,2018504704,2002296832,2034561024,1994559488,1929535488,1985675264,2025582592,1962553344,2091380736,2010963968,2086289408,2101735424,1959702528,1957318656,2251935744,2008178688
236,1947594752,2128941056,2060951552,1906958336,1938964480,2158100480,2013999104,1939582976,1974427648,2128613376,2000699392,2060247040,1965842432,2080120832,1985302528,2061594624,2025246720,2008866816,2040827904,2001227776,1936056320,1992269824,2031931392,1968762880,2099744768,2019655680,2095230976,2110435328,1967661056,1965166592,2261245952,2016481280
237,1957380096,2140041216,2070835200,1915609088,1948336128,2170613760,2024325120,1949872128,1982775296,2139684864,2010521600,2070933504,1974243328,2091352064,1995780096,2072096768,2034225152,2017734656,2049540096,2009702400,1944539136,2000703488,2040786944,1977217024,2111860736,2029576192,2106052608,2122379264,1976934400,1975398400,2273300480,2026889216
238,1964408832,2148847616,2078703616,1922551808,1956380672,2178695168,2032496640,1958875136,1989734400,2147164160,2017931264,2078330880,1981145088,2099064832,2003214336,2079768576,2045046784,2029268992,2061320192,2021662720,1955569664,2011406336,2052091904,1988976640,2119790592,2038288384,2114420736,2130808832,1985703936,1983574016,2283065344,2035453952
239,1970831360,2156068864,2086162432,1929060352,1962594304,2185904128,2039451648,1965076480,1998032896,2156093440,2026160128,2087022592,1989607424,2108030976,2011738112,2088189952,2054823936,2038456320,2070081536,2031157248,1964666880,2020638720,2061541376,1997746176,2127806464,2044928000,2121564160,2137608192,1992069120,1990135808,2291748864,2042306560
240,1980039168,2166317056,2095419392,1938198528,1972191232,2194800640,2048016384,1973571584,2005655552,2164473856,2033778688,2094649344,1996804096,2115432448,2019127296,2095591424,2061209600,2044850176,2076762112,2037596160,1970651136,2026983424,2068107264,2003951616,2136915968,2054836224,2132029440,2146762752,2000453632,1999347712,2300452864,2050719744
241,1987915776,2172948480,2102063104,1944702976,1978445824,2203148288,2055340032,1981124608,2015776768,2176057344,2043998208,2104569856,2006933504,2126143488,2029039616,2106564608,2069143552,2052694016,2084720640,2044997632,1977647104,2034966528,2075463680,2011430912,2143694848,2060677120,2138300416,2154717184,2007851008,2005991424,2308517888,2057748480
242,1997635584,2187665408,2113527808,1957335040,1989537792,2214400000,2066968576,1992732672,2027565056,2187239424,2055016448,2117279744,2020487168,2140258304,2043117568,2119012352,2077114368,2060849152,2093219840,2053623808,1985957888,2042003456,2084048896,2019221504,2154868736,2072272896,2149597184,2167345152,2018525184,2016239616,2320900096,2069630976
243,2009034752,2197106688,2125590528,1967230976,2000375808,2227924992,2079023104,2002939904,2036027392,2197655552,2064269312,2126446592,2027622400,2147422208,2049671168,2127294464,2088546304,2072924160,2104758272,2064625664,1996173312,2052595712,2095382528,2029699072,2167316480,2083926016,2162532352,2178949120,2030092288,2028109824,2334216192,2080763904
244,2016546816,2205540352,2133401600,1974022144,2008010752,2235752448,2087006208,2010660864,2044207104,2206494720,2072895488,2135207936,2036068352,2156032000,2057879552,2136494080,2101915648,2085482496,2117292032,2077577216,2008924160,2065764352,2108878848,2043092992,2175762432,2092679168,2170974208,2187227136,2038071296,2036117504,2343124992,2088763392
245,2025844736,2215022592,2142748672,1983324160,2016751616,2244890624,2095706112,2019405824,2052587520,2216562688,2080960512,2143698944,2045779968,2164850688,2066034688,2144485376,2109550592,2093170688,2125402112,2085502976,2016661504,2073321472,2116362240,2050170880,2185773056,2102300672,2179534848,2196074496,2046722048,2044841984,2352709632,2098003968
246,2031972352,2223554560,2149969920,1989767168,2023211008,2254843904,2103873536,2026196992,2060210176,2224259072,2089164800,2152349696,2052145152,2173259776,2074169344,2152886272,2119241728,2101915648,2135031808,2094604288,2024644608,2082201600,2124992512,2059517952,2193342464,2108813312,2187272192,2203947008,2054983680,2052845568,2361446400,2105868288
247,2038837248,2230317056,2156683264,1995542528,2029862912,2260754432,2110550016,2032615424,2070319104,2234155008,2099851264,2162675712,2061520896,2182733824,2084065280,2163740672,2127990784,2109812736,2143264768,2102677504,2033856512,2089570304,2133843968,2066690048,2200092672,2115715072,2194759680,2210922496,2061225984,2058809344,2369015808,2112278528
248,2051440640,2244239360,2169978880,2007597056,2042105856,2274533376,2123116544,2044563456,2082193408,2248925184,2110697472,2174279680,2073833472,2194313216,2097164288,2177110016,2134278144,2116820992,2149568512,2109083648,2039341056,2096435200,2140704768,2073862144,2213367808,2129129472,2208370688,2224988160,2073145344,2071916544,2383364096,2125168640
249,2062188544,2254782464,2180423680,2017394688,2052313088,2285191168,2133700608,2055999488,2089316352,2255114240,2118905856,2182459392,2081054720,2203725824,2105040896,2184052736,2147086336,2129879040,2162573312,2122072064,2052046848,2108739584,2154520576,2086232064,2224492544,2139684864,2219044864,2235527168,2083307520,2081492992,2395176960,2136276992
250,2068635648,2262478848,2187964416,2024615936,2059161600,2292617216,2140655616,2063028224,2096513024,2263138304,2125430784,2190290944,2088292352,2211565568,2111004672,2191388672,2158317568,2140516352,2173775872,2132754432,2062249984,2119380992,2165436416,2096869376,2231738368,2147217408,2226425856,2243182592,2090012672,2088562688,2403450880,2143109120
