op_w_in_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
37,295985152,320958464,312029184,288272384,295616512,324243456,302899200,293203968,297066496,321675264,300486656,309694464,293629952,314068992,298229760,309497856,307589120,303448064,307363840,304472064,292651008,302931968,307236864,299917312,317067264,305352704,314015744,319889408,296148992,298270720,342085632,305201152
38,302567424,331128832,319422464,295587840,302678016,332791808,310489088,299655168,304427008,329068544,308551680,317300736,300830720,321589248,305377280,316698624,314183680,310763520,314015744,311046144,298758144,309731328,314286080,306085888,325550080,312262656,321875968,327221248,304197632,305401856,350003200,312840192
39,311013376,338247680,327622656,301506560,309448704,340119552,317997056,308322304,311611392,337289216,315912192,325017600,308817920,329629696,312901632,324702208,322805760,318783488,322424832,319574016,306827264,318529536,323448832,314621952,333709312,320344064,329052160,336568320,310845440,312512512,358633472,320344064
40,321445888,350031872,339488768,312164352,320512000,353017856,329768960,318992384,323485696,350867456,328183808,337666048,320835584,342163456,325197824,336748544,335507456,330985472,335089664,332148736,318525440,330272768,335532032,326361088,345280512,331771904,341381120,347992064,322244608,324374528,371634176,332386304
41,330641408,360062976,349290496,321826816,329936896,363454464,339427328,327299072,333406208,359829504,337920000,346890240,329703424,351510528,334327808,346664960,345362432,340475904,344973312,341864448,328069120,339423232,345853952,336281600,355139584,341749760,351023104,357650432,331902976,334376960,382664704,341864448
42,339419136,370454528,359124992,330371072,339292160,372748288,348872704,336609280,341643264,369315840,346894336,356732928,338726912,360194048,343498752,355696640,354910208,350113792,354729984,350756864,336187392,348327936,355135488,345034752,365076480,350068736,361402368,366903296,340889600,343326720,392441856,351830016
43,345481216,377597952,365998080,337797120,346316800,380235776,355344384,343146496,349147136,376938496,353964032,363933696,345239552,367595520,350093312,364277760,361545728,357777408,361369600,358068224,343449600,357351424,362131456,352325632,372453376,358572032,369221632,375627776,347918336,350478336,400748544,358371328
44,355430400,387850240,377208832,345772032,354586624,390250496,366063616,352731136,358498304,389435392,363331584,373702656,354775040,376766464,360194048,372924416,371826688,367472640,373305344,367431680,352923648,365387776,371367936,362246144,382173184,367345664,378281984,385167360,358227968,359985152,410988544,367517696
45,363696128,397099008,385630208,354549760,363429888,399880192,374247424,361168896,366157824,396767232,372260864,382369792,363372544,386887680,368689152,382582784,380780544,375607296,380342272,376885248,361664512,374456320,380911616,369840128,390705152,376381440,387313664,394178560,365522944,368287744,421396480,376725504
46,372051968,406196224,394211328,362950656,371859456,409595904,382758912,370184192,375111680,406437888,381104128,391892992,371884032,395984896,377274368,391843840,389734400,384339968,389353472,385536000,369750016,382984192,389586944,378871808,399544320,385146880,396296192,403394560,373936128,376619008,430927872,385523712
47,381616128,416149504,404381696,371851264,380338176,418881536,391708672,378712064,384266240,415776768,389849088,400248832,380522496,405348352,385953792,400666624,398356480,393449472,398675968,395448320,379064320,391856128,399073280,387440640,409440256,394698752,406573056,412971008,382554112,385818624,440475648,394194944
48,387846144,423059456,411111424,377679872,386772992,426749952,399020032,385429504,391102464,423120896,397058048,408170496,387268608,412553216,392957952,408051712,405757952,400973824,405921792,402354176,385830912,399142912,405897216,394452992,415801344,401514496,413380608,419917824,389459968,392232960,448724992,401313792
49,394244096,429572096,418377728,384688128,393355264,433647616,405651456,391327744,396849152,429117440,403099648,414244864,393211904,418549760,398864384,414400512,411877376,407134208,411701248,408080384,391565312,404807680,412413952,400539648,422436864,407859200,419557376,425906176,395649024,397963264,455598080,407269376
50,403083264,439492608,426778624,392695808,401756160,442961920,413790208,399859712,406593536,439320576,413396992,424243200,403816448,428027904,408760320,423759872,421875712,416104448,422158336,417009664,400650240,414973952,422412288,408985600,432222208,417853440,429064192,435900416,404213760,407015424,465108992,415903744
51,414269440,449728512,436191232,401596416,412573696,452792320,424501248,408850432,415453184,448446464,421621760,433061888,411602944,437264384,417800192,434028544,431611904,425435136,430321664,426438656,409772032,424157184,431038464,418463744,442118144,428036096,438534144,445419520,413130752,415744000,475914240,427139072
52,421937152,460492800,446717952,411287552,420958208,463933440,434905088,419233792,424808448,459456512,432078848,444248064,421650432,448180224,427552768,444235776,441556992,436609024,441782272,436768768,420241408,434601984,441393152,429207552,451854336,436502528,449732608,456044544,423522304,425623552,487460864,436199424
53,430292992,469073920,455385088,419164160,428990464,472846336,442699776,426819584,433512448,468451328,440332288,452251648,430309376,456896512,435879936,452841472,450125824,444346368,450465792,445603840,428023808,442753024,449957888,436813824,460754944,445497344,458723328,464834560,431484928,433905664,496873472,445173760
54,437415936,476786688,463499264,426004480,436019200,480616448,449732608,433799168,440852480,476176384,446799872,459849728,438083584,464322560,443027456,460275712,457363456,452333568,458067968,452554752,434700288,449929216,457916416,444063744,468639744,452304896,466468864,472457216,438628352,441188352,504717312,452612096
55,446078976,486199296,472883200,435200000,445542400,490917888,459300864,443576320,451002368,486387712,456863744,469704704,447213568,473387008,452349952,469716992,467415040,461430784,466784256,462766080,444309504,459841536,467345408,453025792,478785536,462344192,477646848,482115584,447696896,449986560,514924544,462102528
56,455237632,495988736,482193408,443314176,454488064,500576256,467787776,451825664,459833344,496594944,465797120,479936512,456007680,483672064,462127104,479997952,476622848,471162880,477110272,471126016,452423680,468627456,476839936,462032896,489168896,471805952,487231488,493031424,457228288,459026432,526192640,470614016
57,462942208,505987072,490999808,451928064,462127104,508506112,476856320,460410880,467845120,503820288,473518080,488046592,463634432,492003328,469487616,487309312,485888000,479821824,485048320,480268288,460943360,477777920,484986880,470122496,496996352,479412224,495382528,500424704,464564224,466821120,534355968,478470144
58,469438464,512929792,498253824,458399744,468914176,516534272,484249600,466960384,475119616,512319488,481030144,496197632,471584768,499970048,477417472,495579136,491892736,486473728,493080576,487301120,467808256,484245504,493244416,478048256,505245696,487034880,503287808,508641280,472338432,474722304,543928320,486862848
59,476295168,520105984,506376192,464826368,475586560,523816960,491544576,473559040,482299904,519823360,488280064,503255040,478703616,507559936,484376576,502849536,499433472,493858816,500756480,494497792,475066368,491061248,500822016,485265408,513224704,494432256,511369216,515854336,479309824,481980416,551845888,493895680
60,483930112,528199680,513916928,472317952,483233792,532701184,499507200,481394688,489951232,527835136,496619520,511119360,486649856,515579904,492412928,510910464,507105280,502120448,508624896,502824960,482615296,498565120,508968960,492855296,521179136,502104064,518856704,523530240,486948864,489705472,560885760,501407744
61,493268992,537939968,525299712,481296384,493203456,543096832,508469248,490876928,499421184,539160576,506667008,520814592,496693248,525414400,502087680,521273344,516714496,512327680,520441856,512176128,491220992,508047360,518418432,501960704,532848640,511770624,529375232,533901312,496812032,499822592,571011072,510525440
62,502439936,548597760,534167552,490860544,501788672,553951232,518082560,499666944,509345792,548597760,515706880,531365888,506159104,536330240,511455232,531238912,526925824,522047488,528994304,522887168,501288960,517586944,528715776,512061440,541544448,521695232,540008448,544206848,506318848,508825600,582705152,521154560
63,512438272,556830720,542457856,498655232,509628416,562216960,526049280,507625472,517586944,557117440,523378688,539062272,513200128,544047104,519467008,539119616,534851584,529928192,537272320,530456576,508895232,525598720,536809472,519647232,548925440,529031168,548413440,553164800,514023424,516575232,591245312,528691200
64,518930432,566747136,551440384,506490880,518164480,571973632,534945792,516321280,525418496,566218752,532783104,549253120,522657792,554074112,527626240,548491264,544034816,539025408,546287616,539631616,517890048,534515712,545988608,528646144,558632960,538337280,557379584,561881088,522956800,525406208,602300416,537681920
65,525692928,574418944,558415872,513433600,524824576,579375104,542076928,523288576,532197376,573730816,540016640,556462080,529448960,561614848,534712320,555593728,551452672,545886208,554024960,546463744,524939264,541786112,553435136,535670784,566050816,545382400,564502528,569327616,530292736,532353024,610349056,545095680
66,534286336,583634944,568225792,521728000,533028864,588947456,550572032,531562496,541044736,582791168,548790272,565219328,538161152,570720256,544006144,564715520,560504832,554582016,563884032,555208704,533983232,550338560,562573312,544722944,575320064,553988096,574062592,578375680,538849280,540897280,619925504,554106880
67,544911360,596938752,579547136,531476480,542814208,600694784,561410048,541585408,551350272,594767872,558927872,575537152,547880960,582021120,554201088,575512576,571199488,565071872,575168512,565497856,542949376,562053120,572297216,556175360,586043392,564273152,584077312,589590528,550879232,552235008,631054336,563212288
68,552828928,603766784,587165696,539709440,551272448,609570816,569716736,549777408,559628288,603082752,567808000,584634368,556535808,590905344,562966528,584466432,579809280,574627840,582647808,574726144,552349696,569835520,581279744,563437568,595546112,574029824,593571840,598794240,557633536,559517696,641036288,573177856
69,561467392,613572608,597082112,548528128,559984640,618803200,578539520,558710784,567918592,611946496,576114688,592994304,565166080,600064000,571314176,593321984,588947456,584179712,591929344,583659520,560951296,578510848,590151680,571912192,604209152,582795264,602996736,607870976,565968896,568242176,650756096,582545408
70,569049088,621867008,604340224,556179456,567996416,627691520,586997760,566747136,576749568,620920832,584454144,601944064,573063168,608161792,579239936,601436160,597057536,591982592,600104960,590999552,568446976,587231232,598249472,580562944,612802560,591147008,611409920,616906752,573784064,576569344,659812352,590393344
71,575234048,628875264,610881536,562413568,574291968,635039744,593842176,573341696,583274496,627564544,590807040,608399360,579338240,614928384,585793536,608206848,603734016,598487040,606842880,597766144,575131648,594096128,604762112,586936320,619966464,597835776,618536960,623747072,580083712,582844416,667025408,596938752
72,583700480,637542400,619732992,570724352,581951488,643461120,603013120,581033984,591835136,636870656,599429120,616538112,587939840,623341568,593874944,616583168,612159488,606642176,614998016,606117888,583016448,601780224,613265408,595054592,629121024,605712384,626941952,632229888,588247040,590635008,676036608,605380608
73,594264064,649646080,630538240,581365760,592994304,655917056,612872192,591056896,602705920,649019392,610529280,627752960,598646784,635146240,605257728,627912704,623345664,617947136,626438144,616996864,593674240,612794368,624209920,606289920,640139264,616669184,639098880,643555328,599011328,601743360,688820224,616062976
74,605143040,660819968,641306624,591499264,603561984,667213824,623898624,601817088,613269504,660770816,621465600,638480384,609337344,646160384,615899136,638795776,634363904,628854784,637710336,627920896,604663808,623366144,635793408,617013248,652042240,628088832,650289152,654753792,610009088,611516416,700649472,626937856
75,614395904,670715904,650788864,600891392,613064704,677281792,633335808,610803712,622075904,670474240,631103488,648749056,618229760,656363520,624836608,648179712,643035136,638541824,646934528,637054976,613376000,632905728,645074944,626446336,661921792,637415424,659304448,665001984,619180032,620777472,710447104,635850752
76,620367872,677752832,657170432,607113216,619364352,684060672,639668224,616914944,628244480,677720064,637599744,655130624,624484352,663289856,631304192,655151104,649805824,644743168,653721600,643280896,619536384,639131648,651816960,632627200,668246016,643547136,666017792,671105024,625340416,627064832,717807616,642334720
77,628367360,685764608,665821184,614158336,626810880,693403648,647786496,624742400,636059648,685948928,646164480,663027712,632033280,670818304,639361024,663162880,657375232,652951552,662130688,651051008,627490816,647434240,659574784,640380928,676282368,652054528,674455552,680144896,633090048,634793984,726781952,650342400
78,637657088,696070144,675184640,623136768,635756544,703352832,657440768,633810944,645251072,696311808,655634432,673300480,641355776,681164800,648773632,673185792,667127808,661741568,671670272,660381696,636407808,656547840,669835264,649613312,686575616,661311488,684347392,689422336,642936832,644259840,738091008,659775488
79,649019392,707817472,686915584,634540032,645513216,715853824,667033600,645095424,655888384,707547136,667594752,683798528,651251712,692174848,659083264,685879296,676782080,671453184,681938944,669868032,645595136,666980352,679124992,659070976,698089472,671469568,696381440,701149184,652906496,654147584,750608384,669212672
