kbactive,ceph01,ceph02,ceph03,ceph04
356,58831392.0,57993924.0,58832072.0,58752600.0
357,58843280.0,57970024.0,58844760.0,58809608.0
358,58914388.0,58062512.0,58901876.0,59013996.0
359,58991072.0,58182204.0,59006516.0,59140444.0
360,59050020.0,58296500.0,59069152.0,59127144.0
361,59092456.0,58296768.0,59124108.0,59096840.0
362,59127884.0,58338280.0,59166340.0,59131740.0
363,59134800.0,58324120.0,59209480.0,59159700.0
364,59317356.0,58472748.0,59433288.0,59381508.0
365,59483092.0,58627288.0,59588356.0,59616852.0
366,59494540.0,58652064.0,59582736.0,59640172.0
367,59487096.0,58614096.0,59514068.0,59550744.0
368,59509292.0,58646408.0,59507132.0,59506668.0
369,59584332.0,58671376.0,59539004.0,59522472.0
370,59611408.0,58707900.0,59607424.0,59599884.0
371,59659164.0,58810272.0,59685676.0,59751268.0
372,59693988.0,58848604.0,59718852.0,59808532.0
373,59668652.0,58873016.0,59707768.0,59735360.0
374,59694628.0,58876332.0,59722884.0,59757608.0
375,59758204.0,59002400.0,59785432.0,59865376.0
376,59820312.0,59089144.0,59862936.0,59891308.0
377,59858848.0,59135616.0,59899040.0,59978648.0
378,59933736.0,59188576.0,59944468.0,60039744.0
379,59919520.0,59148940.0,59965592.0,60027500.0
380,59920324.0,59144072.0,59974216.0,59984332.0
381,60022120.0,59280372.0,60129272.0,60121036.0
382,60134016.0,59384268.0,60231032.0,60195408.0
383,60218676.0,59470736.0,60311136.0,60299768.0
384,60190300.0,59457328.0,60282156.0,60264188.0
385,60227756.0,59425524.0,60302400.0,60250180.0
386,60286940.0,59475104.0,60419968.0,60306848.0
387,60412452.0,59596836.0,60534428.0,60419968.0
388,60712228.0,59809860.0,60740884.0,60584784.0
389,60825744.0,59971404.0,60856764.0,60778932.0
390,60761624.0,59927044.0,60785004.0,60808812.0
391,60721536.0,59914032.0,60764572.0,60832036.0
392,60737356.0,59860688.0,60769424.0,60761940.0
393,60777388.0,59948508.0,60827412.0,60806672.0
394,60846896.0,60067772.0,60888712.0,60850972.0
395,60891752.0,60126108.0,60924572.0,60913984.0
396,60854592.0,60042484.0,60908828.0,60865340.0
397,60934628.0,60091252.0,60964240.0,60942284.0
398,60960196.0,60201904.0,60991952.0,60957392.0
399,60993104.0,60254232.0,61020500.0,60945600.0
