op_rw_prepare_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
261,0,4e-05,5.3e-05,5.6e-05,0,4.1e-05,5.1e-05,6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5e-05,6.8e-05,4.9e-05,8.8e-05,6.1e-05,5.7e-05,6.9e-05,4.9e-05
262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-05,3.9e-05,5.7e-05,7.1e-05,6.4e-05,0,4.9e-05,6.6e-05,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,6.5e-05,6.1e-05,6.3e-05,4.8e-05,0,3.9e-05,5.1e-05,6.7e-05,5.2e-05,5.4e-05,4.6e-05,0,5.6e-05,4.6e-05,0,5.9e-05,0,0,0,0,0,0,0,0,4.7e-05,4.8e-05,4.6e-05,5.5e-05,5.2e-05,5.3e-05,6.6e-05,4.9e-05
266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-05,4.8e-05,5.4e-05,0,0,0,5.4e-05,5e-05,0,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-05,6e-05,7e-05,0,5.5e-05,7.8e-05,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,6.4e-05,3.3e-05,5e-05,5.1e-05,0,5.5e-05,4.4e-05,5.6e-05,5.5e-05,8.4e-05,6.7e-05,0,5e-05,3.4e-05,0,4.6e-05,0,0,0,0,0,0,0,0,4.7e-05,5.5e-05,4.6e-05,5.7e-05,6.5e-05,7.8e-05,5.7e-05,5.6e-05
271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2e-05,5.2e-05,6.9e-05,5.2e-05,8.5e-05,0,5.7e-05,8.9e-05,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,0,4.3e-05,6e-05,0,0,5.7e-05,0,0,5.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,5.7e-05,5.3e-05,5.5e-05,6e-05,0,6.4e-05,6e-05,5.7e-05,7.7e-05,0,6.1e-05,0,0,6.5e-05,0,0,0,0,0,0,0,0,0,0,4.8e-05,5e-05,4.3e-05,5.9e-05,4.4e-05,5.9e-05,5e-05,4.7e-05
276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4e-05,6e-05,5.8e-05,4.9e-05,5.1e-05,0,6.8e-05,5.5e-05,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,0,0.000104,6e-05,4.9e-05,0,6.5e-05,4.8e-05,0,4.9e-05,0,0,0,0,0,0,0,0,3.9e-05,4.5e-05,0.000117,0,4.4e-05,4.9e-05,8.2e-05,0
280,6e-05,4.2e-05,4.4e-05,4.7e-05,0,0.000317,0.000137,0.000102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6e-05,8.2e-05,0,0.000163,4.9e-05
281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147,0.000284,5.8e-05,0.000741,6e-05,0,7.7e-05,5.5e-05,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,6.5e-05,7.6e-05,6.5e-05,4e-05,0,5.8e-05,4.9e-05,5.7e-05,6.2e-05,5e-05,4.9e-05,0,4.8e-05,4.5e-05,0,5.6e-05,0,0,0,0,0,0,0,0,6.3e-05,5e-05,5.4e-05,4.7e-05,6e-05,6.6e-05,4.7e-05,4.9e-05
285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7e-05,0,5.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2e-05,5.6e-05,5.9e-05,6e-05,0,5.2e-05,6e-05,0,0,0,0,0,0,0,0
287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,5e-05,5e-05,5.2e-05,5e-05,0,5.1e-05,4.8e-05,5.6e-05,6.3e-05,5.6e-05,4.4e-05,0,5.9e-05,4.6e-05,0,5e-05,0,0,0,0,0,0,0,0,6.7e-05,6.2e-05,4.9e-05,5.5e-05,4.5e-05,5.3e-05,5.7e-05,5.4e-05
290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9e-05,3.7e-05,5.4e-05,5.1e-05,6.6e-05,0,5.8e-05,5.6e-05,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0,0,4.6e-05,0,0,0,6.2e-05,0,0,5.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,4.8e-05,6.4e-05,4.4e-05,8.1e-05,0,2.9e-05,6.9e-05,9e-05,5e-05,6.4e-05,5.2e-05,0,0,4.2e-05,0,6e-05,0,0,0,0,0,0,0,0,5.8e-05,6.1e-05,4.5e-05,6.6e-05,7.3e-05,4.8e-05,6e-05,7e-05
295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1e-05,6.3e-05,6.6e-05,6.7e-05,5.2e-05,0,4.8e-05,6.2e-05,0,0,0,0,0,0,0,0
296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,6.3e-05,0,4.9e-05,0,0,4.4e-05,0,0,5.9e-05,6.2e-05,4.5e-05,0,6.1e-05,5.6e-05,0,5.9e-05,0,0,0,0,0,0,0,0,5.1e-05,5.1e-05,6.1e-05,7.4e-05,5.5e-05,6.1e-05,0,0
299,0,5e-05,0,5.2e-05,0,0,6.2e-05,4.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1e-05,4.8e-05,5.1e-05,4.4e-05
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3e-05,4.9e-05,5.9e-05,5.4e-05,6.3e-05,0,5.1e-05,4e-05,0,0,0,0,0,0,0,0
301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,3.3e-05,5.3e-05,6.9e-05,6.7e-05,0,5.7e-05,5.6e-05,6.3e-05,6.6e-05,4.8e-05,5.5e-05,0,5.6e-05,8.6e-05,0,4.8e-05,0,0,0,0,0,0,0,0,5.1e-05,5.6e-05,4.8e-05,6.5e-05,5.8e-05,5.2e-05,6.2e-05,6.4e-05
304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2e-05,5.1e-05,6.2e-05,6.3e-05,5.8e-05,0,5.7e-05,5.7e-05,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,6e-05,4.4e-05,4.9e-05,4.9e-05,0,3.7e-05,4.7e-05,6e-05,5.7e-05,6.3e-05,5.4e-05,0,5.7e-05,0.000101,0,6.4e-05,0,0,0,0,0,0,0,0,6.3e-05,8e-05,8.8e-05,5e-05,5.4e-05,7.7e-05,0.000169,5e-05
309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5e-05,4.5e-05,0.000125,6.1e-05,6.9e-05,0,6.2e-05,5.8e-05,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0,0,0,0,5.8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,4.1e-05,7.1e-05,0.000149,4.4e-05,0,4.7e-05,6.6e-05,4.9e-05,6.1e-05,4.6e-05,4.7e-05,0,0,6.4e-05,0,4.4e-05,0,0,0,0,0,0,0,0,6.5e-05,4.4e-05,5e-05,9.5e-05,6.3e-05,7.9e-05,6.1e-05,4.9e-05
314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2e-05,4.5e-05,6.3e-05,5.7e-05,5.9e-05,0,5.7e-05,4.9e-05,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,4.3e-05,5.4e-05,5.3e-05,0,0,0,5.1e-05,0,5.7e-05,5.6e-05,5.9e-05,0,5e-05,5e-05,0,5.3e-05,0,0,0,0,0,0,0,0,5.5e-05,5.9e-05,5.6e-05,0,5.1e-05,0,0,0
318,0,0,0,5.9e-05,0,6.1e-05,6e-05,7.1e-05,0,0,0,0,0,0,0,0,0,8.7e-05,4.7e-05,4.9e-05,0,0,6.1e-05,6.2e-05,0,0,0,6.3e-05,0,6.1e-05,0.000281,4.9e-05
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3e-05,0,7.6e-05,0,4.8e-05,0,0,5e-05,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,4.7e-05,6.5e-05,4.6e-05,4.9e-05,0,4.8e-05,5.4e-05,5e-05,4.9e-05,5.5e-05,5.7e-05,0,4.8e-05,5.9e-05,0,6.7e-05,0,0,0,0,0,0,0,0,6.2e-05,6e-05,4.2e-05,0.000101,5.9e-05,7.1e-05,5.5e-05,5e-05
323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1e-05,5.2e-05,7.4e-05,5.9e-05,6.3e-05,0,4.7e-05,5.5e-05,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,4e-05,0.000104,4.9e-05,5.3e-05,0,5.5e-05,5.1e-05,5.4e-05,5.9e-05,5.9e-05,6.2e-05,0,6.6e-05,5.8e-05,0,4.4e-05,0,0,0,0,0,0,0,0,5.1e-05,3.8e-05,4.8e-05,5.6e-05,5.6e-05,4.8e-05,6.1e-05,4.9e-05
328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3e-05,6.1e-05,6e-05,5.1e-05,6.4e-05,0,5.5e-05,5.8e-05,0,0,0,0,0,0,0,0
329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,6.5e-05,4.2e-05,4.4e-05,4e-05,0,6.9e-05,6e-05,5.5e-05,4.7e-05,4.9e-05,4.8e-05,0,7.6e-05,5.1e-05,0,5e-05,0,0,0,0,0,0,0,0,5.7e-05,5.1e-05,6.1e-05,4.3e-05,8.2e-05,4.7e-05,5.4e-05,5.1e-05
333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4e-05,8e-05,5.6e-05,4.9e-05,4.8e-05,0,4.7e-05,6.2e-05,0,0,0,0,0,0,0,0
334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,3.6e-05,0,0,0,0,0,0,0,4.9e-05,6.2e-05,0,0,4.1e-05,0,0,5.6e-05,0,0,0,0,0,0,0,0,4.6e-05,0,0,0,0,0,0,0
337,0,5.9e-05,4.7e-05,5.2e-05,0,5e-05,4.9e-05,3.9e-05,7.2e-05,5.6e-05,5e-05,0,0,6.4e-05,0,0,0,0,4.6e-05,0,0,0,0,0,0,6.2e-05,3.7e-05,5.6e-05,4.9e-05,6.4e-05,6.1e-05,4.7e-05
338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-05,4.8e-05,5.1e-05,4.9e-05,6e-05,0,6e-05,6.4e-05,0,0,0,0,0,0,0,0
339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,4e-05,5e-05,5.2e-05,4.8e-05,0,8.3e-05,6.2e-05,5.4e-05,6e-05,5e-05,4.9e-05,0,7.1e-05,5.2e-05,0,5e-05,0,0,0,0,0,0,0,0,5.9e-05,6.4e-05,7.5e-05,7.8e-05,5.4e-05,5.1e-05,4.9e-05,5.5e-05
342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-05,4.2e-05,5.6e-05,4.3e-05,6.8e-05,0,4.8e-05,4.9e-05,0,0,0,0,0,0,0,0
343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,4.7e-05,4.5e-05,5.3e-05,5.1e-05,0,5.8e-05,3.5e-05,5.7e-05,5.5e-05,4.5e-05,5.2e-05,0,6e-05,4.5e-05,0,4.8e-05,0,0,0,0,0,0,0,0,4.5e-05,5.9e-05,6.4e-05,8.1e-05,4.7e-05,6.4e-05,5e-05,4.1e-05
347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-05,5.5e-05,5.2e-05,4.8e-05,4.9e-05,0,5.6e-05,5.7e-05,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,7.5e-05,5.2e-05,5.5e-05,5.7e-05,0,6.8e-05,5.9e-05,6.6e-05,4.8e-05,6.4e-05,5.8e-05,0,5.9e-05,5.5e-05,0,5.7e-05,0,0,0,0,0,0,0,0,4.1e-05,4e-05,4.8e-05,5.2e-05,5.3e-05,5.3e-05,6.1e-05,4.6e-05
352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7e-05,5.7e-05,5.5e-05,4e-05,5.4e-05,0,5.5e-05,6.3e-05,0,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0,0,4.5e-05,0,0,5.7e-05,0,0,8.8e-05,0,0,0,0,0,0,0,0,5.2e-05,0,3.7e-05,0,0,0,0,0
356,6.3e-05,3.8e-05,3.8e-05,6.4e-05,0,4.9e-05,4.1e-05,4.9e-05,5.6e-05,4.4e-05,4.7e-05,0,0,5e-05,0,4.2e-05,0,0,0,0,0,0,0,0,0,4.2e-05,0,3.7e-05,5e-05,4.4e-05,5e-05,4.9e-05
357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6e-05,3.1e-05,4.5e-05,5.7e-05,5.9e-05,0,5.6e-05,4.7e-05,0,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0,5.9e-05,7.7e-05,0.00011,0,5.5e-05,5.4e-05,0,5.9e-05,0,0,0,0,0,0,0,0,4.3e-05,5.2e-05,5e-05,6e-05,5.5e-05,5.6e-05,6.7e-05,6.7e-05
361,4.5e-05,5.6e-05,5.2e-05,6.3e-05,0,8.8e-05,6.5e-05,5.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1e-05,6.6e-05,4.4e-05,6.3e-05,5.6e-05,0,5.8e-05,9.1e-05,0,0,0,0,0,0,0,0
363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,6.1e-05,6.9e-05,5.7e-05,5.3e-05,0,6.2e-05,6.5e-05,7.2e-05,5.5e-05,6.8e-05,6.5e-05,0,6.3e-05,5.8e-05,0,5.3e-05,0,0,0,0,0,0,0,0,7.3e-05,5.6e-05,7.4e-05,6.1e-05,5.9e-05,7.4e-05,5.5e-05,6.6e-05
366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8e-05,6.1e-05,5.4e-05,5e-05,0.000147,0,4.4e-05,5.4e-05,0,0,0,0,0,0,0,0
367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,5.4e-05,6e-05,6.1e-05,4.9e-05,0,5.1e-05,4.6e-05,5e-05,5.3e-05,5.2e-05,6.5e-05,0,5e-05,7.1e-05,0,6.9e-05,0,0,0,0,0,0,0,0,4e-05,3.8e-05,6.5e-05,7.7e-05,6e-05,6e-05,6.5e-05,4.7e-05
371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6e-05,5.1e-05,6.9e-05,5.2e-05,5.5e-05,0,5.2e-05,6e-05,0,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0,0,5.5e-05,0,0,0,0.000101,0,0,4.4e-05,0,0,0,0,0,0,0,0,4.6e-05,6.8e-05,4.3e-05,5.9e-05,5.7e-05,6.1e-05,5.6e-05,4.9e-05
375,4.7e-05,6.9e-05,5.3e-05,6.3e-05,0,5.1e-05,4.5e-05,4.7e-05,5.2e-05,6.4e-05,4.4e-05,0,0,7.2e-05,0,6.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6e-05,0
376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1e-05,3e-05,5.8e-05,4.4e-05,5.2e-05,0,6.3e-05,7.1e-05,0,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,0,0,0,0,0,0,0,0,5.2e-05,4.9e-05,4.2e-05,0,5.2e-05,6.1e-05,0,6.8e-05,0,0,0,0,0,0,0,0,5.3e-05,4.1e-05,7e-05,5.3e-05,4.8e-05,4.7e-05,5.9e-05,4.1e-05
380,4e-05,4.5e-05,4.8e-05,4.5e-05,0,4.1e-05,5.4e-05,6.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9e-05,3.2e-05,4.3e-05,9.5e-05,5.1e-05,0,5e-05,8.4e-05,0,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,5.6e-05,4.5e-05,6.7e-05,4.6e-05,0,6.1e-05,6e-05,6e-05,5.2e-05,7.4e-05,5.9e-05,0,5.8e-05,6.6e-05,0,5e-05,0,0,0,0,0,0,0,0,4.4e-05,5e-05,4.7e-05,6.9e-05,5.8e-05,6.5e-05,5.5e-05,5.5e-05
385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3e-05,5.3e-05,6.1e-05,6.2e-05,6.3e-05,0,6.2e-05,5.7e-05,0,0,0,0,0,0,0,0
386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,6.4e-05,6.2e-05,4.5e-05,6.2e-05,0,6.1e-05,5e-05,5.8e-05,8.4e-05,4.7e-05,3.9e-05,0,4.9e-05,5.3e-05,0,4.4e-05,0,0,0,0,0,0,0,0,4.6e-05,4.3e-05,4.2e-05,9e-05,5.3e-05,5.4e-05,6.1e-05,5.6e-05
390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7e-05,5.6e-05,6.8e-05,4.8e-05,5.3e-05,0,5.1e-05,4.5e-05,0,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,0,0,0,0,0,0,0,0,0,0,4.3e-05,0,6.2e-05,0,0,4e-05,0,0,0,0,0,0,0,0,5.4e-05,4.8e-05,4e-05,5.4e-05,5.6e-05,5.4e-05,5.2e-05,6e-05
394,5.7e-05,4.8e-05,4.8e-05,3.6e-05,0,4.5e-05,4.8e-05,5.3e-05,5.6e-05,5.5e-05,4.2e-05,0,0,6.3e-05,0,6.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7e-05,4e-05,5.1e-05,5.1e-05,5.5e-05,0,6e-05,5.8e-05,0,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,7.3e-05,7.5e-05,0,0,0,7e-05,0,0,5.9e-05,5.1e-05,6.5e-05,0,6.3e-05,5.7e-05,0,4.9e-05,0,0,0,0,0,0,0,0,5e-05,8.9e-05,5.5e-05,5.2e-05,6.6e-05,6.1e-05,0.000108,4.8e-05
399,0,0,6e-05,5.5e-05,0,5.4e-05,5.5e-05,6.5e-05,0,0,0,0,0,0,0,0,5e-05,5.5e-05,5.8e-05,0,6.6e-05,0,0,5.1e-05,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1e-05,5.2e-05,0,0,7.8e-05,5.3e-05,0,0,0,0,0,0,0,0
