op_r,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
73,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
74,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
75,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
76,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
77,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
78,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
79,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
80,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
81,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
82,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
83,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
84,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
85,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
86,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
87,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
88,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
89,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
90,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
91,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
92,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
93,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
94,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
95,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
96,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
97,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
98,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
99,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
100,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
