wMB/s,ceph01,ceph02,ceph03,ceph04
236,33.6063,16.1275,26.5912,30.6825
237,38.0162,26.135,16.0188,27.705
238,55.94,61.9663,29.96,49.2662
239,22.3137,31.5213,30.0462,37.205
240,17.3263,30.1875,36.325,29.48
241,29.2675,32.0725,58.4525,19.5038
242,23.6938,20.8275,33.9937,28.305
243,44.2575,29.1375,18.0475,40.4688
244,43.7325,54.78,29.4362,39.9575
245,25.9825,25.64,16.65,26.235
246,15.5825,27.1275,27.9863,32.4975
247,33.3238,23.9725,45.7037,17.2963
248,26.965,17.6663,38.3487,20.7975
249,39.3263,28.3413,24.1538,50.2062
250,32.3513,61.9975,23.5125,35.8813
251,23.485,23.0187,13.5713,15.6375
252,23.7137,39.4462,24.8137,32.8475
253,28.845,20.8438,38.67,19.1825
254,30.5688,25.1313,45.52,19.7587
255,43.3837,28.755,36.805,57.9713
256,35.6738,56.025,14.325,45.3975
257,38.0375,21.6075,23.7413,28.3113
258,22.8275,32.9775,28.2288,39.8925
259,40.5438,37.9087,38.365,23.7062
260,38.4025,36.64,55.5937,36.39
261,44.4263,32.2175,32.9775,50.3212
262,33.5988,57.3162,31.4463,42.1612
263,42.2375,39.6938,18.7825,20.455
264,33.4862,30.13,38.5725,39.47
265,34.6875,25.7525,40.8612,30.0675
266,39.2725,27.8938,53.6938,45.9762
267,36.86,33.7062,39.3175,36.5388
268,48.3062,39.4188,26.0113,37.0862
269,38.63,30.9137,33.6837,30.4
270,28.6,30.045,32.435,38.795
271,38.7238,31.3887,41.3063,38.5362
272,33.9413,36.025,56.7137,58.25
273,37.905,35.1737,36.535,24.425
274,50.0712,36.06,26.98,35.0825
275,38.6,44.7288,35.6238,47.21
276,30.2212,30.58,37.6475,35.275
277,27.5525,43.885,39.93,40.88
278,30.6725,41.1463,47.13,36.4075
279,45.3175,28.51,34.4612,25.5712
280,43.93,41.7888,30.3387,43.4575
281,60.5875,32.1775,38.145,47.93
282,38.9425,22.1288,32.5613,45.8863
283,31.355,28.2825,55.9763,47.1063
284,26.2413,42.1388,35.5,25.2325
285,48.78,20.9763,45.7963,25.0388
286,44.9225,38.5025,34.5138,33.0237
287,38.475,35.495,32.085,37.6438
288,30.2688,18.5413,37.4838,56.0975
289,30.9262,38.5175,46.5162,49.08
290,28.2925,37.125,32.8675,23.9175
291,37.8888,27.2625,45.6213,28.8575
292,41.3225,36.2875,30.8562,36.0187
293,30.1638,34.8025,31.005,28.7437
294,26.2,22.7575,39.51,43.655
295,16.2413,39.1762,49.7012,55.0788
296,21.92,20.5238,17.275,18.2762
297,36.1513,27.5262,47.5125,31.1875
298,42.7125,37.075,31.67,30.3262
299,40.3225,28.0975,31.285,24.0738
300,32.0688,28.3412,34.9412,34.4587
301,17.5337,36.3325,32.93,44.4537
302,28.0188,25.8813,26.2513,19.6238
303,27.83,24.5463,35.2437,33.8975
304,47.3538,38.35,31.7025,23.89
305,32.8025,20.1725,33.815,26.5263
306,29.065,36.3825,34.1737,27.8675
307,22.3788,32.1925,20.265,45.0213
308,26.5737,27.8513,32.3238,26.3137
309,21.7825,33.7488,29.4825,35.78
310,37.41,33.84,31.3762,24.8325
311,41.59,26.52,38.1187,32.415
312,22.9625,32.4937,34.19,18.1612
313,26.6812,35.2837,15.6638,40.6025
314,24.25,23.2837,23.8388,32.8388
315,26.5125,28.0062,28.0212,34.4463
316,31.3888,24.8413,30.1937,20.0113
317,42.305,31.6125,39.6863,30.1763
318,16.835,37.1725,28.4225,15.48
319,30.7525,27.1638,23.9138,36.37
320,21.4125,27.2262,19.0213,42.22
321,29.5325,25.675,36.6925,35.295
322,34.405,25.2675,32.7425,25.1412
323,35.8225,36.8375,42.3863,25.1775
324,31.06,31.8525,28.885,20.4075
325,31.9475,31.8788,26.7313,22.1425
326,21.5912,32.83,22.1963,51.3513
327,19.18,15.1975,33.47,35.73
328,53.8275,26.6625,38.6875,31.64
329,26.6925,44.5587,39.5012,26.4413
330,37.9412,28.0038,16.495,15.9825
331,24.1537,37.915,25.4375,15.3075
332,28.5437,28.6287,33.7788,42.6825
333,17.5688,20.3388,39.735,49.7412
334,41.205,22.7987,39.6137,39.685
335,28.3938,46.2037,29.47,25.23
336,42.5175,23.1088,19.035,16.1575
337,29.1025,45.4088,23.6625,23.45
338,28.8325,32.2862,30.2062,30.595
339,19.5875,15.8688,37.7713,53.6375
340,26.0688,12.8675,36.8338,45.1025
341,30.975,51.1838,29.905,20.8612
342,44.89,32.9363,22.975,16.1438
343,37.0263,42.3413,21.2438,17.0113
344,22.3125,30.8962,36.7813,18.3962
345,22.52,19.58,32.9188,57.5487
346,18.1475,16.6837,39.7625,50.4487
347,31.7963,34.8062,17.5025,21.7375
348,37.7812,40.69,26.5612,17.7125
349,49.7137,35.1337,25.5888,16.8113
350,19.7287,38.2938,36.8487,19.8313
351,23.0825,18.9275,35.8562,48.675
352,14.1562,13.4612,30.5975,55.215
353,28.6675,24.0463,23.3075,24.1975
354,35.0888,48.8563,26.8,17.5838
355,50.4138,28.36,27.9988,15.505
356,33.2612,44.52,39.7087,13.6288
357,18.5625,21.3175,40.5413,43.3975
358,18.0362,15.75,18.1025,52.5087
359,29.1238,15.4075,25.525,30.0275
360,36.9062,37.645,17.32,16.0138
361,48.6562,38.735,37.2762,19.1763
362,37.1537,40.095,37.3425,14.3388
363,19.3875,32.8637,40.7475,41.0737
364,13.6863,13.6275,14.5538,48.5175
365,16.8762,15.25,27.6275,37.1538
366,45.5625,35.3675,24.83,20.8013
367,47.7613,45.2412,45.4613,20.5075
368,38.6262,37.3712,37.265,19.19
369,16.8637,40.1562,30.8275,35.5513
370,19.3412,17.25,19.42,47.7637
371,23.49,20.1275,20.1925,48.64
372,35.1375,20.1212,26.85,25.1037
373,45.9837,54.1963,49.91,20.2163
374,44.0213,39.6688,37.3637,23.5237
375,18.985,40.4688,24.1313,26.0625
376,17.665,25.5162,25.6163,34.1112
377,25.195,17.82,21.4562,49.41
378,32.0837,22.305,38.765,37.7237
379,38.8263,43.6238,36.8625,20.1925
380,48.035,29.1875,36.7175,30.1513
381,15.2675,35.0812,19.0812,24.575
382,22.1638,31.2675,29.1,23.3225
383,22.9413,17.7863,21.695,40.715
384,34.8125,26.4737,52.8338,47.5588
385,29.4175,36.1863,32.3925,23.7413
386,44.5012,26.3213,30.6012,25.535
387,22.4512,28.7938,18.34,17.0613
388,27.18,37.1462,24.1575,19.7763
389,18.3475,22.27,19.465,36.6913
390,45.4275,35.8338,50.6875,45.795
391,30.0087,26.9513,35.96,34.9962
392,43.5275,31.8313,37.415,28.5162
393,38.265,24.99,23.3425,16.3475
394,25.8025,36.7987,23.7025,19.0
395,22.6775,36.6,29.9287,35.8312
396,25.315,36.0613,46.1137,44.3363
397,30.63,16.335,30.5075,46.3287
398,32.4862,28.89,26.845,27.125
399,51.555,27.4387,26.7437,23.1625
