apply_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
107,0.453043,0.557645,0.573093,0.438319,0.439142,0.561609,0.543163,0.636299,0.602446,0.553585,0.503368,0.459928,0.693688,0.814341,0.658276,0.479475,0.396138,0.340055,0.610767,0.68338,0.369164,0.346178,0.68654,0.669744,0.641766,0.502992,0.522843,0.57827,0.664012,0.694774,0.601367,0.528953
108,0.279106,0.370072,0.343154,0.148102,0.119721,0.344043,0.256557,0.497222,0.463388,0.321841,0.234588,0.191407,0.537541,0.750948,0.602849,0.258348,0.373024,0.232422,0.726199,0.730429,0.877679,0.868491,0.763991,0.801378,0.47186,0.797249,0.588874,0.792161,0.40399,0.494857,0.674708,0.475375
109,0.103857,0.3142,0.080733,0.026731,0.015959,0.075064,0.032115,0.186065,0.310771,0.22062,0.167905,0.178406,0.1458,0.348616,0.663674,0.153787,0.094161,0.019958,0.420776,0.390537,0.572862,0.621381,0.410321,0.5603,0.150733,0.440191,0.298525,0.51691,0.07986,0.202033,0.717056,0.566715
110,0.03857,0.115288,0.096491,0.07606,0.195197,0.17737,0.179062,0.182815,0.187428,0.160612,0.110221,0.142461,0.041933,0.144058,0.378349,0.057256,0.074598,0.092251,0.16748,0.131053,0.264262,0.358815,0.156271,0.259918,0.048668,0.198225,0.113277,0.220257,0.03796,0.073727,0.370352,0.25352
111,0.146804,0.153508,0.173768,0.173534,0.301024,0.374191,0.212928,0.15643,0.151923,0.138457,0.139171,0.125422,0.172662,0.280804,0.193201,0.153033,0.141794,0.117653,0.102161,0.095394,0.103849,0.129031,0.106612,0.122441,0.110342,0.138113,0.143978,0.141937,0.339317,0.334675,0.187879,0.159577
112,0.174445,0.245485,0.242452,0.26039,0.274843,0.357497,0.285881,0.270853,0.259493,0.259829,0.254158,0.296651,0.410182,0.523864,0.256691,0.275739,0.153858,0.139894,0.407054,0.427927,0.129007,0.136379,0.103895,0.10845,0.270454,0.291096,0.230378,0.323014,0.621898,0.522038,0.308471,0.224991
113,0.095516,0.151542,0.158622,0.144791,0.144633,0.246173,0.161755,0.185935,0.146692,0.132793,0.148345,0.168396,0.246184,0.481883,0.156862,0.137791,0.161028,0.1194,0.425376,0.404663,0.19459,0.202828,0.593336,0.70036,0.241006,0.754415,0.12234,0.216463,0.574785,0.425029,0.171626,0.145337
114,0.136357,0.155632,0.051233,0.02193,0.023249,0.072552,0.035038,0.054004,0.025128,0.03468,0.020062,0.03022,0.065295,0.209983,0.060053,0.093666,0.060999,0.064493,0.200522,0.160825,0.363148,0.184261,0.35031,0.521752,0.033652,0.444831,0.305977,0.308366,0.213928,0.155338,0.10939,0.083765
115,0.067777,0.120008,0.080794,0.082267,0.062631,0.071167,0.079041,0.076583,0.205431,0.209667,0.23788,0.233896,0.087477,0.084621,0.170655,0.135643,0.02055,0.016861,0.0156,0.018666,0.037484,0.016399,0.044633,0.13579,0.077099,0.116943,0.127212,0.13421,0.080941,0.077152,0.096804,0.081524
116,0.017003,0.042657,0.111776,0.088904,0.104553,0.119874,0.138025,0.111099,0.11905,0.12033,0.111019,0.084909,0.040132,0.05445,0.067825,0.056874,0.159794,0.184253,0.090089,0.083723,0.080627,0.08913,0.073432,0.078389,0.026888,0.047036,0.033895,0.054316,0.029463,0.035449,0.076049,0.022088
117,0.127795,0.114858,0.115936,0.135381,0.342793,0.299179,0.161075,0.192676,0.091159,0.100513,0.116879,0.122327,0.325987,0.299868,0.111827,0.109204,0.073941,0.093686,0.070678,0.051547,0.056227,0.068127,0.051705,0.054017,0.105407,0.105075,0.092457,0.106027,0.244094,0.246593,0.11286,0.101198
118,0.060568,0.061873,0.061081,0.037003,0.120077,0.131277,0.055343,0.091362,0.05775,0.097646,0.048737,0.068166,0.315367,0.347617,0.045936,0.047548,0.071102,0.04508,0.269818,0.226713,0.038769,0.09921,0.074686,0.058419,0.161854,0.107189,0.035336,0.078578,0.144999,0.168531,0.073354,0.063449
119,0.154642,0.084501,0.080182,0.114796,0.098648,0.101033,0.105498,0.08489,0.092819,0.075583,0.083604,0.080462,0.060025,0.086888,0.097342,0.069091,0.037766,0.030584,0.067606,0.053354,0.023514,0.022503,0.075908,0.09243,0.076588,0.25324,0.07748,0.102215,0.089989,0.081066,0.081302,0.08295
120,0.298361,0.418249,0.279938,0.363453,0.282698,0.314006,0.348985,0.331285,0.319408,0.296489,0.273282,0.289964,0.303695,0.358137,0.318633,0.269519,0.158171,0.128086,0.192862,0.180283,0.431746,0.529979,0.214877,0.175795,0.156253,0.346328,0.50141,0.556836,0.235572,0.280447,0.466288,0.532877
121,0.207763,0.362858,0.225693,0.329324,0.220468,0.30739,0.347586,0.349462,0.611691,0.624706,0.418133,0.380587,0.232141,0.339476,0.555605,0.502035,0.369003,0.301662,0.395786,0.397587,0.553206,0.795053,0.421651,0.35682,0.094387,0.316233,0.648465,0.743794,0.171077,0.231631,0.591865,0.706279
122,0.045347,0.092926,0.144379,0.148178,0.036607,0.082012,0.282705,0.389942,0.446509,0.537074,0.27076,0.1956,0.046401,0.086159,0.311685,0.195755,0.393473,0.170237,0.10137,0.179222,0.295493,0.663794,0.152673,0.091059,0.042983,0.06044,0.325584,0.442748,0.043231,0.038257,0.30124,0.425809
123,0.146778,0.148589,0.306059,0.314645,0.364717,0.479366,0.495114,0.61545,0.374649,0.462417,0.270904,0.17627,0.355436,0.32669,0.303317,0.160441,0.39786,0.117505,0.072503,0.078358,0.084207,0.442953,0.07917,0.093281,0.134026,0.181029,0.306425,0.392387,0.142103,0.124002,0.295852,0.418719
124,0.097245,0.050119,0.06173,0.056241,0.077423,0.149646,0.197323,0.437877,0.065771,0.103502,0.034641,0.033458,0.329336,0.265842,0.040124,0.0306,0.277073,0.067162,0.382098,0.460637,0.075224,0.304616,0.100173,0.067445,0.093126,0.225698,0.046565,0.1062,0.164874,0.163165,0.047536,0.120217
125,0.242198,0.423733,0.120794,0.102397,0.089814,0.108069,0.134033,0.311688,0.107922,0.098236,0.112406,0.127796,0.15298,0.183764,0.120055,0.09213,0.069998,0.066718,0.086729,0.093349,0.029097,0.060866,0.445007,0.390249,0.12882,0.305618,0.110583,0.141229,0.129249,0.122139,0.139524,0.140491
126,0.134053,0.460754,0.084336,0.061357,0.079828,0.103997,0.099065,0.267166,0.058507,0.047053,0.106791,0.072225,0.092657,0.171092,0.101106,0.076352,0.11165,0.085535,0.108307,0.1149,0.568967,0.349701,0.455804,0.321425,0.071481,0.181243,0.214232,0.214401,0.071679,0.077269,0.578794,0.559177
127,0.055662,0.161685,0.058262,0.038857,0.036159,0.048704,0.049667,0.088279,0.196692,0.176371,0.196397,0.137221,0.049056,0.087384,0.165839,0.164267,0.022907,0.019903,0.027851,0.026803,0.389412,0.238622,0.310636,0.156846,0.058731,0.054002,0.220817,0.275132,0.049454,0.03996,0.307522,0.343736
128,0.111348,0.109137,0.488409,0.485979,0.133387,0.211869,0.412627,0.381356,0.385414,0.351737,0.199029,0.263362,0.169994,0.267162,0.173711,0.167865,0.376367,0.321457,0.117611,0.123226,0.128243,0.139762,0.116042,0.121101,0.129663,0.139539,0.147435,0.247604,0.130548,0.206649,0.244702,0.283072
129,0.095129,0.089216,0.427145,0.41429,0.28289,0.464795,0.472965,0.544288,0.221906,0.204837,0.105886,0.140825,0.323765,0.463969,0.09903,0.076568,0.319547,0.275737,0.083822,0.122602,0.110747,0.138446,0.098789,0.100282,0.256195,0.114798,0.095133,0.122553,0.110795,0.096298,0.122743,0.129351
130,0.096356,0.025113,0.11255,0.075763,0.019486,0.122321,0.097142,0.240976,0.01725,0.025836,0.019967,0.020082,0.16888,0.353457,0.015461,0.016576,0.139354,0.070168,0.342908,0.330681,0.055487,0.079299,0.047623,0.057448,0.036953,0.125004,0.023178,0.022615,0.110642,0.074788,0.02211,0.022268
131,0.076437,0.192352,0.066399,0.083933,0.092515,0.046744,0.043622,0.062339,0.05193,0.087787,0.042346,0.049279,0.041981,0.059843,0.061788,0.077563,0.020193,0.017274,0.029107,0.021675,0.018489,0.023253,0.140484,0.147429,0.066132,0.055958,0.056876,0.059413,0.053916,0.050331,0.042365,0.050432
132,0.254098,0.239137,0.258944,0.174741,0.223897,0.263787,0.227826,0.288966,0.311916,0.232344,0.275359,0.255559,0.245446,0.313322,0.220207,0.277504,0.148137,0.129457,0.177027,0.159583,0.442297,0.46091,0.155105,0.183996,0.146682,0.214555,0.485176,0.478264,0.203347,0.238795,0.695386,0.683511
