avgrq-sz,ceph01,ceph02,ceph03,ceph04
214,34.7812,38.0125,34.1538,48.5725
215,36.435,34.2725,37.7963,32.3313
216,32.85,30.145,52.0487,33.1925
217,35.8888,40.44,36.84,42.0712
218,42.6138,40.395,35.1088,35.1337
219,42.6688,52.2138,39.1362,42.5487
220,31.615,37.1887,27.1688,38.3875
221,38.9487,32.1137,36.3775,32.295
222,32.1662,31.3025,52.145,32.3313
223,39.0375,40.2013,39.0412,36.7462
224,48.8525,35.1675,34.3137,38.82
225,38.5688,51.5775,37.0037,37.3487
226,32.9625,42.015,29.0125,34.195
227,33.1988,31.1188,43.9062,35.7325
228,29.6825,31.2712,44.8537,32.8863
229,34.23,38.83,40.5462,33.385
230,47.655,37.9275,38.64,44.345
231,42.5525,41.1638,35.1037,37.0662
232,32.2175,48.5663,28.0437,30.69
233,34.445,30.4687,34.7287,42.6475
234,35.2088,40.9387,47.8287,38.0363
235,34.7662,42.455,47.2713,33.52
236,40.5288,31.1187,33.645,38.0563
237,52.8375,42.2338,36.35,42.785
238,35.5713,41.015,28.1375,33.2937
239,37.0775,41.0012,39.0562,47.6863
240,34.265,37.8088,45.75,41.2212
241,34.6088,36.6425,53.0737,29.1113
242,34.39,33.995,40.9737,38.58
243,50.4563,33.18,29.7712,36.975
244,36.5075,45.4825,29.6837,32.9275
245,37.85,42.8288,33.9537,39.2375
246,35.47,41.3925,42.1313,43.8663
247,35.5438,33.1437,41.9812,31.2675
248,37.4138,32.7937,45.1437,33.335
249,37.0712,31.3725,29.8675,44.365
250,31.6262,51.25,28.8037,30.35
251,44.5875,48.2275,40.8025,42.2938
252,31.3987,39.9275,34.7587,39.21
253,42.3525,37.9025,45.99,38.3375
254,33.6037,34.62,43.6262,32.32
255,39.8325,27.4738,31.515,37.19
256,32.18,38.8875,27.7937,43.2225
257,41.6337,40.9838,40.5837,43.31
258,30.9537,35.9763,33.83,32.5975
259,38.0237,34.8713,39.1187,31.7975
260,37.3225,36.5337,43.0575,38.9387
261,35.5775,33.6388,34.3513,36.6812
262,32.0125,39.605,30.2263,39.3638
263,41.725,40.4025,34.9237,31.2663
264,35.9875,36.0688,37.99,40.8013
265,41.4625,36.5637,39.5237,41.8875
266,37.6262,30.975,55.9312,36.985
267,37.9975,38.92,36.9788,38.005
268,44.1937,38.3563,33.1812,46.8237
269,48.3825,38.0,40.8775,38.6487
270,32.1425,36.3538,40.3125,41.6425
271,38.8113,37.6937,40.4175,37.6762
272,35.1175,33.8513,40.9,41.0838
273,39.3888,42.6962,39.6412,37.6363
274,36.7625,37.5787,31.6363,47.3938
275,35.9112,40.2037,38.8787,39.33
276,34.4487,36.3975,40.88,36.4138
277,33.1488,45.7263,38.3413,35.3937
278,31.8,45.705,37.7125,32.9125
279,45.9813,39.0975,43.1363,39.4612
280,36.2287,34.7912,29.865,50.3738
281,42.825,30.59,30.4512,62.1838
282,38.57,32.8637,37.7163,54.29
283,32.6913,36.2713,42.6975,43.755
284,33.1,42.525,42.39,34.15
285,50.7963,34.7275,42.6038,36.9025
286,40.0487,37.1962,35.29,35.7175
287,36.1425,39.8438,34.9212,38.4513
288,30.6238,28.9287,32.9838,60.7225
289,31.72,36.2537,43.9925,37.255
290,35.8,43.8975,39.1962,37.455
291,43.035,34.385,43.1525,34.4612
292,37.535,36.3612,33.9775,38.9363
293,37.21,45.4625,39.4488,37.5775
294,35.455,32.6887,39.6325,46.4938
295,28.4462,38.7175,45.685,46.3813
296,44.2025,43.5675,40.6575,38.67
297,35.6387,33.0687,43.01,32.6425
298,35.7875,33.4375,32.7775,32.495
299,43.3162,36.7112,38.3425,35.6613
300,32.8563,30.7662,37.0962,37.7088
301,31.7062,43.1275,40.2875,45.9488
302,38.825,38.5862,39.1688,36.97
303,31.9788,33.4612,36.5425,37.4688
304,34.4712,42.1812,33.5425,33.5975
305,40.2362,35.9775,38.9,42.5487
306,35.18,44.1288,35.3025,34.2488
307,34.2737,43.635,34.525,43.3225
308,35.0712,38.7412,40.92,37.0763
309,32.4275,39.4462,37.7575,39.1412
310,34.39,40.175,34.1225,31.54
311,39.1412,33.8475,39.74,34.0187
312,32.715,45.0425,39.7275,33.0763
313,35.175,35.5312,29.9312,38.5613
314,40.7087,37.7825,37.5662,44.855
315,32.23,36.3537,34.285,39.7762
316,38.0938,38.0613,40.2225,35.5187
317,37.1838,34.8963,39.0,37.6475
318,34.5838,49.0787,39.745,32.6513
319,36.8725,33.7125,31.4612,38.26
320,37.1013,37.995,35.9,49.16
321,30.5875,29.4475,36.7075,38.8912
322,42.4738,35.605,38.6013,38.18
323,34.9837,32.3163,39.2112,33.4813
324,40.3575,40.5237,36.65,34.6013
325,38.885,43.7925,40.285,36.65
326,32.7725,37.3937,32.3075,55.835
327,35.3225,36.9312,43.4312,53.3075
328,41.4462,28.8988,30.7912,31.5875
329,33.9588,38.9375,37.865,31.3012
330,52.2475,40.1462,35.7575,32.58
331,39.8525,47.1337,38.9675,34.8687
332,31.8175,33.1037,33.3013,41.8725
333,31.19,34.565,42.0537,43.9388
334,40.5312,29.33,31.5238,42.1125
335,37.1088,49.2488,35.6313,35.1338
336,53.7163,37.5187,37.425,34.4975
337,34.83,47.855,34.08,32.5388
338,30.3,37.6275,38.7525,32.2075
339,31.0813,29.6775,37.81,47.2525
340,34.8375,32.505,49.0625,40.4637
341,40.2437,48.86,38.525,33.5575
342,47.185,40.3787,38.9525,32.405
343,40.0187,47.5162,35.5487,33.33
344,32.6137,37.0613,37.9588,32.9337
345,29.9425,28.2888,31.9087,45.2213
346,32.6,32.6325,51.9875,60.8925
347,37.0488,40.9,31.075,32.9038
348,39.7263,47.6013,35.2313,31.3163
349,49.0887,38.205,33.3175,30.2737
350,33.27,41.6238,43.3925,34.43
351,36.1538,33.035,37.3963,42.7125
352,32.62,33.9513,37.3913,59.4537
353,40.1525,35.7775,34.3788,36.8337
354,39.105,42.8813,35.2838,30.2287
355,46.0237,35.8938,41.7375,31.2838
