numpg,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
42,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
43,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
44,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
45,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
46,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
47,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
48,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
49,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
50,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
51,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
52,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
53,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
54,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
55,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
56,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
57,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
58,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
59,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
60,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
61,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
