journal_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
119,0.004373,0.00401,0.003433,0.003109,0.000719,0.000756,0.000758,0.00072,0.000803,0.00076,0.000814,0.000836,0.000757,0.000952,0.000847,0.000721,0.000659,0.000493,0.003207,0.003428,0.005937,0.005096,0.006605,0.00683,0.003417,0.003466,0.000657,0.000737,0.00076,0.001394,0.000874,0.000729
120,0.002144,0.002626,0.000809,0.001075,0.000823,0.000989,0.000966,0.001015,0.000679,0.000763,0.000805,0.000783,0.000842,0.000772,0.003455,0.00296,0.000872,0.000725,0.000896,0.000889,0.00453,0.005075,0.001114,0.00078,0.000778,0.000943,0.005092,0.004721,0.000773,0.000935,0.004615,0.004468
121,0.000483,0.000486,0.000447,0.000485,0.000564,0.00056,0.000523,0.00061,0.007228,0.007177,0.003271,0.0032,0.00056,0.00053,0.007182,0.008081,0.000678,0.000676,0.00073,0.000609,0.001417,0.000845,0.000621,0.000702,0.000557,0.000677,0.008725,0.007722,0.000538,0.000532,0.002245,0.002599
122,0.000738,0.001209,0.003679,0.003412,0.006234,0.005913,0.005335,0.005718,0.003147,0.002903,0.002248,0.002305,0.000637,0.00074,0.002834,0.001673,0.005862,0.006444,0.000483,0.000542,0.000637,0.000696,0.000614,0.000602,0.000571,0.000642,0.000604,0.000577,0.000633,0.000585,0.000668,0.00065
123,0.001084,0.000798,0.002686,0.002717,0.003851,0.003316,0.003715,0.003854,0.000713,0.001,0.000596,0.000978,0.005317,0.00618,0.00089,0.000639,0.002251,0.002091,0.001599,0.001986,0.000894,0.000964,0.000637,0.000771,0.001543,0.001475,0.000736,0.00056,0.003876,0.003891,0.000591,0.000571
124,0.00298,0.002871,0.000685,0.000792,0.002842,0.003173,0.000631,0.000621,0.000708,0.000589,0.000613,0.000505,0.00241,0.002318,0.00063,0.000575,0.000527,0.000536,0.00582,0.005664,0.000609,0.000689,0.00496,0.005325,0.005529,0.005834,0.000744,0.000759,0.005395,0.004112,0.000853,0.000712
125,0.005308,0.00519,0.000771,0.000752,0.000903,0.000783,0.000978,0.000966,0.000759,0.000759,0.000777,0.000631,0.000659,0.000956,0.00076,0.000678,0.000837,0.000874,0.001618,0.001559,0.004087,0.004086,0.00496,0.004371,0.001179,0.001298,0.000959,0.000809,0.002554,0.003559,0.002059,0.000793
126,0.001357,0.000934,0.000608,0.000588,0.000538,0.00055,0.000687,0.000623,0.000781,0.000801,0.000507,0.00089,0.000562,0.00056,0.004471,0.004112,0.000731,0.000646,0.000571,0.000678,0.008779,0.009146,0.001301,0.001526,0.000942,0.000634,0.008188,0.007721,0.000577,0.000654,0.008936,0.009136
127,0.000662,0.000851,0.000659,0.000536,0.000698,0.000778,0.000857,0.000852,0.004355,0.004264,0.006288,0.006314,0.001053,0.000964,0.003846,0.004257,0.000493,0.000529,0.000513,0.00058,0.000522,0.000619,0.000781,0.000746,0.000607,0.000605,0.002144,0.002337,0.000729,0.000859,0.002915,0.002919
128,0.000686,0.000595,0.007346,0.006492,0.007761,0.008276,0.006405,0.006131,0.002534,0.002602,0.002595,0.002926,0.000476,0.000503,0.000456,0.000672,0.006627,0.006786,0.000854,0.000887,0.00079,0.001034,0.000682,0.000655,0.000619,0.000772,0.000654,0.000757,0.000644,0.000626,0.000607,0.000772
