op_queue_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
324,995134,13351935,0,1043320,974162,555924,755575,439070,12134,12064,0,30125,6067,2403670,923765,8983292,17891189,17934796,4419151,5842516,5815833,17190952,26111200,24476872,6067,1439011,9184261,10699868,549927,0,209014,0
325,54533,7401677,1864932,544560,8331888,5300692,3395047,8534170,1284320,1841819,14407004,1234413,2455076,1603905,1322367,3400274,13627441,12498541,4979211,5908944,1200432,3861057,7291660,10840319,1272116,2379711,1959163,5483466,3838714,2186133,17657044,19768185
326,0,18131,160898,0,3872526,6588909,7265887,5142355,4150832,2112343,874564,12134,48326,4438408,0,674283,8830374,6449292,3630365,3477885,3999787,5485613,5611025,7161704,233422,9439670,54323,0,108926,0,9112974,11169524
327,1346985,2561342,886138,468565,0,480699,0,0,4723872,5710658,5635958,18753981,4116320,2694046,4866149,3583270,5997,0,0,0,2126408,6067,0,0,0,689328,1122051,2751945,1273936,777632,5997,0
328,6246975,5438197,4215504,6541108,5497677,7934844,4555507,6720242,5289923,4540217,4468212,17383574,4082625,5755997,10816080,4205126,0,750243,669651,6067,5997,0,731237,0,5818190,11833499,24454821,26835419,6016289,6701825,5698034,6938374
329,16794176,16388924,13454864,11342235,11195361,13850724,11021816,13299391,17707295,16341240,14842142,25723629,13227497,15633022,27962574,18664814,4709212,2601180,5251806,6276260,6754713,5946227,6764992,8633739,12857661,20150809,32371213,34509399,15076964,14574021,17220710,14019165
330,3768220,21783375,4117067,1479199,1990513,938425,4127235,1727736,8208874,3855935,4866960,12852358,833536,10660788,17361365,3034988,17919698,18557066,11954238,9025959,11865082,14671245,26037871,27307157,1419299,10138262,17687846,25625729,5821398,4964726,7028516,5870716
331,1059100,12897120,293602,0,1817936,3380323,3739297,11366678,2661045,247977,2150081,8795623,7579230,8628553,14233219,60530,7658918,9373919,21493547,17043600,992853,3266520,10378177,12835907,1065167,8905074,4224488,15939429,7260036,891715,23078493,21128564
332,0,0,0,0,6067,6067,11994,0,78591,6067,1309078,48396,1061346,1146844,0,0,2156113,2125778,15830054,10952891,2478329,2478609,6602583,9672532,12134,0,30055,0,0,0,0,0
333,13422528,12952680,23502687,18197829,15326160,12811587,9778594,13730842,16468921,16054965,13384615,18745767,15434287,24027581,16321796,13547736,0,0,0,0,0,18201,0,36192,12277790,14894155,12317669,14164038,13338710,13917922,13454012,14407360
334,18106585,20211689,24799100,20510191,15289105,18445783,14070921,19573895,17328084,20720308,15964578,23773613,17400637,23636073,31309108,22173238,19873926,18574999,11395327,13680393,20208101,11540871,12273648,14033831,10651758,14210468,37043609,40974897,11768821,12540806,19290246,19130718
