%util,ceph01,ceph02,ceph03,ceph04
380,47.8375,37.8125,42.175,35.4
381,35.1625,45.3875,33.0875,42.4375
382,36.55,49.6625,45.6375,33.0625
383,34.8125,37.3375,33.9,47.55
384,38.275,30.15,53.9875,51.75
385,34.625,38.7875,38.4875,34.875
386,53.85,34.575,37.175,33.45
387,42.7875,44.05,36.8,32.725
388,40.3375,57.425,39.45,37.975
389,34.2375,40.15,37.225,45.5
390,43.2,41.175,53.9625,45.7125
391,44.025,40.325,47.325,51.0625
392,54.2625,38.175,45.575,36.725
393,52.4875,43.5875,37.875,27.775
394,42.3375,49.325,40.2125,32.9125
395,35.1,46.625,42.7625,50.825
396,29.2625,41.975,51.875,48.125
397,45.2375,31.0125,43.675,58.025
398,47.65,36.525,38.725,38.3125
399,57.125,38.7625,40.15,33.4375
