w/s,ceph01,ceph02,ceph03,ceph04
290,2934.88,2499.25,2641.25,2844.25
291,2473.38,2933.0,2448.5,2838.88
292,2560.12,2634.5,2714.0,2543.62
293,2952.12,2539.5,2823.38,2867.62
294,2941.25,3161.12,2554.88,2406.0
295,2453.25,1902.5,1678.75,1686.5
296,3045.62,3022.75,3185.5,3248.02
297,2608.88,2726.75,2304.12,2754.62
298,2317.25,2450.38,2485.0,2552.25
299,2602.62,3087.75,2923.12,3140.88
300,2631.75,2809.38,2341.5,2407.38
301,3058.5,2560.0,2495.75,2280.5
302,3012.38,2901.88,2982.25,3136.25
303,3030.38,2935.88,2647.62,2652.38
304,2398.12,2176.88,2471.25,2570.62
305,2909.12,3218.88,3048.0,2877.75
306,2744.38,2395.0,2707.0,2784.75
307,2495.75,2210.0,2515.5,2051.38
308,3153.75,2938.0,2749.62,3024.25
309,2792.12,2355.25,2430.25,2533.0
310,2160.5,2147.25,2291.5,2298.12
311,2622.25,2945.75,2462.25,2949.88
312,3109.5,2447.25,2690.12,3107.38
313,2474.75,2357.75,2734.88,2271.5
314,2769.88,2930.25,2963.0,2507.0
315,2271.75,2178.62,2275.88,2148.0
316,2883.88,2918.25,2740.62,2996.12
317,2491.38,2615.5,2462.62,2548.12
318,3101.5,2439.25,2828.88,3268.88
319,2923.38,3012.38,3187.12,2783.75
320,3063.38,3007.62,3151.75,2330.25
321,2494.5,2603.0,2266.12,2314.75
322,2711.5,3067.25,2767.12,2864.62
323,2547.25,2706.12,2347.12,2767.62
324,2721.38,2771.75,2960.5,3065.75
325,2611.0,2290.75,2560.12,2749.75
326,3268.88,2942.12,3300.75,2085.38
327,3483.62,3355.38,2909.88,2455.75
328,2074.88,2755.0,2593.0,2567.38
329,2509.75,2210.75,2305.62,2699.38
330,2399.62,2971.88,3273.25,3538.75
331,3125.5,2672.5,3174.38,3470.75
332,2875.38,2787.12,2768.25,2337.12
333,3220.88,2929.5,2454.5,2400.25
334,2236.62,2842.75,2590.0,2186.12
335,2726.5,2177.88,2853.88,2864.5
336,2316.75,3059.25,3049.75,3349.5
337,2811.62,2314.38,2923.38,3053.5
338,2601.12,2141.38,2399.5,2491.62
339,3193.25,3321.88,2684.0,2183.25
340,2618.38,2773.25,2111.62,2279.38
341,2826.38,2343.25,2744.12,3234.75
342,2348.62,2642.75,2762.12,3176.12
343,2709.12,2379.12,3048.62,3253.38
344,1906.25,1686.5,1714.25,1927.12
345,2837.12,2966.25,2685.75,1902.62
346,3342.5,3339.88,2218.5,1944.38
347,2810.38,2540.75,3249.62,3035.12
348,2630.62,2322.62,2920.25,3277.88
349,2082.0,2657.0,2959.25,3242.12
350,3223.12,2646.62,2552.62,3163.5
351,2485.12,2737.62,2412.38,2199.5
352,3025.0,2925.25,2668.62,1727.38
353,2510.25,2784.5,2909.12,2715.75
354,2621.12,2498.88,2855.0,3374.75
355,2087.38,2523.62,2391.12,2886.0
356,2474.25,2386.0,2531.88,2872.38
357,2891.5,2722.0,2284.25,1946.62
358,3229.25,3219.0,3221.12,2071.88
359,2289.0,2441.38,2412.5,2108.38
360,2488.12,2395.0,3099.25,3157.5
361,2380.5,2277.88,2241.25,2739.25
362,2905.12,2369.25,2740.88,3181.38
363,2874.25,2580.0,2165.25,2331.25
364,3301.0,3247.62,3290.5,2376.5
365,3212.5,3028.0,2830.88,2352.62
366,2516.62,2490.5,3014.0,3092.25
367,2233.38,2013.88,2117.62,2812.12
368,2599.0,2606.5,2587.88,2962.0
369,3377.12,2469.12,2894.88,2632.25
370,2965.12,2812.0,2936.88,2093.75
371,3332.62,3252.5,3407.75,2002.12
372,2617.88,2994.88,2749.88,2855.88
373,2000.75,1681.62,2181.38,2690.88
374,2337.0,2430.75,2649.88,3083.38
375,3202.75,2330.62,2787.62,3020.88
376,3077.12,2808.88,2940.25,2489.62
377,3004.38,3051.88,3120.0,2020.0
378,2974.88,3188.12,2660.12,2286.75
379,2594.75,2486.62,2508.0,3011.62
380,2393.62,2710.75,2252.88,2861.75
381,3371.0,2524.62,3252.5,2771.5
