ops,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
316,1983326,2049105,2046064,2000141,1971610,2045876,2016652,2067164,2019821,2034596,2026316,2021560,2017419,2099028,2040329,1980173,2036162,1972588,2023310,2043908,2011257,2041554,2031982,2047423,1984184,2043523,2003614,2063421,2026370,2014729,2068323,2060141
317,1990926,2056477,2053983,2007702,1978921,2053073,2024093,2074745,2027596,2042497,2033553,2029597,2025054,2107438,2048333,1987549,2041481,1977589,2028025,2048551,2016907,2046068,2036470,2052773,1991372,2050984,2011032,2070934,2033732,2022006,2076101,2067571
318,1996755,2063252,2060548,2014010,1984858,2059385,2030525,2081091,2033637,2048763,2040095,2035687,2031688,2113740,2054513,1993676,2048842,1985098,2035735,2056634,2024156,2054340,2044648,2060007,1998495,2057765,2017819,2077321,2040450,2028595,2082535,2074044
319,2001475,2068061,2065607,2018599,1989380,2064405,2035047,2086520,2039375,2054171,2045636,2040721,2037156,2119312,2059818,1998952,2055844,1991884,2043205,2063969,2030250,2061622,2052019,2067203,2002737,2062308,2022514,2082585,2045121,2033461,2087683,2079063
320,2009712,2076571,2073945,2026906,1997382,2072970,2043192,2094837,2046470,2061717,2053157,2048886,2044775,2127117,2067914,2006190,2060725,1996559,2048022,2068353,2035365,2066113,2056582,2072190,2010613,2070616,2030165,2090596,2053380,2041370,2096039,2087479
321,2013792,2080720,2077969,2031000,2001630,2077309,2047427,2099148,2050955,2066094,2057546,2053804,2048893,2131455,2071944,2011222,2068835,2004291,2055751,2076774,2043679,2074234,2064662,2080185,2015169,2074848,2034775,2095379,2057671,2045575,2100573,2091800
322,2021423,2088915,2085580,2038743,2008931,2085107,2055145,2107407,2058768,2074003,2065158,2060436,2056276,2139520,2079655,2018144,2073065,2008514,2059683,2080974,2047468,2078294,2068962,2084504,2022131,2083394,2042046,2102777,2065052,2053638,2108085,2099708
323,2027627,2095252,2092554,2045229,2015478,2091813,2061567,2113889,2065185,2080501,2071786,2067010,2063391,2146494,2086151,2023899,2081280,2016223,2067517,2088969,2055263,2086353,2076587,2092099,2028874,2089770,2048637,2109721,2071845,2060201,2115175,2106602
324,2033237,2101045,2098470,2051037,2021170,2097453,2067401,2119594,2071025,2086450,2077853,2072962,2069106,2152421,2092143,2029841,2087783,2022457,2074407,2095638,2061943,2093194,2083632,2099332,2034214,2095649,2054286,2115303,2077642,2065697,2120865,2112103
325,2039780,2107847,2105223,2057492,2027527,2104371,2073753,2126550,2078107,2093128,2084585,2079583,2076351,2159436,2099117,2036434,2093882,2028329,2080355,2101611,2067839,2099100,2089249,2105142,2041265,2102200,2060806,2122468,2084426,2072707,2127917,2119281
326,2045587,2113808,2110841,2063284,2033608,2110420,2079734,2132594,2083886,2099205,2090218,2085210,2081295,2166021,2104393,2041958,2100602,2034649,2086945,2108459,2074350,2105763,2096172,2111642,2046958,2108063,2066673,2128450,2090308,2078523,2133986,2125138
327,2050139,2118905,2115443,2067678,2037895,2114973,2084090,2137099,2088606,2104543,2095495,2090723,2086817,2170291,2109961,2047082,2106399,2040438,2092771,2114303,2080299,2111829,2102172,2117933,2051178,2112673,2071385,2133702,2095144,2083354,2138499,2129669
328,2057273,2125988,2123342,2075061,2045353,2122490,2092286,2144695,2095459,2110798,2102196,2097118,2093226,2177580,2116384,2053778,2110800,2044912,2097368,2118759,2084537,2116261,2106710,2122373,2058612,2120367,2078530,2140690,2102407,2090704,2146614,2137150
329,2065180,2134171,2130633,2082715,2052654,2130602,2099033,2152468,2103383,2119117,2110595,2105010,2101237,2186304,2124605,2061788,2118703,2052262,2104682,2126363,2091903,2124049,2114193,2129913,2066136,2128210,2086045,2148332,2110014,2098097,2154217,2144907
330,2070718,2139531,2136871,2088646,2058652,2136247,2105341,2158558,2109259,2124325,2116114,2110856,2106798,2191902,2130222,2067371,2125886,2059203,2112757,2133712,2099413,2131433,2122587,2137567,2072403,2134150,2092071,2154782,2116401,2104114,2160491,2151262
331,2077370,2146257,2143930,2095379,2065139,2142956,2112260,2165273,2115826,2131364,2122692,2117627,2113482,2198545,2136862,2073810,2132402,2065349,2118761,2140190,2105535,2137788,2128071,2143908,2078850,2141008,2098424,2161740,2122837,2111152,2167555,2158116
332,2081558,2150743,2148107,2099451,2069507,2147489,2116491,2169939,2119955,2135665,2126993,2121825,2117528,2202876,2140940,2077874,2139052,2072060,2125567,2146837,2112120,2144183,2134599,2150477,2083176,2145368,2102858,2166245,2127154,2115452,2172021,2162607
333,2088952,2158133,2156543,2107732,2077493,2154949,2123227,2177276,2127860,2143655,2134790,2129542,2125512,2213430,2149353,2085751,2143441,2076352,2129767,2151544,2116431,2148937,2139397,2155166,2090244,2152689,2110000,2173866,2135188,2123026,2179439,2170100
334,2096152,2165574,2163095,2114072,2084096,2162421,2130978,2184859,2134861,2150431,2141513,2136377,2132148,2218311,2155840,2092296,2153344,2085412,2136984,2159451,2126172,2155934,2146799,2163120,2097696,2160183,2117305,2181314,2141678,2130054,2186959,2177520
335,2103365,2172976,2170118,2120946,2090930,2169695,2137822,2191511,2141640,2157852,2148441,2143165,2138926,2225039,2163795,2100000,2158323,2090690,2144369,2166800,2130946,2163933,2153983,2170161,2104397,2166896,2124767,2188359,2148701,2136516,2194307,2184278
336,2110170,2179792,2177393,2127818,2097547,2176740,2144652,2199015,2149107,2164571,2155614,2150287,2145808,2232475,2169632,2105904,2165031,2097215,2151189,2173589,2137525,2170668,2160834,2176718,2111264,2173968,2131212,2195660,2155446,2143842,2201314,2191707
337,2113764,2183729,2181335,2131731,2101119,2180628,2148566,2202839,2152856,2168327,2159652,2154166,2149734,2236573,2173646,2109927,2172389,2104463,2158130,2180758,2145221,2177995,2168024,2184052,2115302,2177701,2135021,2199554,2159660,2147667,2205326,2195820
338,2117706,2187779,2185434,2135597,2105172,2184569,2152490,2207053,2157279,2172778,2163894,2158386,2154055,2241085,2179378,2113938,2176275,2108220,2162388,2184607,2148792,2182033,2172100,2188048,2119164,2181912,2139354,2203941,2163527,2151690,2209542,2200088
339,2123953,2194469,2192157,2142000,2111517,2191294,2159011,2213903,2163249,2178834,2170114,2164450,2160338,2247613,2184294,2119981,2180280,2112137,2166343,2188593,2152909,2186149,2176090,2192115,2125314,2188298,2145417,2210428,2170349,2158206,2216247,2206544
340,2127049,2197658,2195397,2145150,2114565,2194451,2162146,2217202,2167004,2182478,2173879,2168029,2164211,2251290,2187826,2123498,2186849,2118568,2172808,2195216,2159563,2192901,2182577,2198705,2128862,2191962,2148878,2213998,2173883,2161609,2219823,2210042
341,2130934,2201666,2199291,2148868,2118285,2198238,2166079,2221239,2170349,2185994,2177326,2171659,2167557,2254939,2191273,2126775,2190174,2121764,2175743,2198348,2162705,2196068,2185902,2202028,2132382,2195544,2152343,2217684,2177551,2165213,2223531,2213745
342,2135625,2206624,2204349,2154031,2123255,2203529,2171090,2225818,2175269,2190991,2182441,2176583,2172511,2260204,2196305,2131569,2194081,2125550,2179913,2202490,2166501,2200054,2189784,2206103,2137346,2200666,2157237,2222790,2182384,2170183,2228743,2218861
343,2139734,2211021,2208846,2158372,2127130,2208215,2175576,2230425,2180091,2195692,2186895,2181346,2176990,2264750,2201044,2136393,2198837,2130420,2185003,2207656,2171087,2205131,2194529,2210979,2142059,2205628,2162090,2227586,2187188,2174935,2233061,2223558
344,2143841,2214864,2212780,2162226,2131224,2211908,2179365,2234542,2183884,2199758,2191105,2185262,2181051,2269052,2205031,2140044,2203295,2134520,2189148,2211815,2175638,2209100,2199283,2215486,2145932,2209517,2165851,2231588,2191360,2178972,2237596,2227741
345,2149637,2219706,2218695,2166633,2136990,2216196,2183872,2239151,2188903,2205082,2196939,2190229,2186957,2274351,2210794,2145301,2207470,2138596,2193276,2215944,2179777,2213430,2203027,2219587,2151221,2215102,2171050,2237401,2196411,2184142,2243583,2233186
346,2153189,2225417,2223432,2171958,2140268,2221616,2189530,2244683,2196075,2211038,2201603,2196384,2191952,2280065,2216039,2151078,2213456,2143812,2197818,2220448,2184414,2217944,2207666,2224342,2156876,2220721,2177060,2242968,2202111,2189324,2249191,2238225
347,2157740,2229131,2227328,2176267,2145095,2226421,2193530,2249408,2198153,2214523,2205617,2199500,2195520,2283913,2219568,2153974,2217993,2148356,2202947,2225352,2189234,2223254,2212882,2228846,2159724,2224094,2180062,2246111,2205747,2193067,2252384,2242193
348,2161837,2233254,2231475,2180241,2149016,2230650,2197818,2253577,2203706,2220627,2211497,2204771,2200904,2290239,2225815,2160008,2221824,2152362,2207634,2230197,2194037,2227838,2217648,2234091,2165805,2229721,2186175,2252549,2210924,2199106,2257945,2248146
349,2169081,2240923,2238908,2187722,2156319,2237866,2205537,2260975,2210015,2226089,2217390,2211105,2207101,2295957,2231453,2165695,2226055,2156312,2211859,2234426,2198257,2232036,2221755,2238244,2171206,2236304,2191744,2258596,2217593,2205004,2264360,2254292
350,2174681,2246366,2245207,2192848,2161257,2243176,2210638,2266832,2216781,2233184,2223560,2217388,2213593,2302230,2238557,2172201,2233676,2163738,2219075,2241774,2205480,2239407,2228919,2246080,2178231,2242749,2198542,2264438,2223788,2211845,2271850,2261501
351,2178760,2251288,2249587,2197846,2166033,2248363,2215476,2271796,2219977,2236484,2227569,2221449,2217383,2306683,2241801,2175379,2238998,2168509,2224203,2247151,2210341,2244983,2234214,2251013,2181334,2246366,2201966,2268430,2227674,2214981,2274939,2264709
352,2185154,2257986,2256072,2203962,2172353,2255609,2222496,2278411,2226674,2243609,2234498,2229464,2224653,2314856,2249969,2182591,2243624,2173425,2229147,2251740,2215165,2249395,2239083,2255489,2188432,2253851,2209200,2275652,2234907,2222167,2281979,2271902
353,2190017,2262767,2261130,2208868,2177182,2259821,2226764,2283252,2231672,2248398,2239343,2233294,2229278,2318832,2253949,2186983,2250705,2180147,2236072,2258771,2222084,2256608,2245634,2262647,2193221,2258457,2213832,2280864,2239601,2226838,2287165,2276881
354,2194716,2267432,2265644,2213562,2181611,2264831,2231164,2287924,2237381,2253632,2245394,2238494,2234259,2324303,2259604,2191768,2255513,2184935,2240907,2264002,2226933,2261460,2250960,2267535,2198545,2264159,2219223,2286904,2245359,2232615,2293302,2282131
355,2200302,2273565,2271459,2218847,2187136,2270690,2237273,2293910,2243621,2259897,2250758,2244960,2240659,2330297,2265567,2198036,2260312,2189853,2245891,2268238,2231215,2265975,2255411,2271999,2204776,2270892,2225263,2292774,2251527,2238349,2299654,2288831
356,2206090,2279090,2276952,2225012,2192342,2275913,2242741,2299598,2247679,2264814,2255730,2249519,2245322,2335603,2270342,2202433,2266209,2195019,2251601,2274585,2237303,2271993,2261478,2278245,2208994,2274810,2229711,2297331,2255716,2243000,2303939,2293158
357,2210904,2284256,2282278,2229888,2197694,2281397,2248178,2304759,2253713,2270884,2261306,2255287,2251408,2341299,2276056,2208268,2271741,2201242,2257088,2279812,2242857,2277786,2267159,2283539,2215314,2280882,2235533,2303540,2262195,2249289,2309736,2299151
358,2216572,2290649,2288314,2235690,2203570,2287408,2254056,2310935,2258483,2275857,2266713,2260269,2256185,2346882,2281194,2212919,2277209,2205585,2262291,2285289,2247982,2283060,2271991,2288729,2219927,2286142,2240503,2308538,2266576,2253837,2315263,2304304
359,2219931,2294078,2291856,2239054,2206898,2290923,2257496,2314407,2263290,2280656,2271759,2264862,2260877,2351998,2286576,2217796,2283245,2211427,2268327,2291320,2254346,2288957,2278090,2295211,2225081,2291961,2245374,2313497,2271461,2259550,2320379,2309428
360,2227655,2301916,2299645,2246676,2214421,2298455,2264984,2322264,2270320,2287664,2278578,2272127,2267794,2359214,2293277,2224621,2286622,2214770,2271752,2294803,2257695,2292548,2281568,2298732,2231504,2297739,2252377,2320676,2278639,2265906,2327322,2316148
361,2231370,2305719,2303705,2250640,2218413,2302480,2268954,2326166,2274834,2291998,2283040,2276373,2272262,2363760,2297448,2228788,2294390,2222325,2279799,2302536,2265641,2300365,2289336,2306679,2235389,2301842,2256537,2324880,2282513,2270191,2331765,2320329
362,2236570,2310958,2308689,2255377,2223215,2307571,2273950,2331601,2280004,2296890,2287665,2281218,2276795,2368778,2302345,2233750,2298314,2226293,2283562,2306590,2269369,2304121,2293042,2310732,2240328,2307092,2261417,2329939,2287744,2274571,2336566,2325482
363,2242184,2316479,2314745,2261221,2228598,2313085,2279532,2337310,2286609,2304730,2294699,2287975,2284420,2376291,2309773,2240658,2303300,2231063,2288679,2311689,2274263,2309371,2298396,2315917,2247631,2313843,2269056,2337777,2295052,2281981,2344323,2332955
364,2246983,2321787,2319731,2266031,2233600,2318361,2284553,2342546,2290202,2307749,2298409,2291688,2287810,2379627,2313757,2243913,2309063,2236839,2294301,2317392,2280050,2314999,2303957,2321505,2251422,2318378,2272192,2340998,2298506,2285377,2347570,2336363
365,2252510,2327624,2325644,2271726,2239210,2324176,2290241,2348354,2296651,2315036,2305373,2298186,2293755,2386489,2320609,2250698,2314272,2241586,2299448,2322476,2285032,2320176,2309218,2326876,2258038,2324816,2278494,2347951,2305454,2292433,2354431,2342967
366,2260480,2335556,2333678,2279353,2246579,2332425,2297626,2356635,2304259,2321735,2312825,2305819,2301287,2394219,2327710,2257837,2320139,2247153,2305145,2328239,2290400,2325788,2314796,2332604,2264801,2332116,2286065,2355231,2312736,2299660,2361972,2350518
367,2266437,2342083,2340247,2285365,2252778,2338762,2303840,2362913,2310844,2327848,2318870,2311561,2307137,2400408,2333744,2264108,2327866,2255074,2313219,2336477,2298287,2333783,2322496,2340669,2270617,2337966,2291957,2361931,2318379,2306232,2367958,2356383
368,2272768,2347675,2345756,2291594,2258528,2345038,2310118,2368852,2316288,2333878,2324811,2317639,2313050,2406604,2339551,2269481,2334667,2261051,2319599,2342410,2304410,2340204,2329039,2347349,2276510,2343887,2297752,2367459,2324375,2311106,2374013,2362734
369,2277130,2352517,2351002,2296444,2263421,2349666,2314871,2373787,2321286,2338949,2329753,2322602,2318012,2411783,2344577,2274661,2340656,2267074,2325592,2348877,2310451,2346356,2335154,2353099,2281404,2348957,2302738,2372457,2329135,2316238,2379414,2367920
370,2282293,2358170,2356659,2301722,2268965,2355164,2320302,2379448,2328186,2345777,2337807,2329658,2324901,2419096,2351955,2281614,2345431,2271795,2330555,2353730,2315338,2351546,2340129,2358108,2288357,2355801,2309847,2379429,2336442,2323657,2387795,2374370
371,2288484,2364444,2362967,2308146,2274864,2361508,2326822,2385962,2334330,2352168,2342950,2335554,2331046,2425557,2357491,2287304,2350957,2277120,2335894,2359266,2320829,2357096,2345546,2363829,2294319,2362585,2315706,2386078,2342463,2329296,2392458,2380847
372,2295877,2372315,2370936,2315488,2282208,2368858,2333726,2393336,2340173,2358137,2348791,2341620,2337345,2431775,2363714,2293800,2357555,2283273,2342381,2365700,2327257,2363608,2352163,2370139,2300686,2368747,2321869,2392033,2348588,2335548,2398925,2387670
373,2301626,2378347,2377160,2321375,2288089,2375333,2339910,2399529,2346571,2365445,2355481,2348600,2344227,2439789,2370555,2300597,2365637,2290850,2349905,2373693,2334605,2371798,2359844,2378524,2307409,2376236,2329329,2400356,2356064,2342356,2406456,2394283
374,2309554,2385572,2384284,2328454,2294980,2383303,2347323,2406864,2353392,2371666,2361775,2355197,2350034,2445545,2377077,2306168,2371307,2296804,2355757,2379326,2340552,2377166,2365752,2383796,2315168,2382912,2335725,2406704,2362595,2349285,2412982,2401650
375,2313521,2390536,2389255,2333496,2299946,2387704,2352406,2412193,2358973,2377091,2367229,2360390,2355469,2451158,2382613,2311594,2379273,2304270,2363770,2386730,2347688,2385212,2373587,2391149,2318917,2387456,2340309,2411212,2367253,2354108,2418214,2406500
376,2321479,2397099,2395746,2340197,2306647,2393998,2359478,2419074,2367257,2385953,2375938,2369271,2364449,2460092,2391840,2320009,2383410,2308497,2367699,2391806,2352658,2389410,2378029,2396197,2328118,2396963,2348757,2420159,2376184,2362973,2427304,2414623
377,2326776,2404127,2402797,2346609,2312776,2401129,2365629,2425812,2372875,2391436,2382160,2375964,2369802,2466045,2397607,2325797,2390880,2315303,2374785,2398827,2361562,2396093,2384718,2403722,2334273,2403287,2355382,2426295,2382881,2369099,2433625,2422413
378,2332903,2410302,2409401,2352737,2319227,2407523,2371910,2432380,2377550,2396055,2386310,2379563,2374478,2471049,2401880,2330086,2397267,2321597,2381066,2405408,2366079,2403054,2391616,2409755,2338391,2407966,2359683,2431063,2387117,2374214,2438624,2426951
379,2339188,2417416,2416097,2358574,2325360,2413353,2378525,2438747,2384795,2403321,2394175,2387261,2382020,2478452,2409467,2337198,2403687,2327864,2387504,2411851,2372392,2409283,2397849,2416271,2345472,2414792,2367022,2438731,2394336,2381431,2445934,2433932
380,2345563,2423702,2422641,2365408,2331275,2420299,2384680,2445636,2390294,2408896,2399065,2392232,2387140,2483975,2414547,2342643,2410085,2333979,2393873,2417871,2379433,2415941,2404888,2423083,2350284,2419825,2371558,2443853,2399275,2386021,2450930,2438908
381,2351346,2429916,2428703,2371161,2337361,2426225,2390635,2451605,2397459,2416484,2406884,2399324,2394307,2491797,2422003,2349496,2416505,2340352,2400324,2425070,2385525,2422301,2410830,2429287,2357265,2427142,2378655,2451327,2406733,2393197,2458015,2446341
382,2358550,2437304,2435922,2377669,2344743,2434116,2397937,2459200,2404028,2422805,2413151,2406225,2400816,2498630,2428560,2355893,2422752,2345988,2406225,2430932,2391465,2428379,2416432,2435217,2364295,2434167,2385552,2458158,2413724,2400121,2465423,2453858
383,2364791,2443504,2442346,2384588,2350742,2440056,2404320,2466008,2410716,2429368,2419699,2412443,2407977,2505699,2435403,2362928,2430254,2352882,2413637,2438362,2398747,2436071,2423807,2442676,2370785,2440819,2392119,2465009,2420039,2406876,2471834,2460033
384,2369423,2448714,2447350,2389653,2355604,2445356,2409479,2471042,2416468,2435576,2425766,2418529,2413450,2511231,2440918,2367950,2436711,2359636,2419772,2444946,2405101,2442535,2430293,2449303,2378111,2448524,2398891,2471384,2426057,2413591,2478471,2466964
385,2377425,2456631,2454888,2397351,2363114,2452979,2417014,2478859,2423760,2442879,2432931,2426167,2420450,2519068,2449434,2375179,2441812,2364385,2425022,2449837,2410232,2447512,2435591,2454473,2383807,2454607,2405723,2478746,2433391,2420186,2485514,2473653
386,2382952,2462334,2460825,2402911,2368500,2458890,2422810,2484880,2428056,2447065,2436905,2430357,2424918,2523907,2453196,2379711,2449791,2371920,2432632,2457499,2418168,2454855,2443181,2462122,2387261,2458200,2409214,2482722,2437040,2423873,2489548,2477623
387,2389198,2469338,2467224,2409148,2375278,2465847,2429795,2491938,2435625,2454658,2444458,2437710,2432352,2531681,2461103,2387369,2455436,2377697,2438447,2463538,2423704,2461112,2449314,2468295,2394888,2466526,2417000,2490580,2444675,2431569,2497488,2485443
388,2395557,2475819,2474135,2415857,2381343,2472096,2435814,2498096,2443527,2462621,2452018,2445832,2440110,2539808,2468694,2394598,2462367,2383949,2445067,2470443,2429853,2468398,2455998,2474514,2402662,2473934,2424424,2498207,2452200,2438976,2505133,2493340
389,2400600,2480964,2479122,2420938,2386473,2477247,2440953,2503625,2446587,2465700,2455631,2449068,2443222,2543263,2472059,2398055,2468484,2390629,2451553,2476876,2436542,2474241,2462444,2481384,2405982,2477441,2427930,2502249,2455871,2442924,2508819,2496729
390,2405713,2486463,2484952,2426482,2391773,2482721,2446576,2509229,2452879,2472160,2461977,2455331,2449475,2549793,2478712,2404065,2473866,2395625,2456778,2482050,2441774,2479654,2467495,2486689,2412207,2484117,2434361,2508533,2462621,2449114,2515395,2503282
391,2412560,2493400,2491627,2432704,2398403,2489235,2453142,2516305,2459311,2478632,2468315,2461724,2455816,2556148,2484689,2410649,2479501,2401053,2462522,2487598,2447429,2485433,2473264,2492182,2419051,2491106,2441120,2515257,2468801,2455972,2522911,2510335
392,2418924,2499914,2498163,2439228,2404805,2496063,2459437,2523035,2465382,2484740,2474403,2467570,2462163,2562835,2490886,2416199,2486201,2407304,2468959,2494435,2453937,2491928,2479635,2498701,2424245,2496232,2446365,2521173,2474318,2461276,2528380,2515797
393,2424474,2505991,2503886,2444944,2410923,2501870,2465062,2529806,2471517,2490999,2480346,2473507,2468454,2568841,2497601,2421906,2492679,2413546,2475568,2500844,2460295,2498452,2486438,2505661,2431829,2503860,2453929,2528927,2482049,2468280,2535774,2523387
394,2430889,2512306,2510637,2451514,2416640,2508474,2471862,2535803,2476728,2496349,2486459,2479092,2474008,2574912,2502427,2427293,2498875,2419408,2481716,2506500,2466307,2504782,2492276,2511520,2435892,2508264,2458144,2533140,2486514,2473420,2540620,2527917
395,2436931,2518425,2516410,2457121,2422357,2514442,2477217,2541279,2482541,2502749,2492446,2485022,2479698,2580855,2509034,2433336,2505310,2425440,2488073,2513284,2472781,2511019,2498912,2518020,2443465,2516355,2465672,2540703,2494227,2481180,2548570,2535709
396,2442530,2524263,2522705,2463456,2427988,2520746,2483757,2547946,2489255,2508880,2498538,2491630,2486011,2587955,2515610,2439075,2511102,2431479,2493971,2519088,2478482,2516921,2504400,2523922,2448296,2521274,2471036,2546561,2499380,2486301,2553883,2541380
397,2449265,2531412,2529738,2470385,2434984,2526836,2490285,2554448,2496830,2516224,2505599,2498948,2492577,2594936,2522810,2446191,2517873,2437326,2499938,2525215,2484396,2523154,2510736,2530325,2455797,2528874,2478566,2554646,2506417,2493409,2561961,2549045
398,2456192,2538305,2536613,2476829,2441299,2534245,2497155,2562133,2502441,2522524,2511957,2505750,2499695,2601506,2528711,2452111,2524806,2443618,2506958,2531955,2490561,2530203,2517441,2535903,2462680,2536565,2486379,2562384,2513850,2501628,2568859,2556244
399,2463508,2546029,2543756,2483606,2448168,2541741,2504237,2569068,2509553,2529839,2519537,2512502,2506412,2608994,2535848,2459317,2531379,2450799,2513904,2539054,2498349,2537592,2524476,2543834,2468396,2542015,2491148,2567620,2519767,2506452,2574909,2562156
400,2468048,2550660,2549077,2488915,2453271,2546634,2509274,2574489,2514910,2534634,2524705,2517358,2511460,2614143,2541305,2463988,2539065,2458400,2521121,2546620,2505577,2545267,2531480,2551192,2476165,2548744,2498613,2575140,2526134,2513160,2582627,2569593
401,2474943,2557590,2556486,2495852,2459908,2553760,2516135,2581316,2520978,2541006,2530609,2523815,2517771,2620664,2547389,2470230,2543988,2462763,2525877,2551686,2510420,2549684,2537006,2555907,2479924,2553750,2502686,2579432,2531323,2517752,2586719,2573712
402,2480564,2563809,2562207,2500980,2465159,2559043,2522004,2587414,2526768,2546730,2536292,2529889,2523732,2626623,2553648,2476119,2550906,2469481,2533009,2558628,2516958,2556833,2544164,2563093,2486504,2561860,2509647,2586698,2538185,2525672,2593462,2581908
403,2488857,2572271,2569406,2508079,2471514,2568024,2528821,2595539,2536463,2554741,2544603,2538369,2532245,2636088,2562329,2484447,2556377,2475376,2538437,2564261,2522235,2562442,2549480,2569221,2492981,2567387,2516047,2593141,2544809,2531316,2600642,2587707
404,2493445,2576615,2575389,2514201,2478021,2572894,2535261,2601071,2540398,2561247,2550015,2543349,2537649,2641055,2567553,2489390,2563970,2482899,2545427,2572219,2529594,2569585,2557242,2576881,2500657,2574733,2523020,2600421,2552381,2538827,2607997,2595106
405,2500738,2583734,2582481,2521388,2484907,2579928,2542284,2607916,2548755,2567941,2557354,2550567,2545044,2649199,2574833,2496527,2569755,2488188,2551613,2577574,2535583,2575677,2563221,2582361,2508762,2583186,2531100,2608277,2560254,2546538,2615874,2602353
406,2507927,2591543,2590555,2528782,2492209,2587811,2549591,2616085,2555226,2575505,2564583,2557911,2551807,2656320,2581989,2503609,2577918,2496072,2558849,2584952,2542522,2582584,2571196,2590658,2513764,2588315,2536752,2614705,2566101,2552083,2622063,2609123
407,2512806,2596720,2595424,2533704,2497450,2592993,2554696,2620825,2560846,2580873,2570078,2563766,2557031,2661785,2587383,2509283,2584512,2502564,2567048,2592926,2550418,2590440,2578240,2597490,2518925,2593805,2541957,2620101,2571328,2557673,2627778,2614522
408,2519563,2604371,2602510,2540492,2504750,2599739,2562053,2628149,2567767,2587869,2576957,2570245,2564363,2668826,2594799,2516315,2589644,2507812,2571910,2597987,2555424,2595775,2583573,2602612,2525908,2601059,2549135,2627551,2578283,2564975,2634952,2621339
409,2526995,2610319,2609177,2547144,2511359,2606753,2568218,2634806,2575430,2595345,2586616,2577519,2571942,2679188,2602168,2523252,2596596,2514239,2579549,2605577,2562633,2602126,2590248,2609220,2533669,2609005,2556807,2635946,2586363,2573054,2643953,2628956
410,2532928,2617689,2616451,2554414,2517523,2613791,2575438,2642065,2581036,2601985,2590903,2583558,2577392,2683405,2608318,2529231,2603553,2520783,2585815,2612215,2568894,2609832,2597035,2616416,2539771,2615360,2563457,2641794,2591955,2578232,2649730,2635517
411,2538366,2622972,2621721,2559728,2522758,2619460,2580829,2647623,2590238,2609606,2597799,2590184,2586432,2689978,2615972,2536461,2610724,2527995,2592656,2618849,2576054,2616566,2604085,2623089,2545979,2622003,2569759,2649421,2600025,2585683,2656268,2642930
412,2544783,2629629,2628433,2566082,2529309,2626220,2587115,2654549,2594116,2614643,2603770,2596768,2590449,2696826,2621035,2542077,2616069,2533059,2597995,2624098,2581288,2622027,2609743,2628510,2550654,2626467,2574506,2653636,2604103,2590096,2661225,2647694
413,2550967,2636096,2635239,2572612,2535327,2632238,2592842,2660652,2600500,2620944,2610205,2603198,2596696,2703529,2627696,2548487,2622776,2539674,2604440,2630865,2588123,2628723,2616587,2635270,2557380,2633217,2581045,2660453,2610622,2596620,2668097,2654299
414,2559060,2644056,2642947,2579443,2543578,2640274,2600558,2669159,2607457,2628386,2617221,2610184,2604110,2711191,2635057,2555322,2629160,2546183,2610674,2637222,2593961,2634648,2622758,2641709,2564339,2640145,2587891,2667708,2617748,2603517,2675066,2661729
415,2566150,2650510,2649661,2586051,2550268,2646460,2607098,2676564,2613894,2634559,2623746,2616542,2610146,2717697,2641254,2561633,2638405,2554185,2619104,2644950,2602118,2642907,2630524,2650329,2570739,2647096,2594586,2674342,2624353,2610138,2682003,2668144
416,2570115,2655847,2654306,2591428,2554732,2652424,2612675,2680952,2618993,2639762,2628635,2621768,2615277,2723203,2646307,2566430,2644536,2560671,2626034,2652046,2608998,2649745,2636867,2656539,2575674,2651925,2599363,2679203,2629335,2615255,2687003,2673462
417,2575636,2661581,2660168,2596851,2560100,2657931,2618156,2686570,2625553,2646897,2635505,2628162,2621801,2730581,2653396,2573246,2649373,2565462,2630904,2657377,2614112,2655073,2642504,2661473,2582347,2658585,2605899,2686431,2636058,2621975,2694213,2680047
