journal_wr,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
235,673748,689384,694459,686338,686165,683129,688198,689855,687176,695199,683636,691620,703133,681056,678098,686547,668621,675690,672148,677193,675592,672093,676160,677383,691320,675666,679479,678808,681279,680276,669411,675631
236,676817,691838,697610,689663,688524,684915,691321,692609,690249,697705,686658,695051,706873,684142,679960,688484,670883,677791,674333,679475,678102,674490,678831,680210,694080,678528,682544,681941,684382,683298,672528,678736
237,680099,695452,700383,692530,691369,688473,694067,695691,693159,700735,689081,698052,709301,686602,683239,691972,673956,680806,676396,681596,681504,677742,681905,683333,697864,681667,686019,685457,686707,685951,675864,682084
238,682749,698306,703120,695081,694195,691177,696739,698628,695612,703261,691283,700521,711609,688914,685718,694696,677410,684527,680224,685163,685034,681119,685144,686602,699425,683503,688608,688051,687921,687394,678624,684864
239,685465,701145,706143,697812,696887,694115,699607,701275,698581,706406,693507,702889,713681,690892,688485,697513,680732,687671,682729,687906,687909,684370,688607,689603,701882,685581,691352,690845,690286,689797,681767,687705
240,688830,704700,709622,701258,700441,697394,702475,703928,701662,709551,696541,705945,716499,693472,691414,700400,683293,690337,685113,690376,689894,686521,690370,691270,705168,689125,693437,692591,693560,693071,683842,690011
241,691139,706556,711463,703190,702156,699731,703867,705539,704311,712310,699918,709234,719932,696845,693439,702662,685070,692062,687807,693053,691544,688483,693081,694135,707915,691608,695795,695302,696566,695903,686004,692105
242,693806,710230,714002,705980,704764,702243,707153,709009,706837,714461,703419,713127,723786,700819,697441,706121,687587,694444,689436,694647,694602,691143,696116,696998,711437,695219,699221,699043,700065,699345,689759,696235
243,697045,712946,717222,708922,707851,705685,710261,712030,709728,717453,706451,715814,726149,703310,699537,708799,691168,698388,693119,698412,698203,694907,700136,700761,714904,698243,702467,702235,703050,702196,693128,699587
244,700073,716108,720067,711382,710834,708671,713373,715325,712868,720757,708299,717340,728095,705278,702568,712105,694583,701745,696311,701837,701602,698406,703744,704678,716776,700057,705489,705006,704849,704024,696046,702455
245,703585,719442,723581,715034,714284,711853,715769,717930,716061,724670,711295,720363,731344,708041,705698,714977,697533,704467,699247,704932,704731,701295,706549,707287,720017,703230,707596,707182,707784,706993,699254,705833
246,706438,722757,726662,717992,717274,715568,718375,720396,719196,727475,714503,723705,734018,711299,707937,717310,700749,707801,703055,708499,706940,703869,708383,709207,722997,706104,710315,709820,711232,710233,701384,707825
247,708280,724485,728649,719787,719484,717300,720431,722455,721257,729519,718415,727198,737365,714717,711041,720658,702903,709841,704712,710452,709859,706148,711762,712151,725611,708728,713140,712422,713669,712590,703148,709496
248,710698,726879,731554,722459,721765,719447,723661,725688,723886,732629,721948,730352,741013,718035,714575,724358,704929,712201,706317,712176,712141,708876,714387,714851,729388,712606,716996,716103,717054,716847,706897,713371
249,713545,729513,734766,725529,724599,722152,726692,728956,726670,734910,723641,731875,743352,720514,717364,726817,708770,715774,709898,715979,715933,712574,718212,718307,732705,715653,720105,719272,720258,719862,710171,716894
250,716229,732757,737628,728744,727580,725095,729395,731485,729557,737989,726031,734456,745138,722271,719936,729734,712145,719171,713335,719149,718992,715830,721257,721348,734412,717508,722860,722055,722029,721726,713081,719784
251,719063,735852,740755,731779,730707,728281,731657,733753,732761,741431,729180,737717,748452,725428,722636,732406,715008,721923,716224,722013,721840,718632,723333,723645,737266,720258,724412,723735,724879,724228,716347,722942
252,722189,739244,744184,734869,733705,731425,734124,736569,736124,744541,732413,741074,751529,728801,724688,734304,718241,725344,719211,725301,723958,720834,725396,725887,740046,723329,727856,726561,728212,727290,718572,725328
253,724321,741142,745809,736363,736909,734736,737315,739288,737950,746454,735450,744229,754543,731837,727643,737372,719820,726895,721926,727352,726230,722908,728586,728855,743202,726249,730431,729761,730925,730029,720702,727614
254,726333,742969,748728,739278,738621,736562,740314,742514,739964,748629,738645,746740,757898,735060,730880,740977,722031,729221,724044,729758,729318,725953,731561,731673,746907,729778,734082,732991,734417,733652,724018,730864
255,729184,746105,752032,742468,740885,738543,743136,745538,742836,751420,739711,748150,759371,736503,733577,743493,725266,732554,727331,732969,732386,729447,734987,735350,749882,732678,736913,735959,736901,736457,726865,734010
256,731902,749030,754865,745178,743762,741358,745607,747978,745898,754746,742690,751148,762177,739093,736714,746485,728567,735635,730375,736299,735506,732812,738064,738535,751402,734161,738596,737717,738727,738240,729686,736659
257,735356,752258,758492,748770,747339,744759,748402,750964,748869,757542,745589,754120,765032,742029,738217,747984,731380,738531,733436,739343,737800,735116,740656,740935,754682,737247,741117,740105,741989,741650,732752,740014
258,738039,755029,760696,750912,749885,747483,751005,753414,751746,761215,748623,757729,767996,745396,740957,750921,734507,741567,736609,742359,739867,736887,742486,742697,757343,739989,743624,742969,744792,744382,734799,742053
259,740350,757236,762033,752312,752958,750459,754040,756607,753899,762772,751754,760216,770792,747953,743911,753448,736369,743293,738218,744147,741506,738838,744630,744863,760032,742727,746203,745765,747586,747169,735967,743295
260,742560,759474,765609,755629,755092,752382,757932,760438,755770,764773,753991,762688,774069,751236,747061,756711,738741,745893,739701,745562,744298,741681,747473,747539,764084,746661,750160,749583,751681,751055,739540,746865
261,745894,762195,769088,759040,757689,755362,760704,763399,759071,768151,756253,764962,775930,753061,749708,759346,742250,749217,743113,748898,747471,745341,751177,751590,766904,749316,753413,752826,753866,753574,742752,749811
262,748562,765743,771357,761594,760553,758257,763583,766573,761903,771030,758958,767794,778826,755982,752247,761879,745366,752441,746276,752190,750943,748371,754269,754364,768358,751058,755661,754948,756187,755723,745631,752890
263,751959,769343,775013,765355,763761,761880,766472,769683,765049,774368,762253,771246,782378,759701,754718,764313,748975,755973,749595,755748,754186,751701,757570,757541,771641,754253,758411,757846,759564,759206,749176,756366
264,754721,771984,777000,767388,766700,764429,769499,772362,768074,777441,765386,774453,785767,762461,757307,767085,751520,758752,752865,758850,756692,754075,759329,759065,774503,757034,761198,760868,762371,762490,751143,758190
265,756921,774512,779251,769493,770069,767774,772633,775652,770220,779733,768094,776928,788774,765467,760252,770101,752633,759937,754502,760560,757815,755268,760859,760875,777725,760143,764326,764007,765486,765502,752699,759982
266,759177,776713,782306,772606,771905,769703,775745,778597,771825,781274,769502,778380,790501,766798,763021,772913,755198,762517,756691,762623,761148,758495,763458,763480,780984,763283,767499,767236,768711,768689,756013,763117
267,762415,779832,785399,775715,774528,772187,778357,781198,774353,783918,772339,780986,792241,768611,765842,775533,758536,765834,759693,765721,764213,761718,766782,766754,783302,765529,770319,770477,770674,771007,759102,766237
268,765850,783307,788996,779109,777975,775938,781441,784400,777531,787084,775406,784260,795437,771800,767481,777487,761635,768859,763005,768783,767302,764719,769946,769720,785586,767839,772619,772558,772576,772895,761890,769215
269,768776,786844,792262,782150,781105,779176,784427,787201,781259,790751,778893,787882,799324,775321,771123,781005,765163,772340,766483,772249,770771,768478,773535,773204,789128,771098,775635,775531,775673,775998,765028,772358
270,772508,790408,795008,784888,784597,782430,787796,790530,784369,793748,782160,791427,802638,778666,774325,783841,767576,774955,769446,775235,772824,770045,774953,775267,792317,774472,778785,778871,779320,779494,767844,775026
271,774327,792270,797371,787382,787632,785668,790937,793358,786985,796808,784120,793434,805181,781398,777315,786808,769194,776605,771420,777311,774752,772028,777135,777260,795730,777501,781761,781988,782379,782813,770137,777185
272,776389,794305,800281,790234,789033,787324,793746,796060,788818,798758,786338,795914,807069,783184,780589,789837,771692,779167,773781,779308,777896,775138,780246,780360,798574,780263,784766,785082,785306,785578,773210,780307
273,779706,797641,803866,793506,791901,790076,796320,798908,792015,801948,789948,799587,810915,786469,783485,793130,774775,782285,776791,782741,780884,778170,783324,783527,800260,781833,788207,788664,788555,788679,776584,784138
274,783316,801429,807352,796937,795933,793355,799661,802280,795179,805260,792707,802410,813858,789481,785652,795379,778132,785721,780627,786082,784264,781855,786686,787033,803756,785412,790241,790495,790488,790624,779794,787473
275,786607,804675,810851,800633,798771,796643,802830,805597,798753,809086,796526,806463,817583,792955,789561,799133,781495,789375,783984,790069,787546,784835,790395,790936,806780,788359,792938,793507,793712,793996,782892,790835
276,789739,808235,813393,802999,802167,799862,806222,808993,802103,812395,799516,809286,821141,796256,792986,802410,784365,792515,787030,793213,790191,787012,792169,792892,809883,791795,796141,796784,797164,797099,785089,793195
277,791391,809944,815748,805156,805007,802736,808498,810935,804297,814463,800751,810483,823110,798141,795678,805153,786026,794110,789104,795250,791926,788911,794028,794482,812782,794551,798980,799633,800326,800092,787097,795046
278,794261,812717,819128,808496,807180,804771,811163,813613,807163,817227,804092,813806,826228,800988,799110,808618,788380,796685,790815,797028,794923,791727,796891,797661,814926,796813,802620,803365,803527,803473,790669,798351
279,797267,815738,822407,811745,809902,807741,814176,816751,810506,820459,807779,817321,829759,804561,800564,809982,791986,800216,794128,800378,798400,795142,800324,801037,817794,799468,805621,806761,806467,806172,794232,801896
280,801171,819316,826263,815232,813649,811262,817741,820341,813818,823457,810667,820099,833172,807849,803246,812797,795616,803493,797556,804062,802209,798894,804295,805113,821086,802678,807616,808541,808613,808511,797525,804967
281,804214,822719,829661,818635,816860,814518,821123,823801,817045,827003,814191,823654,836737,811510,806837,816519,798854,806886,801408,807951,805825,802408,807835,808226,824087,805771,810269,812143,812071,811403,800710,808041
282,806820,825552,831565,820381,819620,817446,823471,826161,819604,829896,816165,825399,839259,813910,810080,819277,801870,810052,804519,811142,808168,804551,809658,810368,826940,808432,812896,814279,814586,814060,802581,810054
283,809153,828023,834352,823261,822833,820717,826423,829288,821850,831806,818412,827965,840814,815475,812781,822137,803382,811628,806596,813248,809943,806429,811414,812056,829941,811496,816215,817718,818072,817615,804916,812446
284,812511,830939,838060,826923,824935,822889,828814,831303,823850,833781,822137,831580,844514,819127,815866,825105,806473,814645,808956,815690,813430,809720,814898,815426,831768,813415,819508,821588,822152,821495,808288,815865
285,815577,834334,841011,830057,827058,825095,832247,834670,827015,837249,825249,836019,847841,822860,817604,827548,809554,818368,812503,819224,816373,812712,818367,818855,834944,816254,822317,824040,824212,823391,811508,819104
286,819755,838621,844538,833487,830704,829363,836207,838848,830344,840486,828796,838667,851385,825804,821015,830493,812820,821172,815459,822211,819626,816020,821102,821942,838498,820015,824542,826058,826479,825855,815038,822552
287,822461,841241,847638,836652,833614,832386,839048,841837,833552,843650,831026,841223,854319,828671,824335,833375,816304,825147,819409,826427,823362,819471,825292,825625,841226,822763,826662,828408,828781,827983,817884,825458
288,825589,844338,849448,838334,836631,835028,841468,844007,836490,846372,832736,843140,855870,830072,827042,836372,819025,827779,822148,829354,825523,821958,827086,827866,843910,825574,829616,831267,831836,831241,819815,827858
289,827774,846674,852681,841274,839967,838231,844153,846591,838994,849265,835813,846002,858089,832541,829564,838700,821086,829604,824232,831418,827460,824078,828569,829251,846006,827696,832496,834067,834918,834048,821374,829320
290,830957,850142,855773,844511,842185,840352,847416,849760,841587,851735,839402,849515,862039,836077,832298,841293,824001,833073,826717,833989,830615,826985,831818,832594,848225,829929,836104,837709,838134,837345,823955,831690
291,834066,853277,859626,847744,845045,843171,850787,853317,844342,854632,842709,852865,865483,839033,835061,844198,826715,835661,830167,837233,833492,830111,835091,835899,852062,833159,839029,841269,841676,840389,827341,835474
292,837089,856521,863151,851010,847974,846365,854362,856687,847371,858179,845899,856385,869359,842694,838512,847608,830368,839671,833918,840984,837278,833981,838762,839359,855632,836267,841225,843334,843937,842965,830537,838777
293,839291,858512,864845,852978,850305,848321,856221,858628,849501,860215,847150,857504,870891,844242,840641,849497,834058,843257,837207,844644,840185,836806,842330,842664,857415,838199,842383,844663,845784,844613,832970,841043
294,842221,861576,867264,855232,853374,851445,858685,861053,851996,862746,849565,860074,873296,846555,843541,852458,836157,845377,839721,847053,842404,839086,844058,844313,859852,840713,845421,847665,848750,847599,835603,843773
295,844582,863841,870740,858725,856666,854665,861580,863749,855273,866171,852836,863171,877020,849934,846005,855145,837785,847169,841514,849056,844020,840902,845595,845825,862073,843062,848536,851281,852103,850927,837285,845549
296,847627,866961,874235,862019,858503,856511,864867,867215,856630,867495,855848,866452,879949,852282,848145,857157,840780,850279,843976,851218,846867,843724,848562,848512,865618,846507,851878,854355,855049,853947,840608,848961
297,851079,870966,877733,865520,861620,859526,868417,870637,859073,870875,858890,869623,882902,855603,851842,860575,844296,853619,847295,854943,850164,846988,851746,851639,869317,849951,855458,857692,858506,857236,843904,852477
298,854412,874509,881322,868979,865170,863079,871365,873471,862583,873917,861710,872660,885925,858568,855159,864119,847809,857324,850643,858253,854142,850594,855392,855008,872175,852924,857898,859997,860554,859136,847073,855776
299,857157,877213,883000,870809,867583,865991,874223,876388,865141,876456,863362,874463,887934,860191,857598,866491,851194,860509,853918,861465,856774,853873,859025,858742,874718,855627,859428,861892,863251,861721,849677,858608
300,859557,879768,885112,872844,870299,868761,876627,878701,867860,879255,866004,877291,890730,863293,860232,869058,854342,863758,857201,864550,859733,856938,861499,861285,876988,857954,862288,864573,866010,864394,851757,860825
301,862120,882304,888449,876085,873108,871872,879926,881978,870923,882513,869425,880734,893978,866415,861904,870855,856148,865681,858455,865923,860982,858528,863461,863022,879997,860850,865457,867829,869166,867716,853456,862630
302,865693,885677,891928,879223,874983,873509,883577,885314,872622,884345,873299,884327,897662,870418,865693,874455,858921,868667,861152,868385,864099,861598,866672,865802,883535,864704,869090,871512,872953,871426,856443,865153
303,868707,888801,895269,882885,877748,876108,886371,888453,874527,886344,875906,887679,900742,873109,868384,877177,862498,871763,864568,871612,867327,864765,870295,869665,887145,867722,872103,874651,875664,874452,859400,868400
304,871628,891980,897925,885522,880756,878811,888231,890372,877234,889283,877361,889125,902671,874979,871521,880135,865489,874977,867998,875108,870542,868051,873014,872462,889791,870564,874180,876774,877302,876020,862204,870980
305,874603,894924,899512,886832,883589,882081,890871,893019,880245,892556,880315,892136,904753,876994,874414,883220,868431,878013,871043,878197,873710,871249,876007,875477,892528,873303,876501,879118,880083,878707,865185,874153
306,876903,897485,902375,889581,886534,884794,893686,895983,882948,895319,883233,894952,907897,880121,876345,885045,871522,880717,873929,880904,875435,873095,878046,877594,894847,875492,879325,882165,882835,881711,868172,877031
307,878684,899302,905570,892825,889677,887978,897063,899624,886104,898790,886601,898085,911157,883091,878203,887072,872848,882101,875745,882888,878259,875527,880488,880104,898294,878903,882628,885547,886274,885328,870052,879071
308,881158,901443,908646,895715,891322,889605,900156,902878,888463,901050,890008,901643,914670,886578,881769,890742,875792,885232,878251,885812,881299,879256,883850,883365,901487,882244,885879,888616,889348,888383,872398,881624
309,884273,905050,912087,899276,894680,893060,902969,905462,890152,902527,891854,904088,916910,889183,884500,893146,878743,888352,881343,888877,884449,882309,887120,886541,904978,885429,889246,892128,892211,891443,875687,884863
310,887622,908448,914012,901327,897931,896465,905777,908254,892982,905613,894352,906333,918977,891324,887508,896192,881995,891776,884763,892154,888267,885797,890509,890024,907876,888398,891622,894505,894493,893819,879129,888274
311,890289,911179,916595,904123,900692,899395,908677,911289,896223,908548,897371,909216,922072,894513,890505,899172,885175,894953,887966,895645,890660,888527,893842,892965,909771,890371,893372,896308,897095,896580,881786,890947
312,893385,914282,920029,907081,903967,902747,911823,914380,899037,911584,900290,912569,925038,897221,891852,900473,887648,897391,890713,898006,892190,889736,895438,894486,913045,893615,896489,899279,900385,899796,885195,894231
313,895471,916171,923191,910134,906167,905312,914827,917299,902487,914918,903632,916080,928684,900623,894898,903642,889218,899077,893020,900253,895302,893010,898130,896977,916068,896781,899497,902380,903366,902852,886922,896232
314,898021,919015,925943,913664,908066,907297,918153,920507,905133,917836,906851,919091,931959,903708,898229,907185,892201,902253,895827,902942,898167,896043,901272,900158,919765,899798,902720,905305,906981,906231,889370,898869
315,901260,921940,928858,916632,911250,910476,920326,922679,906835,919663,908731,921046,933510,905269,900935,909893,895796,905674,899407,906704,901724,899617,905125,903665,922954,902960,905904,908553,910190,909345,892551,902051
316,904067,924874,930454,918248,914150,913601,922962,925543,909834,922820,911416,923587,936220,907827,903978,913026,898831,908875,902555,909847,904800,902880,908304,906715,924905,905016,908017,910727,911735,911031,895300,905028
317,907745,928284,933917,921950,917704,916905,926405,928860,913156,926348,914518,927300,939703,911129,906752,915566,901792,911565,905365,912553,906894,904664,910999,909871,927995,907990,910697,913424,915039,914134,898560,908110
318,910483,931038,937384,925109,920622,919868,929638,931961,916004,929422,917593,930326,943064,913948,908172,916885,904664,914652,908407,915826,909719,907941,912875,911492,931397,911095,914160,916476,918393,917430,901800,911431
319,911603,932119,940127,927692,922539,921777,932042,934823,918796,932243,920449,933072,945980,916702,910884,919636,906544,916686,910984,918291,912600,911310,915616,914193,933711,913401,916626,919071,920805,919951,903352,912975
320,914859,935458,943315,930907,924524,923831,934571,937077,921178,934741,923520,936662,948872,919409,914207,922818,908796,918834,913013,920006,915341,913576,918040,916764,936920,916578,919703,922365,924280,923135,906013,915498
321,917231,937863,945023,932734,926768,926055,936397,938903,923140,936690,925274,938465,950570,921121,916810,926025,912256,922324,916464,923530,918910,916924,921568,919913,939205,918590,922623,925441,925758,924763,908366,917795
322,921110,941657,947675,935671,930376,929667,940023,942817,926502,939845,927880,940845,953973,924352,920222,929200,915006,925171,919124,926389,920876,918872,924428,922814,941077,921411,924802,927408,928869,928058,911524,921380
323,924046,944503,950891,938668,933665,932865,942970,945885,929552,942745,930823,943732,957432,927463,922326,931007,918672,928955,922523,929957,923383,921379,928035,926474,944290,924321,926639,929127,932169,931107,914865,924695
324,925794,946281,954037,941863,936811,936024,946127,948891,932653,945880,933999,947056,960592,930671,924449,933085,921093,931490,925523,933041,926388,924543,929659,928095,947420,927548,929832,932138,935338,934103,917999,927707
325,928613,949198,957399,945176,939754,939174,949049,951798,935774,949000,937319,950173,963977,933913,927930,936541,922897,933224,927459,934988,929140,927303,931517,930003,950889,930767,933100,935361,937808,937047,920479,930184
326,931565,952407,960275,948321,941386,940817,950798,953520,938232,951450,940209,953059,965856,936246,930750,939526,925972,936254,929538,937234,932275,930495,934390,932747,953274,933131,936314,938441,940419,939785,922674,932302
327,934236,955381,962084,950140,943188,942737,953038,955842,940049,953579,941868,954694,967913,937820,933467,942262,929065,939522,932744,940372,935435,933748,937817,936314,955432,935334,939066,941452,942298,941657,925363,935030
328,937442,958421,965044,952758,946649,945985,956350,958970,943266,956559,944285,957207,970966,940793,936128,944938,931771,942161,935504,942970,937111,935507,940621,939056,958640,938345,940809,943231,945367,944793,928451,938337
329,940969,961937,968415,956425,950171,949731,959555,962434,946841,960339,947949,960765,974773,944581,938177,946986,935458,945433,938864,946279,940218,938815,943744,942405,961782,941455,943630,946067,948701,948306,931818,941890
330,943033,963737,971274,958970,953545,952886,962946,965626,950274,963278,951110,964131,978051,947632,941320,950281,938230,948085,942577,949690,943744,942121,945977,944293,965343,944723,946895,949654,952096,951607,935324,945393
331,946406,967097,974796,962386,956779,956116,965404,967752,953498,966730,954466,967324,980854,950292,944522,953595,939986,949784,944637,952027,947061,945447,948650,947160,968303,947726,950200,953014,955073,954789,937393,947642
332,948814,969862,977317,964861,957982,957318,967317,969971,955251,968613,956808,969504,982563,952098,946919,955953,942662,952656,947052,954495,950189,948411,951572,950160,970413,949898,952739,955677,956691,956425,938975,949312
333,951965,973036,979809,967061,961195,960435,970354,973370,957622,971176,959040,971777,985283,955239,950430,959146,945303,955324,949710,957345,952035,950347,954528,953030,973355,952874,956104,959054,960383,959853,941811,952413
334,955108,976340,982873,969702,964288,963801,973881,976596,960507,973957,961900,974656,988253,957186,952050,961027,949409,959478,953015,961049,956357,953402,957676,956482,976945,956376,958167,960816,963526,963099,944946,955643
335,957284,978425,986163,973051,967749,967248,977262,979868,963731,977588,965258,978078,991370,960058,955401,964099,951884,962031,956055,964342,958692,956835,961093,959359,980483,959671,960805,963276,966946,966109,948458,958770
336,960532,981460,989530,976412,970963,970590,979836,982588,967040,980702,968654,981467,994419,963036,958181,966931,954561,964803,959497,967732,961947,960078,962812,961050,984013,963109,963957,966653,970099,969300,951545,962056
337,962688,983916,991910,978780,973010,972649,980857,983477,969304,983114,971104,983900,996010,964543,960635,969420,956399,966725,961674,969951,965426,963104,965604,963856,985838,964889,966380,969054,971855,970844,953229,963777
338,965092,986527,994274,981080,974302,973977,982706,985376,971228,985037,972641,985365,998033,966447,963836,971803,958861,969030,963761,971853,966905,964890,968003,966370,987792,966833,968402,971070,974054,973143,954370,964953
339,967731,989145,996310,983016,977311,976900,985505,988231,973545,987014,975156,987991,1000536,968969,965801,974598,961233,971436,966148,974320,968711,966777,970382,968902,990342,969363,970625,973446,976820,975883,956550,967270
340,969358,990862,997970,984517,978962,978618,987192,989925,975604,988812,977176,989869,1002563,970723,966855,975763,963977,974493,969102,977390,971505,969626,973382,971660,992285,971409,972097,974831,978652,977767,958411,968903
341,970436,991997,1000049,986326,980906,980636,989165,991995,977423,990499,978641,991417,1004180,972456,968459,977320,965762,976261,970627,978982,973228,971312,974427,972690,994322,973327,973758,976470,980773,979787,960154,970573
342,972712,994357,1002373,988705,983282,982897,991076,993614,979705,992797,981096,993924,1006081,974305,970819,979702,967522,978043,972424,980720,975324,973405,975707,974088,996270,975317,975893,978817,982735,981776,962437,972715
343,974946,996512,1004745,990949,985009,984977,992779,995341,982294,995306,983006,995702,1007951,976161,973145,982082,969087,979632,974456,982686,977201,975228,977982,976510,998813,977946,978431,981121,984468,983522,964589,974945
344,976951,998578,1006829,993002,986770,986634,994718,997455,983812,997002,984813,997397,1009764,977937,974934,983948,971272,981624,976539,984913,978967,976849,980338,978672,1000884,979826,980485,983270,986792,985822,965697,976007
345,979293,1000426,1008426,994193,989463,988708,996600,999423,985735,999184,987082,999237,1011999,979889,977037,986092,973517,983786,978849,987270,981272,979269,982060,980716,1003487,982344,982780,985554,989130,988222,967792,978073
346,980948,1002855,1010398,996596,991359,991260,998931,1001634,989469,1002336,989584,1002424,1014544,982622,978782,988109,976214,986038,981050,989390,983387,981305,983739,982675,1006337,985037,984671,987604,991912,990756,969991,980123
347,982999,1004404,1012209,998661,993772,993568,1000237,1003145,990668,1004173,991599,1004038,1016170,984247,980565,989576,978303,987976,983319,991758,985319,983212,985689,984351,1007836,986597,986083,989268,993792,992703,970746,981139
348,984683,1006280,1013803,1000325,995921,995767,1002097,1005007,993333,1007346,993949,1006328,1018635,986820,983448,992457,979708,989488,985333,994003,987680,985426,987815,986490,1010536,989212,988779,992111,995233,994299,973136,983795
349,988008,1009613,1016862,1003552,998466,997964,1005204,1008146,996069,1009595,996232,1008745,1021522,989476,985931,995175,981172,990862,986469,995264,989633,987332,989728,988397,1013385,992254,991481,995007,998371,997379,974887,985550
350,989741,1011348,1018533,1004949,1000429,1000219,1007473,1010471,998501,1012059,998983,1011543,1024225,992277,989021,998052,984701,994110,989674,998649,992546,990307,992451,991512,1016868,994703,994185,997339,1001209,1000507,977168,987841
351,990977,1012767,1020400,1006932,1002854,1002750,1009580,1012756,1000456,1014146,1001111,1013568,1026235,994398,990209,999149,987102,996351,992092,1001256,994906,993087,995100,993974,1018696,996631,994985,998299,1003286,1002312,978709,989502
352,994002,1015705,1023287,1009707,1006055,1006093,1012563,1015446,1003690,1017620,1004351,1017376,1028972,997309,993446,1002097,989224,998623,993886,1002906,997128,995229,997078,995849,1021967,999742,997752,1000615,1006893,1005873,981588,992463
353,996399,1017947,1025684,1012105,1008251,1007723,1014062,1017223,1006377,1020080,1006874,1019473,1030512,998674,995429,1004505,992249,1001654,996674,1005888,1000287,998683,998502,997612,1023787,1001555,1000015,1002820,1008778,1007767,983979,994761
354,998955,1020513,1028179,1014670,1010826,1010588,1015920,1018912,1009254,1022853,1008390,1020797,1032937,1001261,997552,1006304,994202,1003600,998184,1007514,1002731,1001207,1001033,999936,1026462,1004294,1002350,1005248,1011051,1010244,986657,997158
355,1001518,1023194,1030422,1016879,1012371,1012150,1018592,1021496,1011252,1024950,1011253,1023965,1035966,1003862,1000162,1009296,996272,1005939,1000305,1009360,1004137,1002650,1003407,1002333,1029677,1007653,1004935,1008005,1014094,1013052,987816,998447
356,1003699,1025260,1032642,1019170,1015218,1014760,1021306,1024367,1012271,1026299,1013856,1026370,1038297,1006494,1002239,1011311,998920,1008286,1002857,1012147,1006938,1005359,1006079,1005084,1031489,1009421,1006403,1009475,1016259,1015378,989395,1000039
357,1005918,1027534,1035174,1021512,1018182,1017618,1024052,1026957,1015370,1029297,1016643,1029313,1041038,1009334,1004282,1013468,1001639,1011456,1005558,1014904,1009861,1008369,1008456,1007341,1034826,1012665,1008618,1012000,1019244,1018172,991869,1002488
358,1008575,1030372,1038111,1024339,1021199,1020593,1026063,1029242,1017683,1031849,1019284,1031876,1042122,1010547,1006212,1015214,1003155,1012554,1008036,1017514,1012432,1011118,1010294,1009113,1036635,1014777,1011097,1014575,1021504,1020589,994092,1004754
359,1010459,1032267,1040126,1026196,1023284,1022685,1027569,1030684,1020062,1034195,1021048,1033509,1043499,1012083,1008826,1017650,1005912,1015495,1010722,1020187,1015343,1013965,1011885,1010887,1039561,1017790,1013554,1017087,1023748,1023247,996379,1007128
360,1013465,1035606,1043347,1029445,1026004,1025319,1030765,1033894,1023265,1037402,1023794,1036308,1046378,1014749,1011566,1020618,1007291,1016768,1011828,1021197,1017365,1016031,1013768,1012791,1042424,1020384,1016427,1020067,1026863,1026235,998761,1009364
361,1015197,1037244,1045123,1031231,1027528,1026888,1032826,1035876,1025019,1039133,1026173,1038685,1048799,1017025,1013325,1022381,1010575,1019837,1015029,1024332,1019248,1017956,1016877,1016116,1044677,1022577,1018384,1022117,1029090,1028618,999412,1009983
362,1016877,1038894,1047048,1033028,1030195,1029646,1034748,1037780,1027912,1042057,1029146,1041546,1051491,1019732,1015359,1024601,1012638,1022002,1017058,1026379,1021475,1020237,1018849,1018270,1047370,1025685,1020120,1023831,1031868,1031070,1000076,1010696
363,1019033,1040984,1049873,1035579,1033288,1032772,1036986,1040170,1031067,1045701,1032499,1044784,1054776,1022946,1018584,1027527,1014973,1024347,1020018,1029311,1024370,1023374,1021194,1020429,1050337,1028221,1023266,1027155,1034704,1034106,1001540,1011892
364,1021073,1043382,1052219,1037983,1035945,1035213,1039176,1042379,1033210,1047599,1034256,1046474,1055848,1024109,1020706,1029267,1017870,1027162,1022889,1032214,1027521,1026374,1023117,1022355,1052058,1030202,1024950,1028978,1036114,1035631,1003011,1013516
365,1023904,1046360,1055219,1040825,1038857,1038165,1042024,1045307,1036202,1051450,1036821,1048921,1058372,1026831,1023909,1032337,1019753,1028959,1024887,1034291,1029963,1028945,1024986,1024190,1055622,1033488,1027934,1032153,1039540,1039127,1005805,1016029
