w/s,ceph01,ceph02,ceph03,ceph04
275,6483.12,6074.12,3745.12,5353.5
276,4713.88,5214.25,5317.25,5433.12
277,4030.62,6766.38,5288.0,5627.38
278,4129.62,5589.12,7268.25,5746.38
279,6949.88,5464.38,5833.62,4146.88
280,6526.0,6942.25,4496.25,5051.12
281,6972.12,5365.62,4418.25,7473.12
282,5481.5,3681.12,5111.0,7417.38
283,4401.25,4177.75,7805.12,7061.62
284,3916.25,7583.5,4675.75,3852.25
285,7557.88,3992.0,7002.75,3908.62
286,7282.62,7190.75,5950.75,5645.62
287,6725.25,6821.88,4693.12,5771.0
288,4269.5,3789.88,6103.38,8282.88
289,4725.5,6033.0,7740.88,7869.12
290,5115.5,6575.38,4310.0,3558.0
291,7147.12,5357.12,7427.12,4407.0
292,8055.0,5950.0,5114.62,6324.25
293,6471.62,7637.12,5366.75,5263.5
294,5278.25,4955.0,7345.12,8752.88
295,4024.0,7267.5,7675.88,9183.0
296,4670.12,4856.75,3429.25,3493.32
297,6608.38,6201.38,8889.12,6180.38
298,7960.75,6219.38,5283.38,5666.38
299,8050.25,6680.62,5338.62,5300.38
300,6218.88,5736.88,7262.0,6372.0
301,3870.38,7254.5,6863.38,9063.25
302,6201.0,5270.88,5022.38,4566.5
303,5370.12,5899.75,7045.88,6354.0
304,8555.38,6990.25,5857.5,5288.38
305,7438.38,5014.75,6875.38,5317.75
306,6475.5,6854.25,7051.75,6225.5
307,4284.75,6331.12,4918.88,7843.62
308,5768.62,5255.25,6112.62,5947.75
309,4911.25,6779.75,5668.62,7047.12
310,7499.12,6565.5,6747.12,4501.62
311,7436.25,5517.62,7273.25,6853.88
312,5328.75,6472.12,6683.5,4294.5
313,5153.25,7207.88,4010.25,7154.12
314,5396.62,5084.38,5129.38,7000.25
315,4859.25,5562.0,5365.0,7024.75
316,7100.75,4775.12,6715.88,4149.0
317,8250.62,6793.12,7103.0,6631.0
318,3923.25,6712.75,6445.12,3962.88
319,6114.12,6551.88,5299.62,5496.0
320,5344.38,5589.88,4753.88,8984.75
321,5479.5,6053.12,6629.75,7756.75
322,7125.25,4738.5,6779.62,5172.25
323,6985.38,7726.12,7735.62,5598.12
324,6139.38,5624.0,5989.12,4404.62
325,7094.75,7032.12,5967.88,4463.75
326,4678.25,6835.88,4737.38,9608.5
327,4789.38,3793.88,6689.0,7606.12
328,9854.5,5259.75,8062.25,6525.0
329,4606.38,9051.38,7864.5,6094.0
330,7981.88,5263.25,4222.38,4091.25
331,5321.75,8239.62,5279.25,3918.5
332,6317.25,6229.88,6578.88,7305.75
333,4497.62,4515.12,7222.88,9780.88
334,7275.75,4842.5,7627.5,7583.62
335,5827.38,9073.0,7154.62,5956.38
336,8098.0,4925.75,4035.38,4136.0
337,6296.75,8642.25,5897.75,5069.12
338,6122.0,6880.38,5758.5,4592.0
339,4064.75,4062.62,7662.62,10956.1
340,5157.62,3293.88,6661.75,8294.12
341,7091.62,8351.0,6095.38,5217.25
342,7659.38,6916.5,4959.88,4132.75
343,7682.62,7069.38,4747.0,4354.62
344,4974.88,7015.88,7432.38,3234.75
345,4827.5,4561.88,6011.25,9299.5
346,4197.5,4270.25,8190.88,10639.2
347,6973.75,5566.88,4480.88,4867.12
348,6162.38,9404.12,5826.0,4534.62
349,10546.6,5625.38,5358.5,4303.5
350,4465.38,8974.88,6881.62,4047.75
