%usr,ceph01,ceph02,ceph03,ceph04
347,50.05,48.6,50.91,52.65
348,47.89,51.13,50.31,51.6
349,49.67,48.16,48.36,48.94
350,52.04,53.0,50.37,51.16
351,43.87,44.93,43.31,41.95
352,49.96,50.82,50.87,48.94
353,46.52,48.07,49.36,50.89
354,46.98,49.53,48.67,50.58
355,47.37,46.54,44.31,46.9
356,45.46,47.91,47.48,46.29
357,41.07,43.4,42.03,38.3
358,54.04,53.83,53.51,49.54
359,46.1,46.36,47.33,51.49
360,48.35,46.17,48.31,51.58
361,46.07,47.09,43.26,46.82
362,49.7,49.12,48.78,49.53
363,43.05,46.72,43.99,40.2
364,55.94,56.52,55.53,52.58
365,53.32,54.5,53.74,53.3
366,48.76,47.33,50.37,50.82
367,42.24,47.01,41.08,48.3
368,46.11,44.58,45.27,47.19
369,50.2,51.83,51.97,51.05
370,46.92,49.28,46.72,44.67
371,53.91,55.31,54.84,53.18
372,50.55,49.62,50.93,51.53
373,38.37,41.54,41.07,46.15
374,46.14,47.89,42.88,46.72
375,51.07,49.68,51.27,50.03
376,53.08,53.93,51.39,48.85
377,51.02,53.21,52.49,49.45
378,49.34,52.73,50.04,51.64
379,45.6,47.21,48.52,50.02
380,39.32,40.03,38.58,43.07
381,55.54,54.01,56.08,55.74
382,52.21,53.35,50.97,51.84
383,52.54,52.93,52.21,49.1
384,41.17,45.61,42.57,46.94
385,37.33,40.86,37.83,39.23
386,44.62,47.46,44.89,47.05
387,54.06,52.13,53.97,54.05
388,54.72,54.51,55.0,54.84
389,52.87,53.47,51.74,49.59
390,46.63,48.95,45.65,47.59
391,50.0,50.86,50.15,49.52
392,43.41,47.43,44.6,47.72
393,54.1,53.37,53.68,54.98
394,52.92,50.42,52.89,52.42
395,51.21,51.37,50.04,49.83
396,39.36,46.84,40.06,40.86
397,53.09,53.59,52.03,52.21
398,46.75,44.66,48.55,51.88
399,47.29,48.67,47.61,49.1
