%util,ceph01,ceph02,ceph03,ceph04
344,21.6625,27.95,28.9125,19.2875
345,33.4875,30.6375,37.8375,53.225
346,33.2375,33.2625,50.425,64.5875
347,40.85,39.8125,33.3625,30.7125
348,43.725,54.4,39.2375,32.9125
349,59.4,41.6125,37.6125,29.5875
350,34.1375,49.625,44.9125,30.6125
351,30.1375,28.5,41.5375,41.0375
352,29.2375,30.925,41.5625,56.5125
353,37.65,34.625,35.025,34.9375
354,39.75,56.7125,40.875,29.975
355,53.6625,28.925,35.7875,28.3125
356,44.1875,50.925,45.0375,30.475
357,28.0,31.25,37.5375,44.875
358,33.5375,34.1,36.6375,56.275
359,30.125,27.4,30.4,32.875
360,56.6,46.75,32.275,35.7375
361,41.05,39.5125,39.9,26.1125
362,43.2125,50.975,49.9375,28.425
363,34.6375,35.525,42.1625,38.6875
364,38.9875,38.975,39.35,64.8375
365,33.0125,32.15,40.7125,46.175
366,42.5,35.375,33.05,29.175
367,38.5625,48.6125,44.225,25.1375
368,44.9,41.2625,41.8,27.7125
369,33.9,54.2625,46.3,42.675
370,33.5375,31.35,32.95,53.9375
371,40.3,35.8875,37.925,65.3
372,42.4875,31.2875,38.8,36.2625
373,38.975,49.0875,46.575,27.2375
374,57.35,46.225,40.025,35.55
375,34.9875,53.1625,41.625,37.2
376,30.2875,40.075,41.875,35.5875
377,38.125,31.8,35.95,55.5
378,42.775,37.45,47.075,56.8
379,42.475,44.8,47.4875,26.7
380,49.6125,38.6,38.8,33.575
381,38.3375,46.05,38.275,47.8375
382,35.2625,45.6,44.55,32.3375
383,33.7625,33.775,30.3875,43.1125
384,37.1375,32.1375,45.2875,49.4125
385,34.375,31.4,38.8,31.975
386,53.425,40.55,40.05,39.025
387,41.575,44.7375,37.8375,34.9375
388,44.4,57.3,44.375,40.7375
389,33.325,34.75,34.2375,40.15
390,35.4375,34.0125,40.5875,40.775
391,41.2375,35.1375,42.8875,45.1625
392,46.2875,38.2125,41.9875,35.5125
393,47.2375,39.3,40.075,30.6
394,44.0,47.3625,39.9375,33.525
395,34.025,46.0875,41.1125,49.3625
396,30.275,39.25,45.975,40.4375
397,48.1625,35.8125,48.925,58.4
398,40.175,37.9625,36.775,36.7375
399,54.125,36.0375,37.7375,32.3375
