kbinact,ceph01,ceph02,ceph03,ceph04
206,42471544.0,62775912.0,42550696.0,61766076.0
207,42554756.0,62815684.0,42596724.0,61827616.0
208,42649784.0,62897260.0,42684428.0,61910984.0
209,42704984.0,62984228.0,42753716.0,61985372.0
210,42774484.0,63077152.0,42846284.0,62041024.0
211,42846788.0,63045256.0,42822188.0,62113232.0
212,42922140.0,63123824.0,42899004.0,62175620.0
213,42984740.0,63180440.0,42955756.0,62230760.0
214,43055928.0,63254192.0,43035456.0,62292560.0
215,43159372.0,63381736.0,43138096.0,62385212.0
216,43235320.0,63457988.0,43221940.0,62456868.0
217,43306704.0,63536108.0,43302196.0,62529876.0
218,43368200.0,63599936.0,43365524.0,62590484.0
219,43469208.0,63672372.0,43443140.0,62653272.0
220,43493752.0,63767604.0,43549592.0,62730460.0
221,43547544.0,63847772.0,43604096.0,62802768.0
222,43609720.0,63961220.0,43712968.0,62866240.0
223,43674192.0,63901996.0,43668796.0,62915544.0
224,43754976.0,64003732.0,43800752.0,62992852.0
225,43830816.0,64035476.0,43807104.0,63056472.0
226,43948284.0,64156328.0,43937048.0,63128908.0
227,43969216.0,64190248.0,43964308.0,63202452.0
228,44025560.0,64254188.0,44005604.0,63267360.0
229,44090152.0,64315880.0,44076828.0,63324924.0
230,44145528.0,64376752.0,44148112.0,63381504.0
231,44223132.0,64449808.0,44223720.0,63451064.0
232,44322540.0,64544528.0,44321980.0,63534864.0
233,44391292.0,64627644.0,44384656.0,63599500.0
234,44471020.0,64701144.0,44455972.0,63669188.0
235,44542888.0,64787896.0,44540460.0,63746168.0
236,44604352.0,64858580.0,44621316.0,63801876.0
237,44678288.0,64936608.0,44706160.0,63872520.0
238,44757564.0,65014792.0,44773216.0,63940524.0
239,44832320.0,65079496.0,44836480.0,63999600.0
240,44916076.0,65189908.0,44955848.0,64077808.0
241,44985888.0,65180884.0,44926092.0,64156120.0
242,45063488.0,65252396.0,45005240.0,64219548.0
243,45131524.0,65324052.0,45081724.0,64289032.0
244,45187168.0,65381900.0,45136044.0,64341836.0
245,45290460.0,65503828.0,45255784.0,64400560.0
246,45426128.0,65535924.0,45290100.0,64464120.0
247,45355936.0,65617776.0,45369648.0,64543736.0
248,45429444.0,65703268.0,45449844.0,64616632.0
249,45531012.0,65820268.0,45577048.0,64681000.0
250,45561000.0,65807284.0,45602464.0,64739280.0
251,45627148.0,65886508.0,45672036.0,64793536.0
252,45704644.0,66007076.0,45762072.0,64871468.0
253,45775880.0,65994716.0,45737420.0,64935700.0
254,45860964.0,66089396.0,45817732.0,65008876.0
255,45885392.0,66189936.0,45895696.0,65075092.0
256,45956548.0,66252796.0,45942388.0,65072992.0
257,46049332.0,66348544.0,46022852.0,65107020.0
258,46123736.0,66375736.0,46019908.0,65139592.0
259,46147588.0,66419168.0,46059548.0,65235132.0
260,46139208.0,66461888.0,46080888.0,65343324.0
261,46194584.0,66553580.0,46122056.0,65395928.0
262,46345016.0,66692496.0,46254192.0,65438968.0
263,46504848.0,66669020.0,46324776.0,65546056.0
264,46643368.0,66452316.0,46079912.0,65647756.0
265,46386392.0,66549412.0,46133096.0,65756644.0
266,46492364.0,66645416.0,46208640.0,65852136.0
267,46614300.0,66755604.0,46341288.0,65904724.0
268,46730640.0,66870608.0,46473656.0,66015476.0
269,46787788.0,66966528.0,46589128.0,66116084.0
270,46898316.0,67072556.0,46713268.0,66160844.0
271,47043288.0,67181552.0,46837912.0,66280032.0
272,47076988.0,67320304.0,46998832.0,66385816.0
273,47204920.0,67337776.0,47091288.0,66493224.0
274,47313172.0,67434620.0,47209072.0,66590232.0
275,47425992.0,67587440.0,47366416.0,66634408.0
276,47550004.0,67712608.0,47453112.0,66746692.0
277,47669156.0,67643996.0,47417144.0,66860364.0
278,47784684.0,67724964.0,47529028.0,66959044.0
279,47901264.0,67846828.0,47659276.0,67074896.0
280,48039688.0,67953868.0,47791996.0,67161440.0
281,48071292.0,68053608.0,47913772.0,67257668.0
282,48178064.0,68163012.0,48038308.0,67354532.0
283,48294152.0,68246928.0,48141908.0,67466500.0
284,48414268.0,68349100.0,48267300.0,67584372.0
285,48527436.0,67833604.0,48390164.0,67694424.0
286,48649544.0,67927168.0,48524616.0,67806652.0
287,48771200.0,68058252.0,48686368.0,67924040.0
288,48886752.0,68039092.0,48706584.0,68013936.0
289,48382496.0,68116752.0,48812780.0,68128228.0
290,47436628.0,68209732.0,48949496.0,68239480.0
291,47478416.0,68288800.0,49055104.0,68332076.0
292,47560096.0,68370020.0,48582664.0,67816720.0
293,47637296.0,67853596.0,48719180.0,67367140.0
294,47716448.0,67945144.0,48786324.0,67450376.0
295,47771512.0,67997348.0,48263424.0,67523752.0
296,47833924.0,68066856.0,48350364.0,67599816.0
297,47939800.0,68157448.0,48450460.0,67686956.0
298,47944664.0,68234476.0,48554688.0,67152076.0
299,47997912.0,68310456.0,48635608.0,67218680.0
300,48065768.0,68421432.0,48382188.0,67281796.0
301,48138064.0,68376540.0,48106412.0,67346056.0
302,48218476.0,68459016.0,48193348.0,67417968.0
303,48294836.0,68535944.0,48260944.0,67490636.0
304,48352208.0,68600316.0,48330040.0,67549884.0
305,48432868.0,68686556.0,48411524.0,67615776.0
306,48512948.0,68769860.0,48496944.0,67688376.0
307,48566492.0,68831424.0,48553588.0,67737624.0
308,48637860.0,68902652.0,48630968.0,67811928.0
309,48719428.0,68992828.0,48713048.0,67884940.0
310,48786952.0,69065776.0,48791168.0,67939060.0
311,48859072.0,69144804.0,48866032.0,68005852.0
312,48928168.0,69258872.0,48975724.0,68067340.0
313,48986532.0,69199300.0,48921872.0,68130368.0
314,49087628.0,69250592.0,48977920.0,68194908.0
315,49223384.0,69366000.0,49081748.0,68258124.0
316,49158900.0,69410704.0,49135152.0,68319856.0
317,49213312.0,69474168.0,49193444.0,68391252.0
318,49304744.0,69549804.0,49285936.0,68455352.0
319,49350620.0,69607236.0,49311156.0,68522916.0
320,49400536.0,69654488.0,49378864.0,68587128.0
321,49469124.0,69740336.0,49456160.0,68665020.0
322,49551264.0,69824164.0,49541544.0,68732136.0
323,49614272.0,69892080.0,49602520.0,68793608.0
324,49678688.0,69952180.0,49670588.0,68854772.0
325,49766396.0,70072256.0,49802160.0,68928844.0
326,49876728.0,70112256.0,49840004.0,68987532.0
327,49907212.0,70182972.0,49912040.0,69048300.0
328,49998636.0,70287292.0,50009424.0,69133028.0
329,50063564.0,70365484.0,50084764.0,69202832.0
330,50173736.0,70466536.0,50190732.0,69273704.0
331,50207288.0,70557436.0,50287568.0,69336944.0
332,50295356.0,70515512.0,50243508.0,69405224.0
333,50371980.0,70595440.0,50317820.0,69467920.0
334,50473740.0,70681892.0,50402940.0,69546716.0
335,50591900.0,70754300.0,50479044.0,69616124.0
336,50542112.0,70826452.0,50550904.0,69687704.0
337,50623928.0,70909704.0,50639348.0,69764172.0
338,50711232.0,70995876.0,50708756.0,69814928.0
339,50769384.0,71082536.0,50797648.0,69879908.0
340,50829212.0,71130712.0,50838744.0,69941960.0
341,50907028.0,71208364.0,50928404.0,70014372.0
342,50976060.0,71292100.0,51003236.0,70079492.0
