subop_w,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
288,1195911,1205346,1224548,1222568,1186812,1193414,1204614,1277057,1222677,1194381,1220120,1199756,1224151,1265665,1239180,1161597,1222544,1167785,1207630,1236890,1224123,1238210,1217284,1250121,1156574,1235243,1172892,1225536,1230415,1223104,1186778,1251828
289,1199984,1209603,1228996,1226942,1191055,1197597,1209044,1281685,1226263,1198171,1224145,1203555,1227693,1269862,1243189,1164868,1226507,1171311,1211248,1240410,1227835,1242148,1220846,1253852,1160525,1239499,1177036,1229815,1234665,1227300,1190745,1255953
290,1205136,1214772,1233911,1232343,1195996,1202512,1213767,1286518,1232109,1203759,1229670,1209005,1233288,1275601,1248958,1169971,1231146,1176127,1215760,1245048,1232928,1246541,1225267,1258297,1165028,1244633,1182078,1234868,1239359,1232320,1195610,1260831
291,1210481,1220000,1239917,1237583,1201161,1207784,1219211,1292550,1236944,1208417,1234685,1213748,1238159,1280561,1253701,1174980,1235115,1179384,1220265,1249354,1236567,1250901,1229815,1262971,1170418,1249982,1186982,1240356,1245012,1237722,1200846,1266770
292,1214985,1225005,1245074,1242238,1205941,1213115,1223964,1297574,1242096,1213507,1239941,1218986,1243538,1286117,1259131,1179893,1240972,1185339,1225773,1255211,1243058,1257126,1235409,1268346,1175463,1255222,1192185,1245367,1250127,1243136,1205648,1271676
293,1217457,1226992,1247130,1244980,1208544,1215179,1226671,1300447,1244346,1215624,1242296,1221110,1245557,1288246,1261319,1181840,1246326,1190162,1230697,1260291,1247705,1262185,1240246,1273743,1177293,1257452,1194238,1247919,1252898,1245302,1208365,1274504
294,1220673,1230159,1250506,1248310,1211705,1218447,1229978,1303841,1247637,1218909,1245520,1224498,1249014,1291848,1264849,1185202,1248933,1192873,1233904,1263453,1250654,1265209,1243516,1277201,1180472,1260806,1197530,1251132,1256088,1248544,1211520,1277786
295,1225636,1234947,1255372,1253044,1216464,1222861,1234614,1308545,1252330,1223737,1250285,1229058,1253846,1296933,1269821,1189872,1252191,1196117,1236936,1266786,1253725,1268510,1246702,1280497,1184753,1265550,1202055,1256167,1260944,1253317,1215900,1282776
296,1229897,1239441,1260162,1257755,1220785,1227422,1239321,1313812,1257062,1228433,1255136,1234101,1259719,1301922,1274828,1194316,1256564,1200330,1241444,1271091,1257979,1272843,1251082,1285130,1189329,1270421,1206579,1260568,1265502,1257931,1220578,1287541
297,1235474,1245445,1265810,1263254,1226618,1233051,1244924,1319557,1262554,1235033,1260734,1239229,1264473,1307919,1281051,1199980,1261564,1204844,1246148,1276208,1262822,1277399,1255460,1289645,1194832,1276088,1212032,1266473,1271253,1263643,1226281,1293428
298,1240057,1250335,1270855,1267988,1231689,1238001,1249503,1324407,1268034,1239073,1265915,1244236,1269531,1313705,1286012,1205109,1267185,1210854,1251722,1281701,1269421,1283249,1261119,1295148,1199389,1281073,1217394,1271608,1276512,1268944,1231381,1298660
299,1243602,1253380,1274361,1271654,1234542,1241407,1253124,1328232,1271000,1241789,1268960,1247213,1272660,1315990,1288830,1207630,1272249,1215017,1256517,1286721,1273677,1288434,1266538,1300529,1202557,1284617,1220083,1275021,1280124,1272340,1234675,1302197
300,1246770,1256641,1277752,1275020,1237821,1244696,1256547,1331813,1274412,1245036,1272368,1250712,1276202,1319987,1292748,1210827,1276216,1218868,1260579,1290863,1277897,1292657,1270544,1304772,1205624,1287923,1223282,1278293,1283612,1275830,1237787,1305668
301,1251116,1260986,1282131,1279370,1241875,1248966,1260825,1336460,1278746,1249359,1277050,1255197,1280355,1324284,1296745,1215217,1279769,1222192,1263745,1294355,1281097,1296201,1273809,1308435,1209973,1292447,1227627,1282736,1288076,1280373,1242066,1310286
302,1256352,1266229,1287342,1284238,1246826,1253695,1266037,1341749,1284088,1254500,1282619,1259869,1285463,1330160,1302660,1220270,1284271,1226602,1268274,1298798,1285902,1300764,1278453,1312927,1214670,1297909,1232561,1287680,1293207,1285687,1247065,1315239
303,1261367,1271290,1292622,1290236,1252221,1259386,1271032,1347581,1289408,1259480,1287249,1265451,1290986,1334882,1307073,1225059,1288993,1230879,1272551,1303174,1290423,1305543,1283523,1318362,1220091,1303422,1237691,1293066,1298792,1290770,1252129,1321265
304,1264685,1274871,1296058,1293723,1255642,1262635,1274182,1350811,1292806,1262877,1290592,1268770,1294553,1338565,1310809,1228485,1294098,1236017,1278084,1308650,1295629,1310866,1288061,1323094,1222978,1306730,1241070,1296540,1301974,1294224,1255501,1324424
305,1268220,1278287,1299810,1297148,1258980,1266328,1277992,1354939,1296312,1266576,1294056,1272178,1297853,1341842,1314154,1231929,1297566,1239542,1281719,1312154,1299296,1314712,1291728,1326800,1226461,1310297,1244480,1300137,1305757,1297779,1258864,1328035
306,1271353,1281541,1303391,1300460,1262274,1269525,1281370,1358371,1299544,1269744,1297547,1275562,1301508,1345674,1317397,1235003,1301175,1242503,1285110,1315219,1302507,1318329,1294722,1330038,1229541,1313662,1247670,1303608,1309197,1301343,1262224,1331501
307,1276174,1286372,1308074,1305324,1266754,1274143,1285885,1363496,1304316,1274668,1302389,1280138,1306201,1350335,1322337,1239537,1304961,1246435,1288961,1319458,1306639,1322076,1298660,1334221,1234025,1318579,1252224,1308367,1314220,1306383,1267047,1336601
308,1280737,1290598,1312320,1309780,1271163,1278260,1290239,1368022,1309545,1279797,1307643,1284809,1311225,1355433,1327921,1244955,1309873,1251023,1293898,1324821,1311202,1327511,1303478,1339048,1238105,1323348,1256466,1312653,1318459,1310370,1271024,1340818
309,1285458,1295936,1317503,1314950,1276091,1283319,1295471,1373373,1313757,1283555,1311665,1289576,1315525,1360295,1332046,1248493,1314053,1255069,1298053,1329003,1315516,1331595,1307986,1343673,1242956,1328331,1261412,1317904,1323495,1315664,1275911,1345930
310,1289526,1299912,1321271,1318987,1279933,1287294,1299661,1377654,1317401,1287269,1315603,1293217,1319444,1364247,1335817,1252078,1319367,1260253,1303187,1334229,1321127,1337009,1312992,1349148,1246619,1332390,1265479,1322058,1327516,1319766,1279897,1350070
311,1292783,1303243,1324824,1322563,1283209,1290634,1303066,1381501,1321309,1290750,1319364,1296586,1323402,1368166,1339587,1255616,1323055,1263943,1307036,1338640,1324731,1341075,1317139,1352995,1249885,1335871,1268811,1325479,1331055,1323303,1282927,1353554
312,1296755,1307202,1328978,1326485,1287387,1294623,1307151,1385657,1325092,1294785,1323161,1300690,1327125,1371899,1343594,1259254,1326471,1267044,1310339,1341753,1328428,1344245,1320516,1356549,1253788,1340080,1272829,1329505,1335207,1327459,1287120,1357950
313,1301740,1311881,1333727,1330935,1291500,1298634,1311448,1390055,1330370,1299369,1328096,1306011,1332413,1376894,1348800,1263921,1330634,1271421,1314749,1346193,1332556,1348598,1324721,1360954,1257986,1344771,1277205,1334107,1339623,1331905,1291333,1362507
314,1306484,1317150,1338929,1336791,1297103,1304152,1316827,1395911,1335617,1304551,1333310,1310750,1337208,1382285,1354017,1269155,1335323,1276013,1319705,1350931,1337109,1353311,1329293,1365782,1263527,1350073,1282362,1339475,1345186,1337458,1296788,1368138
315,1310281,1320856,1342632,1340615,1300982,1307952,1320713,1399814,1339161,1308241,1336920,1314402,1340865,1386272,1357713,1272584,1341237,1281321,1325041,1356887,1343003,1358986,1335068,1371710,1267104,1354027,1286091,1343443,1349019,1341242,1300648,1372159
316,1313850,1324661,1346199,1344176,1304613,1311850,1324324,1403638,1342825,1311828,1340734,1318077,1344486,1389825,1361496,1276185,1345124,1285133,1328853,1360737,1346809,1363001,1338943,1375631,1270488,1357760,1289596,1347079,1352929,1344876,1304034,1375869
317,1319016,1329458,1351404,1349351,1309493,1316488,1329304,1408895,1348125,1316992,1345637,1323418,1349644,1395493,1366923,1281045,1348669,1288429,1331936,1363838,1350651,1366022,1341992,1379276,1275112,1362725,1294472,1352040,1357813,1349711,1309017,1380821
318,1322944,1333878,1355760,1353706,1313431,1320508,1333569,1413281,1352191,1321061,1349984,1327433,1354106,1399739,1371108,1285032,1353634,1293378,1337075,1369248,1355483,1371631,1347435,1384246,1279736,1367331,1298948,1356279,1362382,1354197,1313146,1385165
319,1326154,1336966,1359108,1356809,1316516,1323761,1336553,1416994,1356108,1324637,1353742,1330694,1357784,1403518,1374716,1288433,1358261,1297863,1342031,1374179,1359566,1376543,1352374,1389119,1282492,1370412,1302076,1359802,1365569,1357518,1316405,1388562
320,1331628,1342499,1364659,1362482,1321941,1329339,1341963,1422736,1360823,1329630,1358737,1336080,1362897,1408765,1380161,1293205,1361487,1300962,1345181,1377113,1363007,1379522,1355425,1392494,1287645,1376005,1307050,1365069,1371092,1362909,1321695,1394292
321,1334366,1345224,1367343,1365273,1324757,1332127,1344770,1425818,1363797,1332543,1361685,1339314,1365668,1411699,1382928,1296510,1366884,1306033,1350349,1382799,1368639,1384943,1360831,1397925,1290541,1378781,1310047,1368209,1373984,1365700,1324551,1397273
322,1339547,1350574,1372423,1370503,1329649,1337162,1349919,1431459,1369046,1337744,1366708,1343671,1370664,1417118,1388176,1301109,1369689,1308800,1352964,1385617,1371186,1387723,1363728,1400908,1295039,1384488,1314886,1373029,1378923,1371127,1329350,1402647
323,1343755,1354661,1377035,1374936,1334066,1341479,1354156,1435936,1373463,1342076,1371138,1347955,1375525,1421793,1392513,1304899,1375152,1313952,1358161,1390992,1376453,1393156,1368791,1406096,1299385,1388773,1319245,1377582,1383466,1375584,1333792,1407323
324,1347510,1358458,1381039,1378892,1337885,1345172,1358067,1439817,1377377,1345930,1375243,1351923,1379369,1425792,1396676,1308752,1379467,1318001,1362725,1395497,1380992,1397771,1373367,1410994,1302869,1392708,1322926,1381234,1387332,1379283,1337372,1411010
325,1351896,1362900,1385559,1383321,1342195,1349648,1362275,1444612,1382181,1350193,1379761,1356216,1384285,1430471,1401367,1313057,1383457,1321928,1366688,1399557,1385031,1401767,1377083,1414935,1307428,1397120,1327179,1386022,1391951,1384052,1341821,1415787
326,1355794,1366754,1389312,1387254,1346215,1353526,1366286,1448803,1386060,1354155,1383594,1359951,1387583,1434812,1404969,1316669,1387927,1326170,1371048,1404115,1389424,1406317,1381670,1419394,1311095,1401082,1331044,1390007,1395939,1387973,1345656,1419769
327,1358884,1370101,1392367,1390239,1349086,1356481,1369160,1451886,1389172,1357592,1387123,1363623,1391239,1437695,1408751,1320034,1391853,1329959,1374881,1408096,1393475,1410403,1385614,1423693,1313830,1404154,1334168,1393468,1399218,1391231,1348507,1422826
328,1363709,1374777,1397662,1395301,1354111,1361339,1374677,1457041,1393889,1361680,1391621,1367881,1395576,1442581,1413053,1324357,1394891,1332862,1378001,1411055,1396342,1413442,1388644,1426667,1318587,1409230,1338787,1398055,1404151,1396183,1353752,1427840
329,1369015,1380177,1402530,1400578,1359055,1366649,1379169,1462397,1399213,1367101,1397281,1373083,1400919,1448416,1418613,1329566,1400159,1337658,1382864,1416203,1401307,1418661,1393616,1431835,1323390,1414452,1343640,1403143,1409264,1401195,1358572,1433084
330,1372729,1383703,1406660,1404649,1363091,1370316,1383330,1466644,1403213,1370523,1400950,1376984,1404665,1452158,1422463,1333250,1405024,1342194,1388201,1421156,1406373,1423624,1399198,1437064,1327400,1418425,1347567,1407392,1413541,1405272,1362499,1437426
331,1377193,1388077,1411372,1409194,1367461,1374716,1387857,1471264,1407583,1375145,1405343,1381420,1409214,1456575,1426924,1337427,1409363,1346263,1392170,1425510,1410555,1427836,1402858,1441408,1331579,1423028,1351724,1411937,1417874,1410026,1367050,1442075
332,1380042,1390993,1414129,1411945,1370360,1377657,1390665,1474491,1410394,1377941,1408269,1384223,1411979,1459448,1429680,1340072,1413821,1350726,1396700,1430002,1415068,1432170,1407218,1445854,1334314,1425943,1354646,1414877,1420795,1412970,1369899,1445112
333,1385037,1395776,1419775,1417642,1375794,1382580,1395211,1479551,1415674,1383171,1413452,1389330,1417315,1466582,1435375,1345202,1416778,1353540,1399536,1433154,1417929,1435430,1410410,1448993,1338867,1430837,1359252,1419939,1426208,1418043,1374654,1450191
334,1389813,1400648,1424131,1421979,1380271,1387371,1400417,1484750,1420320,1387613,1417994,1393896,1421832,1469929,1439819,1349463,1423371,1359396,1404375,1438473,1424519,1440165,1415352,1454360,1343667,1435828,1364015,1424857,1430600,1422867,1379454,1455174
335,1394620,1405499,1428850,1426668,1384879,1392069,1404995,1489225,1424913,1392443,1422660,1398394,1426404,1474419,1445241,1354439,1426676,1362839,1409269,1443427,1427718,1445511,1420078,1459100,1348023,1440302,1368865,1429485,1435335,1427250,1384168,1459711
336,1399151,1409996,1433599,1431330,1389355,1396606,1409530,1494416,1429955,1396800,1427500,1403053,1431057,1479325,1449220,1358311,1431186,1367178,1413868,1448020,1432174,1450114,1424610,1463520,1352476,1445043,1373080,1434337,1439952,1432206,1388680,1464754
337,1401570,1412577,1436215,1434001,1391780,1399105,1412193,1497029,1432468,1399240,1430193,1405637,1433660,1481988,1451943,1360881,1436136,1371853,1418548,1452878,1437378,1455004,1429423,1468451,1355095,1447553,1375584,1436881,1442830,1434820,1391237,1467568
338,1404252,1415212,1439014,1436642,1394503,1401606,1414801,1499939,1435419,1402187,1432993,1408427,1436590,1484986,1455801,1363532,1438677,1374280,1421425,1455450,1439796,1457767,1432167,1471176,1357565,1450368,1378454,1439808,1445404,1437526,1393899,1470439
339,1408448,1419635,1443495,1441048,1398722,1405967,1419211,1504607,1439486,1406133,1437158,1412385,1440844,1489394,1459143,1367460,1441363,1376883,1424031,1458152,1442609,1460549,1434843,1473895,1361495,1454699,1382368,1444099,1450037,1441932,1398146,1474840
340,1410544,1421749,1445641,1443205,1400790,1407987,1421300,1506867,1442033,1408477,1439693,1414746,1443443,1491868,1461528,1369740,1445696,1381068,1428253,1462649,1447092,1465108,1439130,1478411,1363850,1457178,1384589,1446446,1452447,1444251,1400397,1477190
341,1413159,1424347,1448231,1445750,1403292,1410452,1423875,1509636,1444240,1410768,1442017,1417199,1445662,1494342,1463834,1371895,1447930,1383147,1430223,1464756,1449205,1467277,1441283,1480659,1366120,1459608,1386828,1448856,1454923,1446672,1402801,1479697
342,1416312,1427682,1451610,1449284,1406643,1413808,1427218,1512823,1447510,1414003,1445519,1420453,1449007,1497854,1467273,1375022,1450557,1385603,1433041,1467560,1451793,1469917,1443913,1483430,1369360,1463034,1389959,1452195,1458185,1450027,1406113,1483150
343,1419078,1430559,1454622,1452217,1409218,1416850,1430221,1515975,1450769,1417067,1448528,1423619,1452038,1500918,1470451,1378121,1453766,1388807,1436417,1470973,1454882,1473327,1447090,1486739,1372422,1466345,1393108,1455347,1461493,1453304,1408870,1486363
344,1421806,1433098,1457211,1454847,1411955,1419272,1432733,1518820,1453292,1419757,1451330,1426212,1454821,1503805,1473160,1380573,1456701,1391477,1439162,1473751,1457968,1475996,1450295,1489792,1374929,1468949,1395584,1458007,1464302,1456062,1411754,1489167
345,1425687,1436266,1461128,1457830,1415861,1422039,1435766,1521960,1456646,1423239,1455281,1429466,1458785,1507343,1477081,1383996,1459499,1394130,1441886,1476532,1460752,1478942,1452792,1492529,1378393,1472700,1398965,1461813,1467748,1459517,1415473,1492808
346,1428097,1439962,1464299,1461494,1418067,1425546,1439529,1525775,1461534,1427058,1458394,1433518,1462108,1511187,1480595,1387802,1463507,1397581,1444922,1479553,1463874,1481963,1455877,1495821,1382067,1476499,1402862,1465493,1471588,1463003,1419054,1496202
347,1431155,1442433,1466856,1464484,1421266,1428693,1442171,1529013,1462935,1429322,1461078,1435571,1464498,1513795,1482994,1389682,1466526,1400575,1448352,1482893,1467122,1485566,1459342,1498875,1383901,1478754,1404832,1467598,1473996,1465549,1421105,1498877
348,1433877,1445116,1469650,1467169,1423869,1431408,1445032,1531873,1466718,1433351,1465010,1439092,1468106,1517996,1487196,1393654,1469094,1403227,1451454,1486118,1470367,1488686,1462531,1502492,1387820,1482592,1408765,1471875,1477529,1469655,1424681,1502958
349,1438755,1450134,1474538,1472266,1428724,1436147,1450221,1536907,1471008,1436935,1468918,1443285,1472289,1521927,1491024,1397382,1471914,1405794,1454250,1488993,1473238,1491489,1465273,1505286,1391259,1486955,1412349,1475924,1482028,1473624,1428810,1507064
350,1442531,1453663,1478719,1475752,1431997,1439553,1453581,1540886,1475613,1441541,1473074,1447435,1476680,1526179,1495843,1401625,1476923,1410660,1459021,1493920,1478120,1496413,1470091,1510688,1395796,1491259,1416845,1479794,1486210,1478282,1433602,1511938
351,1445258,1456879,1481625,1479121,1435231,1442908,1456778,1544336,1477715,1443646,1475800,1450147,1479246,1529164,1498039,1403703,1480442,1413761,1462459,1497579,1481399,1500244,1473572,1514054,1397830,1493667,1419054,1482432,1488809,1480446,1435604,1514108
352,1449556,1461208,1485931,1483340,1439442,1447628,1461455,1548835,1482227,1448313,1480432,1455379,1484208,1534675,1503563,1408424,1483541,1416989,1465737,1500643,1484719,1503145,1476794,1517134,1402523,1498640,1423747,1487176,1493759,1485266,1440056,1518905
353,1452861,1464320,1489300,1486714,1442661,1450395,1464300,1552177,1485543,1451433,1483727,1457887,1487354,1537325,1506258,1411243,1488184,1421463,1470324,1505416,1489449,1508062,1481097,1522026,1405639,1501768,1426783,1490612,1496892,1488452,1443416,1522263
354,1455967,1467401,1492274,1489897,1445632,1453618,1467216,1555388,1489425,1454827,1487831,1461323,1490719,1541037,1510035,1414394,1491426,1424632,1473542,1508927,1492748,1511309,1484612,1525340,1409041,1505589,1430298,1494637,1500749,1492442,1447392,1525807
355,1459686,1471417,1496146,1493559,1449324,1457411,1471320,1559568,1493607,1458902,1491432,1465594,1495055,1544990,1514042,1418441,1494601,1427868,1476848,1511780,1495591,1514394,1487591,1528394,1413059,1510061,1434262,1498507,1504879,1496374,1451404,1530375
356,1463514,1475020,1499835,1497750,1452818,1460807,1474956,1563522,1496381,1462045,1494745,1468631,1498243,1548498,1517222,1421355,1498515,1431303,1480614,1515965,1499714,1518391,1491632,1532616,1415728,1512708,1437193,1501479,1507701,1499505,1454157,1533293
357,1466714,1478422,1503430,1501135,1456461,1464368,1478554,1567032,1500446,1466006,1498593,1472465,1502259,1552267,1521089,1425177,1502216,1435426,1484310,1519459,1503465,1522339,1495561,1536215,1419790,1516810,1440977,1505599,1512091,1503748,1457813,1537359
358,1470575,1482604,1507432,1505100,1460379,1468324,1482501,1571270,1503756,1469255,1502211,1475718,1505447,1555928,1524600,1428244,1505857,1438310,1487741,1523194,1506891,1525835,1498735,1539744,1422777,1520404,1444255,1508878,1515067,1506696,1461343,1540786
359,1472795,1484827,1509777,1507380,1462644,1470616,1484815,1573628,1506968,1472435,1505618,1478784,1508609,1559380,1528262,1431442,1509912,1442118,1491750,1527249,1511187,1529835,1502770,1544176,1426052,1524315,1447431,1512154,1518379,1510553,1464634,1544216
360,1477965,1489939,1514954,1512578,1467771,1475485,1489857,1579014,1511677,1477014,1510232,1483657,1513311,1564227,1532769,1435878,1512154,1444303,1494058,1529602,1513415,1532240,1505052,1546552,1430226,1528183,1451937,1516827,1523252,1514834,1469036,1548724
361,1480438,1492427,1517670,1515232,1470448,1478094,1492521,1581694,1514698,1479863,1513220,1486479,1516336,1567292,1535609,1438594,1517310,1449260,1499448,1534812,1518811,1537500,1510184,1551988,1432751,1530957,1454724,1519630,1525881,1517746,1471856,1551523
362,1483900,1495830,1520956,1518480,1473633,1481400,1495892,1585438,1518177,1482955,1516306,1489662,1519360,1570713,1538909,1441791,1519971,1451863,1501955,1537539,1521298,1540083,1512599,1554762,1435914,1534483,1457881,1522950,1529436,1520662,1474947,1555001
363,1487714,1499461,1525037,1522421,1477260,1485038,1499590,1589324,1522629,1488012,1521125,1494052,1524482,1575759,1543929,1446348,1523298,1455002,1505323,1540970,1524650,1543657,1516160,1558320,1440612,1538987,1462897,1528105,1534330,1525668,1479848,1560028
364,1490927,1502951,1528336,1525643,1480622,1488446,1502973,1592884,1525024,1489981,1523617,1496460,1526790,1578006,1546620,1448445,1527172,1458846,1509054,1544813,1528609,1547442,1519903,1562119,1443058,1542077,1465000,1530236,1536651,1527955,1481953,1562292
365,1494604,1506771,1532260,1529534,1484440,1492204,1506791,1596831,1529368,1494797,1528260,1500721,1530796,1582556,1551272,1452870,1530590,1462042,1512425,1548237,1531992,1550987,1523374,1565810,1447309,1546415,1469029,1534927,1541363,1532735,1486375,1566808
366,1499911,1512004,1537652,1534710,1489378,1497579,1511716,1602506,1534516,1499149,1533267,1505792,1535849,1587747,1556031,1457500,1534495,1465723,1516171,1552138,1535655,1554821,1527067,1569622,1451640,1551353,1473985,1539785,1546339,1537635,1491178,1571898
367,1503965,1516279,1542086,1538797,1493511,1501646,1515803,1606906,1538981,1503120,1537257,1509550,1539795,1591901,1560137,1461557,1539698,1470950,1521519,1557653,1540919,1560196,1532221,1575054,1455415,1555266,1477795,1544169,1550139,1542116,1494977,1575868
368,1508210,1519941,1545741,1543048,1497369,1505793,1519982,1610971,1542618,1507043,1541299,1513627,1543812,1596086,1564031,1465053,1544312,1474930,1525767,1561640,1545073,1564507,1536556,1579614,1459177,1559241,1481527,1547803,1554199,1545391,1498827,1580076
369,1511151,1523087,1549259,1546370,1500602,1508763,1523175,1614396,1545961,1510379,1544640,1516902,1547097,1599545,1567440,1468402,1548275,1478894,1529659,1566021,1549185,1568748,1540611,1583482,1462325,1562684,1484762,1551115,1557428,1548834,1502288,1583551
370,1514574,1526826,1553042,1549959,1504362,1512317,1526834,1618293,1550597,1514836,1550089,1521556,1551715,1604377,1572396,1472940,1551482,1481945,1532994,1569249,1552521,1572317,1543890,1586907,1466751,1567277,1489413,1555635,1562407,1553874,1507654,1587904
371,1518727,1530940,1557341,1554372,1508292,1516432,1531145,1622727,1554769,1519058,1553553,1525464,1555856,1608666,1576166,1476651,1555237,1485470,1536458,1573001,1556175,1576025,1547532,1590839,1470600,1571799,1493218,1559986,1566483,1557643,1510661,1592252
372,1523712,1536118,1562545,1559359,1513304,1521158,1535743,1627757,1558777,1522953,1557465,1529485,1560072,1612871,1580350,1480866,1559695,1489485,1540790,1577315,1560605,1580359,1551991,1595137,1474688,1575911,1497211,1563958,1570644,1561910,1514745,1596835
373,1527588,1540068,1566682,1563344,1517250,1525368,1539868,1632013,1563046,1527735,1561955,1534110,1564710,1618228,1584925,1485296,1565053,1494488,1545787,1582684,1565586,1585932,1557136,1600804,1479013,1580999,1502040,1569570,1575741,1566537,1519549,1601349
374,1532893,1544734,1571393,1568128,1521843,1530589,1544787,1637052,1567641,1531818,1566244,1538466,1568660,1622071,1589392,1488973,1568840,1498361,1549605,1586447,1569651,1589595,1561061,1604385,1484023,1585491,1506167,1573726,1580150,1571182,1523705,1606296
375,1535515,1548003,1574770,1571548,1525211,1533417,1548184,1640685,1571391,1535354,1569930,1541923,1572282,1625837,1593139,1492529,1574224,1503301,1554868,1591428,1574486,1595008,1566309,1609454,1486456,1588552,1509149,1576704,1583302,1574460,1526990,1609561
376,1540766,1552337,1579069,1576100,1529601,1537457,1552886,1645409,1577003,1541163,1575796,1547797,1578300,1631841,1599393,1498102,1576953,1506074,1557467,1594858,1577881,1597857,1569256,1612907,1492409,1594907,1514619,1582599,1589318,1580461,1532798,1615018
377,1544336,1556940,1583799,1580529,1533662,1542045,1556997,1650032,1580815,1544698,1579909,1552201,1581905,1635831,1603288,1501863,1581941,1510560,1562188,1599571,1583944,1602392,1573750,1618076,1496377,1599188,1518943,1586703,1593885,1584572,1536839,1620322
378,1548432,1560959,1588148,1584727,1537930,1546210,1561194,1654555,1583992,1547733,1582700,1554624,1585045,1639193,1606122,1504639,1586184,1514693,1566356,1604075,1586994,1607047,1578323,1622229,1499002,1602340,1521770,1589850,1596825,1587954,1540014,1623400
379,1552592,1565602,1592615,1588639,1541972,1550035,1565604,1658961,1588901,1552501,1587940,1559671,1590115,1644135,1611247,1509332,1590541,1518875,1570570,1608438,1591259,1611206,1582500,1626670,1503623,1606988,1526558,1594919,1601664,1592823,1544723,1628098
380,1556791,1569729,1596977,1593322,1545947,1554541,1569682,1663688,1592580,1556074,1591161,1562970,1593616,1647923,1614715,1512875,1594734,1522896,1574793,1612504,1596018,1615742,1587202,1631328,1506792,1610378,1529521,1598299,1604984,1595884,1547854,1631364
381,1560689,1573750,1601069,1597265,1550005,1558402,1573614,1667826,1597353,1560960,1596458,1567652,1598472,1653111,1619759,1517353,1599017,1527127,1579052,1617409,1600107,1620077,1591121,1635550,1511267,1615308,1534201,1603272,1610013,1600735,1552428,1636394
382,1565570,1578621,1605857,1601730,1554996,1563481,1578480,1672988,1601787,1565102,1600633,1572267,1602855,1657621,1624127,1521537,1603223,1530863,1582967,1621395,1604157,1624139,1594782,1639513,1515798,1620089,1538672,1607804,1614753,1605482,1557144,1641459
383,1569763,1582632,1610150,1606409,1559042,1567324,1582669,1677647,1606280,1569433,1605048,1576412,1607745,1662379,1628705,1526113,1608229,1535380,1587858,1626372,1609129,1629252,1599815,1644535,1520043,1624500,1542939,1612343,1619050,1610091,1561226,1645646
384,1572854,1586067,1613453,1609840,1562291,1570783,1586085,1681059,1610157,1573449,1609062,1580467,1611479,1666074,1632423,1529427,1612558,1539858,1591923,1630785,1613458,1633569,1604135,1649030,1524776,1629795,1547310,1616578,1623144,1614606,1565523,1650310
385,1578221,1591322,1618503,1615077,1567376,1575684,1591083,1686370,1615061,1578243,1613879,1585474,1616124,1671346,1638219,1534135,1615916,1542993,1595440,1634057,1616945,1636931,1607641,1652568,1528479,1633881,1551811,1621421,1628014,1619133,1570068,1654814
386,1581959,1595055,1622509,1618838,1571010,1579516,1594911,1690541,1617964,1580951,1616514,1588299,1619122,1674572,1640737,1537124,1621220,1547988,1600463,1639203,1622317,1641908,1612736,1657779,1530672,1636253,1554083,1624003,1630442,1621618,1572568,1657498
387,1586181,1599643,1626801,1623095,1575516,1583995,1599526,1695372,1623049,1585913,1621555,1593201,1624168,1679708,1646032,1542188,1624966,1551805,1604345,1643259,1626068,1646125,1616821,1661940,1535660,1641798,1559170,1629151,1635614,1626758,1577659,1662769
388,1590461,1603908,1631340,1627652,1579608,1588103,1603573,1699683,1628434,1591083,1626701,1598628,1629384,1685124,1651143,1546963,1629575,1555900,1608753,1647932,1630241,1651139,1621314,1666176,1540665,1646715,1564013,1634195,1640708,1631791,1582518,1668066
389,1593864,1607313,1634668,1631113,1583057,1591434,1607001,1703543,1630485,1593097,1629143,1600756,1631470,1687480,1653394,1549191,1633615,1560233,1613128,1652225,1634757,1655006,1625641,1670778,1542785,1649070,1566347,1636844,1643264,1634447,1584872,1670326
