journal_ops,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
239,28336,29330,30116,28956,24600,25575,27621,31850,27789,27887,5899,8601,6253,37961,29112,26605,29426,28430,22107,24188,32597,32721,37577,39580,12917,13247,31767,32068,16128,15198,33462,32310
240,35124,36542,36816,36096,31795,31912,33925,5380,33465,33582,11394,14012,11587,10486,34575,31940,34104,32923,27058,29051,37295,37665,42433,44398,19388,20723,7063,38624,22337,22143,39342,38654
241,40932,41254,41647,41022,36363,37840,39184,11267,41016,41768,18866,21064,19078,18515,8156,4816,40004,38460,32667,34464,6939,6734,10089,12528,23974,25147,11400,9234,27996,27195,8697,8164
242,11857,14591,13998,14702,10067,9890,13931,20125,14386,13906,27206,30250,29091,28973,18789,13627,10279,9832,4781,6832,13241,12225,16294,18424,31852,33828,19412,18224,36078,34969,17271,17316
243,20422,21285,22846,22187,18227,19150,22696,28200,20757,21118,34519,36849,34342,34378,23605,19640,18396,18298,13233,15151,21119,20231,24555,26451,40292,42353,28349,26640,44904,43973,26288,25553
244,26031,27271,28568,27291,23899,24644,28604,34426,27033,27342,8638,10728,9555,40816,29881,25990,28088,27344,22335,24610,30645,30143,34311,36699,46207,48632,34222,32681,50672,49849,32172,31375
245,32989,33805,35409,34377,30663,30888,34807,41489,33269,34507,14562,16788,16581,12178,36104,31820,33978,32664,28077,30537,36572,35829,39870,42106,16038,18201,40542,39165,18413,18886,38537,38150
246,37671,39743,40785,39388,35492,37672,40795,12766,39065,39888,20879,23041,21452,18438,42381,37791,40979,39033,35172,37326,42588,42712,46268,12438,21073,23120,11001,9208,24657,24804,44495,43969
247,42673,44591,45706,43982,40525,41771,7715,17788,46526,46918,28834,30565,28350,25717,13988,9558,47251,44689,41181,43361,12453,12857,17519,17838,25662,28116,16233,14255,29359,29249,10216,8623
248,11774,13321,14817,13949,49678,51416,16842,27313,15047,16410,37042,38794,37788,34248,24029,18794,13203,11048,7786,11264,16514,18122,22564,23232,34955,37866,25806,24293,38364,39053,19688,18208
249,19660,20867,22507,21648,18036,18526,24574,35800,20468,20737,43063,44894,43157,41163,29950,23580,22595,20256,17249,21056,25947,27474,32500,32617,42685,45547,33135,31871,46476,46472,27656,26516
250,24499,26470,27707,27226,23208,23718,29738,41216,25898,26348,11406,15259,12962,9525,34445,28899,30591,28009,25426,29017,33760,35534,40194,40527,47776,51093,38415,37342,51451,51747,33079,31534
251,30482,32812,33886,33506,29447,30108,35931,10541,32801,33661,18389,22042,20257,16789,41481,35833,35643,32807,30519,34188,38853,40651,45109,45796,16724,17498,9087,8330,17935,17008,39480,37663
252,36627,39396,40775,39681,35119,36126,6176,17246,38946,39340,24361,28008,25529,23071,9408,5892,42923,39649,36942,41077,45243,47849,51393,11181,22108,23862,15755,14416,24967,23546,46115,44593
253,42313,44854,46393,45081,40647,42224,12326,22920,44968,45188,30882,34981,32060,29951,15476,12001,48854,45200,43713,46575,12499,12507,18247,17406,27957,29505,20986,20566,30392,29203,10634,10434
254,9841,10610,13303,13117,47763,50321,19738,30585,11149,11042,39248,41316,38965,36866,22407,19905,12975,12513,9912,10160,18594,18289,23726,23117,35468,37351,28760,27968,38233,36482,18311,17589
255,15563,17101,20030,19753,13178,13560,25953,37098,16809,16375,43285,8286,44060,42241,27380,24160,19873,19633,16859,16949,25238,25300,31031,30589,41353,43173,34310,34394,44099,42699,24306,24028
256,20611,22316,25127,24785,18282,18863,31262,3969,22959,22625,11209,14536,12374,9581,33741,29817,26633,25559,23127,23550,31493,31835,37259,37176,46520,48486,39422,40113,6541,47898,29955,29551
257,27574,29462,32261,31981,25129,25822,37886,11429,28625,28364,16611,20155,17864,15353,4674,35496,31753,30747,28580,29071,36742,37279,42496,42235,12012,12064,10611,9019,13305,13713,36815,36527
258,32273,34373,36597,36216,29352,30772,8146,15869,34324,35509,22196,27184,23591,22417,11132,8877,39023,37646,35789,36084,44010,43752,49853,49222,16451,16767,15412,13881,18148,18471,41898,41848
259,37790,40018,42777,6777,35158,36659,14210,21985,39714,39764,27891,31336,29085,26844,16480,13239,43781,42224,40326,41057,9691,10047,13176,13376,21732,22353,20725,19635,23787,23927,8557,47316
260,9507,10476,14404,13531,42506,43373,21841,29447,10074,10252,35770,38996,37005,35111,24034,20850,10345,10516,7954,8013,15514,15868,19108,18971,29756,30709,28508,27337,31937,31732,16442,16623
261,16392,15974,21085,19913,11587,12127,27418,35459,16448,16578,8829,11050,9086,6990,30315,26892,17578,17469,15078,15041,22173,23382,26697,27130,35346,36055,34217,33430,37097,37273,22176,21744
262,21605,22826,26539,26211,17934,18635,34030,9745,21397,21609,13866,15991,14161,12235,35441,31835,23210,23202,21200,21155,28554,29222,32438,32228,41849,6374,40562,40170,8539,7769,29028,28513
263,28648,30031,34199,33539,24455,26053,7227,17104,28229,28371,20649,22887,20774,20012,9460,6326,30320,29904,27660,28160,35075,36065,39595,39192,12760,13190,10940,11277,15387,14654,36591,35914
264,33365,34367,38330,37728,29498,30197,12375,21406,35227,35321,27502,29567,27740,26127,15297,12301,37564,36775,34638,34850,43119,43884,46781,46019,17602,18161,16429,16572,20511,20928,41673,40945
265,39534,41300,8086,7907,35969,37229,18822,28197,40943,41472,32897,35325,33055,32038,20661,17594,41656,41024,39029,39887,9955,9946,12233,12080,23996,24822,22503,23068,26573,26247,8808,8656
266,9145,9287,13892,13678,41579,43255,24983,34039,46749,46854,38380,6602,5382,37876,26838,23583,12660,12513,8831,9047,16619,16852,18888,18662,29786,30908,28717,28970,32608,32056,14865,14574
267,14895,14928,19654,19216,11084,11022,30601,6198,13251,13266,9097,11521,10128,6941,31794,28334,18749,18530,14735,15172,22218,23089,24973,24846,35098,35989,33710,34762,37846,37669,20489,20267
268,22258,22040,26938,26388,18257,18504,6284,13984,20217,20303,15978,18606,17206,14633,6917,35467,24414,24006,20605,20957,27999,28552,30527,30489,7541,9603,40951,41788,44949,44665,27947,27360
269,27573,28524,32770,32039,24042,24482,12128,19563,28305,28069,23729,25899,25006,22442,14890,11673,31946,30785,27793,28133,35071,36452,38362,37652,14161,16027,12992,12734,15113,15329,33921,33470
270,34541,35396,39399,38988,30797,30957,18608,26271,34272,34025,29844,32476,31149,29189,21027,17203,37681,36530,33575,34128,40858,41408,43365,43755,20118,22748,19353,19774,22163,22106,41298,40807
271,40222,41587,8913,9308,37253,37363,24613,32191,39448,39692,35010,37586,35978,34448,26459,22396,43905,42705,39825,40675,9611,9509,12194,12293,26380,28954,25763,26520,28344,28520,8894,8896
272,9902,9899,14358,14493,41443,43043,30575,4384,45743,7142,6105,9920,7181,41041,33007,28648,14065,13757,9950,10258,15813,15786,18313,18548,31714,34628,31039,32122,33988,33526,14704,14526
273,16762,17457,21945,21783,12673,13347,37400,12057,13529,13732,13641,17145,14780,12048,39801,35479,19631,19516,15383,16229,21104,21485,23869,24530,38868,8257,38350,39703,41283,40783,22203,22174
274,24408,25180,29113,28769,21020,20527,11904,19386,20362,20653,19918,23254,21054,19208,10578,8561,27184,26680,23256,23564,28486,29729,31751,31876,13232,16935,45814,47262,48658,9529,30510,29570
275,31270,31652,36357,35881,26715,27634,18513,26464,28316,29174,28084,31766,28929,27437,18917,16504,34838,33993,30533,31415,35519,36277,39816,39734,19578,23102,14103,15246,15644,16158,36773,36715
276,38126,39028,43398,42834,33328,34541,25303,33989,34986,35731,34795,38143,35815,34647,25471,22964,41948,40256,37045,38091,43470,43240,46186,46619,26237,30027,20996,22038,22557,22914,44119,44142
277,42677,44114,9018,10799,38188,39721,30633,38830,39063,39789,39048,6650,3353,39112,29687,27111,47380,45855,42952,44344,10022,10089,12150,12612,31386,35319,26099,27298,28050,28097,10355,10661
278,10456,11641,15797,17680,45039,46633,37451,11200,9085,9388,11423,14578,11164,8804,38373,35061,12953,12802,48973,10667,16189,16381,18399,19358,37881,5355,33864,34724,34441,34693,17391,17561
279,17544,18870,23116,24647,13214,13807,10197,18396,16464,16999,19171,22516,18168,16439,10049,42415,19553,19156,16367,17150,22479,22871,25029,25783,9577,12610,40242,41716,41909,42111,24941,25410
280,25800,26627,31175,32110,21223,21452,17993,26598,23719,23902,26074,29378,25991,24217,17063,13027,27531,26414,24005,25189,30591,30775,33296,34247,18230,21402,49054,49968,11543,12660,33762,33601
281,31797,33488,38107,38957,27280,28273,24819,33573,30939,31517,33716,36653,33185,32172,24568,20047,35270,34038,32654,33488,38244,39052,41576,41397,23797,27330,15874,17243,18761,18276,39829,39995
282,36728,38829,43365,43688,32340,33687,30015,38811,35321,36700,39210,4928,38571,37768,30152,24932,41909,40651,38839,39432,44799,45318,47764,48466,29000,31993,20952,20943,23082,23413,44896,45184
283,43011,45531,11896,11177,38401,39857,36222,8914,40734,41688,7175,10531,8200,6670,34679,30079,47584,46155,44389,45210,50209,50896,14374,13852,35437,38863,27368,27289,29621,30031,10686,11445
284,11643,11937,19791,18606,45930,47223,5760,14853,48379,49147,14980,17997,15725,14623,42280,37428,13332,12691,8875,7504,16472,17137,20469,19658,42481,9127,34332,35912,37666,38018,17654,18542
285,17476,18866,25655,24441,12540,12841,12727,21894,16332,17889,21900,27075,22168,23532,11462,10268,19814,19994,16105,14497,22839,23723,27693,26554,12008,14730,40638,40835,42873,42778,24150,24851
286,26628,28512,34185,32775,20585,22315,22068,31137,24062,25492,30505,32780,30761,30571,19219,16276,26896,25544,22052,20383,29556,30678,33462,33028,21416,24557,50212,50845,52550,52470,34030,34414
287,31545,33354,40155,39060,26546,28341,27349,37040,30287,31711,35942,38926,36884,36492,25544,21702,35168,34365,31087,29321,38487,38898,42666,41307,26735,30426,15478,16402,17250,16184,39851,40049
288,37057,39236,45892,44331,31943,33618,32767,6962,35317,36328,3995,7683,8686,41046,30246,27083,41159,39802,36457,35079,43949,45356,48111,47766,31400,35077,20633,21377,22886,21814,44838,45776
289,43142,45704,10928,11788,38319,39984,39498,13792,40743,42183,9892,13486,13911,10149,36105,32047,47084,45130,41975,40363,49251,51121,11417,11893,37532,5205,26924,27874,29230,27991,51157,52079
290,13750,14271,18513,19744,45646,47688,11545,20769,49298,50721,18123,21844,22248,18689,6849,39780,15639,14393,7985,7919,16190,17800,18043,18542,8216,12892,34683,35535,36226,35423,17122,16230
291,21666,22291,27270,27446,14551,15207,19766,29526,16061,16222,25542,29026,29433,26133,13863,10915,21520,19408,14813,14301,21481,24167,24877,25375,16598,20932,42221,43737,44743,43513,25312,25025
292,28255,29958,34964,34256,21633,23320,26973,36826,23713,24029,33296,36900,37390,34524,21912,18367,30292,28460,23169,22878,31147,33408,33248,33188,24375,28715,50336,51343,52110,51507,32830,32329
293,31870,33049,38074,38234,25589,26530,30995,40989,27166,27266,36858,6353,4519,37702,25172,21305,38313,35838,30559,30575,38131,40873,40527,41200,27212,32012,13888,14580,16747,15594,37065,36493
294,36672,38068,5416,5435,30412,31498,35977,9789,32070,32306,8088,11422,9530,5088,30463,26505,42373,40070,35347,35293,42460,45321,45405,46244,32089,37037,18892,19418,21612,20423,42117,41509
295,7429,45506,12714,12505,37560,38529,8794,16669,39075,39735,15252,18374,16679,12631,37758,33573,47113,44842,39887,40168,47022,50262,9389,10458,38708,9174,25822,27021,28760,27385,48909,7786
296,13795,14383,19953,19366,44166,45571,15859,24334,46202,46902,22391,25975,25290,20051,11430,6188,11490,11858,10027,9806,10456,10909,16048,17198,11496,16376,32766,33675,35498,34215,15127,14762
297,22058,23437,28366,27598,15882,16636,24283,32793,16049,17996,30720,33698,32316,28960,20640,14878,19001,18743,17095,17490,17560,17701,22628,23794,19940,24879,41110,42666,44228,42825,24082,23521
298,29025,31011,35914,34522,23509,24238,31209,39908,24163,24185,38287,41292,39695,37629,27929,22702,27444,27871,25530,25678,27364,26527,31125,32000,26965,32260,49284,50532,51760,50369,32118,31285
299,34278,35767,41283,39980,27780,29466,36630,12454,28538,28333,10172,11004,11901,41038,32163,26545,34998,34160,32850,33148,33624,34158,39269,39963,31950,37578,13557,15708,17403,17291,37256,36547
300,39151,40886,11353,10973,32641,34473,6330,17621,33683,33337,15265,16249,17142,12718,38066,31380,40876,40039,38972,39302,39815,40344,45325,46235,36655,7327,18545,20669,22535,22302,42280,41828
301,45574,47490,18032,17398,38895,41191,12714,24388,40139,39905,22154,22967,23303,19137,6928,38116,46194,45062,43804,44473,9590,8469,13239,13240,7045,14133,25172,27423,29133,29009,48894,48549
302,15087,15374,25830,24576,46100,48294,20584,32064,48025,47804,30430,30043,30872,27972,15820,10914,14126,13527,10443,12587,16619,15245,20277,19798,14301,22227,32768,34987,36742,36961,16556,16024
303,22560,23116,33875,33366,16694,17968,28190,40546,14984,14752,37329,38409,38989,35001,22386,18099,21248,20101,16867,19116,23364,22199,27926,27891,22577,30420,40652,43146,45152,44686,24451,24971
304,27539,28605,39196,38469,21703,22908,32889,8900,20047,19882,42319,8498,9017,40598,27894,23395,28963,27935,25156,27303,30981,30065,34739,34848,26991,35332,45879,48403,49731,49600,29732,29743
305,32822,33857,44642,7166,26693,28527,4194,14931,25250,25455,10437,13693,13842,7238,32863,28656,34231,33267,30666,32565,36469,35816,40205,40282,32383,5293,10365,11014,15206,15158,34993,35170
306,37586,38959,11117,11885,31640,33394,9247,19978,30112,30305,15627,18745,19207,12932,37733,33382,39648,37811,35694,37060,41211,41172,44688,45054,4824,10330,15269,16364,20339,20428,40333,40245
307,44565,46222,18177,18987,38571,40561,16039,27372,37260,37794,22849,25624,26237,19945,10126,7117,45323,43842,41533,43344,8674,7923,8835,8885,11701,17677,22304,23687,27765,27889,47967,47818
308,14628,14637,24553,25500,8617,47008,22635,34024,45088,45744,30686,32847,33681,27640,18306,15357,12167,12601,11261,11490,15441,15968,16055,15902,18020,24692,28749,30143,34024,33780,13558,13568
309,21692,22751,32499,33129,16005,16569,30374,41859,12536,12186,36614,40021,40004,34819,24477,20666,18445,18748,17589,17609,21765,22023,22849,22699,25389,32083,36312,38106,41566,41566,21231,21175
310,27701,28844,38358,39130,21746,22686,36638,12552,17976,17910,8580,10942,11136,40618,30034,26170,26489,26550,25282,25343,30000,30089,30460,30742,31125,38196,42549,44427,47447,47611,27531,27329
311,32632,33954,7160,10975,26604,27887,9287,18145,23788,23274,14214,16042,16980,10556,35630,31583,32025,32196,31023,31861,35347,36145,36582,36414,3818,10428,9680,11286,14575,13763,32285,32495
312,38684,40049,13415,16738,32799,34082,15369,24264,29358,29411,19872,22244,22509,16143,5678,37135,37155,37123,36002,36447,7700,5085,41656,41580,9798,16695,15907,17346,20724,19867,38861,38967
313,46070,47181,20638,23286,39058,40544,21897,30738,37262,36403,27286,30299,30384,23695,13444,9802,43494,43638,42516,43027,13842,11504,10223,11160,16189,23698,22513,24283,27245,26413,45502,45789
314,14928,15444,28442,31840,10914,49029,30031,39273,44927,44372,35034,37435,37369,31829,21199,17699,14177,14101,11753,11008,20525,18530,17057,18357,24685,31542,30386,32422,35615,34679,14568,14397
315,20693,21187,34112,37471,16671,16794,35826,10298,11806,11915,40526,42918,9077,37793,26646,22930,22883,22160,19802,19853,29191,27002,25743,26994,30215,37540,36135,38443,41365,40351,20548,20359
316,26039,27019,39407,8617,22092,22764,8555,15800,17164,17560,11544,11205,14385,10856,32188,28398,28593,27878,25507,25564,34819,32984,31512,32707,35390,8745,41623,43974,7855,6435,25915,25905
317,33640,34395,13136,16173,29403,29962,15996,23368,24939,25461,18824,19242,22016,19261,40243,35816,33913,32898,30228,30215,5711,37527,36001,38076,9490,16168,10966,11109,15216,13700,33691,33335
318,39650,41227,19699,22482,35351,36277,22443,29719,30981,31727,25322,25331,28649,25564,11171,7670,41304,40511,37932,38294,12960,10770,44185,45293,16613,22985,17752,17507,21938,20301,40126,39821
319,6326,6412,24763,27070,40035,41376,26950,35142,36726,37140,30875,30370,34121,31135,16477,12950,48276,9500,45457,45674,19054,18051,15441,15326,20855,27488,22441,22760,26606,25155,45273,44827
320,14562,14915,33096,35377,47866,49858,35095,43459,43937,44777,38387,38537,41747,38960,24578,20184,14586,14170,12008,11378,24170,22541,20004,20309,28733,35796,30093,30771,34864,33064,13399,13035
321,18675,19064,37131,39534,13848,14422,5486,11026,8755,8858,42786,43480,8548,43278,28603,25244,22696,21902,19731,19799,32485,30662,28084,28304,33286,4582,34703,35555,4941,37286,17910,17339
322,26274,27259,8616,10771,21150,22223,13204,19264,16568,16734,11630,11181,15869,13014,36313,32139,26943,26125,23665,23999,36450,34852,32384,32623,6947,13127,41992,42952,12311,9775,25422,25248
323,32477,33596,15590,17236,27697,28926,19626,25745,23016,23241,18258,17761,22975,19988,42812,38033,35153,33836,31497,31996,9594,8345,40169,40383,13690,19503,12117,12217,19105,16320,32512,32141
324,38248,39532,21506,23044,33390,34581,25460,31451,28825,29181,24325,23708,28691,25915,11759,9306,41748,40175,38387,38663,16271,15186,47063,47457,19030,25392,17767,17799,24915,21816,38203,37642
325,10563,9405,28259,29499,39867,41601,31885,38440,35907,35859,31058,30330,35935,32930,18735,15904,47751,45955,44335,44636,22171,21095,14286,14378,26081,31933,24286,24964,31685,28827,45263,44838
326,16370,15366,33878,35291,45828,47572,37837,7460,41687,41954,36691,35957,4352,39518,24008,21422,15656,15038,10984,11715,28679,27755,21197,20874,31774,37796,30154,30946,37567,34642,10565,10708
327,20929,20468,38510,39719,11612,11361,6765,11917,6345,7415,3128,41500,9894,6031,29598,26548,21451,20826,16808,17559,34640,33821,27191,27163,35994,8225,34872,36199,6722,4803,15079,15236
328,28056,27546,10913,10218,19070,18872,14961,19513,13191,13666,9813,9941,16275,13296,36116,33247,25852,25314,21409,22016,4575,2483,31737,31603,9179,15911,42013,43203,13980,12152,23194,22717
329,35971,35759,18207,17872,26372,26989,21721,27286,21122,22001,18194,17860,24347,22015,9924,41345,33755,32652,28719,29619,11941,10271,39219,39168,16699,23759,13623,13161,21594,19548,30797,30474
330,8688,7584,24448,23803,32369,32652,28016,33380,26991,27193,23714,23679,29847,27613,15499,11429,41070,39723,36812,36980,19452,17657,47652,46806,22965,29693,19649,19630,27976,25562,37070,36829
331,15327,14311,31503,30536,38926,39395,34935,5083,33558,34232,30291,30450,36540,34260,22140,17866,47642,45924,42813,43446,25574,24010,14985,15403,29412,36552,26024,26569,34503,32656,44161,43686
332,19515,18796,35678,34608,43225,43872,4295,9749,37687,38534,34593,34649,7346,38775,26217,21929,15980,15775,12122,11045,32159,30406,21513,21961,33740,5874,30438,31074,5420,2664,9692,9444
333,27036,26194,7829,7920,12585,12495,11042,17099,9774,9956,8452,6757,15161,13280,34633,29808,20367,20067,16322,15752,2934,35162,26311,26650,7701,13200,37579,38696,13455,10244,17127,16961
334,34109,33627,14260,14128,19187,19954,18780,24669,16762,16732,15176,13584,21792,18121,41119,36361,30283,29132,23541,23669,12708,8201,33714,34612,15148,20689,44888,46146,19944,17267,24630,24357
335,9041,41038,21283,21004,26021,27232,25624,31322,23541,24153,22100,20377,28570,24847,15440,11610,35249,34405,30924,31008,17449,16198,41066,41724,21849,27404,15543,15536,26967,23757,31987,31115
336,15849,14183,28557,27897,32638,34273,32456,38827,31010,30876,29279,27494,35572,32449,21259,17493,42122,40962,37745,37797,24036,22944,47776,48209,28716,34474,21981,22837,33712,31054,38989,38546
337,19440,18119,32499,31787,36290,38189,36451,9031,34757,34633,33310,31373,7162,36388,25273,21516,9474,9520,44739,44967,31750,30264,17208,17597,32830,6179,25798,26733,2902,34885,43000,42664
338,23386,22169,36612,35666,4397,4414,6638,13242,39188,39085,3645,35606,11506,4076,31009,25529,13360,13277,11901,11671,35390,34393,21279,21588,4324,10388,30132,31118,6768,5314,47277,46957
339,29628,28859,43327,42060,10742,11139,13159,20092,8789,8849,9846,7556,17756,10604,35921,31570,17365,17195,15856,15657,5895,4710,25269,25655,10474,16774,36186,37605,13590,11830,13745,13749
340,428,32052,10145,9715,13790,14296,16294,23391,12546,12494,13607,11139,21633,14289,39464,35095,23961,23654,22336,22296,12575,11483,31901,32398,14022,20438,39651,41192,17124,15233,17347,17250
341,4313,3898,14038,13468,17630,18168,20227,27428,15889,16009,17053,14764,24975,17933,5510,5278,27259,26821,25450,25586,15691,14627,35081,35568,17542,24020,4837,5095,20792,18837,21029,20950
342,9005,8856,19096,18596,22486,23374,25238,2907,20809,21016,22168,19689,3534,23195,10542,10072,31202,30608,29426,29554,19487,18638,2778,2865,22506,3436,9731,10201,25783,23962,26245,26066
343,13117,13253,23594,22937,26372,28060,4708,7519,25632,25707,26698,24458,8053,3526,15292,14896,5791,5912,34516,3910,24135,23735,7527,7757,4036,8398,14588,15002,7169,5404,30697,30783
344,17220,17096,27527,26791,5788,5811,8493,11628,29437,29788,7069,5383,12071,7805,19323,18547,10246,10011,8259,8068,4935,3512,12278,12248,7905,12287,18345,19000,11341,9441,4810,4834
345,3642,21966,5849,4344,11554,10149,13049,16272,7678,8121,12903,10379,17978,13108,25033,23805,14420,14093,12384,12197,9071,7842,16108,16460,13194,17872,23609,24937,16397,14611,10865,10453
346,7197,3463,10589,9694,14833,15522,18738,21820,14835,14081,17568,16505,22978,18835,5411,5179,20406,19303,16926,16704,13708,12357,20669,21146,18863,23496,6942,7604,22094,19793,16423,15324
347,11746,7165,14482,13954,19659,20324,22670,26496,16912,17546,21581,19621,26553,22666,8934,8070,24943,23851,22071,21615,18549,17668,25881,2495,21697,26864,9944,10744,25728,23537,19598,19286
348,15853,11290,18629,17927,23580,24553,26952,4761,22505,23651,27492,24950,6433,4639,15179,14107,28819,27941,26905,26587,23331,22250,6727,7674,4302,6313,16127,17195,4661,29578,25218,25242
349,23086,18997,26062,25408,30888,31788,8915,12131,28804,29180,8517,5701,12627,10352,20817,19790,4802,4678,4196,4316,27553,26450,10832,11827,9703,12889,21626,23234,11315,10298,31678,31441
350,28720,24447,6970,30552,10640,10472,14020,18008,8810,8543,14689,11989,19120,16645,27923,26296,12428,12103,11413,11661,8611,8734,17996,19681,16728,19341,28426,29085,17519,17123,11628,11347
351,5961,29324,11329,7515,15414,15659,18931,22952,12006,11852,18696,16045,22919,21078,3229,29475,17745,16876,16541,17043,13505,14309,23291,24607,19832,22937,31875,4869,21400,20258,14710,14549
352,12351,8644,17814,13631,21732,22904,25876,29635,18703,18974,25626,24063,30221,29271,11386,8805,22372,21789,21484,21627,18291,18716,28166,2117,26962,30443,10919,12044,28630,27446,21754,21740
353,17214,13428,22876,18537,26561,27115,30175,7286,23703,23759,30473,27890,7506,3577,15366,13189,29455,28515,28409,28693,25208,25929,5894,9283,31719,7673,15565,17293,33360,32199,26935,26719
354,21940,18117,27394,23245,30998,32126,5553,11870,29421,29001,6048,33161,12495,9051,21025,17976,34277,33311,33276,33901,30057,30781,11211,14162,8180,13403,20935,23309,8370,6433,33094,31988
355,27499,24223,33201,28516,36515,37986,11643,17867,35700,35282,11395,9566,18879,15042,26984,24242,7516,7607,7254,6687,34471,35347,15676,18626,14396,20102,26977,29170,14441,12163,39464,38716
356,3333,29764,7346,4824,10905,11389,17110,23567,8439,8564,16367,14125,23542,20348,3581,28645,13383,12768,12961,13034,9438,9544,21728,24871,18613,24025,31438,33723,18624,16814,10269,10659
357,8149,6436,12618,9702,16256,16873,22547,28720,14475,14590,21955,19906,29696,26057,9306,5707,18911,18991,18455,18269,14991,15337,27410,30229,24933,30096,5799,8346,25103,23102,16128,16659
358,13778,12836,18654,15480,22132,22884,28425,6311,19243,19561,27353,24875,34420,31637,14433,10359,24382,23334,23651,23738,20117,20612,32338,6827,29546,5575,10769,13342,29485,27667,21593,21811
359,17137,16253,22196,18844,25460,26399,1812,9783,24052,24365,3121,29606,10671,7444,19826,15234,30528,29176,29688,29773,26480,26508,8027,13306,5599,11424,15644,18317,5027,5147,26709,26930
360,24861,24096,29985,26469,32998,34105,9305,17640,31080,31368,9940,8537,17588,14665,26518,22055,2672,2486,2391,33263,29940,30204,11505,16817,12011,17170,22643,25482,12197,11501,33814,33696
361,28612,27933,6617,30431,6581,6795,13270,21544,35594,35726,14402,12793,22053,19254,30688,26243,10440,10041,10438,9822,7966,7817,19273,24764,15896,21277,26828,29738,16071,15789,38152,37858
362,6199,4687,11712,6479,11383,11884,18277,26981,9082,8503,19027,17628,26637,24222,7565,2848,14364,14010,14201,13872,11701,11574,22979,28895,20835,26522,3306,6029,21317,20167,42930,42990
363,11813,10208,17653,12166,16766,17398,23857,3256,15689,16342,26065,24386,34211,31743,14985,9740,19363,18787,19318,18971,16588,16823,28334,5406,28147,4619,10945,13871,28632,27576,16469,16291
364,16612,15516,22642,16968,21768,22674,28871,8491,19281,19360,29771,28113,37662,2165,18969,12995,25114,24555,24940,24674,22375,22451,4279,10988,5102,9145,14088,17100,5130,2537,19718,19695
365,22141,21353,28556,22663,27378,28489,6198,14299,25735,26652,8497,5353,8334,8901,25823,19783,30344,29317,30114,29762,27357,27628,9541,16359,11717,15580,20383,24051,12082,9593,26581,26305
366,30109,29311,7347,30441,34748,36740,13574,22602,33381,33411,15952,12986,15866,16605,32954,26925,6729,6349,7657,5992,32866,33404,15119,22087,18479,22885,27954,31321,19360,16820,34129,33858
367,36116,35820,13888,8603,12738,12298,19791,28859,8624,7903,21993,18731,21718,22793,9223,33228,14463,14275,15707,14231,8957,8994,22819,30154,24295,28737,33847,8932,25004,23394,40168,39716
368,9965,9667,19408,14829,18481,18577,26146,34805,14046,13912,27933,24811,27629,28990,15008,8102,21263,20257,22085,20163,15080,15421,29365,7465,30191,34661,8368,14335,31002,28279,46222,46070
369,14313,14509,24642,19679,23374,23202,30833,7668,19044,18981,32875,29770,32593,34170,20041,13269,27245,26277,28079,26630,21122,21567,35487,13192,2933,6524,13361,19299,35761,33399,9595,7962
370,19476,20162,30299,24963,28921,28700,5826,13326,25944,25810,7611,36829,6670,9496,27412,20222,32024,30994,33070,31484,26008,26757,7862,18198,9885,13375,20465,26275,9831,9827,17978,14415
371,25672,26436,3698,31382,34931,35115,12345,19841,32088,32200,12757,10547,12812,15957,32948,25912,6329,36311,6678,37095,31499,32309,13300,23920,15848,20145,26327,32926,15845,15466,22654,20889
372,33101,34340,11667,5448,42208,42416,19259,27214,37978,38211,18595,16613,19111,22175,6646,32411,13018,9975,13077,10727,37942,38826,19886,30231,22214,26324,32569,6186,21972,21718,29129,27714
373,38814,40362,17891,11335,13729,14020,25609,33532,44411,9794,25286,23597,25999,30190,13515,6364,21010,17493,20602,18744,10128,10512,27604,5486,29075,33805,7960,14411,29464,28531,36643,34345
374,13043,13020,25018,18414,20620,21993,32846,8573,14724,16015,31579,30190,31911,36059,20008,11913,26686,23446,26453,24357,16074,15869,33474,10778,36703,7946,14356,20757,35980,35458,43169,41720
