op_rw,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
77,38,38,76,76,0,38,76,76,114,152,38,0,38,38,0,76,76,38,76,38,76,0,76,76,38,38,38,38,76,38,152,76
78,38,38,76,76,0,38,76,76,114,152,38,0,38,38,0,76,76,38,76,38,76,0,76,76,38,38,38,38,76,38,152,76
79,38,38,76,76,0,38,76,76,114,152,38,0,38,38,0,76,76,38,76,38,76,0,76,76,38,38,38,38,76,38,152,76
80,38,38,76,76,0,38,76,76,114,152,38,0,38,38,0,76,76,38,76,38,76,0,76,76,38,38,38,38,76,38,152,76
81,40,40,80,80,0,40,80,80,120,160,40,0,40,40,0,80,80,40,80,40,80,0,80,80,40,40,40,40,80,40,160,80
82,40,40,80,80,0,40,80,80,120,160,40,0,40,40,0,80,80,40,80,40,80,0,80,80,40,40,40,40,80,40,160,80
83,40,40,80,80,0,40,80,80,120,160,40,0,40,40,0,80,80,40,80,40,80,0,80,80,40,40,40,40,80,40,160,80
84,40,40,80,80,0,40,80,80,120,160,40,0,40,40,0,80,80,40,80,40,80,0,80,80,40,40,40,40,80,40,160,80
85,40,40,80,80,0,40,80,80,120,160,40,0,40,40,0,80,80,40,80,40,80,0,80,80,40,40,40,40,80,40,160,80
86,42,42,84,84,0,42,84,84,126,168,42,0,42,42,0,84,84,42,84,42,84,0,84,84,42,42,42,42,84,42,168,84
