object_ctx_cache_total,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
460,924576,1009491,976712,903973,919571,1023126,955036,921180,935641,1009529,948694,975709,931642,987106,941454,976326,965565,959042,970472,952404,922557,947745,968597,934929,997431,958471,994488,1002241,935824,932975,1074058,958554
461,926249,1011294,978344,905651,921214,1024996,956743,922823,937255,1011177,950095,977129,933019,988581,942939,977789,967430,960639,972343,954180,924185,949323,970521,936719,999410,960680,996867,1004431,937718,935157,1076904,960477
462,928653,1013902,980768,908346,923517,1027176,959249,925482,939891,1013758,952532,979763,935606,991156,945402,980540,968811,962122,973971,955809,925660,950930,972094,938349,1002352,963416,999534,1007394,940314,937789,1079390,963117
463,931004,1016616,983285,910292,925915,1030055,961705,927477,942338,1017067,955407,982319,938245,993757,948014,983443,971290,964744,976663,958228,928054,953311,974613,940798,1005305,965845,1002236,1010135,943022,940252,1082506,965960
464,933601,1019480,986452,913285,928806,1033077,965033,930183,944977,1019565,957967,985024,940762,996710,950667,985846,973736,967253,978933,960505,930285,955716,977145,943231,1007258,968116,1004767,1012254,945157,942573,1084667,968039
465,935796,1021891,988276,915018,930755,1035411,966807,932453,946616,1021208,959491,986622,942265,998315,952247,987399,976833,969824,981788,963165,933047,958471,980127,945869,1009330,969914,1006546,1014096,946905,944371,1086832,970018
466,937783,1023794,990070,916851,932549,1037407,968593,934235,948649,1023339,961538,988807,944230,1000480,954258,989513,978719,971891,983821,965403,935196,960634,982032,947956,1011357,971972,1008600,1016341,949193,946280,1089105,972106
467,939402,1025803,992082,918667,934469,1039364,970647,936023,950546,1025518,963359,990933,946101,1002507,956296,991635,980647,973738,985698,967210,936869,962368,983826,949702,1013347,973957,1010463,1018659,950958,948095,1091351,974001
468,941941,1028630,994735,920957,936474,1042037,972818,938473,952810,1027860,965537,993167,948235,1004979,958513,993850,982405,975499,987703,968941,938715,964344,985841,951684,1016116,976608,1013282,1021348,953512,950614,1094143,976735
469,944182,1031253,997032,923172,939184,1044553,975462,940682,955500,1030421,968131,995732,950762,1007477,960873,996434,984706,977604,990437,971120,941413,966403,988064,954365,1018506,978968,1015908,1023528,956001,953006,1097130,978921
