w_await,ceph01,ceph02,ceph03,ceph04
283,0.48625,0.34625,0.9675,0.81
284,0.26375,0.71625,0.61875,0.35375
285,1.17125,0.29,0.79375,0.35125
286,0.73375,0.805,0.5,0.49625
287,0.59,0.725,0.41875,0.7125
288,0.40875,0.245,0.56625,1.8375
289,0.4125,0.64125,1.065,0.8525
290,0.39625,0.7,0.49,0.3425
291,1.0025,0.47375,0.87375,0.37875
292,0.825,0.635,0.445,0.63625
293,0.50625,0.71125,0.52,0.43875
294,0.43,0.285,0.6825,1.22
295,0.26875,0.83,1.05,1.2625
296,0.61375,0.56625,0.3175,0.305
297,0.565,0.41,1.0975,0.365
298,0.8725,0.37125,0.54,0.43
299,0.8275,0.4475,0.58375,0.45125
300,0.5025,0.36875,0.6425,0.615
301,0.20375,0.91875,0.6425,1.22875
302,0.65875,0.49375,0.47625,0.3275
303,0.34875,0.34125,0.64875,0.66875
304,0.6825,0.59,0.5575,0.47375
305,0.73,0.35625,0.6075,0.695
306,0.52375,0.755,0.465,0.48875
307,0.405,0.97625,0.38875,0.98375
308,0.39625,0.51375,0.5225,0.41875
309,0.245,0.53875,0.4,0.51375
310,0.65,1.08,0.5625,0.36875
311,0.82875,0.4125,0.62,0.585
312,0.2575,0.92875,0.6725,0.23375
313,0.5375,0.50125,0.20625,0.5375
314,0.61125,0.42625,0.38,0.685
315,0.29125,0.41875,0.35875,0.685
316,0.59125,0.38875,0.53125,0.3125
317,0.69625,0.52625,0.77125,0.74
318,0.225,1.0775,0.55625,0.195
319,0.58125,0.40625,0.27875,0.61
320,0.4225,0.49125,0.29,0.8925
321,0.35875,0.31875,0.65875,0.6225
322,0.77,0.34375,0.6125,0.4175
323,0.76625,0.6825,0.8625,0.5425
324,0.61,0.695,0.4525,0.24875
325,0.6675,0.515,0.5925,0.25
326,0.26125,0.52125,0.29375,1.2925
327,0.2775,0.26375,0.695,1.02375
328,1.12125,0.25375,0.46625,0.46875
329,0.26875,0.91125,0.83375,0.37125
330,1.04625,0.5775,0.2575,0.19125
331,0.5275,0.97375,0.525,0.24875
332,0.38375,0.42375,0.49,0.805
333,0.19125,0.27875,0.74375,0.945
334,0.975,0.2125,0.555,0.89625
335,0.52875,1.07,0.4725,0.4375
336,1.11875,0.40625,0.28625,0.175
337,0.37375,1.105,0.34375,0.29
338,0.48875,0.53125,0.79875,0.50875
339,0.24625,0.19375,0.7525,1.1175
340,0.45625,0.17125,0.9575,0.75
341,0.86,1.09875,0.41,0.30375
342,1.085,0.55875,0.4725,0.2425
343,0.59125,0.99625,0.34375,0.2
344,0.30375,0.6075,0.81375,0.19625
345,0.35,0.2275,0.515,1.175
346,0.2175,0.19625,0.88625,1.35125
347,0.62375,0.615,0.21,0.23
348,0.665,1.10375,0.4625,0.19875
349,1.12875,0.5625,0.3675,0.1675
350,0.225,0.7,0.7275,0.20625
351,0.33375,0.20875,0.6525,0.81
352,0.19125,0.2275,0.47125,1.30875
353,0.57875,0.3325,0.2975,0.46
354,0.55375,1.075,0.46875,0.1575
355,1.22125,0.285,0.67625,0.18875
356,0.5875,0.99125,0.575,0.21875
357,0.24875,0.3125,0.72375,0.97125
358,0.235,0.225,0.26625,1.02125
359,0.35375,0.2475,0.3375,0.62125
360,1.11125,0.92625,0.225,0.24875
361,0.66625,0.5575,0.75625,0.19
362,0.53875,1.00875,0.6175,0.16625
363,0.29,0.45625,0.94625,0.685
364,0.27875,0.27375,0.28,1.07375
365,0.2125,0.22625,0.5325,0.93
366,0.84375,0.55875,0.25375,0.185
367,0.67125,1.00875,0.85625,0.17125
368,0.6225,0.64875,0.615,0.1875
369,0.20875,1.125,0.50375,0.7125
370,0.27375,0.2625,0.29875,1.07375
371,0.39125,0.26625,0.285,1.27
372,0.8025,0.2375,0.4375,0.38125
373,0.77875,1.305,0.71875,0.2
374,0.99875,0.83125,0.535,0.31875
375,0.28625,1.145,0.51875,0.405
376,0.195,0.5,0.52375,0.42625
377,0.37125,0.21375,0.27625,1.0925
378,0.49875,0.28125,0.59125,1.09875
379,0.5675,0.8575,0.57375,0.15375
380,0.96,0.54875,0.72375,0.31875
381,0.26375,0.715,0.33125,0.64375
382,0.2875,0.87625,0.6225,0.27625
383,0.34875,0.28375,0.27125,0.8775
384,0.48375,0.33875,0.775,1.035
385,0.565,0.43875,0.66,0.43875
386,1.25375,0.49125,0.69375,0.55375
387,0.40125,0.78125,0.27125,0.28125
388,0.4925,1.08,0.47,0.29
389,0.27375,0.39125,0.27875,0.6675
390,0.52,0.475,0.7125,0.77875
391,0.7175,0.375,0.6575,0.65625
392,0.8375,0.66875,0.92375,0.33875
393,0.70625,0.375,0.3475,0.19125
394,0.50375,0.82375,0.37125,0.2175
395,0.26125,0.70375,0.44375,1.04625
396,0.305,0.63875,0.94875,0.905
397,0.6475,0.19625,0.71125,1.075
398,0.6375,0.70375,0.49375,0.39375
399,1.0275,0.33375,0.61,0.265
