op_queue_ops,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
64,89,2249,940,875,2385,2173,2207,3444,2252,1884,189,256,2415,2387,2936,1320,2303,2017,2452,1935,13,18,18,84,1958,793,12,350,974,936,2328,1366
65,0,0,0,0,0,0,0,825,14,0,539,0,585,997,221,0,0,0,183,93,1115,1404,1272,494,0,922,1,6,37,0,7,9
66,1788,1325,466,431,465,506,512,504,536,466,352,1621,579,623,579,612,703,499,570,359,463,1061,393,635,517,583,3101,3299,341,336,520,619
67,2944,4476,2066,1646,924,1410,1319,1521,1571,1779,1596,2654,1358,2275,1946,1227,2160,1338,2284,1524,1549,2130,1607,2368,1010,1572,3734,4147,1436,1184,4397,4782
68,1755,2758,1315,978,319,1103,2291,2682,947,239,856,2080,737,2196,4964,3784,1985,1099,1725,1458,1491,1448,1880,1853,252,1904,3962,4110,1020,407,4660,5458
69,365,1198,2880,2485,1907,2309,2946,3703,2012,1666,130,468,216,1545,3638,1642,899,235,431,607,232,178,410,613,212,945,2538,2650,240,237,3811,4809
70,1,640,1504,1721,1459,1586,1877,3485,1165,1002,0,1,1337,2867,2033,18,2048,1001,555,536,0,0,2,0,20,2351,1381,1560,403,624,2400,3920
71,3,75,0,50,61,13,29,42,0,0,0,704,161,197,0,0,49,47,0,42,826,814,5,196,24,64,47,1,25,102,69,121
72,564,1410,354,165,101,62,315,0,176,191,159,70,110,7,145,162,138,183,0,143,137,130,0,0,70,0,1336,1280,0,0,0,0
73,2060,2932,1679,2003,1489,1701,1702,1807,1624,1416,1682,1539,1553,2030,1737,1063,1501,808,1566,1596,1597,2024,1661,1650,980,1548,2887,3177,1092,1011,4671,4636
74,3494,4195,3914,3425,3237,2942,4122,4802,3188,2872,3423,2988,3040,4325,6015,5069,3344,2454,3821,3231,3414,4032,3742,4057,3001,3595,4407,5507,3076,2859,7075,6734
75,2902,3856,6260,5408,4557,4697,5756,5866,4024,3043,3189,2518,2490,4874,6262,4992,3075,2083,3422,3334,3509,4723,4000,3968,3959,4346,4456,5527,2992,2039,7070,6897
76,30,640,3233,1882,1219,1383,2522,3154,2962,1896,1618,29,766,2914,2597,805,2065,889,2321,1904,1,575,50,122,514,3253,196,2096,506,551,3248,3187
77,302,269,951,1,1,0,479,1149,643,443,562,87,58,2146,995,2,0,0,46,15,1586,1527,1169,1514,0,1623,0,89,0,65,1579,824
78,1168,3050,1349,1173,700,1585,1138,1279,1431,1217,915,1002,679,2087,1197,575,1125,1197,1631,877,1703,1533,1374,1420,927,1215,1997,2286,793,934,1262,1295
79,1992,3712,1775,1631,896,1698,688,1889,1679,1364,1648,1281,968,2706,1552,1608,927,922,1518,1039,1697,2329,1201,877,1488,1287,3899,4328,1208,1007,5424,5020
80,705,2988,763,805,359,974,1046,1453,799,616,947,751,1092,2142,4349,4154,708,734,1434,1071,1555,1891,1819,887,1391,1026,2807,3795,920,1207,5461,5537
81,1018,1531,2025,2306,2050,2327,1262,2339,1783,1572,1166,850,927,1407,1941,1810,1704,1442,1432,1165,1465,1487,1642,1703,1179,2357,1126,2218,1284,1352,3415,3649
82,187,160,146,0,145,210,158,253,165,198,64,0,1248,1588,249,270,180,115,775,731,45,77,4,1,358,277,91,205,1237,1203,98,132
83,122,289,191,108,163,170,178,203,196,185,200,221,190,303,160,152,0,0,0,21,1249,860,198,197,1,269,157,227,190,206,183,179
84,4064,4105,4039,3701,3271,4155,3834,3834,3849,4104,3767,3378,3691,4623,4262,3058,3832,3645,4005,3725,5184,5646,4386,3863,3106,4358,3441,4052,3755,3734,4604,4112
85,5189,6011,5600,5180,3900,5671,5295,5348,5759,5596,5902,4383,5289,6843,5693,4767,5655,5174,6182,5332,6092,7002,5809,5592,4277,5688,7628,8295,4262,4859,8131,7277
86,3858,4950,4874,3896,2939,4624,4337,4864,4023,4112,4305,3531,3786,5477,7046,6421,5003,4015,5095,4414,5329,6553,4887,5211,5559,5672,6148,7215,3557,3877,7337,7079
87,0,0,1534,1832,1281,3321,2463,2885,1881,64,1685,283,0,941,1926,1518,1847,1416,972,781,1723,2888,789,1052,991,2693,1870,2409,0,2,3469,2582
88,1293,1551,1294,658,745,1408,1346,1368,876,1373,1227,1320,1943,2254,1012,1455,867,719,921,1147,851,877,1186,930,826,1066,1077,1035,1882,2140,1345,1387
89,41,1,66,9,59,4,59,75,3,134,0,77,0,62,0,22,3,0,2,0,121,129,1599,960,10,71,2,0,96,36,8,43
90,3365,3177,3037,3051,2830,3486,3068,3686,3561,3488,3047,2966,2805,3732,3471,2190,3026,2866,3762,3208,3996,5312,3710,3655,2930,3269,3292,3929,3808,3338,3302,3046
91,3496,3769,3806,3767,3218,4589,3905,4024,4154,4220,4152,3548,2943,4432,4066,2221,4302,3264,4292,3772,4976,5783,4951,4368,3679,3300,5718,6546,3679,3013,5934,5940
92,1341,1614,1763,1410,775,2480,1906,2256,1683,2392,1880,2048,922,2209,4432,2274,2688,1202,2635,1859,3146,4121,2993,2425,1377,4776,3508,4492,1702,1285,5019,4183
93,463,900,680,942,167,1236,581,1668,1639,341,281,412,490,569,546,218,1403,295,442,499,530,424,296,273,421,156,649,512,702,420,675,2
94,1526,1644,955,1454,1456,1575,1016,1487,1790,1561,1265,1421,2277,2386,1310,1090,566,508,1385,1830,260,482,197,431,1151,1606,1201,1309,2537,2411,907,1324
95,1482,1535,1375,1480,1082,1358,1723,1148,2073,970,1821,1370,2661,2852,1275,987,939,398,874,722,401,940,3512,3333,1610,1704,1391,1633,3064,2315,1464,1298
96,3406,4199,4394,3381,3825,5512,3896,4065,4266,3817,4158,3850,5251,5617,4252,3874,3077,2119,3120,3011,5842,6643,6346,5929,3768,5014,4245,4254,5260,6263,4101,3672
97,2500,3582,4019,2766,2504,4423,3178,3953,3004,2837,3828,3467,4350,5452,4222,3191,3517,2562,3727,3954,6434,6971,6976,6692,3899,5435,4952,5733,4024,3872,5545,5147
98,2897,3399,3560,2065,2075,4317,2277,3590,2075,3699,5012,4443,2998,4584,6191,4580,2510,1206,2660,2473,5137,5686,5695,5785,3158,5653,4769,5811,3416,3178,6309,5253
99,2138,4089,4883,2814,2927,5405,1357,3445,1873,2732,3297,2049,1054,2921,4819,3816,3859,2251,772,661,2542,2700,2881,3226,1347,4142,2985,5184,1803,1197,4417,3578
100,1271,3220,3461,1286,1059,4731,1048,3202,1137,1154,1534,840,2981,5409,3155,1638,2105,302,2838,2419,545,1668,1333,2096,862,2245,2185,3343,2892,2350,3897,1974
101,1561,2206,3146,1264,1919,4205,1492,3168,1690,1226,1337,1175,2233,5537,2510,1122,792,125,1809,1720,0,483,3600,4229,1890,2313,1763,3354,2431,1797,3855,1981
102,1824,2159,3598,1724,1485,4752,1654,4087,1726,2167,2269,1782,2296,6610,3106,1608,1977,1081,3404,2997,4711,5589,5554,5372,2822,2486,1657,3751,2896,2662,4053,2375
103,13,233,1195,7,79,2257,55,1781,14,200,135,2,224,4270,1276,1186,178,52,1788,824,3471,4207,3041,3803,1027,2943,1436,3586,138,424,4083,2769
104,649,1059,341,777,71,780,1010,1217,2241,1960,1116,1620,773,1444,721,599,0,0,17,40,776,898,470,1342,717,820,889,2149,1054,675,1566,1053
105,1807,1906,2310,2486,3534,3113,3757,4103,1219,2047,1518,1784,1377,1449,1873,1609,1136,606,314,320,319,523,436,427,1005,1590,1312,1715,1143,1247,1393,1415
106,2052,1654,1705,1585,1879,1762,1883,2204,1993,1622,1821,1144,3223,2979,2289,1326,0,0,2491,2930,0,1,13,0,1808,1417,1468,1589,2813,2584,988,1441
107,3717,4613,3801,3344,3572,3879,3663,4051,3600,3960,3236,2956,4705,5689,4583,3687,1609,1293,3314,4072,1876,1810,3919,3564,3514,3346,3751,3572,4268,4885,3655,3697
108,1814,2815,3030,1846,1779,3011,2687,3780,3531,2921,2327,2249,4114,5516,4044,2121,3146,2611,5276,5607,5622,5451,6107,5767,4240,5395,2711,3215,3877,4040,4049,3037
109,1658,1897,1390,60,15,1402,640,2298,1879,1004,459,19,2225,3408,3708,2204,963,35,3138,3226,4154,4321,3227,3982,1730,3436,2794,4266,1342,1970,5321,4370
110,289,1622,426,339,92,360,242,1064,2567,2074,1383,1773,430,1778,4196,681,150,133,1244,960,1827,2594,1153,2157,538,2472,1476,2489,379,965,3717,2887
111,1423,1586,2095,1774,3191,3055,2121,1537,1640,1453,1406,1147,970,1166,2228,1711,656,443,20,7,12,203,0,0,1192,1352,1291,1657,1293,956,1694,1559
112,1480,1498,1346,1568,1364,1815,1670,1241,2095,1644,1173,1779,2866,3416,2140,1466,854,444,2170,2134,610,933,764,531,1779,1765,1275,1959,4058,3341,1425,1162
113,747,2208,1985,1473,1719,2721,1585,2290,1700,1753,1636,1801,2890,3733,1706,1690,2055,2033,3696,3553,2093,2139,3095,3221,2968,2421,1833,1995,4152,3631,1838,1188
114,2169,1024,989,460,467,1463,949,1101,592,830,527,597,1264,3022,821,579,13,17,1229,1127,1461,1351,2444,3544,863,4839,1379,1709,3177,2676,1083,1057
115,354,1640,591,433,462,404,438,305,582,378,518,465,513,612,2168,1827,29,52,0,15,916,3,839,1806,456,1510,1365,1510,478,725,1053,520
116,572,1114,1610,915,499,890,1380,1327,1812,2087,1852,1705,1007,1159,1256,1048,2,17,1,66,2,12,29,98,893,1210,862,1196,784,978,1474,675
117,511,459,247,504,2016,1538,349,432,387,243,595,568,460,348,524,537,2,992,0,1,0,15,0,0,261,319,311,309,361,641,425,267
118,446,286,250,190,1038,1062,234,591,221,437,231,351,2588,2283,213,191,1034,601,1486,1474,563,1666,1340,1280,227,621,46,327,1221,1300,312,345
119,8,45,96,66,0,31,0,0,0,1,0,0,0,95,0,4,0,4,1061,834,3,340,738,1411,105,1096,0,0,153,122,49,5
120,2033,2176,1355,2221,1961,1811,2306,1704,1810,1702,1570,1674,1233,1744,1823,1603,86,17,86,119,1957,2023,142,146,1037,2438,1574,2191,1751,1822,2021,1877
121,2740,3547,3032,3716,2628,3302,3775,3503,3105,3329,2980,3322,3207,3998,4332,3573,1595,1240,2017,1850,3265,4728,1992,1502,1574,3413,5371,5976,2390,2868,4999,5864
122,139,907,52,487,104,633,587,1024,3106,3780,1893,1545,352,732,2194,1804,1643,931,1730,2105,3021,4942,2022,1615,164,534,2586,3301,200,273,2306,2981
123,72,243,1297,1287,1231,2353,2464,2967,2080,2878,2314,637,424,1181,1794,1682,2073,658,11,140,283,2699,18,42,182,294,1399,1960,197,63,1470,1882
124,7,0,925,867,1260,2023,2180,3529,772,1367,411,15,2922,2531,476,0,3828,1498,2207,2495,1737,4319,1863,1231,614,105,663,1340,1009,1152,737,1665
125,1684,1039,486,382,370,262,282,1621,193,595,388,425,1052,1098,293,277,7,32,602,1064,15,63,1627,1436,654,1858,394,946,502,449,746,735
126,2123,4369,1569,1103,1673,1675,1673,2768,1131,865,1694,1555,1574,2137,1634,1290,926,499,917,963,1867,2857,3297,2867,1648,2940,1658,1680,1683,1606,2181,1600
127,15,2164,497,335,256,365,416,1324,71,222,461,200,0,699,1638,1484,440,240,468,657,3454,2192,2657,1746,170,602,2591,2435,56,228,3304,3467
128,1896,2270,2303,1424,1387,2046,1950,1379,3406,3194,2255,1746,1947,2901,2419,1868,75,68,49,64,481,191,133,0,1793,1737,1719,2350,1629,1854,2455,2343
129,137,167,2188,2524,1681,2607,2813,2785,1381,1289,166,683,152,870,148,165,2609,2706,974,1336,1231,1434,1360,1423,218,184,152,517,224,213,445,569
130,17,57,1545,1174,402,1701,1696,2493,4,0,5,37,2290,3348,0,2,2259,1611,2013,2283,1339,1700,1136,1364,638,1094,17,3,1342,651,3,1
131,203,1133,0,16,0,1,0,187,0,0,209,0,78,409,1,0,0,75,836,375,190,446,884,1153,0,18,46,41,123,246,0,0
132,2397,2616,2635,2095,2023,1986,1742,2586,2639,2533,2254,2289,2183,2316,2259,2552,0,49,1,1,1465,1282,32,40,2289,2542,2493,2613,2390,2648,2357,2327
133,1765,1375,1872,1128,1528,1786,1955,2075,2397,1690,1713,1521,1402,2349,3260,2184,1755,1599,2062,1914,4175,4069,2062,2119,925,1351,3799,4374,1317,1533,5569,5476
134,1304,1955,1501,1533,1825,1817,1643,1525,5056,4454,4343,4265,914,1911,2887,1760,1776,687,1326,1224,3383,3590,1784,2269,1611,1642,3785,4158,1703,1211,6443,5302
135,115,269,1634,1487,1854,2058,3423,3610,3179,2151,2644,2016,153,1492,1137,93,3805,3175,1145,1422,3282,3813,1708,2685,1245,170,1350,2096,3,96,4791,3810
136,697,1140,1199,982,966,1162,861,1095,1139,1141,1235,890,960,2819,876,995,1135,4,586,1359,809,971,2,127,1167,1055,1094,1019,2015,1862,1359,1475
