wrqm/s,ceph01,ceph02,ceph03,ceph04
321,0.0,0.125,0.25,0.25
322,0.125,0.125,0.25,0.125
323,14.125,0.125,26.625,0.125
324,28.125,0.25,46.375,9.5
325,0.25,0.0,0.125,0.125
326,0.125,12.625,0.125,0.25
327,0.0,0.0,0.0,0.125
328,41.375,0.0,0.125,0.0
329,0.125,0.25,0.375,0.125
330,25.375,0.125,0.0,0.0
331,0.0,0.125,22.0,0.0
332,0.125,0.125,7.25,0.125
333,0.0,12.75,21.625,0.0
334,18.125,0.0,0.25,36.75
335,0.0,0.375,0.25,4.625
336,0.25,0.0,0.0,0.0
337,0.125,5.875,0.125,12.125
338,23.75,27.625,0.25,0.125
339,4.625,0.0,0.25,0.25
340,0.125,0.0,0.25,76.625
341,0.0,77.875,57.875,0.0
342,47.375,28.625,0.125,0.0
343,0.125,21.125,0.0,0.0
344,19.125,0.0,0.375,0.0
345,0.125,21.0,48.875,70.875
346,0.0,0.0,0.375,16.125
347,0.125,0.25,0.0,14.375
348,0.0,0.0,0.125,0.0
349,0.25,0.125,0.0,0.0
350,0.0,0.125,0.25,0.0
351,0.125,0.0,0.25,0.375
352,0.0,0.0,0.25,16.625
353,0.0,0.0,12.375,0.0
354,0.125,20.0,15.375,0.0
355,0.25,8.75,0.25,0.0
356,61.625,0.25,48.25,0.0
357,0.0,0.0,0.375,0.375
358,11.5,0.0,0.0,0.375
359,27.875,0.0,0.125,0.0
360,0.125,0.25,0.0,0.0
361,0.25,0.0,19.0,0.0
362,0.125,0.25,0.25,0.0
363,23.625,69.875,0.25,0.25
364,0.0,0.0,0.0,0.25
365,0.0,0.0,8.5,20.125
366,0.25,0.0,6.125,0.0
367,0.375,0.125,0.5,0.0
368,0.0,0.125,0.25,0.0
369,0.875,38.5,0.125,57.0
370,27.375,0.0,0.125,55.5
371,0.125,12.375,0.0,38.5
372,0.0,0.0,38.5,0.0
373,0.375,114.0,0.375,0.0
374,24.75,107.625,0.375,0.125
375,78.25,34.375,54.5,0.125
376,0.0,0.0,0.125,22.875
377,0.125,0.0,5.5,76.25
378,0.125,0.125,29.125,41.375
379,0.25,0.25,0.25,0.0
380,0.125,0.0,0.25,3.25
381,0.0,0.25,0.0,25.625
382,0.0,0.0,11.625,0.0
383,0.125,0.0,11.875,0.25
384,0.25,0.125,48.25,0.0
385,0.125,50.75,51.75,0.0
386,70.5,0.0,0.125,0.25
387,0.0,0.125,0.125,0.0
388,17.875,0.125,0.125,0.0
389,0.0,0.0,0.0,0.0
390,102.25,0.0,0.5,0.25
391,0.0,0.0,0.125,0.125
392,0.25,0.125,53.625,0.125
393,51.5,0.125,0.125,0.0
394,0.125,0.125,13.625,0.0
395,0.125,20.5,0.25,0.125
396,0.0,0.25,0.25,0.125
397,0.125,0.0,0.25,0.25
398,10.375,0.125,0.125,33.75
399,17.125,0.0,0.125,25.125
