loadavg,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
231,9454,9454,9454,9454,9454,9285,9454,9285,6527,6156,6527,6156,6527,6156,6527,6156,7019,7413,7413,7413,7413,7413,7019,7413,5918,5918,6015,5918,5918,5918,5918,5918
232,9454,9454,9454,9454,9454,9454,9454,9454,6527,6156,6156,6156,6527,6156,6156,6156,7019,7019,7413,7413,7413,7019,7019,7413,5918,5918,5918,5918,5918,5918,5918,5918
233,9322,9454,9454,9454,9454,9454,9454,9322,6156,6156,6156,6156,6156,6156,6156,6156,7019,7019,7413,7019,7019,7019,7019,7019,5918,5918,5918,5918,5918,5918,5918,5918
234,9322,9454,9454,9322,9454,9454,9454,9322,6156,6156,6156,6156,6156,6156,6156,6156,7019,7019,7019,7019,7019,7019,7019,7019,6205,5918,5918,5918,5918,5918,5918,5918
235,9322,9454,9454,9322,9322,9454,9322,9322,6156,6352,6156,6352,6156,6352,6156,6352,7019,7322,7019,7019,7019,7019,7019,7019,6205,5918,5918,6205,6205,6205,5918,5918
236,9322,9454,9322,9322,9322,9322,9322,9322,6352,6352,6352,6352,6156,6352,6352,6352,7019,7322,7019,7019,7322,7322,7019,7019,6205,6205,5918,6205,6205,6205,5918,5918
237,9322,9322,9322,9322,9322,9322,9322,9322,6352,6352,6352,6352,6156,6352,6352,6352,7322,7322,7019,7019,7322,7322,7019,7322,6205,6205,6205,6205,6205,6205,5918,5918
238,9322,9322,9322,9322,9322,9322,9322,9322,6352,6352,6352,6352,6156,6352,6352,6352,7322,7322,7322,7019,7322,7322,7019,7322,6205,6205,6205,6205,6205,6205,5918,6205
239,9322,9322,9272,9272,9322,9322,9322,9322,6908,6352,6352,6352,6352,6352,6352,6352,7322,7322,7322,7322,7322,7322,7322,7322,6205,6205,6205,6205,6205,6461,6461,6205
240,9272,9322,9272,9272,9322,9322,9272,9322,6908,6352,6352,6352,6352,6352,6352,6352,7322,7000,7322,7000,7322,7322,7322,7322,6461,6461,6205,6205,6205,6461,6461,6205
241,9272,9322,9272,9272,9322,9272,9272,9322,6908,6908,6908,6908,6352,6908,6352,6908,7322,7000,7322,7000,7000,7322,7000,7000,6461,6461,6205,6461,6461,6461,6461,6461
242,9272,9272,9272,9272,9272,9272,9272,9226,6908,6908,6908,6908,6908,6908,6908,6908,7000,7000,7000,7000,7000,7322,7000,7000,6461,6461,6205,6461,6461,6461,6461,6461
243,9272,9272,9272,9226,9272,9272,9272,9226,6908,6908,6908,6908,6908,6908,6908,6908,7000,7000,7000,7000,7000,7000,7000,7000,6461,6461,6623,6623,6461,6461,6461,6461
244,9226,9272,9272,9226,9272,9272,9272,9226,6900,6908,6908,6900,6908,6908,6908,6908,7000,7000,7000,7000,7000,7000,7000,7000,6461,6461,6623,6623,6461,6461,6461,6623
245,9226,9272,9226,9226,9226,9272,9272,9226,6900,6900,6908,6900,6908,6908,6908,6908,6744,7000,7000,7000,7000,7000,7000,6744,6623,6623,6623,6623,6623,6461,6623,6623
246,9226,9226,9226,9226,9226,9226,9226,9226,6900,6900,6908,6900,6908,6900,6908,6900,6744,7000,6744,7000,7000,6744,6744,6744,6623,6623,6623,6623,6623,6461,6623,6623
247,9226,9226,9226,9226,9226,8704,9226,9226,6900,6900,6908,6900,6900,6900,6908,6900,6744,7000,6744,7000,7000,6744,6744,6744,6623,6623,6623,6623,6623,6623,6623,6623
248,8704,9226,8704,9226,9226,8704,9226,9226,6900,6676,6900,6676,6676,6900,6900,6900,6744,7000,6744,6744,6744,6744,6744,6744,6623,6623,6623,6623,6734,6734,6623,6734
249,8704,9226,8704,8704,8704,8704,9226,9226,6900,6676,6900,6676,6676,6676,6676,6900,6744,6744,6744,6744,6744,6744,6744,6744,6734,6734,6734,6623,6734,6734,6734,6734
250,8704,9226,8704,8704,8704,8704,9226,9226,6676,6676,6900,6676,6676,6676,6676,6900,6804,6744,6744,6744,6804,6744,6744,6744,6734,6734,6734,6623,6734,6734,6734,6734
251,8704,9226,8704,8704,8704,8704,8704,9226,6676,6676,6900,6676,6676,6676,6676,6900,6804,6804,6804,6744,6804,6804,6804,6744,6734,6734,6734,6734,6734,6734,6734,6734
252,8367,8704,8704,8704,8704,8704,8704,8704,6676,6676,6900,6676,6676,6676,6676,6900,6804,6804,6804,6804,6804,6804,6804,6744,6734,6734,6734,6734,6734,6734,6734,6734
253,8367,8704,8704,8704,8704,8367,8704,8704,6676,6676,6533,6676,6676,6676,6676,6533,6804,6804,6804,6804,6804,6804,6804,6804,6734,6734,6734,6734,6651,6734,6734,6734
254,8367,8704,8367,8704,8367,8367,8367,8704,6676,6533,6533,6676,6676,6676,6533,6533,6804,6804,6804,6804,6804,6476,6804,6804,6734,6651,6651,6734,6651,6651,6734,6651
255,8367,8704,8367,8367,8367,8367,8367,8704,6533,6533,6533,6676,6676,6533,6533,6533,6476,6804,6804,6804,6476,6476,6804,6804,6651,6651,6651,6651,6651,6651,6734,6651
256,8367,8367,8367,8367,8367,8367,8367,8704,6533,6533,6533,6676,6676,6533,6533,6533,6476,6476,6476,6804,6476,6476,6804,6804,6651,6651,6651,6651,6651,6651,6734,6651
257,8367,8314,8367,8314,8367,8367,8314,8704,6533,6533,6533,6533,6676,6533,6533,6533,6476,6476,6476,6804,6476,6476,6476,6804,6651,6651,6651,6651,6651,6651,6651,6651
258,8314,8314,8367,8314,8367,8367,8314,8314,6533,6533,6533,6533,6459,6533,6533,6459,6476,6476,6476,6476,6476,6476,6476,6476,6651,6651,6651,6651,6655,6655,6651,6651
259,8314,8314,8367,8314,8314,8314,8314,8314,6533,6533,6533,6533,6459,6533,6533,6459,6476,6476,6476,6476,6476,6476,6476,6476,6651,6655,6655,6655,6655,6655,6651,6655
260,8314,8314,8314,8314,8314,8314,8314,8314,6533,6533,6533,6533,6459,6459,6459,6459,6476,6149,6476,6476,6149,6476,6476,6476,6655,6655,6655,6655,6655,6655,6651,6655
261,8314,8314,8314,8314,8314,8314,8314,8314,6459,6459,6533,6533,6459,6459,6459,6459,6149,6149,6149,6476,6149,6149,6149,6476,6655,6655,6655,6655,6655,6655,6655,6655
262,8314,8314,8314,8537,8314,8314,8314,8314,6459,6459,6533,6459,6459,6459,6459,6459,6149,6149,6149,6476,6149,6149,6149,6476,6655,6655,6655,6655,6555,6655,6655,6655
263,8314,8537,8314,8537,8314,8314,8537,8537,6459,6459,6486,6486,6486,6459,6459,6459,6149,6149,6149,6149,6149,6149,6149,6149,6655,6555,6555,6555,6555,6655,6655,6655
264,8537,8537,8314,8537,8314,8537,8537,8537,6486,6459,6486,6486,6486,6459,6486,6459,6149,6149,6149,6009,6149,6149,6149,6149,6655,6555,6555,6555,6555,6655,6655,6655
265,8537,8537,8537,8537,8537,8537,8537,8537,6486,6486,6486,6486,6486,6486,6486,6459,6009,6149,6009,6009,6149,6149,6149,6149,6655,6555,6555,6555,6555,6655,6655,6655
266,8537,8537,8537,8537,8537,8537,8537,8537,6486,6486,6486,6486,6486,6486,6486,6486,6009,6149,6009,6009,6149,6149,6009,6149,6555,6555,6555,6555,6555,6555,6655,6555
267,8205,8537,8537,8205,8205,8537,8537,8205,6486,6486,6486,6606,6486,6486,6486,6486,6009,6009,6009,6009,6009,6009,6009,6149,6555,6555,6555,6555,6555,6555,6622,6555
268,8205,8537,8537,8205,8205,8205,8205,8205,6486,6486,6606,6606,6486,6606,6606,6486,6009,6009,6009,6009,6009,6009,6009,6009,6555,6555,6555,6555,6555,6555,6622,6555
269,8205,8205,8205,8205,8205,8205,8205,8205,6606,6486,6606,6606,6486,6606,6606,6486,6009,6009,5544,6009,6009,6009,5544,6009,6555,6622,6555,6622,6622,6555,6622,6555
270,8205,8205,8205,8205,8205,8205,8205,8205,6606,6486,6606,6606,6486,6606,6606,6486,6009,5544,5544,6009,5544,6009,5544,6009,6555,6622,6622,6622,6622,6555,6622,6622
271,8205,8205,8205,8205,8205,8205,8205,7700,6606,6606,6606,6606,6606,6606,6606,6486,6009,5544,5544,6009,5544,6009,5544,5544,6622,6622,6622,6622,6622,6555,6622,6622
272,7700,8205,7700,7700,8205,8205,7700,7700,6606,6606,6606,6606,6606,6606,6606,6406,5544,5544,5544,6009,5544,5544,5544,5544,6622,6622,6622,6622,6622,6565,6565,6622
273,7700,7700,7700,7700,8205,7700,7700,7700,6406,6606,6606,6606,6406,6406,6606,6406,5544,5544,5544,5544,5544,5544,5544,5544,6622,6622,6622,6622,6622,6565,6565,6622
274,7700,7700,7700,7700,8205,7700,7700,7700,6406,6606,6606,6606,6406,6406,6606,6406,5544,5544,5877,5544,5877,5544,5544,5877,6565,6565,6565,6565,6565,6565,6565,6565
275,7700,7700,7700,7700,7700,7700,7700,7700,6406,6406,6606,6406,6406,6406,6606,6406,5544,5877,5877,5544,5877,5877,5877,5877,6565,6565,6565,6565,6565,6565,6565,6565
276,7700,7700,7700,7700,7700,7700,7700,7700,6406,6406,6406,6406,6406,6406,6406,6406,5544,5877,5877,5544,5877,5877,5877,5877,6565,6565,6672,6565,6565,6565,6565,6565
277,7700,7700,7700,7692,7700,7700,7700,7692,6406,6406,6406,6246,6406,6406,6406,6406,5877,5877,5877,5877,5877,5877,5877,5877,6565,6565,6672,6565,6565,6672,6565,6565
278,7700,7692,7700,7692,7700,7692,7700,7692,6406,6406,6406,6246,6406,6246,6246,6406,5877,5877,5877,5877,5877,5742,5877,5877,6565,6672,6672,6565,6672,6672,6565,6565
279,7692,7692,7692,7692,7700,7692,7700,7692,6246,6406,6406,6246,6406,6246,6246,6246,5742,5742,5877,5877,5742,5742,5742,5742,6672,6672,6672,6565,6672,6672,6672,6672
280,7692,7692,7692,7692,7692,7692,7692,7692,6246,6246,6406,6246,6246,6246,6246,6246,5742,5742,5877,5877,5742,5742,5742,5742,6672,6672,6672,6565,6672,6672,6672,6672
281,7692,7692,7341,7692,7692,7692,7692,7341,6246,6246,6406,6246,6246,6246,6246,6246,5742,5742,5742,5742,5742,5742,5742,5742,6672,6672,6672,6672,6386,6672,6386,6672
282,7692,7341,7341,7692,7692,7692,7692,7341,6246,6594,6594,6246,6246,6246,6594,6246,5742,5742,5742,5742,5742,5742,5742,5742,6672,6672,6672,6386,6386,6672,6386,6672
283,7341,7341,7341,7341,7341,7341,7692,7341,6246,6594,6594,6594,6246,6246,6594,6594,5742,5742,5742,5742,5742,5742,6155,5742,6386,6672,6672,6386,6386,6672,6386,6386
284,7341,7341,7341,7341,7341,7341,7692,7341,6594,6594,6594,6594,6246,6246,6594,6594,5742,6155,5742,5742,6155,6155,6155,5742,6386,6386,6386,6386,6386,6386,6386,6386
285,7341,7341,7256,7341,7341,7341,7341,7341,6594,6594,6594,6594,6246,6246,6594,6594,5742,6155,5742,6155,6155,6155,6155,5742,6386,6386,6386,6386,6386,6386,6386,6386
286,7256,7341,7256,7341,7341,7341,7341,7256,6594,6594,6594,6594,6594,6246,6594,6594,6155,6155,6155,6155,6155,6155,6155,6155,6386,6386,6715,6386,6386,6715,6386,6715
287,7256,7256,7256,7341,7341,7256,7256,7256,6594,6594,6594,6594,6594,6851,6851,6594,6155,6155,6155,6155,6155,6155,6155,6155,6715,6386,6715,6715,6715,6715,6715,6715
288,7256,7256,7256,7341,7256,7256,7256,7256,6594,6594,6594,6594,6851,6851,6851,6594,6155,6155,6155,6155,6155,6155,6335,6155,6715,6715,6715,6715,6715,6715,6715,6715
289,7256,7256,7256,7256,7256,7256,7256,7256,6594,6594,6594,6851,6851,6851,6851,6594,6155,6335,6155,6155,6335,6155,6335,6155,6715,6715,6715,6715,6715,6715,6715,6715
290,7256,7256,7256,7256,7637,7256,7256,7637,6851,6851,6851,6851,6851,6851,6851,6851,6335,6335,6155,6335,6335,6155,6335,6155,6715,6715,6715,6715,6715,6715,6715,6715
291,7256,7637,7256,7256,7637,7637,7256,7637,6851,6851,6851,6851,6967,6967,6851,6851,6335,6335,6155,6335,6335,6335,6335,6335,6794,6715,6715,6794,6715,6715,6715,6715
292,7637,7637,7256,7256,7637,7637,7637,7637,6851,6851,6851,6967,6967,6967,6967,6967,6335,6335,6335,6335,6335,6335,6335,6335,6794,6715,6794,6794,6794,6794,6794,6794
293,7637,7637,7637,7256,7637,7637,7637,7637,6851,6851,6851,6967,6967,6967,6967,6967,6335,6335,6335,6797,6797,6335,6335,6335,6794,6715,6794,6794,6794,6794,6794,6794
294,7637,7637,7637,7256,7637,7637,7637,7637,6851,6851,6851,6967,6967,6967,6967,6967,6335,6797,6335,6797,6797,6335,6797,6335,6794,6715,6794,6794,6794,6794,6794,6794
295,7637,7637,7362,7362,7637,7637,7637,7637,6967,6851,6967,6967,6967,6967,6967,6967,6335,6797,6335,6797,6797,6797,6797,6335,6794,6818,6794,6794,6794,6794,6794,6794
296,7637,7637,7362,7362,7637,7637,7637,7637,6967,6967,6967,6967,6967,6967,6967,6617,6335,6797,6797,6797,6797,6797,6797,6797,6818,6818,6794,6818,6794,6794,6818,6794
297,7362,7362,7362,7362,7362,7362,7362,7362,6967,6967,6967,6617,6967,6617,6967,6617,6797,6797,6797,6797,6797,6797,6797,6525,6818,6818,6794,6818,6818,6818,6818,6818
298,7362,7362,7362,7362,7362,7362,7362,7362,6617,6967,6967,6617,6967,6617,6967,6617,6797,6525,6797,6525,6797,6797,6797,6525,6818,6818,6818,6818,6818,6818,6818,6818
299,7362,7362,7362,7362,7362,7362,7362,7301,6617,6967,6617,6617,6617,6617,6967,6617,6797,6525,6797,6525,6797,6797,6525,6525,6818,6818,6818,6818,6818,6818,6818,6818
300,7301,7362,7301,7362,7362,7362,7362,7301,6617,6967,6617,6617,6617,6617,6617,6617,6797,6525,6797,6525,6797,6797,6525,6525,6818,6818,6818,6465,6818,6818,6818,6465
301,7301,7362,7301,7362,7362,7362,7301,7301,6617,6680,6617,6617,6617,6680,6617,6617,6525,6525,6525,6525,6525,6797,6525,6525,6465,6465,6818,6465,6818,6818,6465,6465
302,7301,7301,7301,7301,7301,7301,7301,7301,6617,6680,6617,6617,6617,6680,6617,6617,6525,6987,6987,6987,6987,6987,6525,6525,6465,6465,6818,6465,6465,6818,6465,6465
303,7301,7301,7301,7301,7301,7301,7301,7301,6617,6680,6617,6617,6680,6680,6617,6680,6525,6987,6987,6987,6987,6987,6525,6987,6465,6465,6818,6465,6465,6465,6465,6465
304,7301,7301,7301,7301,7301,7301,7301,7301,6680,6680,6680,6680,6680,6680,6680,6680,6525,6987,6987,6987,6987,6987,6525,6987,6465,6465,6465,6465,6465,6465,6465,6465
305,7301,7301,7301,7301,7484,7301,7301,7301,6680,6618,6680,6680,6680,6680,6680,6680,6525,6987,6987,6987,6987,6987,6987,6987,6465,6363,6465,6465,6465,6465,6465,6465
306,7484,7301,7301,7301,7484,7484,7484,7301,6680,6618,6680,6680,6680,6680,6680,6680,6525,6987,6987,6987,6987,6987,6987,6987,6465,6363,6465,6363,6465,6465,6363,6363
307,7484,7484,7484,7484,7484,7484,7484,7301,6680,6618,6680,6680,6618,6680,6680,6680,7244,6987,6987,6987,7244,7244,6987,6987,6465,6363,6465,6363,6363,6363,6363,6363
308,7484,7484,7484,7484,7484,7484,7484,7484,6680,6618,6680,6680,6618,6680,6680,6618,7244,7244,6987,6987,7244,7244,7244,7244,6363,6363,6465,6363,6363,6363,6363,6363
309,7484,7484,7484,7484,7484,7484,7484,7484,6680,6618,6680,6680,6618,6680,6680,6618,7244,7244,6987,6987,7244,7244,7244,7244,6363,6363,6363,6363,6703,6363,6363,6363
310,7484,7484,7484,7478,7484,7484,7484,7484,6618,6618,6618,6618,6618,6618,6618,6618,7244,7244,7244,7244,7244,7244,7244,7244,6363,6703,6703,6363,6703,6363,6703,6363
311,7478,7478,7484,7478,7484,7484,7484,7484,6618,6618,6544,6544,6618,6618,6544,6618,7244,7244,7244,7244,7244,6856,7244,7244,6703,6703,6703,6703,6703,6363,6703,6363
312,7478,7478,7478,7478,7484,7478,7484,7478,6544,6618,6544,6544,6618,6618,6544,6544,7244,7244,7244,7244,7244,6856,7244,7244,6703,6703,6703,6703,6703,6363,6703,6363
313,7478,7478,7478,7478,7484,7478,7478,7478,6544,6544,6544,6544,6544,6544,6544,6544,7244,6856,7244,6856,7244,6856,6856,6856,6703,6703,6703,6703,6703,6703,6703,6363
314,7478,7568,7478,7478,7568,7478,7478,7478,6544,6544,6544,6544,6544,6544,6544,6544,7244,6856,7244,6856,7244,6856,6856,6856,6703,6703,6823,6703,6703,6703,6823,6703
315,7478,7568,7478,7568,7568,7478,7478,7478,6620,6544,6620,6544,6544,6620,6544,6544,7244,6856,7244,6856,7244,6856,6856,6856,6823,6703,6823,6703,6703,6823,6823,6703
316,7568,7568,7568,7568,7568,7568,7478,7478,6620,6544,6620,6544,6544,6620,6544,6544,6856,6856,6856,7020,7020,7020,6856,6856,6823,6703,6823,6823,6703,6823,6823,6823
317,7568,7568,7568,7568,7568,7568,7478,7568,6620,6544,6620,6544,6544,6620,6544,6620,6856,6856,6856,7020,7020,7020,6856,7020,6823,6703,6823,6823,6823,6823,6823,6823
318,7568,7568,7568,7568,7568,7568,7478,7568,6620,6544,6620,6620,6620,6620,6544,6620,7020,6856,6856,7020,7020,7020,7020,7020,6823,6703,6823,6823,6823,6823,6823,6823
319,7568,7345,7345,7568,7568,7568,7345,7568,6620,6544,6620,6620,6620,6620,6620,6620,7020,6856,6856,7020,7020,7020,7020,7020,6823,6823,6823,6823,6805,6823,6823,6823
320,7568,7345,7345,7568,7345,7568,7345,7568,6620,6859,6859,6859,6620,6859,6620,6859,7020,7020,6856,7020,7020,7020,7020,7020,6823,6823,6823,6805,6805,6823,6805,6823
321,7345,7345,7345,7568,7345,7568,7345,7568,6620,6859,6859,6859,6620,6859,6859,6859,7163,7163,6856,7020,7163,7020,7020,7020,6823,6823,6823,6805,6805,6823,6805,6805
322,7345,7345,7345,7345,7345,7568,7345,7345,6620,6859,6859,6859,6620,6859,6859,6859,7163,7163,7163,7020,7163,7163,7020,7163,6805,6823,6805,6805,6805,6805,6805,6805
323,7345,7345,7345,7345,7345,7367,7345,7345,6859,6859,6859,6859,6620,6859,6859,6859,7163,7163,7163,7020,7163,7163,7163,7163,6805,6805,6805,6805,6805,6805,6805,6805
324,7345,7345,7367,7367,7345,7367,7367,7345,6859,6859,6859,6859,6859,6859,6859,6859,7163,7163,7163,7163,7163,7163,7163,7163,6997,6805,6805,6997,6997,6805,6805,6805
325,7345,7345,7367,7367,7345,7367,7367,7367,6859,6859,6859,6670,6859,6859,6859,6670,7163,7163,7163,7163,7163,7163,7163,7163,6997,6805,6997,6997,6997,6997,6997,6997
326,7367,7345,7367,7367,7345,7367,7367,7367,6859,6670,6859,6670,6670,6859,6670,6670,7163,7163,7163,7163,7163,7163,7622,7622,6997,6805,6997,6997,6997,6997,6997,6997
327,7367,7367,7367,7367,7367,7367,7367,7367,6859,6670,6670,6670,6670,6859,6670,6670,7622,7163,7163,7163,7622,7622,7622,7622,6997,6997,6997,6997,6997,6997,6997,6997
328,7367,7367,7367,7367,7041,7367,7367,7367,6859,6670,6670,6670,6670,6859,6670,6670,7622,7622,7163,7163,7622,7622,7622,7622,6997,6997,6997,6997,6997,6997,6997,6997
329,7041,7367,7041,7367,7041,7041,7367,7041,6856,6670,6670,6670,6670,6670,6670,6670,7622,7622,7622,7622,7622,7622,7622,7622,7348,6997,6997,6997,6997,6997,7348,6997
330,7041,7367,7041,7041,7041,7041,7367,7041,6856,6670,6670,6856,6856,6670,6856,6670,7622,7731,7622,7622,7622,7622,7622,7622,7348,7348,7348,6997,7348,7348,7348,7348
331,7041,7041,7041,7041,7041,7041,7041,7041,6856,6856,6670,6856,6856,6856,6856,6856,7622,7731,7622,7622,7622,7731,7622,7622,7348,7348,7348,7348,7348,7348,7348,7348
332,7041,7041,7041,7041,7041,7041,7041,7041,6856,6856,6856,6856,6856,6856,6856,6856,7622,7731,7622,7622,7731,7731,7622,7622,7348,7348,7348,7348,7348,7348,7348,7348
333,7041,7041,7041,6950,7041,6950,7041,7041,6856,6856,6856,6856,6856,6856,6856,6856,7731,7731,7622,7731,7731,7731,7731,7622,7561,7348,7348,7348,7348,7348,7348,7348
334,7041,7041,6950,6950,7041,6950,6950,7041,6856,6856,6856,6636,6856,6856,6856,6856,7731,7731,7731,7731,7731,7731,7731,7731,7561,7348,7348,7561,7348,7348,7561,7348
335,7041,7041,6950,6950,6950,6950,6950,6950,6636,6856,6636,6636,6636,6856,6636,6856,7402,7731,7402,7402,7731,7731,7731,7731,7561,7348,7348,7561,7561,7348,7561,7561
336,6950,7041,6950,6950,6950,6950,6950,6950,6636,6636,6636,6636,6636,6636,6636,6636,7402,7731,7402,7402,7731,7731,7731,7402,7561,7348,7561,7561,7561,7561,7561,7561
337,6950,6950,6950,6950,6950,6950,6950,6950,6636,6636,6636,6636,6636,6636,6636,6636,7402,7402,7402,7402,7402,7402,7402,7402,7561,7348,7561,7561,7561,7561,7561,7561
338,6762,6762,6762,6950,6950,6950,6950,6950,6636,6636,6636,6636,6636,6636,6636,6636,7402,7402,7402,7402,7402,7402,7402,7402,7148,7561,7561,7561,7561,7561,7148,7561
339,6762,6762,6762,6762,6950,6762,6950,6950,6636,6636,6906,6906,6636,6906,6906,6636,7402,7402,7402,7402,7402,7402,7402,7402,7148,7561,7561,7561,7148,7561,7148,7561
340,6762,6762,6762,6762,6762,6762,6950,6950,6636,6636,6906,6906,6636,6906,6906,6636,7402,7402,7402,7402,7402,7402,7402,7402,7148,7561,7148,7148,7148,7561,7148,7148
341,6762,6762,6762,6762,6762,6762,6950,6762,6906,6906,6906,6906,6636,6906,6906,6636,7402,7754,7754,7754,7402,7754,7402,7402,7148,7148,7148,7148,7148,7148,7148,7148
342,6762,6762,6762,6762,6762,7269,7269,6762,6906,6906,6906,6906,6636,6906,6906,6906,7754,7754,7754,7754,7754,7754,7402,7754,7148,7148,7148,7148,7148,7148,7148,7148
343,6762,7269,6762,7269,6762,7269,7269,6762,6906,6906,6906,6906,6636,6906,6906,6906,7754,7754,7754,7754,7754,7754,7754,7754,7148,7148,7148,7148,7148,6680,6680,6680
344,7269,7269,6762,7269,6762,7269,7269,6762,6906,6906,7386,6906,7386,7386,7386,6906,7754,7754,7754,7754,7754,7754,7754,7754,6680,6680,7148,7148,6680,6680,6680,6680
345,7269,7269,6762,7269,6762,7269,7269,6762,7386,6906,7386,6906,7386,7386,7386,7386,7754,7754,7541,7754,7541,7754,7541,7754,6680,6680,7148,6680,6680,6680,6680,6680
346,7269,7269,7269,7269,6762,7269,7269,7269,7386,7386,7386,6906,7386,7386,7386,7386,7754,7541,7541,7541,7541,7541,7541,7754,6680,6680,6680,6680,6680,6680,6680,6680
347,7269,7269,6983,7269,6983,7269,7269,7269,7386,7386,7386,7386,7386,7386,7386,7386,7541,7541,7541,7541,7541,7541,7541,7541,6680,6680,6680,6680,6680,6680,6680,6680
348,6983,7269,6983,6983,6983,7269,7269,7269,7386,7386,7386,7386,7386,7386,7386,7386,7541,7541,7541,7541,7541,7541,7541,7541,7034,6680,7034,6680,6680,6680,7034,6680
349,6983,6983,6983,6983,6983,7269,7269,7269,7386,7643,7386,7386,7386,7386,7643,7386,7541,7541,7541,7541,7541,7541,7541,7541,7034,7034,7034,7034,6680,7034,7034,6680
350,6983,6983,6983,6983,6983,7269,6983,7269,7386,7643,7643,7386,7386,7643,7643,7386,7541,7745,7541,7541,7745,7745,7745,7541,7034,7034,7034,7034,7034,7034,7034,7034
351,6983,6983,6983,6983,6983,6983,6983,6983,7643,7643,7643,7386,7643,7643,7643,7643,7541,7745,7541,7541,7745,7745,7745,7541,7034,7034,7034,7034,7034,7034,7034,7034
352,6983,6983,6983,6983,6983,6983,6983,6983,7643,7643,7643,7643,7643,7643,7643,7643,7745,7745,7745,7745,7745,7745,7745,7541,7034,7034,7034,7034,7034,7034,7034,7034
353,7081,6983,6983,7081,6983,6983,6983,6983,7744,7643,7643,7643,7643,7643,7643,7643,7745,7745,7745,7745,7745,7745,7745,7745,7034,7334,7334,7334,7334,7034,7334,7034
354,7081,6983,6983,7081,6983,6983,6983,6983,7744,7643,7643,7643,7643,7643,7744,7643,7745,7381,7745,7745,7745,7745,7745,7745,7334,7334,7334,7334,7334,7034,7334,7034
355,7081,6983,7081,7081,7081,7081,7081,6983,7744,7643,7643,7744,7744,7744,7744,7744,7381,7381,7745,7745,7745,7745,7381,7745,7334,7334,7334,7334,7334,7334,7334,7034
356,7081,7081,7081,7081,7081,7081,7081,7081,7744,7744,7744,7744,7744,7744,7744,7744,7381,7381,7745,7745,7745,7381,7381,7745,7334,7334,7334,7334,7334,7334,7334,7334
357,7081,7081,7081,7081,7081,7081,7081,7081,7744,7744,7744,7744,7744,7744,7744,7744,7381,7381,7381,7745,7745,7381,7381,7381,7334,7334,7334,7334,7334,7334,7334,7334
358,6962,7081,7081,6962,7081,6962,6962,7081,7744,7744,7744,7744,7744,7744,7744,7744,7381,7381,7381,7381,7381,7381,7381,7381,7334,7334,7268,7268,7268,7268,7334,7334
359,6962,7081,7081,6962,7081,6962,6962,7081,7744,7744,7744,7744,7744,7744,8133,8133,7381,7111,7111,7381,7381,7111,7111,7381,7334,7334,7268,7268,7268,7268,7268,7334
360,6962,7081,6962,6962,6962,6962,6962,7081,8133,8133,7744,7744,8133,8133,8133,8133,7381,7111,7111,7381,7381,7111,7111,7381,7334,7268,7268,7268,7268,7268,7268,7334
361,6962,6962,6962,6962,6962,6962,6962,6962,8133,8133,8133,8133,8133,8133,8133,8133,7111,7111,7111,7381,7381,7111,7111,7381,7334,7268,7268,7268,7268,7268,7268,7268
362,6962,6962,6962,6948,6962,6962,6962,6948,8133,8133,8133,8133,8133,8133,8133,8133,7111,7111,7111,7381,7381,7111,7111,7381,7287,7268,7268,7268,7287,7268,7268,7268
363,6962,6948,6962,6948,6962,6962,6948,6948,8133,8133,8133,8133,8133,8133,8442,8133,7111,7111,7111,7111,7381,7111,7111,7111,7287,7268,7268,7268,7287,7287,7268,7268
364,6962,6948,6962,6948,6962,6962,6948,6948,8133,8133,8133,8133,8133,8133,8442,8133,7111,7111,6606,7111,7111,7111,7111,6606,7287,7287,7287,7268,7287,7287,7287,7268
365,6948,6948,6962,6948,6948,6962,6948,6948,8442,8133,8133,8442,8133,8442,8442,8133,7111,6606,6606,7111,7111,7111,6606,6606,7287,7287,7287,7268,7287,7287,7287,7268
366,6948,6948,6962,6948,6948,6948,6948,6948,8442,8442,8133,8442,8133,8442,8442,8133,6606,6606,6606,7111,7111,6606,6606,6606,7287,7287,7287,7268,7287,7287,7287,7268
