loadavg,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
44,4903,4903,4903,4903,4903,4839,4903,4903,3481,3481,3481,3481,3481,3481,3481,3481,3872,3872,3872,3872,3872,3872,3872,3872,3326,3747,3326,3326,3747,3747,3326,3747
45,4839,4839,4903,4903,4839,4839,4903,4903,3481,4147,3481,3481,3481,3481,3481,3481,3872,3872,4338,4338,3872,4338,3872,4338,3326,3747,3747,3326,3747,3747,3326,3747
46,4839,4839,4839,4839,4839,4839,4839,4839,4147,4147,3481,3481,3481,3481,3481,4147,3872,4338,4338,4338,3872,4338,3872,4338,3326,3747,3747,3747,3747,3747,3747,3747
47,4839,4839,4839,4839,4839,4839,4839,4839,4147,4147,3481,4147,3481,3481,3481,4147,3872,4338,4338,4338,3872,4338,4338,4338,3326,3747,3747,3747,3747,3747,3747,3747
48,4839,5020,4839,5020,4839,4839,4839,4839,4147,4147,3481,4147,4147,4147,4147,4147,3872,4338,4338,4338,3872,4338,4338,4338,3747,3747,3747,3747,3747,3747,3747,3747
49,4839,5020,4839,5020,4839,4839,5020,4839,4147,4147,4147,4147,4147,4147,3919,4147,4832,4832,4338,4338,4832,4338,4338,4338,3600,3600,3747,3747,3600,3600,3747,3600
50,4839,5020,4839,5020,4839,4839,5020,4839,4147,4147,4147,4147,3919,4147,3919,4147,4832,4832,4338,4338,4832,4832,4338,4338,3600,3600,3747,3747,3600,3600,3600,3600
51,5020,5020,5020,5020,5020,4839,5020,5020,3919,4147,4147,4147,3919,4147,3919,4147,4832,4832,4832,4338,4832,4832,4832,4832,3600,3600,3747,3747,3600,3600,3600,3600
52,5020,5020,5020,5020,5020,4839,5020,5020,3919,4147,4147,3919,3919,4147,3919,3919,4832,4832,4832,4338,4832,4832,4832,4832,3600,3600,3747,3747,3600,3600,3600,3600
53,5020,5020,5020,4874,5020,5020,5020,4874,3919,4147,3919,3919,3919,3919,3919,3919,4832,4832,4832,4832,4832,4832,4832,4832,3600,3600,3600,3600,3600,3600,3600,3600
