kbcached,ceph01,ceph02,ceph03,ceph04
253,49226296.0,69218496.0,49114356.0,68224480.0
254,49361196.0,69348124.0,49211104.0,68349172.0
255,49113660.0,69489184.0,49328420.0,68493324.0
256,49232720.0,69627020.0,49451412.0,68291360.0
257,49418192.0,69826964.0,49619580.0,68117716.0
258,49650204.0,69675908.0,49250708.0,67919564.0
259,49519776.0,69524372.0,49248512.0,68117616.0
260,49004364.0,69334708.0,49045696.0,68371972.0
261,48864324.0,69578840.0,48886124.0,68257592.0
262,49139608.0,69886448.0,49132720.0,68087816.0
263,49408896.0,69110788.0,49025952.0,68286516.0
264,49323016.0,68880308.0,48716832.0,68492400.0
265,49144124.0,69032224.0,48593892.0,68699868.0
266,49376724.0,69188464.0,48546520.0,68887456.0
267,49605976.0,69347376.0,48752868.0,68724608.0
268,49803864.0,69522096.0,48967928.0,68936152.0
269,49655612.0,69674856.0,49158208.0,69120308.0
270,49878748.0,69850284.0,49351604.0,68932948.0
271,50110880.0,70051848.0,49554808.0,69129628.0
272,49916800.0,70269004.0,49792456.0,69333852.0
273,50128312.0,70031252.0,49992400.0,69549856.0
274,50309660.0,70195272.0,50232656.0,69723692.0
275,50501652.0,70400488.0,50472872.0,69535780.0
276,50704828.0,70576696.0,50326824.0,69719040.0
277,50904396.0,70547380.0,50363188.0,69915508.0
278,51105608.0,70673668.0,50557036.0,70085544.0
279,51295784.0,70852512.0,50762560.0,70273904.0
280,51503028.0,71019540.0,50972228.0,70411176.0
281,51603140.0,71175540.0,51178556.0,70567192.0
282,51780028.0,71338512.0,51379764.0,70719608.0
283,51984404.0,71470408.0,51548264.0,70914668.0
284,52181248.0,71630504.0,51746788.0,71106604.0
285,52361256.0,70983816.0,51936908.0,71285848.0
286,52554356.0,71109756.0,52140140.0,71465876.0
287,52750956.0,71273280.0,52381380.0,71649572.0
288,52952664.0,71286564.0,52475372.0,71792472.0
289,52355100.0,71401492.0,52652612.0,71983636.0
290,51108596.0,71521400.0,52865088.0,72170292.0
291,51166352.0,71633016.0,53048256.0,72171856.0
292,51262716.0,71752676.0,52477704.0,71697504.0
293,51357628.0,71090108.0,52669804.0,71106060.0
294,51454256.0,71193564.0,52750400.0,71221960.0
295,51518144.0,71254916.0,52125936.0,71320628.0
296,51592476.0,71341340.0,52249132.0,71432232.0
297,51716444.0,71447740.0,52385096.0,71550944.0
298,51733388.0,71540604.0,52526152.0,70877316.0
