journal_wr_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
86,14000.0,13960.0,21911.0,19157.0,19030.0,20010.0,21558.0,21879.0,16281.0,15508.0,16005.0,15735.0,12537.0,13662.0,18758.0,18691.0,18933.0,19361.0,24127.0,24007.0,13830.0,14597.0,14781.0,15134.0,19127.0,18955.0,12962.0,13315.0,12751.0,13217.0,14294.0,14040.0
87,19699.0,20571.0,18416.0,18886.0,19340.0,21499.0,23799.0,24879.0,21759.0,21295.0,23704.0,22523.0,19309.0,20309.0,16852.0,16087.0,22961.0,20703.0,16125.0,17960.0,16030.0,16484.0,15858.0,16059.0,14533.0,15690.0,17560.0,17712.0,19029.0,20660.0,16801.0,15690.0
88,19005.0,19666.0,15923.0,16886.0,15947.0,15611.0,15711.0,15830.0,16710.0,15917.0,17126.0,16252.0,27177.0,28216.0,17499.0,18135.0,18666.0,19411.0,23798.0,27788.0,16272.0,17083.0,21949.0,20100.0,18853.0,19524.0,17251.0,18008.0,35997.0,34319.0,16854.0,16120.0
89,19003.0,18172.0,18937.0,19632.0,24109.0,23415.0,19833.0,20205.0,20074.0,19984.0,20363.0,21598.0,19566.0,20408.0,20934.0,18107.0,23368.0,21143.0,24245.0,21527.0,37581.0,38374.0,30239.0,29134.0,17620.0,19176.0,20977.0,20517.0,20287.0,20031.0,21921.0,18754.0
90,18794.0,17387.0,20690.0,20986.0,18738.0,19011.0,20083.0,19153.0,17501.0,17877.0,20129.0,18864.0,16577.0,20239.0,18373.0,17523.0,20576.0,17875.0,19289.0,18652.0,24983.0,26828.0,19650.0,21287.0,20168.0,21080.0,31559.0,31235.0,18675.0,18005.0,25137.0,25052.0
91,16045.0,16788.0,17385.0,14817.0,15796.0,15368.0,16619.0,17056.0,16407.0,16985.0,17238.0,17249.0,15918.0,17869.0,28708.0,26907.0,17879.0,16967.0,16184.0,16940.0,17487.0,16600.0,16612.0,16331.0,39811.0,40104.0,22433.0,23448.0,19961.0,18874.0,30331.0,29437.0
92,17298.0,17705.0,19314.0,20994.0,20666.0,20663.0,23685.0,23740.0,30530.0,27471.0,25321.0,23850.0,14251.0,15948.0,18391.0,18546.0,19796.0,20064.0,13887.0,13905.0,14602.0,14275.0,14437.0,14089.0,14930.0,13442.0,15061.0,14729.0,14158.0,14144.0,15546.0,14685.0
93,21830.0,24291.0,20919.0,19069.0,21596.0,23152.0,19530.0,20582.0,21036.0,20144.0,17047.0,17100.0,20881.0,24126.0,17176.0,16377.0,23486.0,22377.0,21823.0,23210.0,15186.0,16348.0,15491.0,15543.0,16369.0,17850.0,17669.0,16889.0,22273.0,20712.0,17383.0,16615.0
94,17237.0,17168.0,16697.0,16840.0,16483.0,17545.0,18197.0,17509.0,17930.0,17070.0,17897.0,16417.0,24390.0,26624.0,18740.0,16644.0,18773.0,17813.0,27202.0,26957.0,17143.0,17430.0,26490.0,29526.0,17218.0,18152.0,18022.0,19111.0,27794.0,28447.0,19204.0,17713.0
95,18736.0,19977.0,21278.0,18109.0,20520.0,22407.0,19140.0,19654.0,20404.0,20085.0,20417.0,19406.0,18799.0,21270.0,20882.0,19795.0,20669.0,18741.0,20182.0,19738.0,35079.0,37532.0,27831.0,29254.0,18553.0,19715.0,18514.0,20487.0,18831.0,20826.0,19877.0,18263.0
96,17863.0,17574.0,17441.0,18111.0,16897.0,15979.0,17573.0,18768.0,17651.0,17532.0,17772.0,17374.0,15925.0,18389.0,17659.0,18408.0,19244.0,16893.0,17310.0,18434.0,32442.0,28025.0,17700.0,18982.0,28966.0,30457.0,28414.0,28930.0,16553.0,16103.0,22303.0,21636.0
97,17712.0,17730.0,15521.0,15478.0,15591.0,16622.0,16309.0,16717.0,19674.0,19524.0,24386.0,22817.0,16489.0,16742.0,33308.0,29388.0,15581.0,14828.0,15772.0,15691.0,16458.0,15813.0,15702.0,16428.0,20717.0,22295.0,20150.0,20074.0,16763.0,16258.0,22628.0,24576.0
