commitcycle_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.207001,1.253367,0,0
178,0.594773,0,0,0,0,0,0,0,0,0,0,0,0.791117,0,1.249894,1.237343,0,0,2.037727,2.065133,0,0,0,0,0.679514,0,0,0,0,0,0,0
179,0,0.612217,0,0,0,0,0,0,0,0,0,0,0,0.606693,0,0,0,0,0,0,0,0,0,0,0,0.616603,1.057645,0,0,0,0,0
180,0,0,1.212786,0,0,0,0,0.782072,0,0,0,0,0,0,0,0,0,0,0,0,1.112888,1.073217,1.274596,1.251431,0,0,0,1.087403,0,0,1.298676,1.336091
181,0,0,0,1.228982,0,0,0.839968,0,0,0,0,0,0,0,0,0,1.269338,1.083531,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,0,0,0,0,1.322356,1.398893,0,0,1.503296,1.567824,1.277993,1.230555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,0.759444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.430202,1.454263,0,0
184,0,0.519699,0,0,0,0,0,0,0,0,0,0,0.706089,0,1.243978,1.164134,0,0,1.280631,1.149753,0,0,0,0,0.936614,0.799234,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0,0,0,0,0,0,0.586347,0,0,0,0,0,0,0,0,1.202059,0,0,0,1.144369,1.225817,0,0,0,0
186,0,0,0,0,0,0,0.783666,0.586747,0,0,0,0,0,0,0,0,0,0,0,0,1.302505,1.293348,0,1.275879,0,0,0,0,0,0,1.32609,1.272927
