kbmemused,ceph01,ceph02,ceph03,ceph04
284,115336928.0,134672068.0,114874212.0,134502712.0
285,115692076.0,134045584.0,115185524.0,134770140.0
286,115933672.0,134220932.0,115433704.0,135006744.0
287,116157668.0,134415240.0,115699564.0,135213456.0
288,116369488.0,134463568.0,115801384.0,135379152.0
289,115821892.0,134594884.0,116084056.0,135590796.0
290,114628896.0,134766332.0,116346972.0,135864908.0
291,114700216.0,134929272.0,116565320.0,135911456.0
292,114729784.0,135083224.0,115965732.0,135435236.0
293,114903604.0,134463984.0,116208572.0,134882604.0
294,115022616.0,134591368.0,116350460.0,135055568.0
295,115125392.0,134661236.0,115680340.0,135144516.0
296,115403060.0,134933516.0,116023724.0,135463028.0
297,115534728.0,135068324.0,116198132.0,135648632.0
298,115541616.0,135131288.0,116296768.0,134961768.0
299,115666640.0,135284724.0,116464972.0,135085604.0
300,115738360.0,135398440.0,116057496.0,135166088.0
301,115811352.0,135455664.0,115825676.0,135254220.0
302,115986216.0,135609504.0,115970460.0,135378752.0
303,116112448.0,135689412.0,116092088.0,135475748.0
304,116198312.0,135762616.0,116180460.0,135564036.0
305,116350404.0,135904904.0,116366264.0,135747988.0
306,116506624.0,136028684.0,116513652.0,135902588.0
307,116701140.0,136158608.0,116662416.0,135983144.0
308,116863548.0,136305480.0,116847956.0,136167276.0
309,116961856.0,136413088.0,116970764.0,136272216.0
310,117034068.0,136500476.0,117031236.0,136353316.0
311,117078200.0,136583128.0,117105932.0,136444336.0
312,117209112.0,136773736.0,117263176.0,136558764.0
313,117286628.0,136739568.0,117227040.0,136672016.0
314,117465860.0,136884352.0,117372720.0,136784052.0
315,117616200.0,136990872.0,117500576.0,136861876.0
316,117617948.0,137092260.0,117639440.0,137055980.0
317,117709632.0,137206568.0,117725624.0,137202116.0
318,117871340.0,137367184.0,117903624.0,137292636.0
319,117980444.0,137489044.0,117977488.0,137442900.0
320,118113468.0,137625484.0,118158324.0,137534428.0
321,118203376.0,137739956.0,118231928.0,137594168.0
322,118362740.0,137860212.0,118387356.0,137716272.0
323,118455896.0,138039952.0,118495404.0,137806204.0
324,118640916.0,138137320.0,118654860.0,137943396.0
325,118760924.0,138337076.0,118845560.0,138055212.0
326,118949916.0,138391872.0,118987492.0,138201012.0
327,119188772.0,138650084.0,119248792.0,138411068.0
328,119276656.0,138772200.0,119344544.0,138505444.0
329,119321812.0,138846692.0,119385784.0,138544484.0
330,119506552.0,139039448.0,119538824.0,138680008.0
331,119682612.0,139236092.0,119746608.0,138888568.0
332,119787504.0,139224476.0,119723716.0,138989940.0
333,119905576.0,139346564.0,119863884.0,139140584.0
334,120022424.0,139433020.0,119927396.0,139137612.0
335,120190928.0,139563916.0,120050132.0,139233692.0
336,120232104.0,139714308.0,120195516.0,139378500.0
337,120355536.0,139857440.0,120329476.0,139589512.0
338,120426116.0,139894712.0,120423844.0,139673620.0
339,120529692.0,140073020.0,120572776.0,139756448.0
340,120626644.0,140206560.0,120652916.0,139757772.0
341,120763544.0,140388580.0,120794860.0,139848676.0
342,120931240.0,140503064.0,120991328.0,139982884.0
343,121069292.0,140635776.0,121186508.0,140151520.0
344,121131272.0,140590880.0,121149840.0,140249300.0
345,121231116.0,140686348.0,121287988.0,140329180.0
346,121384400.0,140827828.0,121460808.0,140409412.0
347,121622216.0,140998776.0,121530788.0,140520876.0
348,121725900.0,141100960.0,121611824.0,140638116.0
349,121835300.0,141204152.0,121725376.0,140780856.0
350,121965888.0,141360440.0,121911488.0,140959728.0
351,122081932.0,141416304.0,122013056.0,141079972.0
352,122200312.0,141584320.0,122132924.0,141132596.0
353,122224468.0,141734012.0,122247612.0,141251180.0
354,122355092.0,141900444.0,122377732.0,141407256.0
355,122523296.0,142041500.0,122539956.0,141534556.0
356,122572316.0,142194924.0,122691356.0,141679044.0
357,122641592.0,142087144.0,122604372.0,141779132.0
358,122800572.0,142266140.0,122740652.0,141953508.0
359,122978420.0,142468056.0,122940928.0,142172844.0
360,123084500.0,142656164.0,123091980.0,142251088.0
361,123175112.0,142761328.0,123222848.0,142340324.0
362,123294368.0,142861008.0,123356484.0,142490684.0
363,123390952.0,142928348.0,123467724.0,142576620.0
364,123634464.0,143160900.0,123776580.0,142814972.0
365,123915380.0,143395908.0,123999672.0,143042436.0
366,124005992.0,143556604.0,124136760.0,143158556.0
367,124098800.0,143532140.0,124053848.0,143209428.0
368,124248924.0,143598440.0,124110928.0,143270712.0
369,124267912.0,143692220.0,124215048.0,143356820.0
370,124344560.0,143803244.0,124359224.0,143454080.0
371,124481588.0,143991684.0,124518768.0,143654932.0
372,124636260.0,144183080.0,124700776.0,143779632.0
373,124648916.0,144224704.0,124740304.0,143780116.0
374,124738424.0,144306028.0,124805252.0,143905752.0
375,124877296.0,144540852.0,124993956.0,144063336.0
376,125055008.0,144675600.0,125114464.0,144210448.0
377,125156124.0,144819288.0,125245672.0,144345076.0
378,125323624.0,144982688.0,125366740.0,144467592.0
379,125386056.0,145076300.0,125516068.0,144543496.0
380,125444668.0,145002024.0,125450804.0,144558304.0
381,125622848.0,145225488.0,125705708.0,144741028.0
382,125823820.0,145377928.0,125869096.0,144928832.0
383,125983016.0,145523692.0,126038308.0,145071456.0
384,126063660.0,145596244.0,126105820.0,145142776.0
385,126181248.0,145694332.0,126222416.0,145184256.0
386,126365620.0,145798708.0,126378676.0,145300456.0
387,126423376.0,145982936.0,126570584.0,145486528.0
388,126785924.0,146240904.0,126855228.0,145704940.0
389,126985188.0,146534420.0,127095596.0,145966280.0
390,127009868.0,146599536.0,127101212.0,146107612.0
391,127055612.0,146711596.0,127212628.0,146198816.0
392,127147740.0,146582164.0,127170548.0,146209876.0
393,127258972.0,146810304.0,127331824.0,146332924.0
394,127412576.0,146954160.0,127451748.0,146491048.0
395,127537848.0,147111040.0,127573228.0,146614252.0
396,127598440.0,147117536.0,127631032.0,146642564.0
397,127787716.0,147263004.0,127766328.0,146735368.0
398,127860372.0,147402704.0,127883056.0,146826268.0
399,127966284.0,147571888.0,127978884.0,146893852.0
