stat_bytes_avail,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
46,476775772160,459407249408,459122188288,472734560256,479885471744,460239335424,468984037376,454511644672,467590307840,462265294848,465916153856,467413078016,468309438464,448278437888,462379036672,477464600576,460328435712,476994838528,464033964032,459313254400,468157526016,458918916096,461813592064,458821095424,475206656000,460706238464,471216619520,454942244864,465317875712,467074236416,453526687744,456449744896
47,476775772160,459407249408,459122188288,472734560256,479885471744,460239335424,468984037376,454511644672,467590307840,462265294848,465916153856,467413078016,468309438464,448278437888,462379036672,477464600576,460328435712,476994838528,464034025472,459313254400,468157526016,458918916096,461813592064,458821156864,475206656000,460706238464,471216619520,454942244864,465317875712,467074236416,453526687744,456449744896
48,476775772160,459407187968,459122188288,472734560256,479737831424,460239335424,468984037376,454511644672,467590307840,462265294848,465916153856,467413078016,468161798144,448130797568,462231396352,477464600576,460328435712,476994838528,464034025472,459313254400,468157526016,458918916096,461813592064,458821156864,475206656000,460706238464,471216619520,454942244864,465317875712,467074297856,453526687744,456449744896
49,476775772160,459407187968,459122188288,472734560256,479737831424,460239335424,468984037376,454511644672,467590307840,462265294848,465768574976,467413078016,468161798144,448130797568,462231457792,477464600576,460328497152,476994838528,464034025472,459313315840,468009885696,458918916096,461813592064,458821156864,475206656000,460706238464,471216619520,454942244864,465170235392,467074297856,453526687744,456449744896
50,476775772160,459407187968,459122188288,472734560256,479737831424,460239335424,468984037376,454511644672,467590307840,462265294848,465768574976,467413078016,468161798144,448130797568,462231457792,477464600576,460328497152,476994838528,464034025472,459313315840,468009885696,458918916096,461813592064,458821156864,475206656000,460706238464,471216619520,454942244864,465170235392,467074297856,453526687744,456449744896
51,476628070400,459259609088,458974609408,472734560256,479737831424,460239335424,468984037376,454364004352,467442667520,462265294848,465768574976,467413078016,468161798144,448130797568,462231457792,477464600576,460328497152,476994838528,464034025472,459313315840,468009885696,458918916096,461813469184,458673516544,475206656000,460706238464,471216619520,454942244864,465170235392,466926657536,453526687744,456449744896
52,476628070400,459259609088,458974609408,472734560256,479737831424,460239335424,468984037376,454364004352,467442667520,462265294848,465768574976,467265437696,468161798144,448130797568,462231457792,477316960256,460328497152,476847136768,464034025472,459313315840,468009885696,458918916096,461813469184,458673516544,475206656000,460706238464,471216619520,454942244864,465170235392,466926657536,453379047424,456449744896
53,476628070400,459259609088,458974609408,472734560256,479737831424,460091633664,468984037376,454364004352,467442667520,462265294848,465768574976,467265437696,468161798144,448130797568,462231457792,477316960256,460328497152,476847136768,463886385152,459165675520,468009885696,458918916096,461813469184,458673516544,475206656000,460706238464,471068979200,454794604544,465170235392,466926657536,453379047424,456449744896
54,476628070400,459259609088,458974609408,472734560256,479737831424,460091633664,468984037376,454364004352,467442667520,462117654528,465768574976,467265437696,468161798144,448130797568,462231457792,477316960256,460328497152,476847198208,463886385152,459165675520,468009885696,458918916096,461813469184,458673516544,475206656000,460706238464,471068979200,454794604544,465170235392,466926596096,453379047424,456302104576
55,476628070400,459259609088,458974609408,472734560256,479737769984,460091633664,468984037376,454364004352,467442626560,462117654528,465768574976,467265437696,468161798144,448130797568,462231396352,477316960256,460180856832,476847198208,463886385152,459165675520,468009885696,458771275776,461813469184,458673516544,475206656000,460558598144,471068979200,454794604544,465170235392,466926596096,453379047424,456302104576
