op_rw_wait_sa_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006288,0.008272,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0.002608,0,0.003178,0,0,0,0.003457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003875
81,0.001535,0,0,0,0,0.017292,0.002006,0.015752,0,0,0,0,0,0.015673,0,0,0.001446,0,0,0,0,0,0,0.016533,0.001085,0.009256,0.00127,0,0,0.037792,0.009591,0.000832
82,0,0.00292,0,0,0.001479,0.006933,0.001035,0,0,0,0.009765,0,0.009899,0,0,0,0,0.008963,0.00161,0.002515,0.008993,0.004988,0,0.005092,0,0.007603,0,0.002145,0.001499,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001811,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0.001269,0,0.001464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0.001203,0,0,0.000646,0.005455,0,0.002853,0,0,0,0,0,0,0.001569,0.001222,0,0,0,0,0,0,0,0,0,0.001655,0,0.001899,0
88,0,0,0.008007,0,0.005043,0,0,0,0,0,0,0.001452,0,0,0,0,0.006241,0,0,0,0,0,0,0,0.000853,0.004392,0.001775,0,0.007716,0,0.017313,0
89,0,0,0,0.002973,0,0,0.003222,0,0,0.00204,0,0.003625,0,0,0.001148,0,0,0,0,0,0,0,0,0,0,0.000857,0,0,0,0,0.000976,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0.00202,0,0,0,0,0.00151,0,0.001585,0.001783,0.002584,0.000679,0,0.02948,0,0.001288,0,0,0,0.000665,0.005636,0.002481,0,0,0.001712,0.001452,0,0.000673,0
93,0.002446,0,0.002394,0.003193,0.003145,0,0.005619,0.003766,0.00191,0,0,0.00161,0.0042,0,0,0,0,0,0,0.001492,0,0.004944,0,0,0,0.005141,0,0,0.000956,0,0,0.000673
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0.012509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011181,0,0.013089,0,0,0
99,0,0,0,0.005891,0,0,0,0,0.001928,0,0,0,0,0.005932,0.000817,0.003793,0,0.006248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00167,0,0,0,0,0,0
103,0.000663,0,0,0,0,0,0,0,0,0.008056,0,0,0,0.003165,0.005322,0,0,0,0.004968,0,0,0,0.017363,0,0.001385,0.000943,0.016927,0,0,0.003174,0,0
104,0,0,0.022853,0,0,0.001628,0,0.001387,0,0,0,0.004354,0,0,0,0.000691,0.004399,0,0,0,0,0,0,0.001013,0,0.005831,0,0.002055,0.001233,0,0.001857,0
105,0.001286,0.008367,0.001535,0.004102,0.011281,0.004191,0,0.010036,0,0,0.005871,0,0,0.001237,0,0,0,0,0.003815,0,0,0,0,0,0,0.01144,0.002435,0,0,0.001555,0,0.004346
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022939,0.01113,0,0,0.010929,0.000949,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0.003277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001775,0,0,0,0,0,0.002868,0,0,0.001447,0,0,0,0,0,0
110,0.002218,0,0,0.001379,0,0,0.003183,0,0.002108,0,0.004828,0.001026,0,0,0.007922,0,0,0,0,0,0,0,0,0.00215,0,0,0,0.011059,0.000801,0,0.011088,0.002868
111,0,0,0,0,0,0,0,0.001275,0,0,0.00115,0,0,0,0,0,0.004763,0.002216,0,0,0.000837,0.00096,0.001092,0,0,0,0,0,0,0,0,0.001228
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001232,0,0,0,0,0,0,0,0
113,0.002476,0,0.001859,0,0,0.001571,0,0.002844,0,0,0,0,0,0.002827,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001837,0,0,0,0
114,0.001118,0,0.000983,0,0,0,0,0,0,0.001067,0,0,0.001553,0.002764,0,0,0.004559,0,0,0,0.001045,0.000956,0.001911,0.002163,0.001098,0.002336,0,0,0,0,0,0
