r_await,ceph01,ceph02,ceph03,ceph04
365,0.0,0.0625,0.25,0.53125
366,0.325,0.04125,0.375,0.0
367,0.0,0.04125,0.0625,0.0
368,0.0,0.125,0.0,0.125
369,0.125,0.0,0.0,0.125
370,0.75,0.0,0.0,0.25
371,0.25,0.0,0.0,0.875
372,0.0,0.1875,0.0,0.0
373,0.0,1.015,0.0,0.1875
374,0.0,0.0,0.0,0.0
375,0.0,0.0,0.0,0.0
376,0.125,0.0,0.375,0.0
377,0.0,0.10375,0.625,0.0
378,0.0,0.125,0.0,1.0625
379,0.0,1.5,0.0,0.41625
380,0.75,0.0,0.0,0.075
381,0.16625,0.0,0.0,0.0
382,0.0,0.875,0.425,0.0
383,0.575,0.0,0.0,1.125
384,0.0,0.0,0.125,1.34375
385,0.0,0.0,0.0,0.0
386,0.0,0.75,0.0,0.0
387,0.375,0.3125,0.0,0.0
388,0.875,0.0,0.0,0.0
389,0.0,0.20875,0.0,0.0
390,0.5,0.79125,0.0,0.0
391,0.08375,0.0,0.54125,0.0
392,0.125,0.75,0.0,0.375
393,0.175,0.0,0.125,0.0
394,0.375,0.0,0.125,0.125
395,0.0,0.09375,0.25,0.0
396,0.0,0.0,0.0,0.0
397,0.0,0.25,1.8125,0.5
398,0.0,0.375,0.125,0.0
399,0.0,0.0,0.0,0.25
