op_r_out_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
40,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
41,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
42,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
43,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
44,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
45,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
46,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
47,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
48,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
49,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
