svctm,ceph01,ceph02,ceph03,ceph04
262,0.09625,0.0875,0.095,0.095
263,0.105,0.1775,0.10625,0.115
264,0.1,0.07875,0.1,0.1
265,0.105,0.09625,0.14375,0.1
266,0.0775,0.0775,0.1,0.17
267,0.10875,0.08875,0.09875,0.1
268,0.15375,0.0825,0.095,0.0775
269,0.11625,0.095,0.09125,0.11125
270,0.08875,0.09375,0.10625,0.13
271,0.15,0.09375,0.1,0.1025
272,0.13375,0.11125,0.0775,0.0975
273,0.10875,0.10375,0.1175,0.1075
274,0.08625,0.085,0.09875,0.08125
275,0.08875,0.085,0.1625,0.12
276,0.1075,0.10875,0.11875,0.11
277,0.09125,0.07875,0.1125,0.10125
278,0.1025,0.135,0.11,0.0975
279,0.115,0.09375,0.11375,0.09875
280,0.1075,0.08,0.09375,0.33125
281,0.0875,0.09875,0.09,0.14125
282,0.105,0.09375,0.1025,0.09125
283,0.1125,0.0975,0.085,0.1125
284,0.08625,0.09125,0.13625,0.1075
285,0.1275,0.095,0.09625,0.11
286,0.09375,0.0725,0.095,0.0925
287,0.08375,0.08875,0.105,0.10625
288,0.10125,0.08125,0.09,0.10375
289,0.09375,0.0775,0.08875,0.09875
290,0.08,0.08125,0.12875,0.11125
291,0.08,0.0775,0.10125,0.10125
292,0.07125,0.09375,0.0975,0.08375
293,0.07,0.1,0.10875,0.0975
294,0.07125,0.075,0.095,0.07
295,0.06625,0.08875,0.10125,0.0725
296,0.10375,0.09625,0.10875,0.10375
297,0.08375,0.07125,0.07375,0.0775
298,0.08,0.075,0.0775,0.07125
299,0.0875,0.0725,0.105,0.085
300,0.0675,0.07875,0.0875,0.0875
301,0.0725,0.065,0.0925,0.0675
302,0.07375,0.0925,0.08125,0.08375
303,0.08375,0.0725,0.07625,0.08625
304,0.0825,0.0775,0.07375,0.07
305,0.0825,0.08125,0.0875,0.08375
306,0.0725,0.06875,0.0725,0.07375
307,0.0725,0.07,0.0775,0.07375
308,0.075,0.0825,0.08375,0.075
309,0.0675,0.07125,0.0925,0.0675
310,0.07,0.065,0.06625,0.0725
311,0.06625,0.07125,0.085,0.0625
312,0.07,0.07625,0.0925,0.07
313,0.08375,0.065,0.07,0.07875
314,0.0875,0.07625,0.0825,0.08125
315,0.07,0.06875,0.0775,0.05625
316,0.0675,0.09,0.08875,0.08
317,0.065,0.06875,0.0975,0.07
318,0.07625,0.0875,0.08375,0.07125
319,0.07875,0.06875,0.0675,0.09875
320,0.085,0.085,0.07875,0.08125
321,0.07875,0.0575,0.0775,0.05625
322,0.07125,0.09375,0.08,0.08
323,0.07,0.06875,0.06125,0.0625
324,0.075,0.095,0.0725,0.07375
325,0.05875,0.0675,0.07875,0.08875
326,0.07375,0.06875,0.07625,0.07875
327,0.08875,0.09125,0.07875,0.09
328,0.0675,0.08125,0.06625,0.075
329,0.08375,0.08,0.07375,0.0625
330,0.09,0.11875,0.0875,0.0725
331,0.08625,0.09,0.09125,0.08875
