wrqm/s,ceph01,ceph02,ceph03,ceph04
268,45.625,0.0,0.0,1.25
269,26.75,1.25,33.0,6.625
270,3.0,4.625,2.375,21.375
271,21.5,0.0,12.25,2.5
272,0.0,22.875,106.375,82.375
273,1.5,29.875,46.5,0.0
274,38.0,0.5,0.0,22.0
275,8.125,43.625,41.625,38.25
276,0.125,12.625,12.625,0.625
277,1.0,68.25,16.5,3.5
278,1.375,150.875,28.25,18.75
279,38.625,0.5,43.125,0.0
280,17.0,53.75,0.25,14.25
281,178.0,27.625,1.25,229.875
282,34.875,0.0,0.0,57.375
283,0.0,0.0,105.125,46.625
284,0.0,57.875,57.25,0.0
285,71.25,0.0,48.0,0.0
286,3.875,19.75,3.875,0.5
287,4.25,54.0,2.0,20.375
288,0.0,0.0,22.25,166.5
289,0.25,37.125,102.625,8.625
290,0.0,39.25,17.0,0.0
291,67.25,0.0,61.375,0.0
292,27.5,0.125,13.125,0.625
293,2.625,45.875,41.875,3.5
294,0.0,0.0,49.25,62.625
295,0.0,31.75,93.75,130.0
296,0.0,0.0,0.0,0.0
297,2.125,1.875,84.625,0.0
298,4.375,13.875,1.0,0.0
299,92.25,17.25,0.0,0.125
300,4.5,14.75,90.0,8.0
301,0.0,3.375,61.125,59.625
302,1.25,0.0,0.0,0.0
303,0.0,21.25,7.5,11.0
304,10.375,52.25,8.5,0.0
305,24.375,0.0,2.625,0.0
306,0.125,7.625,17.875,1.0
307,0.0,0.5,23.625,47.5
308,0.0,0.25,50.5,19.875
309,0.0,6.875,16.625,4.625
310,36.625,0.25,0.0,0.0
311,36.0,0.0,147.125,0.0
312,20.625,6.125,28.125,0.25
313,0.0,22.375,0.0,15.875
314,0.0,0.0,0.0,58.125
315,0.0,0.0,0.0,0.0
316,0.0,0.0,61.875,0.0
317,30.875,0.0,31.125,0.0
318,0.125,42.625,48.875,0.0
319,0.0,0.0,0.0,7.0
320,0.0,0.0,0.0,42.5
321,0.0,0.0,20.375,0.0
322,27.25,0.0,18.875,0.0
323,0.0,0.0,53.875,0.25
324,2.375,0.0,11.75,0.0
325,0.0,19.0,1.75,0.0
326,0.0,26.5,0.0,157.125
