journal_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
459,199839744,208613376,220196864,213196800,280866816,293306368,256512000,83517440,297254912,282742784,174018560,171982848,258691072,278806528,200478720,191442944,211738624,151961600,148140032,138522624,233041920,222367744,221298688,361099264,196558848,234864640,370663424,385122304,119099392,115625984,77590528,426258432
460,238186496,248578048,262733824,251789312,319868928,333856768,297123840,123928576,52641792,321810432,214773760,216137728,297291776,320495616,241430528,235503616,265572352,208130048,201637888,193921024,288358400,279846912,271585280,111742976,238415872,278003712,78229504,90832896,161464320,159297536,121237504,125419520
461,279400448,290861056,302096384,294871040,53882880,56397824,50741248,167747584,93384704,82165760,249421824,252162048,333283328,357490688,279166976,270372864,311943168,247894016,246538240,237944832,329531392,319967232,38408192,157319168,286003200,55930880,134569984,143847424,210169856,213188608,184238080,174084096
462,339824640,350965760,361435136,73121792,109985792,109092864,110800896,237223936,160153600,144412672,309686272,318238720,99979264,99373056,341803008,336187392,54837248,284221440,285327360,278724608,67354624,58241024,76394496,197849088,85950464,124592128,197357568,215080960,274706432,277958656,241303552,242917376
463,111951872,114618368,123432960,124186624,170209280,176914432,171278336,289308672,222400512,220991488,381255680,380248064,166400000,164593664,99688448,105005056,115326976,78434304,63078400,340320256,128360448,119037952,137224192,259608576,155033600,184135680,261259264,281731072,344215552,341004288,312176640,314261504
464,177836032,182968320,201945088,199462912,241999872,247660544,251899904,359510016,286834688,280068096,128176128,130985984,230506496,239747072,167161856,162295808,176717824,140832768,118460416,103387136,184872960,178937856,199565312,320745472,201015296,241676288,320831488,332402688,92852224,101470208,363610112,366137344
465,231739392,238751744,246665216,243568640,290557952,303874048,295862272,138711040,325881856,319754240,166498304,169541632,269086720,279457792,206761984,200310784,252076032,203542528,190885888,171454464,255668224,248745984,271937536,101572608,250368000,285986816,363712512,377438208,136970240,146653184,107634688,112857088
466,281276416,283516928,291897344,290869248,335515648,350466048,84873216,185810944,101126144,67411968,218411008,221515776,319426560,333144064,257798144,249180160,299356160,253317120,241528832,227532800,310083584,304508928,318967808,155889664,298369024,49127424,118308864,132243456,195006464,195571712,160194560,165818368
467,320815104,332378112,341221376,337645568,93970432,98643968,134152192,231858176,148762624,118558720,265428992,271155200,367505408,383868928,308416512,299900928,86966272,300036096,286466048,273371136,75108352,348151808,91279360,201760768,55648256,99274752,164139008,186839040,240070656,241184768,211566592,213880832
468,383340544,398471168,69062656,70148096,144093184,159875072,186744832,296816640,206950400,174809088,321277952,325775360,103731200,135753728,364625920,351260672,132210688,63201280,334733312,317886464,121982976,113913856,140505088,251158528,121315328,163897344,231636992,252690432,306122752,306892800,273735680,282517504
469,116391936,124170240,127893504,126857216,212590592,220524544,251441152,352952320,275030016,235728896,385466368,387936256,167763968,196489216,87306240,81817600,191184896,113258496,104587264,64983040,190717952,166985728,194146304,319766528,177778688,222658560,294182912,304476160,370958336,367202304,341159936,337985536
470,174710784,179843072,187400192,188719104,274173952,281116672,316518400,96317440,320036864,289599488,97505280,86806528,218705920,254382080,141987840,133332992,257409024,178851840,160759808,132239360,238727168,239149056,261177344,66498560,215384064,265224192,330186752,349732864,80719872,407875584,381976576,383332352
471,211468288,221040640,225091584,225660928,305872896,317575168,46546944,132857856,61546496,327852032,140857344,125898752,258502656,294289408,183521280,171151360,319074304,237490176,219951104,193777664,301367296,295804928,325795840,125112320,275578880,316383232,378408960,400564224,139522048,134975488,87379968,84426752
472,267374592,273240064,287825920,285515776,365191168,374632448,98828288,193093632,125308928,96124928,200892416,188411904,320000000,360878080,243449856,231985152,49643520,270368768,255414272,227209216,333258752,329187328,54796288,158560256,49618944,71700480,83492864,100814848,179625984,185274368,142168064,138850304
473,315351040,323694592,328282112,330424320,87605248,88059904,146010112,238469120,178888704,150749184,256897024,240406528,374013952,411799552,298242048,285093888,106733568,43921408,310415360,283410432,75378688,61829120,110923776,215154688,103034880,125190144,136187904,153948160,230375424,238895104,196743168,190148608
474,372654080,384798720,76820480,75218944,142581760,151617536,204156928,297103360,225001472,196222976,306823168,288489472,107094016,116391936,345669632,329564160,161103872,96776192,66879488,333537280,122986496,111484928,164634624,266272768,165064704,193003520,201605120,223195136,303198208,311844864,262184960,262258688
475,105443328,111910912,136167424,131076096,202043392,205848576,264933376,67751936,267579392,240328704,345292800,332140544,150396928,163835904,58523648,60145664,216264704,154050560,125739008,104124416,188354560,176816128,224514048,332091392,175599616,203870208,215228416,235364352,311156736,316682240,276545536,270479360
476,107442176,114610176,136822784,133607424,203288576,208117760,36864,69623808,0,240357376,13918208,31895552,150433792,163876864,58564608,60162048,275333120,207806464,182759424,165351424,243765248,232108032,281317376,92954624,175599616,203874304,215228416,235364352,20480,32768,276561920,270479360
477,107442176,114610176,136822784,133607424,203288576,208117760,36864,69623808,0,0,13918208,31895552,150433792,163876864,58564608,60162048,20480,209362944,183992320,166809600,244342784,234045440,40960,94806016,0,0,215228416,0,20480,32768,0,0
478,107442176,114610176,136822784,133607424,0,0,36864,69623808,0,0,13918208,31895552,150433792,163876864,58564608,60162048,20480,0,183992320,166809600,0,0,40960,94806016,0,0,0,0,20480,32768,0,0
479,107442176,114610176,136822784,133607424,0,0,36864,69623808,Null,Null,Null,Null,Null,Null,Null,Null,20480,0,0,166809600,0,0,40960,94806016,Null,Null,Null,Null,Null,Null,Null,Null
480,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,20480,0,0,0,0,0,40960,94806016,Null,Null,Null,Null,Null,Null,Null,Null
