bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
333,12599781894,13030614611,13027944310,12714932950,12529314871,13007751506,12802791458,13146878494,12835416449,12942350465,12875374631,12847863693,12822484421,13361733977,12973256797,12579799821,12947712017,12534709826,12867960330,12997938184,12774674586,12985354728,12926778313,13020632651,12615842105,13009492832,12734806317,13135918696,12890197376,12822722534,13169425157,13120102513
334,12643616454,13075858256,13067759710,12753479232,12569451810,13053229238,12849931787,13193025211,12877984138,12983493757,12916249854,12889419552,12862875631,13391389956,13012742192,12619598706,13007944240,12589817388,12911826153,13046046777,12833892173,13027897647,12971757215,13068961955,12661153899,13055051920,12779216082,13181236148,12929636400,12865439500,13215144817,13165292359
335,12687484657,13120855260,13110468019,12795252552,12610976004,13097452052,12891495971,13233480825,12919198903,13028614312,12958352484,12930685216,12904093657,13432245176,13061092421,12666398234,13038210087,12621885718,12956685442,13090755446,12862921215,13076599400,13015463715,13111765866,12701862852,13095791033,12824562668,13224002077,12972374437,12904713554,13259833495,13206366539
336,12728854580,13162310716,13154703976,12837026292,12651239673,13140279485,12933016099,13279099579,12964613876,13069452947,13001954649,12973940116,12945887401,13477457640,13096590070,12702250786,13079007559,12661525741,12998153586,13132044485,12902866198,13117532697,13057131026,13151597851,12743602705,13138809039,12863780159,13268354678,13013408440,12949201764,13302424560,13251539322
337,12750698712,13186230381,13178652430,12860811835,12672959443,13163946045,12956814231,13302354481,12987397699,13092291449,13026498509,12997490639,12969760449,13502341270,13120959918,12726710245,13123726729,12705603221,13040317417,13175659542,12949673046,13162029996,13100868870,13196182491,12768152113,13161482396,12886940982,13292027976,13039017146,12972466519,13326831726,13276512959
338,12774658938,13210920817,13203537343,12884338451,12697598934,13187858996,12980650603,13327965427,13014279192,13119340648,13052269671,13023107641,12996021626,13529756280,13155830000,12751050050,13147362709,12728446950,13066222105,13199068581,12971397057,13186553724,13125601204,13220487445,12791635619,13187061549,12913266417,13318717069,13062527189,12996921264,13352401406,13302441437
339,12812583989,13251622133,13244365524,12923238766,12736202701,13228715803,13020305332,13369636261,13050587754,13156152836,13090073335,13059936531,13034245301,13569438544,13185681150,12787829505,13171743938,12752237417,13090247820,13223326329,12996433808,13211564288,13149866816,13245156904,12829046165,13225836785,12950136224,13358138114,13104031233,13036527848,13393141161,13341684275
340,12831383245,13270987522,13264038930,12942380434,12754755053,13247875556,13039355861,13389682268,13073452781,13178295144,13112961942,13081679356,13057778772,13591805803,13207161816,12809198562,13211652525,12791297330,13129524949,13263623874,13036898400,13252629198,13189334069,13285200732,12850613461,13248094179,12971172471,13379847372,13125475579,13057244585,13414858435,13362933561
341,12854964768,13295359126,13287708506,12965027078,12777389225,13270873177,13063265352,13414211147,13093738826,13199684006,13133910783,13103791964,13078132376,13613976398,13228120055,12829123165,13231859786,12810730856,13147357020,13282686280,13055978284,13271870079,13209517780,13305425587,12872010607,13269906453,12992255422,13402228504,13147796087,13079141675,13437392327,13385462558
342,12883488913,13325525958,13318449510,12996394313,12807600253,13303031328,13093700521,13442051844,13123612430,13230045537,13165048714,13133720620,13108290154,13645953787,13258720065,12858252593,13255627723,12833707546,13172790634,13307850870,13079031336,13296148449,13233146730,13330196796,12902153131,13300995219,13021995558,13433236684,13177129512,13109392599,13469055755,13416578024
