stat_bytes_used,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
46,472759734272,490128257024,490413318144,476800946176,469650034688,489296171008,480551469056,495023861760,481945198592,487270211584,483619352576,482122428416,481226067968,501257068544,487156469760,472070905856,489207070720,472540667904,485501542400,490222252032,481377980416,490616590336,487721914368,490714411008,474328850432,488829267968,478318886912,494593261568,484217630720,482461270016,496008818688,493085761536
47,472759734272,490128257024,490413318144,476800946176,469650034688,489296171008,480551469056,495023861760,481945198592,487270211584,483619352576,482122428416,481226067968,501257068544,487156469760,472070905856,489207070720,472540667904,485501480960,490222252032,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484217630720,482461270016,496008818688,493085761536
48,472759734272,490128318464,490413318144,476800946176,469797675008,489296171008,480551469056,495023861760,481945198592,487270211584,483619352576,482122428416,481373708288,501404708864,487304110080,472070905856,489207070720,472540667904,485501480960,490222252032,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484217630720,482461208576,496008818688,493085761536
49,472759734272,490128318464,490413318144,476800946176,469797675008,489296171008,480551469056,495023861760,481945198592,487270211584,483766931456,482122428416,481373708288,501404708864,487304048640,472070905856,489207009280,472540667904,485501480960,490222190592,481525620736,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484365271040,482461208576,496008818688,493085761536
50,472759734272,490128318464,490413318144,476800946176,469797675008,489296171008,480551469056,495023861760,481945198592,487270211584,483766931456,482122428416,481373708288,501404708864,487304048640,472070905856,489207009280,472540667904,485501480960,490222190592,481525620736,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484365271040,482461208576,496008818688,493085761536
51,472907436032,490275897344,490560897024,476800946176,469797675008,489296171008,480551469056,495171502080,482092838912,487270211584,483766931456,482122428416,481373708288,501404708864,487304048640,472070905856,489207009280,472540667904,485501480960,490222190592,481525620736,490616590336,487722037248,490861989888,474328850432,488829267968,478318886912,494593261568,484365271040,482608848896,496008818688,493085761536
52,472907436032,490275897344,490560897024,476800946176,469797675008,489296171008,480551469056,495171502080,482092838912,487270211584,483766931456,482270068736,481373708288,501404708864,487304048640,472218546176,489207009280,472688369664,485501480960,490222190592,481525620736,490616590336,487722037248,490861989888,474328850432,488829267968,478318886912,494593261568,484365271040,482608848896,496156459008,493085761536
53,472907436032,490275897344,490560897024,476800946176,469797675008,489443872768,480551469056,495171502080,482092838912,487270211584,483766931456,482270068736,481373708288,501404708864,487304048640,472218546176,489207009280,472688369664,485649121280,490369830912,481525620736,490616590336,487722037248,490861989888,474328850432,488829267968,478466527232,494740901888,484365271040,482608848896,496156459008,493085761536
54,472907436032,490275897344,490560897024,476800946176,469797675008,489443872768,480551469056,495171502080,482092838912,487417851904,483766931456,482270068736,481373708288,501404708864,487304048640,472218546176,489207009280,472688308224,485649121280,490369830912,481525620736,490616590336,487722037248,490861989888,474328850432,488829267968,478466527232,494740901888,484365271040,482608910336,496156459008,493233401856
55,472907436032,490275897344,490560897024,476800946176,469797736448,489443872768,480551469056,495171502080,482092879872,487417851904,483766931456,482270068736,481373708288,501404708864,487304110080,472218546176,489354649600,472688308224,485649121280,490369830912,481525620736,490764230656,487722037248,490861989888,474328850432,488976908288,478466527232,494740901888,484365271040,482608910336,496156459008,493233401856
