subop_in_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
34,635738390,640597038,654584767,650810109,630529615,634333916,644400429,677891462,647488809,633446052,649560709,636642831,649448962,674304869,659148316,615084204,652322982,620680810,646681066,659963210,652394132,661084449,647148563,663662005,615216623,657822598,626933141,653034190,655263439,649420684,632975207,669663019
35,654722354,660514176,673827946,669963741,648957445,653383862,663167595,697648358,667222140,653509293,668874583,656522265,668107729,695409683,678481042,633964482,672268398,639589366,666979957,681336665,672820274,681604851,666453011,683593282,632942216,676872544,644663447,672946615,673969336,668984347,650969441,688925050
36,674941124,680690529,692090821,691506864,669930295,672872117,684229992,718800302,687935775,672710055,689135770,674841696,689542453,717023501,699354919,653452737,692034720,659704450,684276667,699905885,692638439,699688632,685041083,704358760,651143822,696982915,663774662,693316201,694145689,687982450,669354854,709803640
37,694891253,699165489,713242765,711230769,688146040,691799525,702417459,739028498,706693515,691137885,706220395,694476054,706546957,735097856,717547099,670169748,709958259,675516565,703477429,718969970,710378171,719077914,703864805,723592513,670038239,717969904,682230770,714124096,712955272,708106960,689672597,728735761
38,710137808,720487101,730803403,730158177,704914894,709515692,719742447,755542850,723759288,707157372,724327741,711466419,723612730,752564234,734824957,685369173,724874904,692233576,718342231,734909336,726223277,734984289,719554382,739150126,687650720,733819723,699805547,730365094,733042078,725276419,705838187,746103166
39,729413978,735780786,749377336,745136091,720651601,724597292,737138130,777024704,740523429,724463508,741633877,728932797,741767206,771717866,752512846,703009932,745084248,710783944,738674113,754897169,746870930,756079677,740517806,759137959,704768336,752728279,715570532,750810088,749000296,742865335,723191453,764837341
40,754505990,761056605,776580772,771877653,748373467,753143933,763743015,804086750,769362276,753382476,770425594,756291762,770997232,801329645,782666620,729793911,774224727,737530219,766839001,782958371,775459988,784682874,768352784,788174752,729125120,779719630,741430763,776034064,776495938,770672035,749768060,793143619
41,777133103,783429216,798340693,795150447,769977859,775290320,785865837,825064313,792597366,772856592,792920743,777307029,792677032,824182982,804369985,751190931,797634198,759261862,789079648,805401677,798421724,806287266,792393797,812597518,749735069,803143240,762205667,797784559,798892114,793327426,771344174,816760462
42,799373750,806037477,821095057,815534172,791978143,795579785,807074337,848242847,813475956,793315725,813511840,798345861,814394536,845721392,826021507,770434110,818234721,780376102,811697335,827152172,817047500,828169725,814116014,834150067,770316740,822673912,785091995,818851669,820963093,813371815,791690195,839623225
43,814898372,820808019,836572549,835163817,809581198,811872626,821962704,864691217,831144993,810819807,830111026,813842205,830003992,863168918,841334044,788720550,833368164,797960305,826821352,844920182,834622277,848765535,830055380,852064180,785723537,841662589,801563930,836577262,837213517,830338615,808656995,855718120
44,837944942,842935554,862291390,854746332,829262686,833434601,846432600,888473015,852999174,836524509,851649436,837402492,853102405,884909987,866001886,806601672,856853043,819625966,853803277,866585843,857687699,868861767,850198742,875699875,807346781,862687282,821099315,857554825,862776829,853224943,829365917,877463902
45,857056157,863031786,881746654,876096222,849434326,854355608,864662484,909822905,871243197,852454449,872561017,856518420,874207219,908409005,886795642,827173917,876897432,836960380,870567418,888656822,878632271,889594254,872514797,895084444,826443857,883796809,841044731,877995106,880469431,873406009,850244507,898936330
46,876676376,883462641,901201918,896725023,869539984,875187068,884541918,932440592,892951275,873229353,892426312,877524261,895373302,928726748,907542268,847590633,897398982,855199690,890640085,908743628,898389167,910194777,893440517,916085572,845691749,904637695,860726219,897997078,900994546,893662483,870336026,919329481
47,898700225,905425221,924267340,918697029,889042378,894642332,904920930,954643535,913410408,893240751,912932575,896918256,915771166,950373557,928260616,866819673,918376545,876068854,911283025,931568687,920601536,931276026,914969501,937581565,867154751,926242087,882495566,919436515,922584799,915686332,890620778,940104385
48,913414211,920516247,939570451,933208356,904826215,911142545,921048816,971963810,930169836,908685252,930314119,913951038,931899052,967901204,945415936,883145505,935611986,892484233,928452484,947852102,936950933,948553884,930673217,954920692,880563236,941483929,896375351,935144944,939118003,931182676,907531022,956731849
49,928938833,934867332,956999125,949520049,920190595,925644446,935828784,986201783,943842249,922428360,944519101,928283271,945599743,982615190,959333425,896751936,949996062,906561964,941771422,961863851,951000386,961448652,945490889,968729782,894278066,955231750,909986495,948737236,954176038,944803246,921146879,970899127
50,948973796,956160666,977100070,968904618,939806101,945571010,954482838,1008159650,967341267,944282541,968140657,950905671,970635199,1004450519,982954981,915245748,972769278,926719465,965784157,982855553,972590639,985404831,968391356,989924143,915312185,979197355,931124300,971821510,974573902,966539602,940215677,991782430
51,975163937,979065846,998492377,990937893,964539925,967420478,978976299,1030588817,988394238,964520163,987449818,969856644,988690702,1026361256,1004168194,937990686,994680015,947767723,984438211,1004851124,993624758,1006354116,987804203,1012485274,937713074,1003167673,951621137,993444754,996395092,987894205,962663696,1018665382
52,994152614,1002498882,1021765171,1014955341,984697426,990928922,1002414048,1056854366,1010498208,987741114,1012815184,994095603,1012397092,1052461850,1028256337,960231333,1017905679,972346018,1010048653,1029702773,1018806317,1031003106,1011859355,1038873361,958228763,1023527833,974969339,1017400933,1020601060,1012071895,986388938,1041070984
53,1013720990,1020874869,1041691735,1034443596,1004190394,1009856330,1020436560,1076253074,1031607735,1007050275,1033000963,1013277513,1032988189,1073024669,1047810574,979050342,1037836956,989727562,1029060895,1050703901,1037875115,1050910818,1031210933,1057329469,976694297,1044448840,993882608,1037558434,1040122306,1030735375,1005551996,1061384014
54,1031300480,1037092302,1059153400,1051914687,1020520939,1027082345,1037087589,1093926824,1048598100,1023946380,1048553863,1029641049,1050704356,1090250684,1064263657,994730493,1054624662,1007957446,1046400022,1067128706,1054540283,1068414900,1049426678,1075620622,993180371,1060826515,1009939799,1053662755,1057819621,1048027372,1022339702,1078506343
55,1051632362,1058767389,1081035859,1074188325,1043053792,1049549216,1060006908,1118966993,1072657965,1045070046,1072133002,1051551786,1073571832,1111718399,1086226237,1014718326,1077642954,1027624795,1065577219,1091047181,1077756521,1092295671,1070842550,1097611480,1014803615,1084509340,1032213437,1074579049,1079004556,1069099195,1043727296,1101081613
56,1072855001,1080319938,1102758076,1094953803,1063941808,1070635178,1079603562,1139633498,1094399034,1066669725,1093105852,1073193882,1093861297,1135698143,1109645134,1036610211,1099417014,1048899277,1087996960,1111364924,1098456017,1112858490,1092918242,1120083064,1036629518,1106264548,1052172992,1099548523,1102640251,1090500928,1066000934,1122266548
57,1091739992,1101358770,1122434851,1115742846,1082030302,1087630256,1100373753,1161299159,1113816594,1082755194,1111807036,1091268237,1112086468,1154851775,1127300032,1052408187,1121030832,1068887110,1105241827,1133558441,1118952854,1134330918,1110766373,1139467633,1053454928,1123424581,1069936289,1115808373,1120210315,1109442475,1082689667,1141636978
58,1108593680,1116478074,1139283826,1132002696,1098714322,1105440683,1116817410,1178760824,1130877654,1101253719,1129235710,1109959995,1130410612,1173241901,1146062485,1069954686,1135160406,1083761338,1123113523,1148814422,1135782977,1150637898,1129957709,1158286642,1070162513,1142323711,1086304538,1134269194,1138642858,1128035260,1101687770,1161671941
59,1124820539,1133199798,1157197939,1148795115,1114323778,1121483735,1133675811,1196264906,1147943427,1117499430,1146084685,1125461052,1147702609,1190887373,1162793635,1086139128,1152004668,1099889224,1139769265,1165300496,1152848750,1167486873,1147065899,1175738881,1086573179,1159521448,1102672787,1150632730,1155147784,1145473360,1117655414,1178770705
60,1143286073,1151816148,1174409815,1167383187,1133109796,1139393135,1152212040,1216229174,1166526786,1135328709,1165813303,1143516555,1166215273,1208528132,1182281890,1103591367,1169584158,1117765633,1158018001,1184652074,1171366127,1185565941,1164320192,1194369370,1103167652,1178062390,1119370946,1167392158,1173396520,1163604271,1135395146,1196623549
