await,ceph01,ceph02,ceph03,ceph04
252,0.29,0.98,0.55875,0.75875
253,0.86,0.6475,1.3,0.77875
254,0.50875,0.44125,1.34375,0.22625
255,2.2475,0.525,0.99625,1.6625
256,1.1425,1.53875,0.40625,2.01625
257,0.91125,0.3725,2.2425,4.015
258,0.4775,2.55375,2.1875,1.69125
259,4.4225,2.78625,1.8475,0.87625
260,4.35,3.32125,2.78375,1.00125
261,1.4475,0.85625,1.07125,1.69
262,0.8275,2.18,1.215,1.96
263,1.76375,5.4475,1.15125,0.395
264,1.0075,0.82375,1.6525,1.47
265,0.89,0.58875,4.705,0.99125
266,1.66375,0.8975,2.1525,4.76125
267,1.14625,0.84125,1.2925,1.11125
268,4.09125,1.06875,0.38625,1.21125
269,1.3125,0.82875,1.03375,0.95875
270,0.58625,1.1675,1.15,3.4675
271,3.795,0.7125,1.53625,0.84875
272,1.10875,2.6425,1.855,1.91875
273,1.1525,1.7125,1.07875,0.575
274,1.44375,1.03625,0.39125,1.54
275,1.27625,1.68,3.95875,4.52
276,0.81625,0.86625,1.3,1.1325
277,0.63625,1.7425,1.46,1.0975
278,0.645,2.9,1.79625,1.0575
279,1.47,0.595,1.03375,0.43375
280,1.495,1.08,0.7025,2.6925
281,2.79375,1.05,1.19375,2.47875
282,1.535,0.33625,0.805,2.14125
283,0.70375,0.75375,2.3275,1.5725
284,0.34125,1.16125,1.3525,0.43875
285,1.78875,0.30125,1.4,0.4675
286,1.2,1.3175,0.82875,0.8125
287,1.10875,1.505,0.755,1.2675
288,0.66625,0.24,1.1675,2.60375
289,0.60625,1.03625,1.57,1.4425
290,0.61875,1.6475,0.99125,0.4125
291,1.275,0.62875,1.4525,0.5875
292,1.32875,1.1,0.83,0.8325
293,0.8825,1.06625,0.8075,0.705
294,0.57875,0.36,1.29,1.53
295,0.4025,1.4,1.91625,2.14875
296,0.715,0.7175,0.27375,0.31125
297,0.93875,0.5275,1.3725,0.46
298,1.3125,1.04375,0.95375,0.59625
299,1.57,0.91875,0.99625,0.67
300,0.8475,0.51375,0.93875,1.12625
301,0.2375,1.11125,0.8625,1.48875
302,0.8025,0.75375,0.65125,0.5775
303,0.5725,0.43875,1.08375,1.18125
304,1.10625,1.24125,1.04625,0.56625
305,0.96625,0.5,1.0775,0.865
306,0.7,0.9325,0.835,0.69
307,0.67625,1.2825,0.83875,1.45
308,0.615,1.1925,1.11375,0.87
309,0.18875,0.9575,0.72875,0.845
310,0.9325,1.2225,1.0725,0.8175
311,1.3375,0.86375,1.28875,0.69
312,0.5775,1.145,1.0975,0.3775
313,0.71875,0.94,0.1375,1.095
314,0.71125,0.5425,0.4225,1.2975
315,0.4075,0.76875,0.7225,0.8025
316,0.84,0.64,0.8275,0.53125
317,1.03125,0.9225,1.1225,0.8275
318,0.32875,1.545,0.92625,0.135
319,0.765,0.58625,0.37625,1.11375
320,0.545,0.66625,0.32875,1.34875
321,0.6075,0.435,0.99,0.8125
322,0.87125,0.595,1.075,0.6
323,1.095,1.06375,1.48,0.76
324,1.18625,1.0275,0.995,0.32625
325,0.72625,0.7425,0.63625,0.27
326,0.3675,0.82375,0.475,1.9975
327,0.315,0.27625,0.96375,1.71125
328,1.385,0.28125,0.91,0.5675
329,0.8175,1.30375,1.2125,0.43875
330,1.77625,0.85375,0.17875,0.1275
331,0.71625,1.23,0.69125,0.17375
332,0.48875,0.56625,0.70875,1.10625
333,0.1275,0.38625,1.355,1.68875
334,1.575,0.17875,0.84875,1.7725
335,0.91625,1.32625,0.6825,0.82625
336,1.46625,0.75625,0.37375,0.11875
337,0.8075,1.255,0.44625,0.375
338,0.7325,1.45375,0.87625,0.82625
339,0.3175,0.135,1.26125,1.8375
340,0.84,0.1125,1.3325,1.56
341,0.87625,1.79125,1.1875,0.38625
342,1.6575,1.43875,0.5575,0.1725
343,1.16875,1.66375,0.47125,0.13125
344,0.5175,0.90375,0.93625,0.26
345,0.50625,0.2775,0.855,1.9275
346,0.20875,0.13125,1.1875,2.0875
347,0.67125,1.2875,0.14125,0.31125
348,1.16625,1.4125,0.5775,0.14125
349,1.99875,1.15375,0.68375,0.10625
350,0.2475,1.145,1.25,0.23375
351,0.3275,0.16375,0.955,1.2425
352,0.13,0.1575,0.70875,2.33125
353,0.77625,0.41,0.3675,0.73125
354,1.115,1.35375,0.73125,0.1075
355,1.60375,0.88125,1.03125,0.12625
356,1.74125,1.36625,1.1225,0.15
357,0.3975,0.66625,0.94125,1.73625
358,0.29375,0.1525,0.32125,1.93625
359,0.94125,0.14125,0.4325,0.6525
360,1.23,1.4125,0.2375,0.16125
361,0.9225,0.855,1.385,0.11
362,0.99,1.5025,1.3825,0.115
363,0.4425,0.65125,1.23,1.28875
364,0.20375,0.19375,0.2,1.605
365,0.13375,0.13625,0.81375,1.15375
366,1.03875,0.8425,0.365,0.1575
367,1.045,1.37,1.31,0.1175
368,1.1325,1.0025,1.11375,0.15
369,0.16875,1.53875,1.02125,1.20625
370,0.4,0.34125,0.47625,2.06375
371,0.57875,0.38375,0.4275,2.48375
372,0.965,0.1625,0.64375,0.60125
373,1.68125,1.92,1.48625,0.145
374,1.69,1.815,1.17625,0.49625
375,0.53125,1.6925,1.04375,0.56
376,0.12125,0.735,0.67875,1.1025
377,0.525,0.13625,0.3375,2.0875
378,0.73875,0.40125,1.17,2.01125
379,1.16,1.22375,1.21375,0.14875
380,1.185,1.035,1.33,0.485
381,0.2375,1.23,0.5225,1.02875
382,0.355,1.02375,1.02,0.2925
383,0.36875,0.16875,0.32125,1.23375
384,0.75375,0.44,1.49125,1.34125
385,1.02375,1.00875,1.09625,0.99375
386,1.4875,0.68,0.82,0.69875
387,0.86,1.12125,0.29875,0.325
388,0.9275,1.65375,0.61875,0.3025
389,0.23875,0.56125,0.19375,0.88875
390,1.04125,0.6625,1.305,1.1275
391,0.8025,0.665,1.0525,0.98
392,1.22375,0.71875,1.22875,0.555
393,1.41875,0.64625,0.5325,0.11125
394,0.655,1.23,0.68625,0.18875
395,0.3775,0.87875,0.88,1.10375
396,0.47375,0.83375,1.565,1.4
397,0.70625,0.13875,1.17875,1.5825
398,1.01,0.78375,0.75,0.71
399,1.76125,0.53375,0.7375,0.38
