avgqu-sz,ceph01,ceph02,ceph03,ceph04
377,4.73375,0.62125,1.7675,22.255
378,6.26,2.44,11.94,21.5512
379,11.6275,14.325,13.7213,0.6625
380,18.555,10.3125,15.0837,4.54875
381,0.84375,10.7912,4.84,9.43625
382,1.94625,12.6113,8.89,1.09625
383,3.76125,0.78125,1.7725,15.8038
384,7.41625,5.02875,19.1675,19.1288
385,9.21375,9.16875,12.4875,6.4975
386,20.38,8.97625,10.3613,8.005
387,5.3175,8.64875,1.4975,1.90375
388,7.84375,17.6562,6.70375,1.2125
389,1.10125,3.9425,0.895,10.1413
390,11.325,7.66625,16.15,15.435
391,10.8788,4.785,10.215,10.6588
392,14.0813,11.3425,14.1562,5.54875
393,12.4037,2.94125,4.85875,0.465
394,7.015,13.3438,4.41625,0.8125
395,2.1625,11.7762,6.135,13.4213
396,4.8025,11.3462,18.03,16.495
397,10.1137,0.58,12.5188,19.2375
398,7.3175,8.0875,8.39375,5.8525
399,22.175,3.80625,7.4825,2.725
