kbmenfree,ceph01,ceph02,ceph03,ceph04
205,89136792.0,69086344.0,89197464.0,69638520.0
206,88883456.0,68795640.0,88833020.0,69374532.0
207,88636188.0,68599932.0,88658544.0,69109448.0
208,88492660.0,68357320.0,88491712.0,68914192.0
209,88552820.0,68497996.0,88599904.0,69145296.0
210,88447632.0,68440604.0,88560956.0,69053572.0
211,88338092.0,68434868.0,88562432.0,68945832.0
212,88157248.0,68166900.0,88350984.0,68754752.0
213,87864176.0,67913808.0,87974284.0,68410660.0
214,87617600.0,67604136.0,87694044.0,68141164.0
215,87538440.0,67509324.0,87560216.0,68035940.0
216,87594256.0,67614492.0,87688324.0,68238336.0
217,87479924.0,67477136.0,87645720.0,68135448.0
218,87289188.0,67292920.0,87477464.0,67976136.0
219,87027144.0,66980248.0,87165924.0,67639784.0
220,86966812.0,66927568.0,87052992.0,67512644.0
221,86978756.0,67023184.0,87031436.0,67589248.0
222,86934060.0,66948472.0,86939332.0,67562844.0
223,86808432.0,66890048.0,86907764.0,67438792.0
224,86624996.0,66691428.0,86678100.0,67289792.0
225,86417940.0,66475112.0,86531772.0,67052808.0
226,86279768.0,66338012.0,86378444.0,66910656.0
227,86300988.0,66410576.0,86362420.0,66934592.0
228,86224016.0,66318364.0,86314752.0,66861728.0
229,86084520.0,66202624.0,86269776.0,66758020.0
230,85867044.0,65982096.0,86053924.0,66513096.0
231,85562444.0,65710072.0,85720856.0,66280920.0
232,85555844.0,65610240.0,85688064.0,66248228.0
233,85517244.0,65595676.0,85592032.0,66228928.0
234,85327896.0,65403580.0,85382836.0,66043004.0
235,85253160.0,65309588.0,85293420.0,65999688.0
236,85126876.0,65225100.0,85251724.0,65889504.0
237,84912844.0,64987632.0,85060172.0,65697240.0
238,84949288.0,64986008.0,84998516.0,65753312.0
239,84818012.0,64791868.0,84874060.0,65599968.0
240,84666112.0,64576716.0,84621096.0,65439488.0
241,84554560.0,64619432.0,84616248.0,65372456.0
242,84361164.0,64545864.0,84484052.0,65141496.0
243,84231016.0,64450452.0,84394552.0,65040956.0
244,84202980.0,64416992.0,84320576.0,65038992.0
