rMB/s,ceph01,ceph02,ceph03,ceph04
257,2.42375,1.97875,0.00375,2.6
258,2.91375,3.12875,2.615,4.83125
259,3.685,5.245,1.99125,7.03375
260,5.33875,4.84625,2.42625,7.11
261,6.96375,5.0875,4.26,7.3575
262,7.4925,5.05875,4.86875,5.7475
263,6.855,4.68875,4.8625,8.63875
264,6.7525,4.72125,4.7675,5.7575
265,5.96875,3.9225,3.06875,5.65375
266,7.89375,5.255,6.1725,6.54875
267,6.56625,4.2725,6.73625,5.965
268,5.1925,4.55875,7.20125,4.7975
269,4.585,4.575,6.19125,5.4275
270,6.9925,4.40125,6.99875,5.18875
271,5.0775,4.22625,6.11875,6.28375
272,6.8825,4.35,7.13125,6.765
273,6.63625,3.6775,6.58375,6.21375
274,6.25875,4.98125,7.37625,4.3225
275,6.72875,5.14625,6.235,5.76375
276,6.58625,3.8125,5.98125,5.7725
277,7.01375,3.3725,6.6325,7.05625
278,7.67,3.845,7.32875,7.07
279,5.2075,4.02375,6.09625,5.19375
280,6.30875,5.0725,8.1625,4.66875
281,5.87625,4.66,6.98125,4.59125
282,6.0125,4.6,7.12,4.71625
283,7.27125,4.21375,6.04875,7.00625
284,6.5875,2.82125,6.06375,6.455
285,5.67375,1.94125,5.56875,5.72
286,5.415,1.5325,5.71625,5.185
287,5.77375,2.17375,6.35,5.74625
288,6.40375,2.5,6.7225,4.19125
289,4.38375,2.43875,6.22625,6.32875
290,0.02625,1.57625,6.91125,5.98
291,0.06,1.82375,6.015,4.00875
292,0.0025,0.36875,4.6625,2.37625
293,0.0,0.05375,3.905,1.9125
294,0.00125,0.00125,1.5525,1.60125
295,0.0,0.0,1.94875,1.485
296,0.0,0.0,2.36,2.06875
297,0.0,0.0025,2.215,1.56125
298,0.0,0.00125,2.2075,0.0075
299,0.0,0.0,1.47,0.0475
300,0.0,0.0025,0.005,0.0
301,0.0,0.0,0.04875,0.0
302,0.0,0.00125,0.0,0.0
303,0.0,0.00125,0.0,0.0
304,0.0,0.0,0.0,0.0
305,0.00125,0.0,0.0,0.00125
306,0.0,0.0025,0.00125,0.0
307,0.0,0.0,0.0,0.0
308,0.0025,0.00375,0.0,0.0
309,0.0,0.0,0.0025,0.00125
310,0.00125,0.0,0.0,0.0
311,0.0,0.0,0.00125,0.0
312,0.0,0.0025,0.0,0.0
313,0.0,0.0,0.0,0.00125
314,0.00125,0.0,0.0,0.0
315,0.0,0.0,0.0,0.0
316,0.00125,0.0,0.0,0.0
317,0.0,0.0,0.0,0.0
318,0.00125,0.0,0.0,0.0
319,0.0,0.005,0.0,0.0
320,0.00125,0.0025,0.0,0.00125
321,0.0,0.0,0.00125,0.0
322,0.0,0.00125,0.00125,0.0
323,0.0,0.0,0.00125,0.0
324,0.0,0.0,0.0,0.0
325,0.00125,0.0025,0.0,0.00125
326,0.0,0.00125,0.0,0.00125
327,0.0,0.0,0.00125,0.0
328,0.0,0.0,0.00375,0.00125
329,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
331,0.0,0.0,0.0,0.0
