op_w,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
56,111142,121091,117723,108231,110959,122211,114206,110309,112264,121239,113720,117172,111330,118084,112824,117187,116363,115030,116482,115021,110455,114411,116416,112801,119426,115187,118953,120369,111628,112067,128465,114896
57,113023,123532,119873,110334,112824,124147,116420,112405,114220,123003,115605,119152,113192,120118,114621,118972,118625,117144,118420,117253,112535,116645,118405,114776,121337,117044,120943,122174,113419,113970,130458,116814
58,114609,125227,121644,111914,114481,126107,118225,114004,115996,125078,117439,121142,115133,122063,116557,120991,120091,118768,120381,118970,114211,118224,120421,116711,123351,118905,122873,124180,115317,115899,132795,118863
59,116283,126979,123627,113483,116110,127885,120006,115615,117749,126910,119209,122865,116871,123916,118256,122766,121932,120571,122255,120727,115983,119888,122271,118473,125299,120711,124846,125941,117019,117671,134728,120580
60,118147,128955,125468,115312,117977,130054,121950,117528,119617,128866,121245,124785,118811,125874,120218,124734,123805,122588,124176,122760,117826,121720,124260,120326,127241,122584,126674,127815,118884,119557,136935,122414
61,120427,131333,128247,117504,120411,132592,124138,119843,121929,131631,123698,127152,121263,128275,122580,127264,126151,125080,127061,125043,119927,124035,126567,122549,130090,124944,129242,130347,121292,122027,139407,124640
62,122666,133935,130412,119839,122507,135242,126485,121989,124352,133935,125905,129728,123574,130940,124867,129697,128644,127453,129149,127658,122385,126364,129081,125015,132213,127367,131838,132863,123613,124225,142262,127235
63,125107,135945,132436,121742,124421,137260,128430,123932,126364,136015,127778,131607,125293,132824,126823,131621,130579,129377,131170,129506,124242,128320,131057,126867,134015,129158,133890,135050,125494,126117,144347,129075
64,126692,138366,134629,123655,126505,139642,130602,126055,128276,138237,130074,134095,127602,135272,128815,133909,132821,131598,133371,131746,126438,130497,133298,129064,136385,131430,136079,137178,127675,128273,147046,131270
65,128343,140239,136332,125350,128131,141449,132343,127756,129931,140071,131840,135855,129260,137113,130545,135643,134632,133273,135260,133414,128159,132272,135116,130779,138196,133150,137818,138996,129466,129969,149011,133080
