op_w,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
239,481160,526384,509317,470962,479149,533668,497913,479755,487801,526390,494668,509527,485744,514656,491147,509812,501666,497670,505391,495888,479655,493320,503306,487731,519484,499250,517960,521877,486345,485873,559509,498610
240,483408,528886,511577,473193,481492,535840,500004,481829,489662,528436,496528,511389,487501,516463,492951,511619,503225,499231,507022,497460,481116,494869,504909,489246,521708,501669,520515,524112,488392,488122,561634,500664
241,485331,530505,513199,474781,483019,537878,501792,483673,492133,531264,499023,513811,489974,519078,495371,514298,505162,501146,508965,499267,482824,496818,506705,491072,523363,503095,522046,526054,490198,489744,563603,502380
242,487704,534098,515998,477865,485727,540625,504631,486507,495011,533994,501713,516914,493283,522524,498808,517337,507108,503137,511040,501373,484853,498536,508801,492974,526091,505926,524804,529137,492804,492246,566626,505281
243,490487,536403,518943,480281,488373,543927,507574,488999,497077,536537,503972,519152,495025,524273,500408,519359,509899,506085,513857,504059,487347,501122,511568,495532,529130,508771,527962,531970,495628,495144,569877,507999
244,492321,538462,520850,481939,490237,545838,509523,490884,499074,538695,506078,521291,497087,526375,502412,521605,513163,509151,516917,507221,490460,504337,514863,498802,531192,510908,530023,533991,497576,497099,572052,509952
245,494591,540777,523132,484210,492371,548069,511647,493019,501120,541153,508047,523364,499458,528528,504403,523556,515027,511028,518897,509156,492349,506182,516690,500530,533636,513257,532113,536151,499688,499229,574392,512208
246,496087,542860,524895,485783,493948,550499,513641,494677,502981,543032,510050,525476,501012,530581,506389,525607,517393,513163,521248,511378,494298,508350,518797,502812,535484,514847,534002,538073,501705,501183,576525,514128
247,497763,544511,526534,487193,495572,551942,515271,496244,505449,545448,512659,527997,503301,532894,508805,528257,519529,515091,523258,513349,496547,510149,520958,504563,537132,516532,535830,539776,503229,502639,578373,515693
248,500840,547910,529780,490136,498561,555306,518339,499161,508348,549054,515307,530830,506307,535721,512003,531521,521064,516802,524797,514913,497886,511825,522633,506314,540373,519807,539153,543210,506139,505839,581876,518840
249,503464,550484,532330,492528,501053,557908,520923,501953,510087,550565,517311,532827,508070,538019,513926,533216,524191,519990,527972,518084,500988,514829,526006,509334,543089,522384,541759,545783,508620,508177,584760,521552
250,505038,552363,534171,494291,502725,559721,522621,503669,511844,552524,518904,534739,509837,539933,515382,535007,526933,522587,530707,520692,503479,517427,528671,511931,544858,524223,543561,547652,510257,509903,586780,523220
251,507050,554542,536200,496299,504786,562046,524729,505573,514023,555155,521163,537031,512266,542327,517661,537380,528580,524242,532398,522400,505130,519079,530315,513595,547224,526426,545829,549798,512225,511822,589078,525216
252,509082,556811,538458,498188,506668,564091,526666,507659,516045,557108,523114,539069,513996,544416,519730,539380,530939,526547,534583,524607,507217,521445,532413,515658,549127,528551,548120,551954,514544,513955,591570,527518
253,510956,558755,540295,499904,508478,566294,528709,509356,518063,559132,525216,541408,516063,546621,521671,541482,532827,528462,536855,526485,509183,523265,534706,517635,551238,530410,549941,554030,516296,515834,593711,529463
254,513434,561359,542789,502110,510852,569156,531100,511772,520247,561658,527967,543470,518317,548926,523898,544204,534661,530407,538673,528557,511136,525134,536575,519503,553866,532984,552632,556530,518868,518224,596507,531823
255,515350,563596,545094,504240,512969,571105,533146,513821,522030,563469,529255,545370,519957,550705,525516,545683,536984,532862,541029,530854,513178,527447,539003,521806,555988,534956,554557,558727,520738,520200,598710,533838
256,516967,565415,546856,505803,514661,572971,534917,515519,524059,565619,531207,547421,522081,552928,527600,547695,539204,534891,543146,533051,515221,529550,541080,523917,557872,536704,556319,560655,522539,521845,600699,535606
257,519224,567882,549274,508102,516911,575457,537172,517823,525959,567659,533022,549308,523828,554803,529400,549665,540881,536695,544991,534849,516874,531313,542855,525621,560373,539067,558804,562938,524732,524163,603173,537811
258,520752,569553,550653,509431,518315,577203,538814,519233,527829,570128,534890,551733,525626,557113,531466,552057,543352,539075,547438,537111,519221,533411,545355,527865,561935,540660,560450,564605,526275,525741,605010,539560
259,522602,571504,552812,511342,520286,579257,540822,521166,529614,571556,536721,553210,527385,558567,533183,553553,544937,540643,548956,538736,520560,535079,546850,529496,563808,542477,562328,566582,528103,527475,606926,541247
260,524965,574170,555396,513489,522689,581683,543295,523458,532119,574346,539225,555767,529997,561347,535699,556160,546773,542597,550759,540524,522459,536977,548819,531277,566699,545270,564989,569125,530706,530046,609866,544024
261,527233,576041,557567,515512,524453,584009,545144,525337,534176,576546,541293,557924,532043,563510,537796,558305,549209,545031,553153,542838,524579,539404,551339,533794,568646,547015,567001,571171,532303,531843,611925,545679
262,528957,578400,559394,517526,526510,586276,547344,527428,535788,578219,542919,559565,533695,565270,539478,560063,551107,546952,555220,544779,526640,541298,553309,535437,570908,549311,569238,573554,534547,534000,614457,547931
263,531269,580863,561999,519816,528661,588905,549456,529709,538020,580474,545233,561962,535838,567874,541873,562546,553448,549248,557410,547113,528744,543570,555620,537620,573280,551556,571677,575980,536694,536243,617204,550379
264,532796,582435,563340,521130,530316,590366,551149,531100,540300,582891,547421,564183,538145,569868,543747,564680,555772,551599,559729,549320,531296,546109,558084,539826,574962,553161,573575,577803,538402,538314,619100,552021
265,534829,584821,565653,523214,532467,592832,553324,533274,542177,584977,549190,566242,539869,571870,545467,566538,557130,553015,561194,551008,532504,547320,559417,541291,577225,555303,575658,580050,540377,540001,621307,554212
266,536682,586761,567604,525100,534281,594936,555386,535099,544104,586832,551003,568123,541849,573739,547527,568645,559327,555110,563509,553113,534589,549601,561628,543458,579233,557320,577817,582021,542391,541881,623472,556146
267,538607,588638,569601,526892,536093,596809,557329,536881,545624,588582,552775,569758,543404,575511,549123,570284,561338,557219,565497,555115,536381,551586,563704,545391,581060,558971,579517,584014,544064,543671,625491,558023
268,540980,591104,571993,529169,538477,599474,559804,539327,547876,591093,555120,572190,545625,578053,551400,572769,563253,559057,567463,557009,538243,553413,565543,547232,583571,561347,582032,586384,546290,546031,628176,560357
269,542784,593318,573962,530947,540394,601526,561782,541077,550619,593800,557693,574626,548134,580569,554011,575318,565745,561368,569855,559405,540548,555900,568133,549535,585850,563416,584216,588505,548148,548049,630346,562310
270,545101,595709,576202,533137,542639,603764,563969,543164,552591,595910,559738,576835,550150,582813,556016,577255,567665,563288,571818,561371,542425,557527,569822,551513,587906,565616,586412,590938,550471,550244,633057,564700
271,546863,597915,578468,535238,544747,605928,565870,544919,554293,597816,561430,578541,551717,584508,557741,579002,569769,565402,573901,563512,544491,559583,572190,553544,590190,567667,588686,593237,552501,552356,635376,566619
272,548767,599885,580279,536899,546120,607870,567847,546813,556328,600281,563537,580723,553766,586598,559835,581139,571924,567647,576031,565469,546544,561658,574172,555560,592028,569539,590530,595166,554374,554026,637463,568482
273,550985,602537,582813,539201,548705,610548,570088,549067,558502,602556,566067,583228,556208,588877,561970,583477,573761,569605,577884,567415,548245,563506,576017,557462,594598,571945,593183,597743,556716,556431,640167,570997
274,553524,605221,585193,541441,551517,613065,572524,551334,560715,604975,568104,585300,558231,591233,564123,585697,576294,572065,580571,569843,550574,566258,578694,559798,597390,574730,595755,600295,559152,558955,643217,573405
275,555825,607452,587545,543689,553456,615555,574738,553537,563279,607924,570876,588220,560859,593919,566821,588456,578892,574584,583088,572418,552839,568376,581352,562307,599607,576812,598038,602727,561315,561082,645526,575756
276,558105,609979,589988,545872,555649,617979,577026,555824,565459,610126,573010,590424,563048,596278,568881,590700,581280,576657,585370,574632,555401,570588,583425,564575,601908,579022,600462,605073,563594,563321,648171,578080
277,559565,611724,591757,547416,557197,619838,578818,557333,566795,611436,574462,591869,564460,597743,570270,592187,583034,578552,587324,576633,557228,572546,585250,566244,603708,580825,602228,606856,565421,565017,649991,579739
278,561748,614220,594036,549572,559426,622303,581035,559606,569478,614391,577165,594571,566964,600335,573047,595007,585092,580646,589326,578550,559167,574523,587357,568405,606035,583030,604935,609389,567545,567217,652466,582046
279,564101,616722,596476,551800,561654,624881,583455,561843,571885,617065,579706,597325,569247,602870,575542,597479,587319,582820,591571,580684,561204,576649,589635,570442,608616,585407,607095,611705,569888,569640,655263,584621
280,566788,619462,599185,554180,564268,627579,586069,564419,574246,619448,582016,599624,571744,605409,577812,599946,589932,585353,594137,583280,563824,579254,592455,573192,611655,588346,610127,614532,572571,572534,658524,587320
281,568783,621852,601610,556336,566213,630023,588366,566520,576576,622125,584500,602094,574130,608019,580265,602304,592518,587956,597016,585998,566217,581940,595193,575437,613629,590216,612135,617263,574846,574368,660703,589399
282,570429,623775,603396,557917,567899,631941,590090,568138,577985,623913,586294,603671,575940,609864,582091,604068,594741,590150,599028,587967,568336,583930,597237,577638,615410,591711,613991,618543,576240,575983,662493,591071
283,572513,626072,605508,559920,569885,634124,592192,570431,579827,625646,587774,605534,577451,611418,583593,605911,596678,591968,600841,589883,570033,585754,599237,579444,617672,593898,616229,620727,578394,578107,664834,593195
284,574943,628327,608149,562327,572363,636680,594298,572291,582344,628269,590339,608052,579929,614050,586062,608431,598724,593933,602971,591838,572041,587697,601253,581245,620108,596268,618665,623657,581039,580618,667339,595427
285,576893,630616,610066,564190,574282,638952,596613,574528,584614,630769,592526,611165,582025,616944,588277,611599,600873,596371,605384,594083,574134,589851,603715,583406,622188,598116,620821,625290,582736,582119,669785,597482
286,579954,633952,612853,566853,576995,642428,599729,577404,587189,633395,595403,613113,584779,619228,590775,613696,603253,598306,607450,595974,576245,592102,605662,585505,625545,601333,624138,628727,585856,585183,673324,600514
287,581578,635610,614849,568849,578999,644514,601531,579231,589224,635532,597228,615239,586795,621146,592789,615568,606010,601310,610499,598880,579115,594834,608694,588169,627362,603221,625838,630654,587563,586695,675465,602387
288,583394,637580,616753,570464,580802,646345,603379,580946,590850,637092,598633,616846,588432,622664,594341,617406,607936,603159,612306,600760,580905,596937,610562,590228,629010,604735,627620,632368,589352,588492,677246,604314
289,585404,639768,618861,572473,582924,648525,605668,583148,592591,639064,600510,618850,590126,624875,596195,619093,609976,604986,614190,602515,582605,598863,612367,591973,631150,606849,629771,634594,591444,590480,679515,606395
290,587973,642583,621362,575029,585322,651296,608059,585298,595402,642103,603217,621753,592875,627674,598932,621710,612310,607588,616392,604818,584969,601061,614586,594160,633650,609431,632484,637186,593746,592884,682244,608722
291,590549,645368,624273,577487,587847,654045,610832,588021,597715,644637,605616,624202,595193,630146,601201,624392,614215,609331,618717,606889,586625,603064,616866,596349,636644,612113,635130,639919,596433,595507,685241,611614
292,592630,648040,626818,579650,590156,656825,613284,590294,600218,647352,608106,626830,597767,632990,603826,626924,617139,612438,621573,609606,589797,606094,619651,598769,639385,614662,638004,642512,598812,598126,687947,614007
293,593780,649137,627822,580875,591506,657973,614601,591580,601423,648469,609310,627911,598775,634039,604897,627919,619803,614986,624039,612174,592135,608496,622094,601360,640385,615721,639169,643822,600164,599149,689454,615336
294,595300,650923,629496,582438,593159,659673,616280,593165,603034,650226,610876,629600,600341,635743,606612,629715,621114,616416,625626,613796,593521,609929,623705,602998,642087,617403,640890,645452,601839,600745,691252,616962
295,597718,653584,631936,584778,595511,662141,618581,595335,605294,652784,613276,631976,602655,638188,608983,632146,622738,618044,627113,615325,595000,611552,625252,604526,644404,619784,643292,648014,604126,602928,693751,619393
296,599814,655978,634381,586925,597715,664649,620953,597737,607623,655263,615567,634540,605369,640612,611320,634572,624837,620233,629346,617366,597058,613611,627531,606647,646948,622135,645696,650264,606310,605130,696360,621591
297,602504,659029,637140,589655,600563,667600,623766,600453,610175,658751,618210,637112,607657,643528,614304,637591,627347,622623,631706,619937,599309,615837,629723,608736,649894,624975,648611,653365,609107,607883,699622,624479
298,604887,661710,639640,591850,603115,670249,626103,602706,612810,660908,620675,639693,609972,646376,616637,640282,630182,625730,634564,622632,602524,618817,632572,611439,652364,627370,651385,656074,611559,610291,702532,627003
299,606598,663427,641426,593634,604527,672069,627917,604468,614219,662336,622168,641255,611455,647528,618046,641605,632670,627862,637096,625079,604528,621262,635299,614017,654118,629140,652865,657756,613268,611949,704389,628728
300,608256,665265,643169,595228,606113,673792,629646,606058,615964,664097,623859,643010,613153,649468,619905,643230,634584,629889,639155,627094,606481,623213,637348,616046,655794,630732,654657,659458,614921,613478,706174,630401
301,610379,667532,645474,597311,608151,676036,631759,608184,618071,666334,626059,645243,615187,651576,621778,645592,636338,631593,640791,628765,608008,624950,639039,617740,658145,632994,656930,661757,617052,615634,708621,632638
302,612917,670152,648059,599612,610542,678602,634420,610552,620593,669069,628748,647648,617630,654537,624736,648234,638557,633865,643075,630965,610227,627155,641416,619801,660697,635632,659598,664385,619524,618268,711478,635065
303,615376,672819,650815,602403,613105,681729,637019,613212,623098,671711,631031,650426,620236,656843,626900,650626,640957,636147,645227,633118,612446,629338,644010,622466,663572,638327,662356,667163,622191,620749,714306,637991
304,617036,674728,652554,604020,614703,683414,638575,614643,624772,673461,632671,652191,621904,658635,628687,652507,643568,638851,647977,635830,614870,631882,646286,624690,665080,639931,664206,668932,623744,622346,716216,639595
305,618785,676568,654354,605623,616350,685351,640450,616528,626461,675327,634361,653992,623500,660212,630299,654316,645369,640649,649848,637590,616690,633782,648088,626415,666998,641720,665985,670853,625556,624080,718113,641408
306,620299,678325,656149,607133,617995,687020,642125,618161,628087,676995,636064,655663,625229,662079,631823,655891,647180,642246,651487,639020,618224,635515,649571,627931,668780,643397,667699,672740,627250,625796,720103,643020
307,622579,680854,658532,609377,620304,689448,644400,620433,630454,679572,638438,657963,627564,664423,634248,658248,649068,644302,653455,641053,620231,637265,651665,629855,671183,645825,670180,675300,629657,628219,722908,645465
308,624820,683126,660660,611433,622488,691754,646639,622540,633017,682366,641003,660509,629981,666980,636846,661057,651472,646667,655903,643741,622431,639870,654056,632061,673407,648069,672382,677471,631676,630116,725163,647593
309,627183,685901,663411,613881,624943,694595,649139,625036,635008,684270,642910,662903,632011,669333,638892,662844,653572,648760,658070,645686,624442,641845,656341,634222,675940,650486,674988,680183,634105,632566,727959,650101
310,629126,688022,665425,615817,626850,696734,651220,626959,636819,686276,644800,664777,633766,671184,640671,664755,656293,651385,660638,648184,627065,644500,658932,636795,678014,652533,677162,682347,636039,634559,730260,652107
311,630799,689805,667223,617507,628423,698595,652961,628702,638725,688161,646677,666505,635680,673108,642491,666617,658153,653337,662514,650300,628791,646476,660929,638615,679702,654287,678881,684192,637707,636226,731976,653793
312,632777,691931,669327,619339,630452,700805,654963,630673,640511,690257,648529,668599,637477,674964,644381,668548,659827,655035,664212,651781,630503,648026,662622,640237,681791,656345,681085,686230,639701,638165,734370,655866
313,635222,694379,671796,621449,632407,703076,657168,632737,643131,692667,651004,671336,640072,677516,646940,671050,662025,657285,666310,653910,632488,650071,664788,642337,683976,658657,683320,688563,641803,640273,736795,658119
314,637536,697211,674403,624143,635170,706218,659939,635419,645552,695457,653553,673742,642266,680267,649488,673726,664321,659601,668758,656050,634638,652394,667052,644703,686930,661203,686033,691334,644611,642997,739924,660791
315,639504,699245,676360,625920,637048,708250,661854,637201,647274,697437,655419,675569,644088,682216,651235,675517,667111,662347,671476,658936,637408,655191,669959,647417,688832,663188,688050,693385,646506,644856,742036,662732
316,641279,701266,678092,627520,638838,710315,663585,638937,648964,699492,657300,677356,645859,684041,652978,677383,668935,664243,673364,660801,639240,657153,671847,649209,690644,665040,690026,695282,648346,646647,744028,664568
317,643714,703844,680799,629901,641256,712875,666047,641259,651440,702230,659682,680057,648333,686786,655570,679915,670708,665962,674995,662342,641042,658657,673295,650912,693199,667506,692575,697829,650816,649091,746808,667047
318,645621,706207,683020,631862,643278,715169,668210,643218,653418,704420,661836,682128,650500,688834,657544,682042,673112,668529,677574,665015,643463,661322,676028,653174,695699,669703,694891,699981,652971,651194,749129,669181
319,647130,707932,684728,633352,644713,716947,669759,644943,655231,706260,663626,683907,652295,690633,659246,683917,675484,670817,680088,667427,645467,663682,678457,655499,697187,671145,696452,701724,654454,652738,751008,670796
320,649879,710893,687508,635981,647282,719924,672488,647515,657626,708819,666152,686688,654805,693195,661893,686387,677138,672393,681747,668870,647144,665198,679968,657104,699908,673857,699127,704463,657192,655260,754075,673482
321,651233,712321,688842,637287,648713,721472,673911,648742,659121,710279,667592,688373,656155,694590,663153,688109,679851,675056,684311,671599,649826,667899,682639,659672,701567,675320,700748,706107,658590,656668,755754,674828
322,653674,715162,691377,639799,651117,724245,676483,651359,661692,712982,670171,690640,658537,697237,665619,690431,681278,676525,685638,672988,651074,669186,684054,661014,704027,678152,703184,708688,661026,659306,758467,677356
323,655673,717412,693732,641848,653249,726630,678667,653359,663693,715164,672369,692941,660792,699536,667749,692407,684032,679079,688276,675614,653602,671812,686618,663426,706430,680243,705405,711077,663277,661407,761116,679579
324,657537,719420,695658,643705,655127,728588,680598,655182,665619,717240,674328,694917,662658,701458,669610,694486,686223,681265,690601,677774,655739,674035,689087,665756,708282,682192,707365,713006,665219,663206,763224,681387
325,659694,721777,697894,645733,657181,731026,682743,657355,667892,719665,676547,697244,664991,703799,671896,696764,688323,683202,692577,679683,657597,675946,690988,667626,710776,684332,709641,715386,667376,665446,765828,683791
326,661591,723874,699740,647590,659235,733192,684712,659205,669799,721774,678350,699143,666638,706043,673565,698690,690577,685278,694809,681968,659712,678049,693310,669663,712795,686231,711642,717379,669267,667342,768060,685660
327,663054,725628,701308,649002,660650,734790,686184,660625,671405,723678,680103,700983,668512,707440,675370,700448,692439,687270,696800,683830,661604,680036,695373,671653,714291,687775,713235,719177,670828,668916,769720,687133
328,665362,728035,703902,651312,663083,737439,688863,663066,673546,725840,682306,703115,670578,709834,677482,702810,693804,688849,698284,685325,662973,681421,696883,673119,716969,690383,715755,721572,673154,671314,772597,689601
329,667967,730831,706326,653689,665439,740244,691119,665485,676145,728741,685035,705810,673248,712718,680139,705629,696448,691408,700731,687787,665377,684000,699387,675495,719684,693010,718421,724117,675649,673697,775381,692115
330,669802,732648,708441,655549,667398,742229,693265,667329,678016,730528,686884,707747,675051,714578,681897,707523,698769,693818,703466,690200,667832,686422,702207,677922,721941,694975,720518,726332,677756,675635,777728,694134
331,671983,735008,710776,657744,669524,744537,695654,669414,680210,732945,689070,710076,677191,716807,684083,709778,700946,695895,705512,692318,669773,688567,704035,679909,724213,697233,722719,728744,679868,677926,780240,696338
332,673308,736574,712205,659059,670991,746126,697082,670853,681540,734457,690458,711486,678479,718273,685411,711209,703130,698131,707770,694461,671835,690622,706195,682032,725807,698673,724228,730310,681256,679274,781857,697788
333,675725,739182,714998,661652,673537,748666,699272,673140,684162,737207,693067,714092,681124,721692,688123,713946,704560,699614,709142,696016,673288,692107,707796,683584,728317,701101,726763,732867,683877,681781,784527,700209
334,678131,741753,717188,663647,675668,751339,701818,675512,686506,739543,695247,716356,683238,723221,690166,716226,707878,702812,711518,698611,676444,694377,710261,686183,730967,703599,729308,735396,685977,683980,787242,702635
335,680546,744313,719492,665832,677891,753918,704085,677697,688702,742129,697506,718644,685442,725452,692701,718963,709553,704658,714020,701011,678017,697036,712727,688484,733311,705843,731924,737812,688261,686063,789881,704865
336,682818,746619,722017,668041,680034,756426,706373,680008,691132,744502,699845,721110,687681,727995,694563,721000,711752,706869,716240,703206,680141,699174,715046,690621,735729,708173,734132,740262,690395,688432,792367,707256
337,684001,747975,723346,669286,681188,757821,707638,681218,692356,745812,701177,722402,688993,729420,695839,722448,714148,709415,718495,705507,682628,701596,717415,693017,737153,709397,735453,741610,691725,689642,793821,708542
338,685258,749385,724643,670511,682502,759257,708937,682524,693826,747314,702627,723834,690391,730929,697724,723808,715500,710739,719871,706793,683788,702881,718751,694290,738536,710792,736919,743072,693030,690966,795388,709950
339,687306,751656,726884,672503,684635,761623,711056,684701,695733,749426,704687,725939,692419,733050,699295,725912,716806,712052,721218,708071,685084,704208,720060,695636,740752,712844,739055,745265,695211,693063,797833,711995
340,688300,752733,727982,673497,685619,762755,712103,685737,696942,750723,705916,727158,693688,734257,700438,727147,719060,714309,723475,710205,687263,706408,722269,697717,741957,714032,740305,746497,696338,694150,799162,713147
341,689581,754149,729288,674680,686842,764089,713462,687015,698072,751947,707035,728335,694813,735432,701586,728278,720150,715426,724440,711230,688291,707406,723438,698792,743196,715178,741530,747766,697527,695333,800465,714344
342,691119,755768,730962,676299,688460,766014,715124,688404,699731,753711,708637,730001,696432,737183,703170,729939,721422,716735,725785,712559,689485,708745,724686,700085,744934,716889,743297,749542,699107,696958,802372,716011
343,692457,757282,732445,677707,689761,767663,716611,689859,701300,755344,710100,731609,697882,738669,704741,731675,722978,718420,727499,714307,690997,710412,726258,701662,746581,718533,744996,751178,700594,698424,803942,717494
344,693834,758589,733788,678929,691105,768929,717889,691129,702565,756727,711499,732927,699147,740076,706020,732873,724486,719844,728895,715690,692454,711708,727800,703108,747936,719816,746281,752522,701954,699703,805579,718872
345,695755,760268,735787,680365,692965,770459,719371,692607,704234,758568,713379,734648,701093,741850,707857,734698,725872,721268,730303,717044,693813,713097,729056,704481,749777,721657,748109,754537,703569,701427,807854,720683
346,696903,762288,737356,682026,694044,772364,721266,694322,706516,760704,714930,736738,702771,743728,709586,736672,727850,723029,731806,718525,695322,714576,730604,705941,751751,723472,750209,756415,705428,703110,809869,722322
347,698387,763524,738683,683337,695668,774023,722620,695806,707187,761926,716264,737808,703942,744959,710719,737691,729364,724583,733512,720093,696901,716292,732350,707394,752760,724593,751240,757456,706646,704308,811012,723606
348,699765,764958,740046,684621,696987,775533,724042,697130,708965,763994,718225,739572,705722,747078,712765,739756,730637,725944,735100,721717,698455,717762,733936,709013,754927,726390,753434,759613,708291,706246,813003,725484
349,702131,767620,742594,687009,699436,778018,726563,699470,710982,765885,720191,741697,707735,748871,714573,741704,732037,727318,736522,723061,699800,719151,735297,710365,756885,728596,755404,761620,710464,708175,815294,727532
350,703954,769535,744712,688658,701107,779929,728319,701367,713126,768368,722211,743829,709832,750898,716860,743974,734651,729876,738959,725484,702141,721600,737641,712818,759370,730738,757716,763589,712477,710358,817985,729863
351,705303,771234,746177,690277,702645,781743,729963,702861,714234,769566,723493,745177,711060,752359,717906,745072,736454,731544,740660,727203,703733,723346,739450,714381,760442,731952,758925,764945,713772,711332,819067,730893
352,707399,773601,748364,692178,704751,784272,732294,704991,716424,772019,725795,747961,713374,755019,720546,747571,737977,733237,742326,728731,705226,724861,741099,715772,762863,734466,761469,767414,716049,713698,821648,733293
353,708964,775279,750058,693714,706363,785727,733727,706489,718092,773689,727341,749274,714844,756338,721832,749139,740418,735489,744654,730999,707413,727151,743350,718043,764526,735940,763068,769198,717611,715188,823488,734915
354,710557,776861,751594,695228,707821,787507,735214,707947,719929,775533,729290,751055,716464,758109,723715,750778,741992,737105,746282,732700,708974,728759,745162,719614,766445,737823,764942,771213,719521,716971,825650,736628
355,712421,778975,753528,696838,709651,789575,737207,709769,721999,777723,731048,753247,718521,760144,725665,752990,743613,738791,747953,734095,710416,730196,746640,721026,768665,740080,767016,773210,721554,718767,827991,738761
356,714382,780896,755345,698819,711362,791401,739044,711486,723264,779492,732713,754762,720001,761937,727264,754475,745593,740516,749895,736246,712371,732208,748657,723038,770204,741349,768533,774786,722919,720287,829517,740162
357,716000,782652,757067,700318,713071,793324,740876,713138,725244,781605,734441,756708,722079,763870,729117,756493,747419,742619,751690,737984,714167,734053,750407,724746,772466,743319,770570,776880,725007,722324,831666,742088
358,717799,784865,759100,702144,715032,795373,742809,715075,726695,783325,736219,758418,723667,765791,730735,758071,749256,744084,753468,739732,715879,735840,752078,726406,774091,744986,772265,778599,726410,723935,833651,743818
359,718937,786069,760294,703222,716097,796590,743935,716183,728296,784954,737862,759962,725196,767460,732460,759761,751240,746111,755486,741706,717945,737739,754133,728452,775972,746903,773963,780284,727989,725789,835486,745508
360,721494,788801,762921,705660,718499,799273,746389,718666,730611,787373,740070,762342,727400,769819,734653,762139,752372,747274,756607,742836,719071,738923,755331,729600,778225,748815,776464,782797,730295,727859,838030,747729
361,722741,790123,764255,706961,719803,800682,747685,719881,732110,788864,741550,763779,728847,771312,735977,763596,754980,749870,759260,745355,721615,741469,757958,732101,779579,750136,777831,784199,731534,729242,839653,749106
362,724478,791951,765963,708459,721431,802474,749329,721577,733796,790658,743081,765429,730361,772898,737579,765358,756244,751228,760522,746682,722856,742634,759248,733390,781356,751865,779554,785922,733212,730697,841361,750778
363,726270,793842,767926,710351,723177,804344,751205,723395,735950,793429,745306,767797,732860,775370,739983,767705,757903,752859,762264,748347,724396,744322,761052,735010,783961,754111,782183,788618,735628,733113,844213,753224
364,727855,795658,769617,711937,724817,806202,752835,725067,737155,794497,746522,769107,733950,776466,741278,768867,759790,754795,764159,750210,726220,746163,762863,736800,785301,755546,783214,789701,736755,734211,845349,754366
365,729696,797676,771610,713743,726611,808258,754707,726932,739248,796959,748844,771329,735878,778768,743477,771226,761584,756351,765932,751869,727829,747791,764662,738478,787664,757653,785471,791968,738988,736491,847778,756458
366,732379,800391,774256,716205,729041,811147,757168,729545,741717,799318,751285,773909,738367,781314,745829,773742,763552,758232,767891,753739,729537,749582,766552,740405,790091,760008,788095,794387,741294,738820,850518,758912
367,734308,802631,776384,718122,731111,813409,759290,731415,743839,801449,753344,775888,740266,783344,747754,775952,766065,760918,770606,756450,732150,752191,769094,743033,792139,761949,790179,796711,743146,740915,852716,760820
368,736359,804553,778241,720101,732997,815539,761398,733287,745636,803560,755239,777890,742161,785356,749657,777827,768251,762920,772741,758404,734127,754307,771297,745153,794277,763905,792234,798605,745082,742515,854930,762946
369,737782,806253,779957,721628,734658,817201,762957,734801,747295,805293,756840,779574,743832,787067,751284,779652,770277,764984,774850,760487,736053,756212,773354,747033,796019,765526,793988,800283,746607,744193,856854,764654
370,739518,808169,781835,723319,736450,819144,764721,736558,749554,807659,759446,781973,746104,789554,753710,782076,771845,766647,776476,762112,737597,757838,775045,748612,798537,767776,796448,802741,748939,746579,859868,766768
371,741558,810333,783850,725326,738421,821379,766936,738643,751528,809837,761120,783964,748109,791725,755463,784051,773615,768453,778356,763901,739432,759680,776826,750407,800661,770031,798506,805036,750882,748444,861530,768884
372,743985,813036,786621,727685,740751,824003,769248,740984,753374,811912,763048,786018,750194,793742,757513,786335,775768,770597,780495,766012,741441,761850,778989,752417,802946,772093,800682,807024,752842,750440,863918,771132
373,745840,815105,788700,729593,742677,826267,771307,742933,755504,814434,765251,788372,752440,796395,759770,788704,778484,773160,783026,768646,743804,764475,781529,755132,805345,774495,803311,809735,755225,752610,866640,773237
374,748467,817662,791114,731882,744974,829005,773794,745224,757724,816561,767264,790613,754304,798319,761839,790595,780359,775245,785063,770510,745677,766175,783499,756824,808089,776671,805576,811927,757347,754904,869015,775657
