op_rw_wait_pa_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
65,0.142931,0.041337,0.041785,0.040551,0.037917,0.037712,0.035704,0.065389,0.041663,0.04499,0.06324,0.298231,0.054544,0.080406,0.054918,0.041111,0.048995,0.045621,0.060609,0.054661,0.1564,0.249035,0.122473,0.058651,0.06575,0.065668,0.121027,0.05883,0.04828,0.04579,0.046822,0.04126
66,0.322241,0.455441,0.150968,0.131399,0.084631,0.101832,0.102314,0.141185,0.113868,0.107622,0.116826,0.286501,0.124393,0.160253,0.154962,0.105777,0.187888,0.144198,0.166727,0.119343,0.152144,0.182366,0.122345,0.184908,0.117767,0.131994,0.490081,0.50109,0.09049,0.076771,0.228571,0.229724
67,0.452625,0.568083,0.33626,0.314903,0.21155,0.278098,0.313014,0.327452,0.30105,0.232232,0.277807,0.447529,0.267691,0.406113,0.566892,0.443222,0.414271,0.306185,0.376409,0.325449,0.350246,0.345913,0.342696,0.356265,0.229506,0.373657,0.646369,0.673844,0.241301,0.21797,0.734564,0.818309
68,0.175964,0.304159,0.234812,0.173395,0.20519,0.232026,0.595694,0.649477,0.162835,0.058376,0.087037,0.272471,0.061522,0.35129,0.757904,0.519159,0.261119,0.097706,0.194227,0.186942,0.163782,0.155692,0.189552,0.225807,0.048744,0.252022,0.580976,0.590087,0.100675,0.052558,0.714736,0.837372
69,0.08133,0.265924,0.449216,0.468364,0.378124,0.41065,0.503393,0.650703,0.421447,0.358831,0.075668,0.129928,0.096814,0.288948,0.568037,0.229583,0.411876,0.277036,0.092091,0.143972,0.06687,0.093524,0.088004,0.124897,0.169443,0.255429,0.411382,0.444207,0.10913,0.07361,0.622238,0.762531
70,0.00686,0.023568,0.083887,0.108312,0.076599,0.080052,0.124193,0.324621,0.063413,0.043028,0.117279,0.08113,0.111016,0.337444,0.132055,0.008343,0.132702,0.047001,0.083364,0.078671,0.036174,0.068615,0.086463,0.112079,0.007096,0.169997,0.068031,0.084215,0.161453,0.177594,0.21281,0.414553
71,0.273613,0.173387,0.048051,0.041973,0.040643,0.042427,0.044453,0.05709,0.062955,0.040584,0.04932,0.05324,0.042082,0.073027,0.056856,0.036454,0.052469,0.029933,0.043258,0.052195,0.09397,0.158606,0.046688,0.057743,0.033618,0.046428,0.068375,0.075156,0.050944,0.046344,0.059029,0.034495
72,0.276147,0.400703,0.230623,0.25598,0.220515,0.221777,0.246922,0.231641,0.244885,0.207271,0.242578,0.216287,0.195448,0.245279,0.232133,0.17954,0.222387,0.184444,0.198604,0.226148,0.230167,0.265445,0.225705,0.200429,0.183408,0.234406,0.448954,0.433107,0.180352,0.195655,0.274392,0.266861
73,0.445071,0.517878,0.449289,0.399174,0.367137,0.339811,0.349929,0.391737,0.385963,0.325714,0.369314,0.332942,0.33392,0.445133,0.566322,0.417144,0.362705,0.265105,0.391394,0.357085,0.378722,0.427104,0.410746,0.399635,0.310435,0.377274,0.543227,0.598634,0.304186,0.298731,0.841186,0.797665
74,0.522009,0.619401,0.628896,0.592939,0.583416,0.464499,0.895638,0.932671,0.536446,0.446436,0.557869,0.480653,0.454125,0.679468,0.957737,0.794654,0.495435,0.390022,0.575435,0.522113,0.509835,0.612697,0.590129,0.5933,0.493564,0.528567,0.697799,0.820317,0.470212,0.383378,1.040084,1.003654
75,0.240993,0.425924,0.864185,0.699715,0.562788,0.549517,0.747731,0.826804,0.832474,0.63849,0.374429,0.171651,0.165272,0.57032,0.773502,0.547151,0.543193,0.443696,0.335031,0.330631,0.296163,0.475315,0.373443,0.353366,0.457962,0.826897,0.421786,0.711009,0.231289,0.118442,0.91791,0.887153
76,0.090916,0.040554,0.392207,0.169661,0.066646,0.093847,0.28827,0.391001,0.318747,0.199114,0.177124,0.159268,0.096446,0.489828,0.32655,0.041668,0.185419,0.045391,0.207349,0.189928,0.017683,0.038559,0.16663,0.173361,0.025416,0.439354,0.020497,0.174216,0.10677,0.078851,0.411241,0.382741
77,0.109807,0.40843,0.112068,0.069789,0.066418,0.09079,0.083703,0.0959,0.096936,0.105205,0.080623,0.080093,0.056624,0.249452,0.110482,0.063446,0.074878,0.089055,0.08231,0.074693,0.218423,0.174253,0.11483,0.130801,0.078436,0.146779,0.045605,0.060984,0.082607,0.066901,0.148191,0.097612
78,0.165321,0.470912,0.187789,0.113265,0.115204,0.188999,0.116983,0.157102,0.194404,0.153819,0.125847,0.134357,0.107815,0.316273,0.180612,0.089063,0.13779,0.125176,0.213713,0.148051,0.277788,0.259568,0.185226,0.158503,0.085421,0.10388,0.563035,0.617027,0.088721,0.074634,0.288853,0.253278
79,0.147476,0.443024,0.136397,0.112574,0.098531,0.152898,0.10399,0.193094,0.133664,0.114209,0.137386,0.133512,0.117098,0.331849,0.500557,0.64745,0.108383,0.127474,0.197779,0.167352,0.240279,0.277515,0.230434,0.121738,0.12417,0.170091,0.479685,0.567484,0.149753,0.193123,0.787766,0.809617
80,0.068956,0.223722,0.159913,0.169239,0.203583,0.215246,0.221404,0.345612,0.050386,0.052155,0.076348,0.071767,0.085405,0.19002,0.449278,0.41899,0.061129,0.052269,0.10942,0.077198,0.116619,0.13669,0.135932,0.06992,0.150764,0.188113,0.23386,0.372236,0.075513,0.088016,0.624728,0.669877
81,0.051301,0.107573,0.198093,0.211267,0.171219,0.203606,0.099839,0.217513,0.267004,0.270441,0.211673,0.109865,0.06561,0.108889,0.129867,0.110111,0.338698,0.286399,0.095006,0.062476,0.070651,0.057872,0.077332,0.079107,0.065154,0.195941,0.056576,0.168425,0.089943,0.130567,0.312827,0.344286
82,0.164592,0.057391,0.01962,0.016387,0.018899,0.02241,0.019082,0.028869,0.032556,0.038333,0.045539,0.0347,0.117232,0.181348,0.026395,0.016407,0.027521,0.021587,0.081044,0.087506,0.028779,0.027702,0.128859,0.156685,0.024405,0.035045,0.042055,0.039371,0.162511,0.175423,0.030637,0.026522
83,0.268958,0.239221,0.241959,0.253057,0.196461,0.240082,0.219034,0.209716,0.249018,0.243546,0.186257,0.214355,0.200405,0.253421,0.24043,0.202158,0.196272,0.22728,0.193421,0.197786,0.383652,0.461485,0.23788,0.18914,0.199217,0.260082,0.226663,0.214243,0.215834,0.21235,0.256358,0.222284
84,0.593116,0.663602,0.61771,0.528915,0.457661,0.622719,0.582752,0.566943,0.587487,0.6355,0.598843,0.498361,0.559934,0.702298,0.617419,0.473538,0.579521,0.550109,0.614674,0.571273,0.743492,0.814834,0.638284,0.597822,0.431405,0.629695,0.839768,0.894429,0.489489,0.503596,0.637946,0.551879
85,0.757475,0.83158,0.810053,0.742399,0.612903,0.809421,0.75623,0.789469,0.758431,0.773046,0.76486,0.639073,0.740502,0.864224,1.050195,0.977676,0.815811,0.742638,0.83123,0.770825,0.924613,1.031137,0.81287,0.848217,0.773872,0.834501,1.034495,1.110189,0.660356,0.703848,1.152944,1.083269
86,0.418609,0.531824,0.72777,0.59225,0.496469,0.799992,0.863343,0.945914,0.557095,0.472685,0.669704,0.383264,0.421898,0.706773,0.96793,0.891455,0.7214,0.543928,0.671102,0.57408,0.785515,0.952896,0.645939,0.690608,0.743604,0.953293,0.864886,0.996739,0.39114,0.439066,1.064418,1.001976
87,0.048587,0.038483,0.119474,0.146757,0.090935,0.354312,0.231204,0.302205,0.258639,0.043104,0.148096,0.07222,0.05916,0.110447,0.176758,0.120542,0.124712,0.179047,0.057279,0.045005,0.105258,0.250811,0.046682,0.053847,0.058644,0.249367,0.144905,0.214034,0.069671,0.090894,0.36981,0.239153
88,0.162758,0.206593,0.171463,0.123493,0.125924,0.212144,0.202974,0.199724,0.144383,0.191793,0.176694,0.17906,0.308854,0.291098,0.146335,0.174588,0.173098,0.128543,0.17676,0.210965,0.160894,0.206719,0.392549,0.286001,0.137164,0.196691,0.160934,0.213464,0.300475,0.270322,0.239661,0.174629
89,0.157209,0.139016,0.127869,0.15406,0.104007,0.152207,0.133289,0.164981,0.17115,0.143426,0.116317,0.148067,0.109508,0.150266,0.141664,0.101418,0.135719,0.135105,0.162094,0.12654,0.293759,0.385872,0.22603,0.149783,0.146687,0.138319,0.155457,0.188279,0.138959,0.134558,0.141022,0.131689
90,0.479402,0.485398,0.489847,0.480564,0.468889,0.542496,0.507691,0.543982,0.551096,0.539782,0.493175,0.436005,0.420583,0.558871,0.515543,0.328001,0.531626,0.43811,0.566153,0.502745,0.62585,0.743687,0.580006,0.536694,0.402783,0.476575,0.74078,0.861097,0.535585,0.470847,0.436764,0.436588
91,0.399342,0.450988,0.454782,0.435211,0.353014,0.589133,0.48511,0.537003,0.474698,0.56387,0.48141,0.479073,0.276696,0.555475,0.829349,0.511676,0.591095,0.404065,0.596651,0.516537,0.694842,0.815504,0.684301,0.567264,0.438661,0.827056,0.797667,0.910347,0.458195,0.389113,0.869272,0.855722
92,0.106116,0.121833,0.25157,0.198159,0.077697,0.32965,0.241897,0.295806,0.231121,0.259776,0.278099,0.247426,0.05573,0.166081,0.415701,0.183571,0.449786,0.141423,0.215745,0.138069,0.332984,0.454142,0.30661,0.201253,0.092695,0.479993,0.331169,0.437125,0.127621,0.101335,0.508307,0.420585
93,0.087846,0.204366,0.091017,0.111512,0.076425,0.206723,0.113898,0.244076,0.185934,0.085248,0.068611,0.071622,0.120088,0.114758,0.076564,0.074827,0.167114,0.039658,0.169562,0.166618,0.043903,0.068999,0.057712,0.059586,0.043671,0.071553,0.086967,0.062185,0.128004,0.154488,0.095924,0.074793
94,0.12028,0.174982,0.108463,0.110336,0.094044,0.158441,0.128607,0.169182,0.168751,0.127373,0.144091,0.096155,0.323607,0.355185,0.146939,0.111607,0.106735,0.085765,0.229715,0.220352,0.072401,0.088076,0.351002,0.379526,0.11188,0.178797,0.115191,0.142703,0.36849,0.323755,0.131472,0.12322
95,0.228469,0.27378,0.244718,0.219774,0.230998,0.292636,0.247008,0.215009,0.287215,0.222108,0.2612,0.26009,0.421898,0.440463,0.227068,0.217806,0.159085,0.088296,0.195294,0.186098,0.420392,0.572738,0.604173,0.575332,0.23525,0.316426,0.253085,0.27548,0.419356,0.402275,0.266884,0.222023
96,0.51301,0.61237,0.63843,0.543935,0.543422,0.704653,0.587668,0.654007,0.599751,0.563714,0.631917,0.59665,0.725632,0.80585,0.629973,0.538694,0.518713,0.404709,0.534481,0.530121,0.83819,0.898186,0.884693,0.85784,0.671443,0.572162,0.828974,0.828015,0.718907,0.730784,0.589368,0.549559
97,0.341668,0.515647,0.598842,0.385292,0.365074,0.686049,0.423695,0.565943,0.387121,0.392639,0.559314,0.484313,0.575418,0.782495,1.049692,0.817363,0.441464,0.249617,0.462764,0.453817,0.899631,0.972516,0.965566,0.941102,0.563383,0.914263,0.796053,0.950774,0.591523,0.556919,1.028312,0.868777
98,0.206557,0.489718,0.626922,0.273579,0.322505,0.706286,0.237319,0.530386,0.283844,0.376607,0.623885,0.45496,0.242978,0.564848,0.818742,0.537792,0.62261,0.374972,0.227708,0.208991,0.59736,0.667046,0.679328,0.759145,0.230393,0.678958,0.559592,0.777085,0.315283,0.243579,0.813636,0.599899
99,0.135879,0.510345,0.655725,0.300721,0.343159,0.793398,0.141588,0.536877,0.193713,0.200271,0.372549,0.23361,0.276996,0.605506,0.553469,0.364623,0.528462,0.251051,0.350012,0.333241,0.312376,0.4597,0.380334,0.514833,0.111587,0.445642,0.320782,0.57943,0.302764,0.200614,0.602142,0.390072
100,0.119696,0.320912,0.488414,0.165526,0.160682,0.722546,0.08894,0.432938,0.136242,0.128809,0.196362,0.139377,0.330998,0.805643,0.348716,0.164811,0.337916,0.075862,0.468569,0.485154,0.124075,0.28133,0.511374,0.616333,0.091137,0.267871,0.196525,0.426111,0.392339,0.330407,0.461683,0.255018
101,0.255733,0.312302,0.48861,0.237941,0.19411,0.64998,0.219191,0.48563,0.209609,0.241604,0.265817,0.217989,0.327505,0.788661,0.369118,0.187102,0.271318,0.135528,0.439176,0.401376,0.237138,0.290923,0.709109,0.766263,0.27241,0.31833,0.215499,0.47867,0.395257,0.335118,0.496049,0.285823
102,0.129059,0.186524,0.397548,0.120261,0.094342,0.556391,0.106955,0.46118,0.109,0.170225,0.203372,0.097215,0.195998,0.857935,0.311896,0.132479,0.237551,0.061013,0.493179,0.361641,0.728533,0.815966,0.706565,0.781648,0.389642,0.50638,0.416678,0.700343,0.225952,0.186626,0.493043,0.27235
103,0.084716,0.087183,0.068473,0.01794,0.024733,0.186489,0.017248,0.124515,0.114174,0.113026,0.110938,0.146272,0.03002,0.419714,0.208134,0.179242,0.009891,0.010787,0.197674,0.050755,0.45426,0.528524,0.373485,0.531093,0.066185,0.260551,0.099333,0.445796,0.022713,0.021579,0.46377,0.257289
